window,kind,rise,pullback,tp,stop,breakout_veto,exit_mode,signals,executed,execution_rate,net_win_rate,win_wilson_low95,avg_net_per_trade,median_net_per_trade,avg_net_per_signal,total_pnl_1000,pf,worst_pnl_1000,max_losing_streak,tp_count,trail_count,stop_count
year_2024,limit,0.003,,,0.04,,fixed,7,6,0.8571428571428571,0.8333333333333334,0.43649717781353975,0.0083321412858101,0.004591694611739423,0.007141835387837229,1012.2554639985468,24.88689159726223,-42.37702757920019,1,0,0,0
year_2024,limit,0.003,,0.015,,,fixed,7,6,0.8571428571428571,0.8333333333333334,0.43649717781353975,0.008685275446664933,0.012990447515302915,0.007444521811427086,1079.7389633768028,26.479346359506543,-42.37702757920019,1,4,0,0
year_2024,limit,0.003,,0.015,0.04,,fixed,7,6,0.8571428571428571,0.8333333333333334,0.43649717781353975,0.008685275446664933,0.012990447515302915,0.007444521811427086,1079.7389633768028,26.479346359506543,-42.37702757920019,1,4,0,0
year_2024,limit,0.003,,0.02,,,fixed,7,6,0.8571428571428571,0.8333333333333334,0.43649717781353975,0.010925731312519742,0.014712240960726337,0.00936491255358835,1352.7478282881498,32.92172517904762,-42.37702757920019,1,3,0,0
year_2024,limit,0.003,,0.025,,,fixed,7,6,0.8571428571428571,0.8333333333333334,0.43649717781353975,0.007286387768107008,0.004591694611739423,0.006245475229806007,890.2275108562203,22.007313672305994,-42.37702757920019,1,1,0,0
year_2024,limit,0.003,,0.03,,,fixed,7,6,0.8571428571428571,0.8333333333333334,0.43649717781353975,0.008120146105607002,0.004591694611739423,0.006960125233377431,987.5179541759238,24.303143485708393,-42.37702757920019,1,1,0,0
year_2024,limit,0.004,,,,,fixed,7,6,0.8571428571428571,0.8333333333333334,0.43649717781353975,0.009318852554449926,0.005582131424875396,0.007987587903814222,1135.2011946814214,48.94748060215423,-23.675930005599042,1,0,0,0
year_2024,limit,0.004,,,0.04,,fixed,7,6,0.8571428571428571,0.8333333333333334,0.43649717781353975,0.009318852554449926,0.005582131424875396,0.007987587903814222,1135.2011946814214,48.94748060215423,-23.675930005599042,1,0,0,0
year_2024,limit,0.004,,0.015,,,fixed,7,6,0.8571428571428571,0.8333333333333334,0.43649717781353975,0.009017250954238132,0.012990942985980056,0.007729072246489827,1121.8932110029207,48.38539143922152,-23.675930005599042,1,4,0,0
year_2024,limit,0.004,,0.015,0.04,,fixed,7,6,0.8571428571428571,0.8333333333333334,0.43649717781353975,0.009017250954238132,0.012990942985980056,0.007729072246489827,1121.8932110029207,48.38539143922152,-23.675930005599042,1,4,0,0
year_2024,limit,0.004,,0.02,,,fixed,7,6,0.8571428571428571,0.8333333333333334,0.43649717781353975,0.011421562608573152,0.015204300832827342,0.009789910807348414,1415.902680868216,60.803466243284795,-23.675930005599042,1,3,0,0
year_2024,limit,0.004,,0.025,,,fixed,7,6,0.8571428571428571,0.8333333333333334,0.43649717781353975,0.00811220548864445,0.005582131424875396,0.006953318990266672,994.2583497670691,42.994479183370636,-23.675930005599042,1,1,0,0
year_2024,limit,0.004,,0.03,,,fixed,7,6,0.8571428571428571,0.8333333333333334,0.43649717781353975,0.008945963826144421,0.005582131424875396,0.007667968993838076,1091.6457925317548,47.10783155185858,-23.675930005599042,1,1,0,0
year_2024,limit,0.005,,,,,fixed,7,6,0.8571428571428571,0.8333333333333334,0.43649717781353975,0.01030360021857467,0.006570597219477245,0.00883165733020686,1258.1469253642485,253.9023726047507,-4.974832432001529,1,0,0,0
year_2024,limit,0.005,,,0.04,,fixed,7,6,0.8571428571428571,0.8333333333333334,0.43649717781353975,0.01030360021857467,0.006570597219477245,0.00883165733020686,1258.1469253642485,253.9023726047507,-4.974832432001529,1,0,0,0
year_2024,limit,0.005,,0.015,,,fixed,7,6,0.8571428571428571,0.8333333333333334,0.43649717781353975,0.009348565814034775,0.012991437470645632,0.008013056412029807,1164.0474586290022,234.98726983064833,-4.974832432001529,1,4,0,0
year_2024,limit,0.005,,0.015,0.04,,fixed,7,6,0.8571428571428571,0.8333333333333334,0.43649717781353975,0.009348565814034775,0.012991437470645632,0.008013056412029807,1164.0474586290022,234.98726983064833,-4.974832432001529,1,4,0,0
year_2024,limit,0.005,,0.02,,,fixed,7,6,0.8571428571428571,0.8333333333333334,0.43649717781353975,0.01191640717567887,0.015695381481301916,0.01021406329343903,1479.057533448242,298.3080106043233,-4.974832432001529,1,3,0,0
year_2024,limit,0.005,,0.025,,,fixed,7,6,0.8571428571428571,0.8333333333333334,0.43649717781353975,0.011635553257011122,0.009868236591170521,0.00997333136315239,1435.8537605398337,289.62354263501203,-4.974832432001529,1,2,0,0
year_2024,limit,0.005,,0.03,,,fixed,7,6,0.8571428571428571,0.8333333333333334,0.43649717781353975,0.00977013812833217,0.006570597219477245,0.008374404109999003,1195.773630887542,241.3646046840708,-4.974832432001529,1,1,0,0
year_2024,open,0.0,,,,,fixed,7,7,1.0,0.7142857142857143,0.3589344518326274,0.006182791601068557,0.001857337772420584,0.006182791601068557,854.6705232000182,8.599649952870713,-98.48032029999636,1,0,0,0
year_2024,open,0.0,,0.015,,,fixed,7,7,1.0,0.7142857142857143,0.3589344518326274,0.007792522700481559,0.012961584285526408,0.007792522700481559,1104.4978714485223,10.821091249610316,-98.48032029999636,1,4,0,0
year_2024,open,0.0,,0.02,,,fixed,7,7,1.0,0.7142857142857143,0.3589344518326274,0.008272383614150591,0.008485592909523837,0.008272383614150591,1157.4248507130178,11.291712974069718,-98.48032029999636,1,3,0,0
year_2024,open,0.0,,0.025,,,fixed,7,7,1.0,0.7142857142857143,0.3589344518326274,0.005701812614652511,0.001857337772420584,0.005701812614652511,789.3872453737683,8.019157183097962,-98.48032029999636,1,1,0,0
year_2024,open,0.0,,0.03,,,fixed,7,7,1.0,0.7142857142857143,0.3589344518326274,0.006416462618223943,0.001857337772420584,0.006416462618223943,886.3866903585186,8.881667129909742,-98.48032029999636,1,1,0,0
year_2024,pullback,0.003,0.003,,,,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.008427349273920096,0.0028055020836795326,0.007223442234788653,1013.0446663000133,inf,41.37831540000029,0,0,0,0
year_2024,pullback,0.003,0.003,,,0.02,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.008427349273920096,0.0028055020836795326,0.007223442234788653,1013.0446663000133,inf,41.37831540000029,0,0,0,0
year_2024,pullback,0.003,0.003,0.015,,,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.008850825612170404,0.011201293086625055,0.007586421953288918,1089.8838346840134,inf,41.37831540000029,0,3,0,0
year_2024,pullback,0.003,0.003,0.015,,0.02,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.008850825612170404,0.011201293086625055,0.007586421953288918,1089.8838346840134,inf,41.37831540000029,0,3,0,0
year_2024,pullback,0.003,0.003,0.015,0.04,0.02,trail005,7,6,0.8571428571428571,1.0,0.6096657120978477,0.007880427282827698,0.009603969618683554,0.006754651956709455,973.0242661000165,inf,41.37831540000029,0,0,6,0
year_2024,pullback,0.003,0.003,0.02,,,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.011352100624670363,0.013702568099125075,0.009730371964003169,1395.6396922120084,inf,41.37831540000029,0,3,0,0
year_2024,pullback,0.003,0.003,0.02,,0.02,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.011352100624670363,0.013702568099125075,0.009730371964003169,1395.6396922120084,inf,41.37831540000029,0,3,0,0
year_2024,pullback,0.003,0.003,0.02,0.04,0.02,trail005,7,6,0.8571428571428571,1.0,0.6096657120978477,0.009175005228695311,0.009737559220582517,0.007864290196024552,1123.100766850017,inf,41.37831540000029,0,0,6,0
year_2024,pullback,0.003,0.003,0.025,,,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.007117646751974518,0.0028055020836795326,0.006100840073121015,859.9666355350141,inf,41.37831540000029,0,1,0,0
year_2024,pullback,0.003,0.003,0.025,,0.02,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.007117646751974518,0.0028055020836795326,0.006100840073121015,859.9666355350141,inf,41.37831540000029,0,1,0,0
year_2024,pullback,0.003,0.003,0.03,,,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.007951405089474525,0.0028055020836795326,0.00681549007669245,957.416310022015,inf,41.37831540000029,0,1,0,0
year_2024,pullback,0.003,0.003,0.03,,0.02,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.007951405089474525,0.0028055020836795326,0.00681549007669245,957.416310022015,inf,41.37831540000029,0,1,0,0
year_2024,pullback,0.003,0.004,,,,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.008427349273920096,0.0028055020836795326,0.007223442234788653,1013.0446663000133,inf,41.37831540000029,0,0,0,0
year_2024,pullback,0.003,0.004,,,0.02,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.008427349273920096,0.0028055020836795326,0.007223442234788653,1013.0446663000133,inf,41.37831540000029,0,0,0,0
year_2024,pullback,0.003,0.004,0.015,,,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.008850825612170404,0.011201293086625055,0.007586421953288918,1089.8838346840134,inf,41.37831540000029,0,3,0,0
year_2024,pullback,0.003,0.004,0.015,,0.02,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.008850825612170404,0.011201293086625055,0.007586421953288918,1089.8838346840134,inf,41.37831540000029,0,3,0,0
year_2024,pullback,0.003,0.004,0.015,0.04,0.02,trail005,7,6,0.8571428571428571,1.0,0.6096657120978477,0.007880427282827698,0.009603969618683554,0.006754651956709455,973.0242661000165,inf,41.37831540000029,0,0,6,0
year_2024,pullback,0.003,0.004,0.02,,,fixed,7,6,0.8571428571428571,1.0,0.6096657120978477,0.011352100624670363,0.013702568099125075,0.009730371964003169,1395.6396922120084,inf,41.37831540000029,0,3,0,0
