id,scale,segment,start,end,n,oracle_profitable,oracle_cash,detected,first_trade,days_missed,traded_days,cash_before_first,all_remaining_cash,actual_mask_cash,actual_mask_mean
DD2,0.08,73,2024-03-19,2024-04-10,14,True,2834.2643573500295,True,2024-04-08,11,3,2413.5882696000253,420.6760877500043,420.6760877500043,0.6398319817343644
DD2,0.08,77,2024-05-20,2024-05-31,9,True,3110.6215427000366,True,2024-05-31,8,1,2396.20642140003,714.4151213000064,714.4151213000064,3.0182303392480203
DD2,0.08,79,2024-07-09,2024-09-06,43,True,1241.6788731501324,True,2024-07-18,6,33,1616.775727150018,-375.09685399988535,-1228.110034099897,-0.21997239800839438
DD2,0.08,81,2024-10-08,2024-10-16,6,True,2989.211856400008,True,2024-10-14,3,2,3080.64482115001,-91.43296475000233,-633.4513652000019,-1.2879091673643883
DD2,0.08,83,2024-10-22,2024-11-01,8,True,16.102027000020314,True,2024-10-31,6,2,-310.63226259999107,326.7342896000115,326.7342896000115,0.6736926571803172
DD2,0.08,85,2024-11-11,2024-12-16,25,True,4305.311269650078,True,2024-11-18,4,19,2683.6275794000094,1621.6836902500688,399.0851862000596,0.0691111331364299
DD2,0.08,87,2024-12-26,2025-01-13,11,True,2456.9315396000293,True,2025-01-02,3,8,1477.2197505500128,979.7117890500158,979.7117890500158,0.5727550067324516
DD2,0.08,91,2025-02-19,2025-04-08,33,True,1552.8668146500636,True,2025-03-03,7,24,748.7635778000167,804.1032368500469,569.1069152500409,0.15623878819906079
DD2,0.08,95,2025-09-23,2025-10-14,9,True,3613.543202736054,False,,9,0,3613.543202736054,0.0,0.0,
DD2,0.08,97,2025-10-29,2025-11-24,18,True,8776.806305427173,True,2025-11-12,9,9,3469.2482177820784,5307.558087645094,5307.558087645094,0.962162413445678
DD2,0.08,99,2025-12-09,2025-12-18,7,True,1063.1068870410813,True,2025-12-16,4,3,2501.849401965058,-1438.7425149239766,-1438.7425149239766,-0.8167397940624342
DD2,0.08,101,2025-12-25,2026-02-04,27,True,5325.389028729188,True,2026-01-09,8,18,3486.15010188007,1839.238926849118,59.03308344611855,0.00406157568292673
DD2,0.08,103,2026-02-26,2026-03-23,17,True,3114.1810198710978,True,2026-03-02,1,16,499.57931862,2614.6017012510974,2614.6017012510974,0.3140413320224138
DD2,0.08,105,2026-06-03,2026-06-11,6,True,2930.6199484440617,True,2026-06-09,3,3,3995.5078603800357,-1064.887911935974,-1064.887911935974,-0.5000337650253316
DD2,0.08,107,2026-06-22,2026-07-06,10,True,9610.253159976091,True,2026-06-29,4,6,5838.949357326045,3771.303802650047,3771.303802650047,0.893552513332633
DD2,0.08,109,2026-07-09,2026-07-20,7,True,11855.407948155045,True,2026-07-10,0,7,0.0,11855.407948155045,11855.407948155045,2.581299170915645
DD2,0.08,111,2026-07-23,2026-07-30,5,True,2934.2180460420473,True,2026-07-24,0,5,0.0,2934.2180460420473,2934.2180460420473,1.0342081656558677
DD2,0.08,113,2026-08-10,2026-08-25,11,True,6299.334219339073,True,2026-08-20,7,4,6659.04166152305,-359.7074421839761,-359.7074421839761,-0.19230569237012118
DD2,0.12,1,2018-06-13,2018-10-18,84,True,2419.301214850151,True,2018-10-09,76,8,1110.2989419001435,1309.002272950007,1309.002272950007,1.3164301874416184
DD2,0.12,3,2019-03-07,2019-03-26,13,True,1686.7071411000184,True,2019-03-14,4,9,1019.6827209500029,667.0244201500155,667.0244201500155,0.49095782483270095
DD2,0.12,5,2019-04-18,2019-06-18,39,True,2165.3739932500616,True,2019-04-23,2,32,1187.445931400003,977.928061850059,830.8968201500472,0.09090553565510956
DD2,0.12,7,2020-01-22,2020-03-23,37,True,464.3133507000489,True,2020-02-04,2,27,402.5042525000037,61.80909820004524,-1012.3350190999619,-0.09917482051932312
DD2,0.12,13,2022-08-11,2022-10-10,36,True,232.14771630002963,True,2022-08-25,9,20,-143.49462939999194,375.6423457000216,218.8063289000201,0.13559722099464827
DD2,0.12,15,2023-04-18,2023-05-12,15,True,3471.6085356000262,True,2023-04-28,7,8,2464.0780289500176,1007.5305066500084,1007.5305066500084,0.8018153956365921
DD2,0.12,17,2023-06-19,2023-07-12,15,False,-77.27843099996448,True,2023-06-27,3,4,1468.8337432500111,-1546.112174249975,-3257.2585351499874,-3.5554243263353835
DD2,0.12,19,2023-07-14,2023-07-27,9,True,3156.9860684500204,True,2023-07-21,4,5,3562.3392140500086,-405.35314559998864,-405.35314559998864,-0.3649826845529633
