id,direction,window,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,episodes,delete5_pct,delete5_cash,double_slip_pct,double_slip_cash,matched_n,excluded_n,matched_open_pct,matched_open_cash,delayed_pct,delayed_cash,month_ci_low,month_ci_high
BR20,rt,full_2020,383,-0.44255166829437054,-0.4516188860232848,41.514360313315926,-30887.139620002145,0.5932798321864067,0.6584691139356623,-12.229427049039757,-34542.84385603228,43,48,-0.5385521005625635,-47602.7471555772,-0.5426112230517932,-38590.21238200517,382,1,-0.4410896882508793,-30745.594254452153,-0.36215358328465824,-23693.495327822202,-0.6723171029978346,-0.24035786474578286
BR20,rt,primary,146,-0.5698976231494969,-0.5346387454916233,42.465753424657535,-20235.36503825248,0.5685277199706942,0.667783431433456,-12.229427049039757,-21766.72508983258,16,18,-0.7986265830950784,-36950.97257382753,-0.670059916778641,-24888.353118505496,146,0,-0.5698976231494969,-20235.36503825248,-0.4172209814598683,-14411.644315272506,-0.8921070397074712,-0.32672865003780976
BR20,rt,2020,66,-0.18862880141325314,-0.23880440615834164,45.45454545454545,-1388.9823392498981,0.7887881999971346,0.8311512375917923,-5.07696051874063,-4012.9440017999277,6,7,-0.5628463938713267,-4621.490606399907,-0.28853647576796176,-2318.651978499904,66,0,-0.18862880141325314,-1388.9823392498981,-0.10709192505187975,-600.1748402999115,-1.2625547066186806,0.34838224017312447
BR20,rt,2021,63,-0.4204014930818951,-0.4602133399311462,34.92063492063492,-3062.919234399916,0.4760237443386921,0.49828776477005726,-5.552225427361832,-3425.5166713999197,7,7,-0.6819370043737135,-4744.579453699922,-0.5204195113966277,-3831.7148687999065,63,0,-0.4204014930818951,-3062.919234399916,-0.4213497129940616,-3062.9192343999075,-0.968106099769564,-0.14989445790401817
BR20,rt,2022,61,-0.12497231919222394,-0.5292149956379333,40.98360655737705,-618.6125840499323,0.8228886465129512,0.848573879577918,-3.622442537927325,-1640.0330708999804,8,9,-0.47505136636698314,-2440.823353899935,-0.2248319481424929,-1211.5406680999365,61,0,-0.12497231919222394,-618.6125840499323,-0.15746400991740578,-808.3257799999425,-0.4994929740406947,0.08523746787261592
BR20,rt,2023,47,-0.8454070116756932,-0.4063791559945414,42.5531914893617,-5581.260424049924,0.44326175189143935,0.4976722563973334,-9.975888697771572,-5994.062019549941,8,8,-1.3500273020472822,-8560.548447549927,-0.9456758536976614,-6339.951748099923,46,1,-0.8420239457358597,-5439.715058499928,-0.7436956944475434,-4810.4311578499355,-1.4794398951415382,-0.28623106425263367
BR20,rt,2024,68,-0.8454719786605273,-0.4235500047741563,42.64705882352941,-11659.944709249843,0.40986497769092756,0.41746464777151343,-8.358010529574145,-12159.562187349844,8,10,-1.1386194175806108,-14945.033494299865,-0.9457682683833901,-13062.56011849985,68,0,-0.8454719786605273,-11659.944709249843,-0.6674671711214277,-9402.226732949848,-1.3663428687960661,-0.4439579020570133
BR20,rt,2025,36,-0.36550314654600874,-0.4792598005031342,38.88888888888889,-2021.912350157891,0.6866948637170411,0.8153842827500349,-12.229427049039757,-5018.2514359199595,4,4,-1.127584803039473,-9493.593712869899,-0.4655609565217724,-2924.9365403158995,36,0,-0.36550314654600874,-2021.912350157891,-0.21979122787795585,-1162.8064439948757,-0.536989812425967,-0.20654794366221385
BR20,rt,2026,42,-0.2989248846489139,-0.8176623558086166,45.23809523809524,-6553.507978844742,0.7649792961908964,0.7811287636482248,-6.235135426079971,-9792.341658035952,4,4,-0.9657522184050689,-20311.540766000788,-0.3989597896387438,-8900.856459689749,42,0,-0.2989248846489139,-6553.507978844742,-0.18128598698279222,-3846.6111383277826,-1.3032663543404,-0.016130971270892098
D_I10,rt,full_available,378,-0.3584803914461085,-0.2834255838641096,43.12169312169312,-17086.16277235116,0.6335966187398465,0.7477035612910782,-12.229427049039757,-22658.41565895525,35,68,-0.4459338043608096,-30119.59094942119,-0.45849293863173063,-24077.50092470321,334,44,-0.3227694314119253,-13801.438118551214,-0.2713144035309907,-9366.332070906254,-0.5611227647594867,-0.17773014330836912
