id,window,losing,n,losing_mean_pct,losing_cash,opposite,opposite_mean_pct,opposite_cash,large
DD2_I10,primary,rt,194,-0.6777432606970257,-43721.2886551162,pt,0.29145978719190374,17323.456680617797,True
DD2_I10,2020,rt,94,-0.3254007540112547,-4144.062577499847,pt,-0.2200142751522938,-3144.5623224998444,False
DD2_I10,2020,pt,94,-0.2200142751522938,-3144.5623224998444,rt,-0.3254007540112547,-4144.062577499847,False
DD2_I10,2021,rt,90,-0.36594918640044427,-3855.8557734998676,pt,-0.20024963511290983,-2456.5554164998916,False
DD2_I10,2021,pt,90,-0.20024963511290983,-2456.5554164998916,rt,-0.36594918640044427,-3855.8557734998676,False
DD2_I10,2022,rt,79,-0.2864955523168581,-2060.8937835999145,pt,-0.3252544907245252,-2620.6139263999335,False
DD2_I10,2022,pt,79,-0.3252544907245252,-2620.6139263999335,rt,-0.2864955523168581,-2060.8937835999145,False
DD2_I10,2023,rt,77,-0.7214393858829637,-8250.20365629986,pt,0.24806612821147417,2265.2836538001616,True
DD2_I10,2024,rt,77,-0.8913109041945395,-14603.938974549794,pt,0.4856777424996126,8210.358992050169,True
DD2_I10,2025,rt,53,-0.6970286807226439,-14231.7697380618,pt,0.3053240569434686,7702.749408562211,True
DD2_I10,2026,rt,64,-0.40482395115536435,-14885.579942504608,pt,0.046309961324301874,1410.3482800054112,False
DD3_I10,full_available,rt,434,-0.4379221130531167,-26760.92326081,pt,-0.06017450839543536,-12366.051784188021,False
DD3_I10,full_available,pt,434,-0.06017450839543536,-12366.051784188021,rt,-0.4379221130531167,-26760.92326081,False
DD3_I10,full_2020,rt,379,-0.4610263475177506,-25082.147222360065,pt,-0.02814470070895928,-10067.585587638103,False
DD3_I10,full_2020,pt,379,-0.02814470070895928,-10067.585587638103,rt,-0.4610263475177506,-25082.147222360065,False
DD3_I10,primary,rt,149,-0.4337079743225939,-10128.018825710395,pt,0.044915049837025184,-8768.359809288417,False
DD3_I10,2020,rt,73,-0.283729320160839,-2654.878969249887,pt,-0.2629124215180376,-2954.729045749884,False
DD3_I10,2020,pt,73,-0.2629124215180376,-2954.729045749884,rt,-0.283729320160839,-2654.878969249887,False
DD3_I10,2021,rt,68,-0.36663415779231945,-2956.153777799897,pt,-0.1984902218078049,-1836.713492199909,False
DD3_I10,2021,pt,68,-0.1984902218078049,-1836.713492199909,rt,-0.36663415779231945,-2956.153777799897,False
DD3_I10,2022,rt,53,-0.3059393580023044,-1550.6583448999418,pt,-0.3057326175620523,-1590.6383550999615,False
DD3_I10,2022,pt,53,-0.3057326175620523,-1590.6383550999615,rt,-0.3059393580023044,-1550.6583448999418,False
DD3_I10,2023,rt,36,-1.340231901650553,-7792.437304699942,pt,0.8759607386145531,5082.855114700067,True
DD3_I10,2024,rt,66,-0.8489817727601093,-11833.882145599822,pt,0.44212237859699854,6401.560225600143,True
DD3_I10,2025,rt,39,-0.17241060357429427,992.6870023491623,pt,-0.22070080423802138,-5485.694296348847,False
DD3_I10,2025,pt,39,-0.22070080423802138,-5485.694296348847,rt,-0.17241060357429427,992.6870023491623,False
DD3_I10,2026,rt,44,-0.04240176437504076,713.1763175402588,pt,-0.3154637090091436,-9684.225738539712,False
DD3_I10,2026,pt,44,-0.3154637090091436,-9684.225738539712,rt,-0.04240176437504076,713.1763175402588,False
BR10_I10,full_available,rt,541,-0.49693852868535604,-60008.013200161804,pt,-0.008643566257357642,11291.42018016421,False
BR10_I10,full_available,pt,541,-0.008643566257357642,11291.42018016421,rt,-0.49693852868535604,-60008.013200161804,False
BR10_I10,full_2020,rt,470,-0.47953928260794526,-54232.83859411188,pt,-0.017688093674889868,10649.803149114117,False
BR10_I10,full_2020,pt,470,-0.017688093674889868,10649.803149114117,rt,-0.47953928260794526,-54232.83859411188,False
BR10_I10,primary,rt,160,-0.6718152139920032,-39416.65228691233,pt,0.2857065757838785,17589.102859413666,True
BR10_I10,2020,rt,86,-0.24765001756252622,-2568.661671249857,pt,-0.2981572676870993,-4067.912053749861,False
BR10_I10,2020,pt,86,-0.2981572676870993,-4067.912053749861,rt,-0.24765001756252622,-2568.661671249857,False
BR10_I10,2021,rt,82,-0.3661436586421969,-3467.4241879498863,pt,-0.19984767149481397,-2288.0138870499018,False
BR10_I10,2021,pt,82,-0.19984767149481397,-2288.0138870499018,rt,-0.3661436586421969,-3467.4241879498863,False
BR10_I10,2022,rt,79,-0.260126365455287,-1806.8196822999128,pt,-0.3508323863668242,-2886.2799576999187,False
BR10_I10,2022,pt,79,-0.3508323863668242,-2886.2799576999187,rt,-0.260126365455287,-1806.8196822999128,False
BR10_I10,2023,rt,63,-0.7304978443969633,-6973.280765699896,pt,0.2494974040321525,2302.9061882001283,True
BR10_I10,2024,rt,59,-0.7844574968351725,-9517.53356284986,pt,0.3785511304513472,4618.933275350121,True
