scale,segment,label,start,end,start_confirm,end_confirm,start_i,end_i,efficiency,n,overnight_log_pct,intraday_log_pct,total_log_pct,linked_overnight_pct,linked_intraday_pct,linked_total_pct,raw_overnight_log_pct,action_adjustment_log_pct,gross_rt_cash,rt_cash,rt_mean_pct,pt_cash,pt_mean_pct,cost_cash
0.08,110,R,2026-07-20,2026-07-23,2026-07-23,2026-07-29,1967,1970,0.9234003912434793,3,2.6531554364441345,8.045595560411462,10.698750996855585,2.688664950604183,8.378111110670641,11.29203539823009,2.6531554364441345,0.0,-4820.0,-5144.962540913989,-2.925711205844269,4492.629364914018,2.5626863529782606,324.96254091398896
0.08,111,D,2026-07-23,2026-07-30,2026-07-29,2026-08-04,1970,1975,0.7850756428622803,5,-9.311542016076867,-6.283926079244391,-15.595468095321246,-8.891166373501354,-6.090558915053122,-14.440203562340976,-9.311542016076867,0.0,3460.000000000008,2934.2180460420473,1.0342081656558677,-3984.0533220419748,-1.3901471586203502,525.7819539579606
0.08,112,U,2026-07-30,2026-08-10,2026-08-04,2026-08-19,1975,1982,0.9704838971962745,7,5.774497370983789,20.522342384698373,26.29683975568216,5.944477498446156,22.779935397567286,30.0785610298824,4.621491249430034,-1.1530061215537553,-12780.000000000015,-13560.513356105968,-3.2375445645002463,11993.10169710607,2.8739617185831845,780.5133561059513
0.08,113,D,2026-08-10,2026-08-25,2026-08-19,2026-09-07,1982,1993,0.5334362065695806,11,-2.477609697340356,-11.509426411493134,-13.987036108833479,-2.4471688681276023,-10.87178759737117,-13.052905464006939,-2.477609697340356,0.0,7569.99999999998,6299.334219339073,0.835116485555856,-8836.883773838892,-1.1914117321761326,1270.6657806609062
0.12,0,R,2018-06-08,2018-06-13,2018-06-12,2018-06-15,0,3,1.0000000000000004,3,21.351591170882507,4.655704512888904,26.00729568377141,23.80231971759961,4.765784114052952,29.70247100353001,21.351591170882507,0.0,-1169.9999999999982,-1342.6685308499868,-1.8341108158772146,996.162065850006,1.3414908089700257,172.6685308499887
0.12,1,D,2018-06-13,2018-10-18,2018-06-15,2018-11-06,3,87,0.42862576008735964,84,-45.91154290750745,-35.62960415961587,-81.54114706712338,-36.81576922831316,-29.973471810540666,-55.7542768273717,-45.91154290750745,0.0,5969.999999999982,2419.301214850151,0.1266237535474301,-9514.731829849816,-0.6570663633849032,3550.6987851498316
0.12,2,U,2018-10-18,2019-03-07,2018-11-06,2019-03-14,87,180,0.2859712650160641,93,6.765592416491373,34.48144665316583,41.24703906965732,6.999708499344654,41.172797258132675,51.05448154657296,6.765592416491373,0.0,-4829.999999999981,-8112.131379149856,-0.678570722784536,1543.0410841501173,0.1129323447698351,3282.1313791498733
0.12,3,D,2019-03-07,2019-03-26,2019-03-14,2019-04-02,180,193,0.5336163401801614,13,-4.3729208068719805,-14.454370534220814,-18.827291341092803,-4.278687202760666,-13.458291177344014,-17.161140197789397,-4.3729208068719805,0.0,2219.9999999999973,1686.7071411000184,0.8140641894723496,-2751.073991099979,-1.3457977910808643,533.2928588999787
0.12,4,U,2019-03-26,2019-04-18,2019-04-02,2019-04-22,193,209,0.6769178252651725,16,12.031375462750615,19.967097959691955,31.99847342244251,12.78506644363654,22.10009578362334,37.71067415730335,12.031375462750615,0.0,-3430.000000000001,-4100.198832149975,-1.566370653608462,2756.3729171500286,1.0322800164360961,670.1988321499734
0.12,5,D,2019-04-18,2019-06-18,2019-04-22,2019-07-01,209,248,0.5614790334606903,39,-29.63258745937301,-22.440758560281466,-52.07334601965455,-25.645491391706326,-20.10105885870127,-40.59153493115758,-29.63258745937301,0.0,3649.999999999995,2165.3739932500616,0.27246812808552295,-5130.977868249936,-0.820955415836932,1484.6260067499331
