id,scale,window,label,phase,n,overnight_log_pct,intraday_log_pct,total_log_pct,linked_overnight_pct,linked_intraday_pct,linked_total_pct,raw_overnight_log_pct,action_adjustment_log_pct,gross_rt_cash,rt_cash,rt_mean_pct,pt_cash,pt_mean_pct,cost_cash
D,0.12,primary,D,late,68,-48.45406220184635,-22.302208538681516,-70.7562707405278,-38.40199005255647,-19.990282135625677,-50.715606030981164,-48.45406220184635,0.0,5180.000000000004,1028.3078050752752,0.10526811616509868,-9329.103914074743,-0.5000685975701767,4151.69219492473
D,0.12,primary,R,ALL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
D,0.12,primary,R,early,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
D,0.12,primary,R,middle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
D,0.12,primary,R,late,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
D,0.12,primary,EDGE,ALL,1,1.4186846405281803,3.0039614824056073,4.422646122933775,1.4287957293138698,3.04953560371517,4.521902967498814,1.4186846405281803,0.0,-1969.9999999999989,-2086.9411112189846,-3.230558995695023,1852.074667719008,2.866988649719828,116.94111121898572
D,0.12,primary,EDGE,early,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
D,0.12,primary,EDGE,middle,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
D,0.12,primary,EDGE,late,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
D,0.2,full_2020,U,ALL,72,6.64553400240583,70.4463037037474,77.09183770615338,6.871323430204364,102.2760245925569,116.17506446407153,6.64553400240583,0.0,-15740.000000000004,-18771.704622520865,-1.2592984281099928,12700.105679021151,0.7788556140714239,3031.7046225208605
D,0.2,full_2020,U,early,50,2.536778147556663,57.9201742864606,60.45695243401742,2.5692281784587148,78.46132817220067,83.04640690325282,2.536778147556663,0.0,-11770.000000000015,-13782.35781128391,-1.448221036310815,9751.451137784137,0.9601025650343569,2012.3578112838961
D,0.2,full_2020,U,middle,13,1.639818170923084,6.926427139024762,8.56624530994787,1.653336982646856,7.171939650240922,8.943852963498351,1.639818170923084,0.0,-1799.999999999999,-2342.0592412039823,-0.7887664934438727,1257.1712322040107,0.3496564931332013,542.0592412039833
D,0.2,full_2020,U,late,9,2.4689376839260815,5.599702278262029,8.068639962188092,2.4996683360477454,5.759453504309367,8.403089075933705,2.4689376839260815,0.0,-2169.999999999991,-2647.287570032972,-0.8893856215120451,1691.4833090330042,0.391882394521451,477.2875700329812
