date,ordinal,open,close,signal_close,stage,rt_cash,rt_pct,pt_cash,pt_pct,later_open,hindsight_8,segment_8,phase_8,hindsight_12,segment_12,phase_12,hindsight_20,segment_20,phase_20,D,DD2,DD3,BR10,BR20,D_I10,DD2_I10,DD3_I10,BR10_I10,BR20_I10,PT_frozen
2018-07-09,20,17.23,17.47,126.87000726216417,UNKNOWN,-284.9183861999949,-1.6536180278583572,194.84173620000144,1.1308284167150404,,D,1,late,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-07-10,21,17.51,17.35,125.99854756717508,UNKNOWN,114.7201557999997,0.6551693649343215,-205.1199258000003,-1.1714444648772149,,D,1,late,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-07-11,22,16.95,16.65,120.9150326797386,UNKNOWN,255.92247650000076,1.5098671179941046,-343.7776764999993,-2.028186882005896,,D,1,late,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-07-12,23,16.65,17.96,130.42846768336972,UNKNOWN,-1354.2927815500002,-8.13389057987988,1264.397886550007,7.593981300600642,,U,2,early,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-07-13,24,17.7,17.62,127.95933188090056,UNKNOWN,34.29565040000014,0.1937607367231646,-125.62439039999624,-0.7097423186440465,,U,2,early,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-07-16,25,17.62,17.84,129.55700798838058,UNKNOWN,-265.6957910999959,-1.5079216293983877,174.08432110000044,0.9879927417707176,,U,2,early,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-07-17,26,17.84,17.69,128.4676833696442,UNKNOWN,104.04862075000422,0.5832321790919519,-195.8014557499958,-1.0975417923206043,,U,2,middle,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-07-18,27,17.69,17.21,124.98184458968775,UNKNOWN,434.5198474000029,2.456302133408722,-525.000397399997,-2.967780652345941,,U,2,middle,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-07-19,28,17.18,16.93,122.94843863471318,UNKNOWN,205.43249125000332,1.1957653739813934,-294.31763624999303,-1.7131410724679454,,U,2,middle,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-07-20,29,16.91,17.3,125.6354393609296,UNKNOWN,-434.3486469499996,-2.568590460969838,345.26155195000405,2.041759621230065,,U,2,late,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-07-23,30,17.11,17.25,125.27233115468415,UNKNOWN,-184.62504569999663,-1.079047607831658,95.23502570000336,0.5566044751607443,,U,2,late,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-07-24,31,17.23,18.06,131.15468409586063,UNKNOWN,-875.2192891499968,-5.079624429193249,783.9511341500032,4.54991952495649,,U,2,late,D,1,early,D,1,early,False,False,False,False,False,False,False,False,False,False,False
2018-07-25,32,18.0,17.71,128.6129266521424,UNKNOWN,243.79690145000043,1.3544272302777802,-335.9132464499996,-1.8661847024999976,,D,3,early,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-07-26,33,17.66,17.76,128.97603485838783,UNKNOWN,-145.71537049999912,-0.8251153482446156,54.1846805000045,0.3068215203850765,,D,3,early,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-07-27,34,17.68,17.29,125.5628177196805,UNKNOWN,344.49414195000304,1.9484962779977544,-435.1160569500006,-2.461063670531677,,D,3,early,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-07-30,35,17.2,17.14,124.47349310094413,UNKNOWN,15.295200300001746,0.088925583139545,-104.64483029999826,-0.6084001761627806,,D,3,early,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-07-31,36,17.19,17.17,124.6913580246914,UNKNOWN,-24.705004900000294,-0.1437173059918574,-64.6850151000003,-0.3762944450261797,,D,3,early,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-01,37,17.25,16.98,123.31154684095864,UNKNOWN,225.30132635000203,1.3060946455072582,-314.42881134999794,-1.822775717971003,,D,3,early,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-02,38,16.9,16.24,117.9375453885258,UNKNOWN,616.2070533000021,3.6461955816568175,-703.133283299996,-4.160551972189326,,D,3,early,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-03,39,16.27,15.81,114.81481481481484,UNKNOWN,417.3773373000009,2.5653186066379896,-502.1628972999972,-3.086434525507051,,D,3,early,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-06,40,15.77,15.14,109.94916485112569,UNKNOWN,588.47378815,3.731602968611288,-670.89653315,-4.254258295180724,,D,3,early,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-07,41,15.2,15.55,112.92665214233844,UNKNOWN,-390.8749017499982,-2.571545406249988,308.77527675000545,2.0314162944079306,,D,3,early,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-08,42,15.41,15.01,109.00508351488747,UNKNOWN,359.08350700000267,2.3301979688514125,-440.5166969999991,-2.858641771576892,,D,3,early,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-09,43,14.99,15.42,111.98257080610026,UNKNOWN,-470.4916071499981,-3.1387031831220686,389.0786121500019,2.595587806204149,,D,3,early,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-10,44,15.32,15.47,112.34567901234573,UNKNOWN,-191.0152407499986,-1.2468357751305394,108.8348357500032,0.7104101550261305,,D,3,early,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-13,45,15.19,15.72,114.161220043573,UNKNOWN,-570.94650765,-3.758699852863725,488.5237626500037,3.216087970046108,,D,3,early,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-14,46,15.73,15.51,112.63616557734208,UNKNOWN,178.34546610000285,1.1337919014621922,-261.434646099999,-1.6620130076287285,,D,3,early,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-15,47,15.39,15.06,109.36819172113292,UNKNOWN,289.08819665000146,1.8784158326835705,-370.58197164999854,-2.4079400367121413,,D,3,early,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-16,48,14.85,14.89,108.13362381989836,UNKNOWN,-80.00997519999899,-0.538787711784505,-0.0499547999971667,-0.0003363959595768,,D,3,early,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-17,49,15.09,14.63,106.24546114742196,UNKNOWN,419.7603473000031,2.7817120430749043,-499.7798872999952,-3.31199395162356,,D,3,early,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-20,50,14.65,14.92,108.35148874364562,UNKNOWN,-309.72337634999803,-2.1141527395904305,230.00676134999836,1.5700120228668828,,D,3,early,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-21,51,14.9,15.02,109.07770515613652,UNKNOWN,-160.15175059999913,-1.0748439637583835,79.72831060000087,0.5350893328859119,,D,3,middle,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-22,52,14.99,14.74,107.04429920116196,UNKNOWN,209.85519625000023,1.3999679536357588,-289.894931249998,-1.9339221564376117,,D,3,middle,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-23,53,14.77,15.13,109.87654320987654,UNKNOWN,-400.0116168000008,-2.7082709329722463,319.6285668000029,2.164039044008144,,D,3,middle,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-24,54,15.04,14.99,108.85984023238926,UNKNOWN,9.652220250000582,0.0641769963430889,-90.2978052499976,-0.6003843434175372,,D,3,middle,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-27,55,15.0,15.31,111.1837327523602,UNKNOWN,-350.45060154999885,-2.336337343666659,269.239556550003,1.79493037700002,,D,3,middle,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-28,56,15.31,15.32,111.2563543936093,UNKNOWN,-50.92364504999869,-0.3326168847158633,-30.93363995000051,-0.2020485953625115,,D,3,middle,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-29,57,15.35,15.11,109.73129992737836,UNKNOWN,199.12307620000044,1.2972187374592865,-280.6370461999996,-1.828254372638434,,D,3,middle,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-30,58,15.13,14.8,107.4800290486565,UNKNOWN,289.61326665000166,1.9141656751487224,-370.0569016499984,-2.4458486559814827,,D,3,middle,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-08-31,59,14.75,14.79,107.4074074074074,UNKNOWN,-79.80802519999861,-0.5410713572881262,0.1519951999995612,0.0010304759322004,,D,3,middle,D,1,middle,D,1,middle,False,False,False,False,False,False,False,False,False,False,False
2018-09-03,60,14.71,14.7,106.75381263616556,UNKNOWN,-29.70174494999629,-0.2019153293677518,-49.691750049999925,-0.3378093137321545,,D,3,middle,D,1,late,D,1,late,False,False,False,False,False,False,False,False,False,False,False
2018-09-04,61,14.69,14.93,108.4241103848947,UNKNOWN,-279.7888561999995,-1.9046212130701123,199.9712662000005,1.3612747869298876,,D,3,middle,D,1,late,D,1,late,False,False,False,False,False,False,False,False,False,False,False
2018-09-05,62,14.86,14.63,106.24546114742196,UNKNOWN,190.10753115000105,1.2793238973755114,-269.6625861499954,-1.8146876591520549,,D,3,middle,D,1,late,D,1,late,False,False,False,False,False,False,False,False,False,False,False
2018-09-06,63,14.61,15.03,109.15032679738565,UNKNOWN,-459.7190970999979,-3.1466057296372205,379.8611171000003,2.6000076461327875,,D,3,middle,D,1,late,D,1,late,False,False,False,False,False,False,False,False,False,False,False
2018-09-07,64,15.0,14.89,108.13362381989836,UNKNOWN,69.76360055000211,0.4650906703333474,-150.12645554999608,-1.000843036999974,,D,3,middle,D,1,late,D,1,late,False,False,False,False,False,False,False,False,False,False,False
2018-09-10,65,14.8,14.63,106.24546114742196,UNKNOWN,130.1981008500035,0.8797168976351588,-209.6319858499965,-1.4164323368243008,,D,3,middle,D,1,late,D,1,late,False,False,False,False,False,False,False,False,False,False,False
2018-09-11,66,14.63,14.69,106.6811909949165,UNKNOWN,-99.57588529999624,-0.6806280608338772,20.364145300001965,0.13919443130555,,D,3,middle,D,1,late,D,1,late,False,False,False,False,False,False,False,False,False,False,False
2018-09-12,67,14.68,14.72,106.89905591866378,UNKNOWN,-79.66666019999892,-0.5426884209809191,0.2933602000047273,0.0019983664850458,,D,3,middle,D,1,late,D,1,late,False,False,False,False,False,False,False,False,False,False,False
2018-09-13,68,14.87,14.79,107.40740740740742,UNKNOWN,40.010835400001895,0.2690708500336375,-119.90920539999811,-0.806383358439799,,D,3,middle,D,1,late,D,1,late,False,False,False,False,False,False,False,False,False,False,False
2018-09-14,69,14.79,14.6,106.02759622367468,UNKNOWN,150.22849595000028,1.0157437183908065,-229.5816009499979,-1.5522758684922102,,D,3,middle,D,1,late,D,1,late,False,False,False,False,False,False,False,False,False,False,False
2018-09-17,70,14.56,14.17,102.90486564996372,UNKNOWN,350.794981950002,2.4093061947115526,-428.8152169500016,-2.9451594570741872,,D,3,late,D,1,late,D,1,late,False,False,False,False,False,False,False,False,False,False,False
2018-09-18,71,14.06,14.31,103.92156862745104,UNKNOWN,-288.52167124999767,-2.052074475462288,211.22845625000232,1.502336104196318,,D,3,late,D,1,late,D,1,late,False,False,False,False,False,False,False,False,False,False,False
2018-09-19,72,14.24,14.42,104.72040668119102,UNKNOWN,-218.8494808999981,-1.536864332162908,140.9706109000019,0.9899621551966424,,D,3,late,D,1,late,D,1,late,False,False,False,False,False,False,False,False,False,False,False
2018-09-20,73,14.37,14.27,103.63108206245464,UNKNOWN,61.03078549999847,0.4247097112038864,-138.8692654999997,-0.9663831976339576,,D,3,late,D,1,late,D,1,late,False,False,False,False,False,False,False,False,False,False,False
2018-09-21,74,14.3,14.45,104.9382716049383,UNKNOWN,-188.9553507499964,-1.3213660891608137,110.89472575,0.7754875926573427,,D,3,late,D,1,late,D,1,late,False,False,False,False,False,False,False,False,False,False,False
2018-09-25,75,14.35,14.43,104.79302832244012,UNKNOWN,-119.0206253999976,-0.8294120236933631,40.899415400004216,0.285013347735221,,D,3,late,D,1,late,D,1,late,False,False,False,False,False,False,False,False,False,False,False
2018-09-26,76,14.6,14.55,105.6644880174292,UNKNOWN,10.540800249999272,0.0721972619862963,-89.40922524999891,-0.6123919537671159,,D,3,late,D,1,late,D,1,late,False,False,False,False,False,False,False,False,False,False,False
2018-09-27,77,14.49,14.2,103.12273057371095,UNKNOWN,250.8853464500025,1.73143786369912,-328.82480144999937,-2.2693223012422314,,D,3,late,D,1,late,D,1,late,False,False,False,False,False,False,False,False,False,False,False
2018-09-28,78,14.21,14.24,103.41321713870732,UNKNOWN,-68.71239514999672,-0.4835495788177109,-8.742379849998546,-0.061522729415894,,D,3,late,D,1,late,D,1,late,False,False,False,False,False,False,False,False,False,False,False
2018-10-08,79,14.0,13.72,99.63689179375451,UNKNOWN,241.8698013999994,1.7276414385714245,-317.85034139999874,-2.270359581428562,,D,3,late,D,1,late,D,1,late,False,False,False,False,False,False,False,False,False,False,False
2018-10-09,80,13.76,13.73,99.70951343500364,UNKNOWN,-7.773019849998981,-0.0564899698401088,-67.74303514999897,-0.4923185694040623,,D,3,late,D,1,late,D,1,late,False,True,True,True,True,False,True,True,True,True,False
2018-10-10,81,13.79,13.71,99.56427015250544,D,42.19189539999818,0.3059600826685872,-117.72814539999818,-0.8537211414068033,,D,3,late,D,1,late,D,1,late,True,True,True,True,True,True,True,True,True,True,False
2018-10-11,82,13.01,12.34,89.6151053013798,D,634.0680083500025,4.873697220215238,-705.2623333499993,-5.42092492966948,,D,3,late,D,1,late,D,1,late,True,True,True,True,True,True,True,True,True,True,True
2018-10-12,83,12.07,11.96,86.8554829339143,D,75.6807355500024,0.6270152075393736,-144.2093205499976,-1.194774818144139,,D,3,late,D,1,late,D,1,late,True,True,True,True,True,True,True,True,True,True,True
2018-10-15,84,12.0,11.89,86.34713144517065,D,75.8221005500003,0.6318508379166692,-144.0679555499979,-1.2005662962499826,,D,3,late,D,1,late,D,1,late,True,True,True,True,True,True,True,True,True,True,False
2018-10-16,85,11.9,11.57,84.02323892519969,D,296.1362516500012,2.488539929831943,-363.5339166499988,-3.054906862605032,,D,3,late,D,1,late,D,1,late,True,True,True,True,True,True,True,True,True,True,False
2018-10-17,86,11.77,11.76,85.40305010893243,D,-23.76441494999942,-0.2019066690739118,-43.7544200499976,-0.3717452850467085,,D,3,late,D,1,late,D,1,late,True,True,True,True,True,True,True,True,True,True,False
2018-10-18,87,11.63,11.38,82.64342774146694,D,216.6407162500008,1.8627748602751573,-283.1094112499992,-2.434302762252788,,D,3,late,D,1,late,D,1,late,True,True,True,True,True,True,True,True,True,True,False
2018-10-19,88,11.17,11.61,84.31372549019603,D,-472.7822171999976,-4.232607136974016,406.7780072000024,3.6417010492390554,,U,4,early,U,2,early,R,2,early,True,True,True,True,True,True,True,True,True,True,True
2018-10-22,89,11.7,12.65,91.86637618010164,D,-984.1126547499993,-8.411219271367514,914.9378297500024,7.819981450854722,,U,4,early,U,2,early,R,2,early,True,True,True,True,True,True,True,True,True,True,False
2018-10-23,90,12.55,12.19,88.5257806826434,D,324.8388768000028,2.588357584063768,-394.8013068000008,-3.14582714581674,,U,4,early,U,2,early,R,2,early,True,False,False,False,False,True,False,False,False,False,False
2018-10-24,91,12.18,12.19,88.5257806826434,D,-44.60261004999767,-0.3661954848111468,-24.61260494999949,-0.2020739322660056,,U,4,early,U,2,early,R,2,early,True,False,False,False,False,True,False,False,False,False,False
2018-10-25,92,11.75,12.0,87.14596949891065,D,-283.85662625,-2.4158010744680847,215.89350125,1.8373915,,U,4,early,U,2,early,R,2,early,True,False,False,False,False,True,False,False,False,False,True
2018-10-26,93,12.1,12.09,87.79956427015249,D,-24.430849949999345,-0.2019078508264409,-44.42085504999753,-0.3671145045454341,,U,4,early,U,2,early,R,2,early,True,True,True,False,False,False,False,False,False,False,False
2018-10-29,94,12.13,12.07,87.6543209876543,D,25.53406530000145,0.2105034237427984,-94.40596529999854,-0.7782849571310679,,U,4,early,U,2,early,R,2,early,True,False,False,False,False,False,False,False,False,False,False
2018-10-30,95,12.0,12.1,87.87218591140157,D,-134.28500049999928,-1.1190416708333273,65.61505049999892,0.546792087499991,,U,4,early,U,2,early,R,2,early,True,True,True,False,False,False,False,False,False,False,False
2018-10-31,96,12.25,12.25,88.96151053013796,D,-34.73887499999636,-0.2835826530611948,-34.73887499999636,-0.2835826530611948,,U,4,middle,U,2,early,R,2,early,True,False,False,False,False,False,False,False,False,False,False
2018-11-01,97,12.48,12.35,89.68772694262887,D,94.86294065000097,0.7601197167468025,-165.00712564999907,-1.3221724811698643,,U,4,middle,U,2,early,R,2,early,True,False,False,False,False,False,False,False,False,False,False
2018-11-02,98,12.65,12.61,91.57588961510528,D,4.473725200002619,0.0353654166008112,-75.4862951999992,-0.5967296063241043,,U,4,middle,U,2,early,R,2,early,True,False,False,False,False,False,False,False,False,False,False
2018-11-05,99,12.62,12.6,91.50326797385615,C,-15.475889899998762,-0.1226298724247128,-55.45590009999695,-0.439428685419944,,U,4,middle,U,2,early,R,2,early,False,False,False,False,False,False,False,False,False,False,False
2018-11-06,100,12.5,12.79,92.88307915758892,C,-325.3916514499986,-2.603133211599989,254.3184964499996,2.034547971599997,,U,4,middle,U,2,early,R,2,early,False,False,False,False,False,False,False,False,False,False,True
2018-11-07,101,12.72,12.53,90.99491648511253,C,154.40886095000363,1.2139061395440538,-225.40123595,-1.772022295204403,,U,4,middle,U,2,early,R,2,early,False,False,False,False,False,False,False,False,False,False,False
2018-11-08,102,12.67,12.39,89.97821350762524,C,244.55573639999932,1.9301952359905237,-315.1644063999988,-2.487485449092335,,U,4,middle,U,2,early,R,2,early,False,False,False,False,False,False,False,False,False,False,False
2018-11-09,103,12.35,12.34,89.61510530137977,C,-24.935724949997528,-0.2019087040485629,-44.92573004999935,-0.3637710935222619,,U,4,late,U,2,early,R,2,early,False,False,False,False,False,False,False,False,False,False,True
2018-11-12,104,12.33,12.59,91.43064633260708,C,-295.03303629999914,-2.392806458231948,224.70709630000087,1.822441981346317,,U,4,late,U,2,early,R,2,early,False,False,False,False,False,False,False,False,False,False,True
2018-11-13,105,12.37,12.67,92.0116194625998,C,-335.1342164999986,-2.709249931285356,264.5659365000014,2.1387707073565188,,U,4,late,U,2,early,R,2,early,False,False,False,False,False,False,False,False,False,False,False
2018-11-14,106,12.67,12.58,91.35802469135798,C,54.45883544999818,0.4298250627466313,-125.4512104499982,-0.9901437288871204,,U,4,late,U,2,early,R,2,early,False,False,False,False,False,False,False,False,False,False,False
2018-11-15,107,12.56,12.89,93.60929557007984,C,-365.53322164999855,-2.910296350716549,294.13694665000145,2.341854670780266,,U,4,late,U,2,early,R,2,early,False,False,False,False,False,False,False,False,False,False,True
2018-11-16,108,12.91,12.86,93.39143064633257,C,13.953755250003418,0.1080848586367422,-85.99627025000021,-0.6661213807126275,,U,4,late,U,2,early,R,2,early,False,False,False,False,False,False,False,False,False,False,False
2018-11-19,109,12.89,13.02,94.55337690631804,C,-166.0976556499981,-1.2885776233514203,93.77241065000187,0.7274818514352358,,U,4,late,U,2,early,R,2,early,False,False,False,False,False,False,False,False,False,False,False
2018-11-20,110,12.9,12.62,91.64851125635435,C,244.09125140000344,1.8921802434108792,-315.6288913999984,-2.4467355922480496,,D,5,early,U,2,early,R,2,early,False,False,False,False,False,False,False,False,False,False,False
2018-11-21,111,12.48,12.52,90.92229484386344,C,-75.22376019999818,-0.6027544887820366,4.7362602,0.0379508028846153,,D,5,early,U,2,early,R,2,early,False,False,False,False,False,False,False,False,False,False,True
2018-11-22,112,12.52,12.43,90.2687000726216,C,54.761760450001454,0.4373942527955388,-125.14828544999855,-0.9995869444888064,,D,5,early,U,2,early,R,2,early,False,False,False,False,False,False,False,False,False,False,False
2018-11-23,113,12.46,11.81,85.76615831517789,R,615.1685332500034,4.9371471368379085,-684.1817982499985,-5.491025668138029,,D,5,middle,U,2,early,R,2,early,False,False,False,False,False,False,False,False,False,False,True
2018-11-26,114,11.81,11.73,85.18518518518515,R,46.190505400001385,0.3911135088907823,-113.7295353999986,-0.9629935258255596,,D,5,middle,U,2,early,R,2,early,False,True,True,True,True,False,True,True,True,True,False
2018-11-27,115,11.79,11.66,84.6768336964415,R,96.25639564999965,0.8164240513146703,-163.61367064999854,-1.387732575487689,,D,5,middle,U,2,early,R,2,early,False,True,True,True,True,False,True,True,True,True,True
2018-11-28,116,11.66,11.79,85.62091503267968,D,-163.61367064999854,-1.4032047225557336,96.25639564999965,0.8255265493138905,,D,5,late,U,2,early,R,2,early,True,True,True,True,True,True,True,True,True,True,False
2018-11-29,117,11.86,11.46,83.22440087145965,D,366.25273199999833,3.088134333895433,-433.3474719999981,-3.653857268128146,,D,5,late,U,2,early,R,2,early,True,True,True,True,True,True,True,True,True,True,False
2018-11-30,118,11.46,11.53,83.73275236020328,D,-103.17917034999898,-0.9003418006108114,36.75086534999738,0.3206881793193489,,U,6,early,U,2,early,R,2,early,True,True,True,True,True,True,True,True,True,True,False
2018-12-03,119,12.03,12.0,87.14596949891062,D,-4.279284849999421,-0.0355717776392304,-64.24930014999941,-0.5340756454696544,,U,6,early,U,2,middle,R,2,early,True,True,True,True,True,True,True,True,True,True,False
2018-12-04,120,12.04,12.1,87.87218591140153,D,-94.3453802999997,-0.7835995041528214,25.59465030000029,0.2125801519933579,,U,6,early,U,2,middle,R,2,early,True,False,False,False,False,True,False,False,False,False,False
2018-12-05,121,11.89,12.3,89.32461873638339,D,-444.22095704999936,-3.7360887893187495,375.3692520500007,3.157016417577802,,U,6,early,U,2,middle,R,2,early,True,False,False,False,False,True,False,False,False,False,False
2018-12-06,122,12.15,11.96,86.85548293391426,C,155.55997595000153,1.2803290201646216,-224.25012094999664,-1.8456800078189024,,U,6,early,U,2,middle,R,2,early,False,False,False,False,False,False,False,False,False,False,False
2018-12-07,123,11.99,11.92,86.56499636891789,D,35.82189535000189,0.2987647652210332,-104.10814034999812,-0.8682914124270067,,U,6,early,U,2,middle,R,2,early,True,True,True,False,False,True,True,True,False,False,False
2018-12-10,124,11.81,11.92,86.56499636891789,D,-143.90639554999797,-1.218513086790838,75.98366055000204,0.6433840859441324,,U,6,early,U,2,middle,R,2,early,True,False,False,False,False,True,False,False,False,False,False
2018-12-11,125,11.9,12.0,87.14596949891063,D,-134.0830504999989,-1.1267483235294025,65.81700050000109,0.5530840378151352,,U,6,early,U,2,middle,R,2,early,True,True,True,False,False,True,True,True,False,False,False
