scale,window,label,n,overnight_log_pct,intraday_log_pct,total_log_pct,linked_overnight_pct,linked_intraday_pct,linked_total_pct,raw_overnight_log_pct,action_adjustment_log_pct,gross_rt_cash,rt_cash,rt_mean_pct,pt_cash,pt_mean_pct,cost_cash
0.08,primary,R,27,-22.638527347712913,-0.04691306008259913,-22.685440407795603,-20.25891787638226,-0.04690205762716433,-20.296318084672478,-22.638527347712913,0.0,-3930.0000000000155,-5601.674419604922,-0.2598038126470666,2256.3621641051022,-0.1292725971285532,1671.6744196049067
0.08,primary,EDGE,13,-0.35908485681710767,6.672564179841345,6.313479323024204,-0.3584409181378113,6.9002148430794055,6.517040731504544,-0.35908485681710767,0.0,-4219.9999999999845,-5700.393187793901,-0.7088452159252139,2737.498480794048,0.3497872119647827,1480.3931877939165
0.08,2020,U,113,10.47964370514476,81.27157647565132,91.75122018079614,11.048453384005452,125.40210730576524,150.30555405800882,9.156873095389638,-1.3227706097551202,-13160.000000000011,-17800.645140799785,-1.0150786418687978,8506.201570800224,0.4772693522714642,4640.6451407997765
0.08,2020,D,128,-26.437757558151336,-78.1519460869808,-104.58970364513216,-23.23163736635771,-54.22899897843207,-64.86235195471461,-26.437757558151336,0.0,11640.000000000004,6616.250028200201,0.31816533740744257,-16652.115908199816,-0.8596987706131947,5023.749971799802
0.08,2020,R,2,-12.228957775827437,-2.469261259037152,-14.698219034864582,-11.510791366906483,-2.4390243902439046,-13.669064748201443,-12.228957775827437,0.0,500.0,402.5042525000037,0.9660161307588163,-596.9960024999964,-1.4717893692411836,97.4957474999963
0.08,2020,EDGE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
0.08,2021,U,39,-2.2645853314410123,38.24658938455051,35.98200405310958,-2.2391360665838898,46.58948774678059,43.30714965682197,-2.2645853314410123,0.0,-4969.999999999998,-6341.5479348499375,-1.2839035890498411,3593.4845998500496,0.7154811904314757,1371.5479348499407
0.08,2021,D,91,-8.359021198276299,-38.93999559878421,-47.299016797060474,-8.019189478460104,-32.25367396659019,-37.686380215904656,-10.533965564408344,-2.1749443661320447,5249.9999999999945,1968.5937162501173,0.13626644310776098,-8526.158961249874,-0.6952042318919892,3281.4062837498764
0.08,2021,R,113,2.2010796132819883,-2.5539202695142844,-0.3528406562324043,2.225482080968446,-2.5215835949731193,-0.3522189050675475,2.2010796132819883,0.0,30.000000000002615,-3978.660779849834,-0.26952244000915837,-4038.630795149846,-0.29402530308157593,4008.660779849837
0.08,2021,EDGE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
