id,status,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,mother_n,coverage_pct,new_n,new_cash,new_mean_pct,block_low,block_high,delete_top3_pct,2024_n,2024_pct,2025_n,2025_pct,2026_ytd_n,2026_ytd_pct,indicative_0935_pct,indicative_0935_cash,decision_time
R__gapdown_red,historical_exploration,18,-0.20769630526854757,-0.626400186944445,44.44444444444444,269.58799211407745,0.8235068716792574,1.0303052240573014,-3.4166588620090423,-3280.5731393549804,13,152,11.842105263157896,18,269.58799211407745,-0.20769630526854757,-1.2968088836160283,0.8824139096932939,-1.0322056432309634,7,-0.16611693689667792,4,-0.9587758120046386,7,0.17991261592306332,-0.5053028698170714,-3306.3234577359217,after_open
R__gapup_weak,historical_exploration,16,-1.6766624286634737,-1.0149641807320107,31.25,-11913.20976860495,0.23457000980786288,0.27706027888360424,-8.223646820562418,-11913.20976860495,11,152,10.526315789473685,16,-11913.20976860495,-1.6766624286634737,-2.879034588469535,-0.32630538048588037,-2.622581498660724,6,-1.944037143991473,4,-2.438739145399144,6,-0.9012365688450273,-1.5412058647451405,-13351.36327213492,after_open
D__failed_breakout,historical_exploration,0,,,,0.0,,,,0.0,0,166,0.0,0,0.0,,,,,0,,0,,0,,,,previous_close
D__failed_rebound,historical_exploration,24,-0.6559953153076991,-0.9131987868985018,37.5,-7372.147989575904,0.5027984072932691,0.4184499585247338,-4.871337759198112,-8686.952070275922,13,166,14.457831325301205,24,-7372.147989575904,-0.6559953153076991,-1.561463080221321,0.1927816045877155,-1.2652295987274886,10,0.17317369476980118,7,-1.4507958293937797,7,-1.0457219584751898,-0.25152725714073415,-3995.8735452889023,previous_close
D__distribution3,historical_exploration,15,-0.8052314225187961,0.7708502475728509,53.333333333333336,-1465.7996598309455,0.4749250404094804,0.6724978959791404,-12.229427049039757,-4308.445292039971,7,166,9.036144578313253,15,-1465.7996598309455,-0.8052314225187961,-2.911701208939044,0.74066951553016,-1.5769820580013152,8,0.6260144346594227,4,-4.567800671261027,3,0.394871956662262,-0.6686711759858208,-1765.4047103669554,previous_close
D__relative_weak,historical_exploration,37,-0.8313891804780884,-0.2359529609192322,43.24324324324324,-8119.788031414828,0.5127996269424661,0.6187226788222896,-12.229427049039757,-11686.533150204861,16,166,22.289156626506024,37,-8119.788031414828,-0.8313891804780884,-1.41324799745506,-0.107818815604809,-1.292710561124865,10,-1.1922857371009334,13,-0.9338734196811601,14,-0.47844198934463283,-0.5346183635091897,-5992.022694290838,previous_close
D__gapdown_red,historical_exploration,24,-0.8570579296960422,-0.7826334682208488,29.166666666666668,-3875.9196505498585,0.44703865382156377,0.6443480772794282,-12.229427049039757,-8563.807996754915,13,166,14.457831325301205,24,-3875.9196505498585,-0.8570579296960422,-2.3079844240344944,0.2002015229950236,-1.505412360750552,9,-0.37424475932575163,4,-3.782889567283812,11,-0.188148109967091,-0.27749335868524133,-839.1408475259035,after_open
D__gapup_weak,historical_exploration,24,-0.44460470674232955,0.2566929565769159,54.166666666666664,-4949.546329949882,0.612834326752007,0.5594466095133597,-9.098307319576708,-6335.742665429957,17,166,14.457831325301205,24,-4949.546329949882,-0.44460470674232955,-1.1425734232036016,0.24082162094110335,-0.911972686013153,7,-0.11322598477616361,6,-0.5983125310729722,11,-0.5716414438131758,-0.3055957515959178,-4529.9284698369065,after_open
C__failed_breakout,historical_exploration,10,-0.7721140171160623,-1.518435077392305,40.0,-1957.101664345963,0.49875178848094787,0.6122403876082282,-3.6267696278443142,-3821.10181617998,7,120,8.333333333333334,10,-1957.101664345963,-0.7721140171160623,-2.373178256572877,0.8962351859632698,-2.1495458288382014,3,-1.4485124660721957,3,-0.4761951697180584,4,-0.4867543159474651,-0.9150006461102803,-2666.3387324139817,previous_close
C__failed_rebound,historical_exploration,1,0.8663954938656707,0.8663954938656707,100.0,522.4364828009994,,,0.8663954938656707,0.0,1,120,0.8333333333333334,1,522.4364828009994,0.8663954938656707,0.8663954938656707,0.8663954938656707,,0,,0,,1,0.8663954938656707,0.005028064671656253,3.0319229970087207,previous_close
C__distribution3,historical_exploration,7,0.7956019620194563,0.2473642483370449,57.14285714285714,303.5806850250308,2.0138840513119995,1.1699488718564677,-2.7205006850040694,-1118.6951056249898,6,120,5.833333333333333,7,303.5806850250308,0.7956019620194563,-1.1753384135921052,2.4903190365373242,-1.3113962738146137,4,1.4542877494464916,3,-0.08264575454992411,0,,0.03669326892239383,193.54695141402945,previous_close
C__relative_weak,historical_exploration,20,-0.29952575535979936,-0.5014644170767835,40.0,-4310.533026221912,0.7904814307905441,0.6883263952898738,-9.500315327488163,-10749.840292684963,12,120,16.666666666666668,20,-4310.533026221912,-0.29952575535979936,-2.227161056538852,1.6427593168451073,-1.0684581346927446,5,2.005887519051025,6,-1.574362875296445,9,-0.7304194945191606,-0.37962719138084955,-3601.3879841179337,previous_close
C__gapdown_red,historical_exploration,11,-0.0032568454321101436,-0.3087562926377102,45.45454545454545,-1064.0196451469405,0.9977077140335121,0.8411143280003845,-5.036557294660186,-3816.6704422199873,8,120,9.166666666666666,11,-1064.0196451469405,-0.0032568454321101436,-1.6531355755504649,1.5486701546548887,-1.3262495325627075,3,1.2606562158129333,4,0.1484235005856584,4,-1.1028719873836614,0.11951783845206218,1353.1402483140723,after_open
C__gapup_weak,historical_exploration,12,-1.513415963026306,-1.43839395848689,25.0,-7070.381956735942,0.17012466336949217,0.15546554970807072,-4.705608560035071,-7134.774862485945,6,120,10.0,12,-7070.381956735942,-1.513415963026306,-2.2353974424980847,-0.2059691603250604,-2.431555513982195,2,-0.5500676314183792,4,-1.6890717203900953,6,-1.717428235319755,-1.3523574820606765,-6540.983434412949,after_open
