id,window,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters
R__gapdown_red,2025,4,-0.9587758120046386,-2.0083039118992954,25.0,-825.159597478992,0.48406220170454356,0.7332861986122394,-3.4166588620090423,-3093.801645005006,3
R__gapdown_red,2026_ytd,7,0.17991261592306332,-0.6266741869220804,42.857142857142854,1281.5190839430431,1.176436858724047,1.2966755218155468,-2.693324400207417,-2288.1717334889872,5
R__gapup_weak,primary,16,-1.6766624286634737,-1.0149641807320107,31.25,-11913.20976860495,0.23457000980786288,0.27706027888360424,-8.223646820562418,-11913.20976860495,11
R__gapup_weak,2023,6,-3.3912006567296253,-2.9162362777723168,0.0,-3784.7519226999966,0.0,0.0,-8.082359090513478,-3784.7519226999966,5
R__gapup_weak,early,12,-1.132866730316518,-1.1446442202574623,33.33333333333333,-1888.9784070499813,0.2457331814306072,0.2591137667415679,-5.559304685674537,-1888.9784070499813,9
R__gapup_weak,2024,6,-1.944037143991473,-1.7795447326881368,33.33333333333333,-2596.2582315999857,0.17832345161053983,0.19413452117963176,-6.006505000475725,-2596.2582315999857,4
R__gapup_weak,2025,4,-2.438739145399144,-2.2345819809608156,25.0,-5511.241076588966,0.231458126275835,0.26621908524946336,-8.223646820562418,-7510.744645712981,3
R__gapup_weak,2026_ytd,6,-0.9012365688450273,-0.6382867928040212,33.33333333333333,-3805.710460415996,0.33726928784239923,0.33772221266524366,-4.001495686102244,-3805.710460415996,4
D__failed_breakout,primary,0,,,,0.0,,,,0.0,0
D__failed_breakout,2023,0,,,,0.0,,,,0.0,0
D__failed_breakout,early,0,,,,0.0,,,,0.0,0
D__failed_breakout,2024,0,,,,0.0,,,,0.0,0
D__failed_breakout,2025,0,,,,0.0,,,,0.0,0
D__failed_breakout,2026_ytd,0,,,,0.0,,,,0.0,0
D__failed_rebound,primary,24,-0.6559953153076991,-0.9131987868985018,37.5,-7372.147989575904,0.5027984072932691,0.4184499585247338,-4.871337759198112,-8686.952070275922,13
D__failed_rebound,2023,8,-0.06320588059527993,-0.20791319578117534,50.0,-277.35272234998695,0.8885259802290841,0.6862755739294157,-1.8225617428107632,-760.4627756999937,4
D__failed_rebound,early,35,-0.3482393744819454,-0.3512417914178881,37.142857142857146,-1339.7962206999418,0.5303553071938524,0.5592327944961489,-6.791613486345379,-1497.7464374999506,24
D__failed_rebound,2024,10,0.17317369476980118,0.5728908113337933,60.0,418.38823415001923,1.200628332603838,1.2355987344413268,-4.871337759198112,-1032.7236049499998,5
D__failed_rebound,2025,7,-1.4507958293937797,-1.2127551389508635,28.57142857142857,-3861.5486616319777,0.060830155654700735,0.0342617030678056,-4.560482090340732,-3900.252217031983,4
D__failed_rebound,2026_ytd,7,-1.0457219584751898,-2.0309590210363857,14.285714285714285,-3928.9875620939447,0.4009816465853157,0.4307733210125131,-3.230558995695023,-6902.325044009953,4
D__distribution3,primary,15,-0.8052314225187961,0.7708502475728509,53.333333333333336,-1465.7996598309455,0.4749250404094804,0.6724978959791404,-12.229427049039757,-4308.445292039971,7
D__distribution3,2023,4,-0.6566113162865312,-0.4960000957583254,50.0,-335.56264354999007,0.513415639301607,0.5414084871380593,-3.437193672761179,-731.724495849995,2
D__distribution3,early,40,-0.7712676162540641,-0.6010907075956547,30.0,-3180.7611395999515,0.33264419722800653,0.34203738925008303,-5.552225427361832,-3588.541387149955,12
D__distribution3,2024,8,0.6260144346594227,0.8103608774790809,75.0,881.2462359500282,2.5065594039848413,2.33505414594241,-2.603199011999989,-660.0827678999938,4
D__distribution3,2025,4,-4.567800671261027,-2.7492841160468675,0.0,-3013.0994492999903,0.0,0.0,-12.229427049039757,-3013.0994492999903,2
D__distribution3,2026_ytd,3,0.394871956662262,0.798484982211378,66.66666666666666,666.0535535190165,1.8413955832396833,1.8299596435043715,-1.4079178612105112,-802.5131808899913,1
D__relative_weak,primary,37,-0.8313891804780884,-0.2359529609192322,43.24324324324324,-8119.788031414828,0.5127996269424661,0.6187226788222896,-12.229427049039757,-11686.533150204861,16
D__relative_weak,2023,11,1.275971444189186,1.718160990887852,81.81818181818183,2726.6836831000296,3.51621103457543,4.341626484351777,-3.437193672761179,-566.8351473499947,5
D__relative_weak,early,40,-0.6841324991037012,-0.6602772780618589,25.0,-3345.9642549999376,0.35960815343747166,0.34397552313496443,-4.789404171033474,-4087.690969899948,27
D__relative_weak,2024,10,-1.1922857371009334,-0.2683007213949953,40.0,-2304.2302145999784,0.3878713871043324,0.37434586760666844,-9.098307319576708,-2770.9711707499982,7
D__relative_weak,2025,13,-0.9338734196811601,0.1876991047526941,53.84615384615385,-2884.147997356955,0.4133414436491888,0.4497548365534077,-12.229427049039757,-4799.287608931974,4
D__relative_weak,2026_ytd,14,-0.47844198934463283,-0.8219354110648717,35.714285714285715,-2931.409819457894,0.7083603338573282,0.7630570472019318,-6.235135426079971,-10246.793223158918,5
D__gapdown_red,primary,24,-0.8570579296960422,-0.7826334682208488,29.166666666666668,-3875.9196505498585,0.44703865382156377,0.6443480772794282,-12.229427049039757,-8563.807996754915,13
D__gapdown_red,2023,6,-1.0841617455253882,-1.3609521380886431,16.666666666666664,-1002.9502638999894,0.23656955951235864,0.29450169195244513,-3.437193672761179,-1028.6753469499952,2
D__gapdown_red,early,20,-0.24723102764809407,-0.34273272316021686,45.0,-550.4247592999776,0.7964572819427574,0.8099482131983544,-4.524291825285871,-2015.4819639499983,14
D__gapdown_red,2024,9,-0.37424475932575163,-0.5274741973190364,33.33333333333333,-496.81792069997095,0.6486509069511175,0.7313555706974366,-2.800842635686716,-1809.1335105499932,5
D__gapdown_red,2025,4,-3.782889567283812,-1.3459235910973042,0.0,-2315.103203349987,0.0,0.0,-12.229427049039757,-2315.103203349987,3
D__gapdown_red,2026_ytd,11,-0.188148109967091,-0.7303748196694055,36.36363636363637,-1063.9985264999018,0.8341717800362277,0.8419870454686408,-3.261203863682795,-4439.571282854932,5
D__gapup_weak,primary,24,-0.44460470674232955,0.2566929565769159,54.166666666666664,-4949.546329949882,0.612834326752007,0.5594466095133597,-9.098307319576708,-6335.742665429957,17
D__gapup_weak,2023,7,-0.28304037824151523,-0.2563857518267079,42.857142857142854,-124.40408674998798,0.7174670438200724,0.8863208810310083,-4.523441547216342,-846.8152983499912,4
D__gapup_weak,early,10,-0.5412716827682462,-0.04357327347281585,40.0,-625.8639414499852,0.4687970808453511,0.5003141868336192,-6.791613486345379,-1151.442205399996,9
D__gapup_weak,2024,7,-0.11322598477616361,0.8471319952449138,85.71428571428571,-48.42279384998153,0.912886884824416,0.9718403380468105,-9.098307319576708,-1719.580083399998,5
D__gapup_weak,2025,6,-0.5983125310729722,-0.3306224539402963,50.0,-1038.0050979019766,0.3770737401121823,0.48083026292371,-2.6102054788697666,-1257.2263021049907,4
D__gapup_weak,2026_ytd,11,-0.5716414438131758,-0.1248782012615124,36.36363636363637,-3863.1184381979247,0.5048524370988309,0.48600739693513695,-6.235135426079971,-6335.742665429957,8
C__failed_breakout,primary,10,-0.7721140171160623,-1.518435077392305,40.0,-1957.101664345963,0.49875178848094787,0.6122403876082282,-3.6267696278443142,-3821.10181617998,7
C__failed_breakout,2023,0,,,,0.0,,,,0.0,0
C__failed_breakout,early,30,-0.10213131021946245,-0.14637781611395226,46.666666666666664,-295.9004813499686,0.7872835496815581,0.8288963694491439,-2.284567828476263,-847.7511717499842,15
C__failed_breakout,2024,3,-1.4485124660721957,-3.245402135379829,33.33333333333333,-670.3661376999901,0.3676617017241376,0.49988708690614286,-3.6267696278443142,-734.7590434499933,3
C__failed_breakout,2025,3,-0.4761951697180584,-0.5628358847535718,33.33333333333333,-373.9720637499928,0.6007779550574774,0.529287211568942,-3.015587519594887,-794.4803560499946,2
C__failed_breakout,2026_ytd,4,-0.4867543159474651,-1.0585145976851607,50.0,-912.76346289598,0.6069197301329778,0.6865826033751365,-2.4791964389244905,-2912.293550789995,2
C__failed_rebound,primary,1,0.8663954938656707,0.8663954938656707,100.0,522.4364828009994,,,0.8663954938656707,0.0,1
C__failed_rebound,2023,0,,,,0.0,,,,0.0,0
C__failed_rebound,early,1,-0.3015515936254886,-0.3015515936254886,0.0,-30.27577999999905,0.0,0.0,-0.3015515936254886,-30.27577999999905,1
C__failed_rebound,2024,0,,,,0.0,,,,0.0,0
C__failed_rebound,2025,0,,,,0.0,,,,0.0,0
C__failed_rebound,2026_ytd,1,0.8663954938656707,0.8663954938656707,100.0,522.4364828009994,,,0.8663954938656707,0.0,1
C__distribution3,primary,7,0.7956019620194563,0.2473642483370449,57.14285714285714,303.5806850250308,2.0138840513119995,1.1699488718564677,-2.7205006850040694,-1118.6951056249898,6
C__distribution3,2023,0,,,,0.0,,,,0.0,0
C__distribution3,early,7,-0.6928268459159578,-1.0616245472610029,28.57142857142857,-596.4808517499948,0.30644173960349563,0.32433406597614023,-3.0172010959595776,-735.0811379999941,7
C__distribution3,2024,4,1.4542877494464916,2.1636554540883974,75.0,903.2362478500156,3.138264853176196,2.3529382024900225,-2.7205006850040694,-667.6108680999986,3
C__distribution3,2025,3,-0.08264575454992411,-1.363091847894721,33.33333333333333,-599.6555628249848,0.9105710171110115,0.46396872587551835,-1.4093568106967094,-1118.6951056249895,3
C__distribution3,2026_ytd,0,,,,0.0,,,,0.0,0
C__relative_weak,primary,20,-0.29952575535979936,-0.5014644170767835,40.0,-4310.533026221912,0.7904814307905441,0.6883263952898738,-9.500315327488163,-10749.840292684963,12
C__relative_weak,2023,3,1.3702229831113144,1.2076130243977716,100.0,682.4853214499982,,,0.8757964486389235,0.0,3
C__relative_weak,early,32,0.31836593280910874,0.4370609580467164,68.75,1313.9088972000495,1.705687670403816,1.7368818769948418,-3.522645947537471,-448.6032720499994,18
C__relative_weak,2024,5,2.005887519051025,2.9992576931102404,80.0,2099.0004440000166,7.653151139560855,9.983211840019763,-1.507471780645152,-233.65812599999856,4
C__relative_weak,2025,6,-1.574362875296445,-1.5384404390588227,0.0,-3035.9017671499732,0.0,0.0,-3.015587519594887,-3035.9017671499732,3
C__relative_weak,2026_ytd,9,-0.7304194945191606,-0.440092949399995,44.44444444444444,-3373.631703071955,0.6272981355800111,0.6805490658453045,-9.500315327488163,-10104.293323781996,5
C__gapdown_red,primary,11,-0.0032568454321101436,-0.3087562926377102,45.45454545454545,-1064.0196451469405,0.9977077140335121,0.8411143280003845,-5.036557294660186,-3816.6704422199873,8
C__gapdown_red,2023,3,2.057263479505933,1.3920534030864329,100.0,1223.6656242499985,,,0.8757964486389235,0.0,3
C__gapdown_red,early,3,-0.05521501278934893,-0.6027544887820366,33.33333333333333,-19.88590954999802,0.9014619643727022,0.9108043230402537,-1.0782719018248248,-222.9470107499992,3
C__gapdown_red,2024,3,1.2606562158129333,2.9992576931102404,66.66666666666666,878.9399224500062,2.103377215665806,2.8251096202876846,-3.427629820284682,-481.5819897499978,2
C__gapdown_red,2025,4,0.1484235005856584,0.5423850634979314,50.0,570.982615392029,1.1341698240762976,1.3696762875436022,-3.015587519594887,-859.7076545249927,2
C__gapdown_red,2026_ytd,4,-1.1028719873836614,-1.369751573949713,25.0,-2513.942182988976,0.43268342856623493,0.46175559036550445,-5.036557294660186,-2956.962787694995,4
C__gapup_weak,primary,12,-1.513415963026306,-1.43839395848689,25.0,-7070.381956735942,0.17012466336949217,0.15546554970807072,-4.705608560035071,-7134.774862485945,6
C__gapup_weak,2023,2,-1.6543057609838623,-1.6543057609838623,0.0,-517.9192572499959,0.0,0.0,-3.156668944408929,-517.9192572499959,2
C__gapup_weak,early,2,1.4226944981418175,1.4226944981418175,100.0,375.70300225000216,,,0.9151937602931112,0.0,2
