id,scope,n,rt_pct,pt_pct,pt_cash,large_loss
R__gapdown_red,primary,18,-0.20769630526854757,-0.16769860097890849,-3149.5577666138856,False
R__gapdown_red,2023,8,-0.5221423604555867,0.025548809774476378,-39.15899074998123,True
R__gapdown_red,2024,7,-0.16611693689667792,-0.22435638629818438,-446.70652814998135,False
R__gapdown_red,2025,4,-0.9587758120046386,0.5783954634856592,194.585503979009,True
R__gapup_weak,primary,16,-1.6766624286634737,1.3044259953508441,9021.559057105093,True
R__gapup_weak,2023,6,-3.3912006567296253,2.833981010883455,3291.709882700009,True
R__gapup_weak,early,12,-1.132866730316518,0.590590933170215,929.6123120500167,True
R__gapup_weak,2024,6,-1.944037143991473,1.5522445682411938,2042.5823716000032,True
R__gapup_weak,2025,4,-2.438739145399144,2.076585677900511,4626.225928089034,True
R__gapup_weak,2026_ytd,6,-0.9012365688450273,0.5418343007607164,2352.750757416055,True
D__failed_rebound,primary,24,-0.6559953153076991,0.26645268544834305,4424.90434057607,True
D__failed_rebound,2023,8,-0.06320588059527993,-0.3684617597844456,-337.3027476499942,False
D__failed_rebound,early,35,-0.3482393744819454,-0.224735104709568,-1059.9361492999453,False
D__failed_rebound,2025,7,-1.4507958293937797,1.0501089282242542,3156.6976111320005,True
D__failed_rebound,2026_ytd,7,-1.0457219584751898,0.6860611489579262,2509.403711094054,True
D__distribution3,primary,15,-0.8052314225187961,0.4015052238872624,-66.14960916892517,True
D__distribution3,2023,4,-0.6566113162865312,0.20941882788264865,84.33241105000812,True
D__distribution3,early,40,-0.7712676162540641,0.1749945267364068,657.3198396000466,True
D__distribution3,2025,4,-4.567800671261027,4.1461928953492695,2705.4712943000186,True
D__relative_weak,primary,37,-0.8313891804780884,0.44217920520768156,3157.3938344151484,True
D__relative_weak,early,40,-0.6841324991037012,0.10524350935604958,652.036765000058,True
D__relative_weak,2024,10,-1.1922857371009334,0.7762958139287514,1534.8102846000215,True
D__relative_weak,2025,13,-0.9338734196811601,0.5323480542071617,1474.7627603570286,True
D__relative_weak,2026_ytd,14,-0.47844198934463283,0.11979626776454332,147.82078945809826,False
D__gapdown_red,primary,24,-0.8570579296960422,0.4682900215058567,742.9259500501048,True
D__gapdown_red,2023,6,-1.0841617455253882,0.6629086243405558,556.6599389000141,True
D__gapdown_red,early,20,-0.24723102764809407,-0.32725454305300755,-830.2848306999756,False
D__gapdown_red,2024,9,-0.37424475932575163,-0.03474779216356143,-216.88788429998039,False
D__gapdown_red,2025,4,-3.782889567283812,3.355362604698582,2023.812360850008,True
D__gapdown_red,2026_ytd,11,-0.188148109967091,-0.16997816119833783,-1063.9985264999232,False
D__gapup_weak,primary,24,-0.44460470674232955,0.06413493359732358,1388.8699004501268,False
D__gapup_weak,2023,7,-0.28304037824151523,-0.14863983943686407,-424.29414324998436,False
D__gapup_weak,early,10,-0.5412716827682462,-0.038157256173640366,-46.153793549981636,True
D__gapup_weak,2024,7,-0.11322598477616361,-0.2953323635162706,-508.3078536499903,False
D__gapup_weak,2025,6,-0.5983125310729722,0.21090774723267933,281.665108902027,True
D__gapup_weak,2026_ytd,11,-0.5716414438131758,0.2128289515957804,1615.5126451980896,True
C__failed_breakout,primary,10,-0.7721140171160623,0.3879349653953299,582.263730846041,True
C__failed_breakout,early,30,-0.10213131021946245,-0.4734999561198658,-1755.1708536499593,False
C__failed_breakout,2024,3,-1.4485124660721957,1.0481600052651736,409.3640027000099,True
C__failed_breakout,2025,3,-0.4761951697180584,0.074164918943592,125.9030012500109,False
C__failed_breakout,2026_ytd,4,-0.4867543159474651,0.12809372033175048,46.996726896020164,False
C__failed_rebound,early,1,-0.3015515936254886,-0.3015515936254886,-30.27577999999905,False
C__distribution3,early,7,-0.6928268459159578,0.12498945936168296,103.16932675001055,True
C__distribution3,2025,3,-0.08264575454992411,-0.3068113227923661,220.13964532501512,False
C__relative_weak,primary,20,-0.29952575535979936,-0.08350572709220602,1248.0782192220913,False
C__relative_weak,2025,6,-1.574362875296445,1.1744228591498311,2402.7391431500055,True
C__relative_weak,2026_ytd,9,-0.7304194945191606,0.3713228856526084,1345.1892300720738,True
C__gapdown_red,primary,11,-0.0032568454321101436,-0.3797386981394315,-664.1194428529595,False
C__gapdown_red,early,3,-0.05521501278934893,-0.5000674205858249,-199.7959554499962,False
C__gapdown_red,2026_ytd,4,-1.1028719873836614,0.7431089138907306,1625.0236354890233,True
C__gapup_weak,primary,12,-1.513415963026306,1.1300986652649958,5346.515359236068,True
C__gapup_weak,2023,2,-1.6543057609838623,1.2207000155319774,381.85585975000225,True
C__gapup_weak,2024,2,-0.5500676314183792,0.1479994249693084,-235.5321332499932,True
C__gapup_weak,2025,4,-1.6890717203900953,1.2814480663808219,1018.2163384000123,True
C__gapup_weak,2026_ytd,6,-1.717428235319755,1.3565654779530076,4563.8311540860495,True
