date,grid_ok,ohlc_ok,high_1m,high_daily,high_5m,low_1m,low_daily,low_5m,close_1m,close_daily
2026-06-03,True,True,84.94999694824219,84.95,84.94,78.43000030517578,78.43,78.5,81.05000305175781,81.05
2026-06-04,True,True,80.86000061035156,80.86,80.8,77.3499984741211,77.35,77.36,78.55000305175781,78.55
2026-06-05,True,True,78.20999908447266,78.21,78.2,73.0999984741211,73.1,73.14,74.05999755859375,74.06
2026-06-08,True,True,73.30000305175781,73.3,73.3,69.33999633789062,69.34,69.4,70.4800033569336,70.48
2026-06-09,True,True,74.87999725341797,74.88,74.87,70.87999725341797,70.88,70.89,74.73999786376953,74.74
2026-06-10,True,True,73.5,73.5,73.42,70.25,70.25,70.26,71.12999725341797,71.13
2026-06-11,True,True,71.55000305175781,71.55,71.51,68.19999694824219,68.2,68.21,69.5199966430664,69.52
2026-06-12,True,True,72.26000213623047,72.26,72.25,70.0,70.0,70.0,70.12999725341797,70.13
2026-06-15,True,True,73.4000015258789,73.4,73.4,70.4800033569336,70.48,70.52,73.4000015258789,73.4
2026-06-16,True,True,74.98999786376953,74.99,74.96,72.5,72.5,72.5,72.9000015258789,72.9
2026-06-17,True,True,72.83000183105469,72.83,72.81,71.0,71.0,71.01,72.63999938964844,72.64
2026-06-18,True,True,79.9000015258789,79.9,79.9,71.94999694824219,71.95,72.0,78.08000183105469,78.08
2026-06-22,True,True,79.41000366210938,79.41,79.41,75.80000305175781,75.8,75.82,78.87999725341797,78.88
2026-06-23,True,True,78.88999938964844,78.89,78.88,73.69999694824219,73.7,73.71,74.0999984741211,74.1
2026-06-24,True,True,76.98999786376953,76.99,76.98,73.0,73.0,73.0,76.77999877929688,76.78
2026-06-25,True,True,77.69999694824219,77.7,77.59,74.8499984741211,74.85,74.85,76.98999786376953,76.99
2026-06-26,True,True,75.0,75.0,75.0,70.0,70.0,70.0,70.22000122070312,70.22
2026-06-29,True,True,71.45999908447266,71.46,71.45,66.5,66.5,66.58,69.61000061035156,69.61
2026-06-30,True,True,72.95999908447266,72.96,72.96,69.18000030517578,69.18,69.2,72.1500015258789,72.15
2026-07-01,True,True,73.87999725341797,73.88,73.83,69.5,69.5,69.5,70.0,70.0
2026-07-02,True,True,67.47000122070312,67.47,67.46,63.630001068115234,63.63,63.64,64.0199966430664,64.02
2026-07-03,True,True,66.22000122070312,66.22,66.2,62.9900016784668,62.99,63.01,64.72000122070312,64.72
2026-07-06,True,True,66.0,66.0,65.94,61.5,61.5,61.51,63.59000015258789,63.59
2026-07-07,True,True,64.6500015258789,64.65,64.64,62.5,62.5,62.6,63.77999877929688,63.78
2026-07-08,True,True,67.56999969482422,67.57,67.51,64.31999969482422,64.32,64.33,66.01000213623047,66.01
2026-07-09,True,True,69.66000366210938,69.66,69.66,65.61000061035156,65.61,65.71,69.52999877929688,69.53
2026-07-10,True,True,71.0,71.0,71.0,66.19999694824219,66.2,66.25,66.2699966430664,66.27
2026-07-13,True,True,66.16000366210938,66.16,66.13,62.5,62.5,62.51,63.08000183105469,63.08
2026-07-14,True,True,65.75,65.75,65.73,62.08000183105469,62.08,62.11,65.5999984741211,65.6
2026-07-15,True,True,65.98999786376953,65.99,65.97,63.5,63.5,63.5,63.619998931884766,63.62
2026-07-16,True,True,64.94000244140625,64.94,64.92,61.459999084472656,61.46,61.48,63.02000045776367,63.02
2026-07-17,True,True,62.43999862670898,62.44,62.44,56.81999969482422,56.82,56.85,57.59000015258789,57.59
2026-07-20,True,True,59.68999862670898,59.69,59.68,55.040000915527344,55.04,55.06,56.5,56.5
2026-07-21,True,True,61.900001525878906,61.9,61.86,55.310001373291016,55.31,55.35,60.97999954223633,60.98
2026-07-22,True,True,62.97999954223633,62.98,62.98,59.880001068115234,59.88,59.93,60.709999084472656,60.71
2026-07-23,True,True,64.1500015258789,64.15,64.11,60.9900016784668,60.99,61.0,62.880001068115234,62.88
2026-07-24,True,True,61.41999816894531,61.42,61.39,60.16999816894531,60.17,60.2,60.25,60.25
2026-07-27,True,True,61.54999923706055,61.55,61.55,59.5,59.5,59.51,61.54999923706055,61.55
