date,code,open,high,low,close,preclose,volume,amount,adjustflag,tradestatus,pctChg,signal_close,chain_return_error_pct,action_ratio,stage,stage_v3,ordinal,vr,r3,r5,clv,upper,bias20,decelerate,gap,rt_cash,rt_pct,pt_cash,pt_pct,extra_cash_needed,s_open,s_close,rows,duplicate_dt,proxy_rt_cash,proxy_rt_pct
2024-11-11,sh.601138,25.3,27.18,25.21,27.01,25.98,312967957,8231086029.74,3,1,3.9646,227.88331890167512,1.1855273289285151e-05,1.0,R,U,1558,2.1642999259614863,4.969696969696957,9.712837837837851,0.5142857142857148,0.4857142857142852,4.103221670139456,False,-2.617397998460358,-1759.3217835499988,-6.953841041699601,1659.8236610500048,6.560567830237173,1759.3217835499988,25.43000030517578,27.01000022888184,240,0,-1629.4529745309317,-6.407601081307452
2024-11-12,sh.601138,27.01,27.01,25.46,25.72,27.01,231145238,6024691958.05,3,1,-4.776,216.99959134213566,8.885597937435818e-06,1.0,R,U,1559,1.9355786857292507,11.703887510339129,11.01520756267984,0.913705583756346,0.08629441624365393,7.830808232029862,True,0.0,1239.6094589500058,4.58944634931509,-1339.7458764500016,-4.960184659200302,0.0,26.57999992370605,25.71999931335449,240,0,810.0442600787926,3.0475705884270297
2024-12-20,sh.601138,22.03,22.35,21.92,22.02,22.19,124979076,2760716991.39,3,1,-0.7661,185.78269834190627,1.0860748092644812e-05,1.0,C,R,1587,1.5684309301607182,5.365622032288719,-0.6714413607878056,0.8571428571428575,0.14285714285714246,0.45951513230868546,False,-0.7210455159981977,-33.47499244999781,-0.1519518495233673,-53.46999505000146,-0.2427144577848455,33.47499244999781,21.93000030517578,22.020000457763672,240,0,-133.37417107949847,-0.6081813462082822
2025-02-05,sh.601138,20.56,20.59,19.8,20.0,21.45,299566077,6007427160.64,3,1,-6.7599,168.7399621634026,6.759906753472933e-06,1.0,C,R,1613,1.6956996817595138,-8.058294042005997,3.2739528165623755,0.04999999999999896,0.033333333333332646,1.3968659150535245,True,-4.149184149184149,519.0395428000048,2.524511394941658,-600.6806027999916,-2.9215982626458734,0.0,20.239999771118164,20.0,240,0,199.36243254928362,0.9849922668169565
2025-07-04,sh.601138,23.31,24.35,23.28,23.81,23.28,323605462,7750318603.29,3,1,2.2766,200.88492495553066,3.230240549001451e-05,1.0,U,U,1715,3.3809027020268636,8.886810102899933,10.646387832699622,1.0,0.0,11.302352266207683,False,0.12886597938144284,-545.6803749999976,-2.3409711497211396,454.06975500000596,1.9479611969112225,545.6803749999976,23.68000030517578,23.809999465942383,240,0,-176.0531414523756,-0.7434676485789375
2025-07-07,sh.601138,23.8,24.33,23.34,23.98,23.81,164899723,3935417533.13,3,1,0.714,202.31921463391961,1.4279714396270293e-05,1.0,U,U,1716,2.862523928402035,11.261682242990645,11.522248243559673,0.49532710280373593,0.5046728971962641,12.891754776919019,True,-0.04199916001679238,-226.26185089999578,-0.9506800457983016,133.64819590000423,0.5615470415966565,226.26185089999578,24.049999237060547,23.979999542236328,240,0,23.48540867805481,0.09765243003361217
2025-07-09,sh.601138,27.0,27.12,26.5,26.6,26.38,265386641,7099473984.72,3,1,0.834,224.42414967732535,3.48749052289099e-05,1.0,U,U,1718,2.2468560243047633,13.316151202749115,23.271028037383168,1.0,0.0,22.245649806529322,False,2.3502653525398154,349.17075200000437,1.2932250074074236,-450.62935199999197,-1.6689975999999704,0.0,26.559999465942383,26.600000381469727,240,0,-90.38587538262594,-0.3403082725906182
2025-07-10,sh.601138,26.9,26.99,25.88,26.16,26.6,186420588,4894678073.73,3,1,-1.6541,220.71187050973043,3.533834587465812e-05,1.0,U,U,1719,1.9243088536920656,11.717765644687116,25.708884688090738,0.16129032258064718,0.1935483870967755,21.519449964594894,True,1.1278195488721776,689.4961287000011,2.563182634572495,-790.1340636999952,-2.937301352044592,0.0,26.530000686645508,26.15999984741211,240,0,319.8705729678894,1.2056937983002154
2025-07-16,sh.601138,26.99,27.41,26.65,26.73,27.25,145623211,3923855980.17,3,1,-1.9083,225.52095943138744,4.311926606170857e-05,1.0,U,U,1723,1.8106305034424515,4.166666666666674,3.297952994692932,0.8709677419354835,0.1290322580645164,18.545264714838815,False,-0.9541284403669748,209.11454879999943,0.7747852864023691,-310.7555188000006,-1.151372800296408,0.0,27.239999771118164,26.729999542236328,240,0,458.8623418964136,1.684516687782549
2025-08-01,sh.601138,34.0,34.3,32.48,33.0,34.61,219395147,7294069283.27,3,1,-4.6518,283.8801716396066,3.4729846859704594e-05,1.0,U,U,1735,1.631973275749706,19.339287964086573,24.03735483648648,0.5222222222222218,0.4777777777777782,27.294981640146897,True,-1.7624963883270728,938.8385050000072,2.7612897205882567,-1060.6617549999928,-3.1195933970588023,0.0,32.880001068115234,33.0,240,0,-180.02951356328236,-0.5475349991331436
2025-11-25,sh.601138,56.36,58.34,56.16,56.61,55.94,226214444,12916587347.77,3,1,1.1977,486.9835308035797,1.1834107972896746e-05,1.0,R,R,1811,1.8752253071775882,-14.01782969566554,-13.858946720049282,0.1861111111111107,0.11111111111111079,-19.796983426048055,False,0.7508044333214281,-351.0767661749933,-0.6229183218151051,148.7983326750067,0.2640140750088834,351.0767661749933,56.79999923706055,56.61000061035156,240,0,88.41802700164375,0.15566554258675633
2025-11-27,sh.601138,60.02,63.45,59.91,60.27,58.93,275887464,17029728372.61,3,1,2.2739,518.4684225672452,1.5730527740398514e-05,1.0,R,R,1813,1.542760919939036,-2.8679742871270952,-9.422071933599764,0.6430921052631575,0.3569078947368425,-13.064003363551201,False,1.8496521296453405,-357.6301791749895,-0.5958516813978499,142.2449196750032,0.23699586750250448,357.6301791749895,61.02000045776367,60.27000045776367,240,0,641.2247427053512,1.0508435560389564
2025-12-10,sh.601138,66.84,66.96,64.0,65.21,67.99,219527524,14245136589.25,3,1,-4.0888,560.9644240187498,3.659361670660388e-05,1.0,C,R,1822,1.5447328628337282,10.732899022801302,11.532152230971127,0.9249999999999998,0.07500000000000018,8.694435784913201,False,-1.6914252095896365,1511.371758501035,2.2611785734605547,-1747.8138860009942,-2.614922031719022,0.0,65.69999694824219,65.20999908447266,240,0,372.67501447798503,0.5672374913070007
2026-04-02,sh.601138,52.66,54.45,51.75,52.0,53.32,157175051,8293713010.67,3,1,-2.4756,449.7679071394701,1.8904726184487686e-05,1.0,C,R,1895,1.684279970738485,7.651928124369056,5.982905982905984,0.911330049261084,0.08866995073891606,3.3343346350255265,True,-1.2378094523630923,566.1356489820128,1.0750771913824777,-753.5346119819872,-1.4309430535168763,0.0,52.54999923706055,52.0,240,0,456.2608454191788,0.8682413930415508
2026-04-23,sh.601138,66.98,69.1,66.66,67.92,66.89,277745270,18794971862.81,3,1,1.5398,587.4660817867848,4.153087158842439e-05,1.0,U,U,1909,1.8388676539936664,9.70969329178284,15.686613628502233,0.8987730061349698,0.10122699386503022,20.405371350397793,False,0.13454925997906653,-1060.5377833379825,-1.583364860164202,818.9925883380029,1.2227419951298937,1060.5377833379825,67.25,67.91999816894531,240,0,-790.8451219724167,-1.1759778765389095
2026-04-24,sh.601138,66.57,67.21,63.67,65.01,67.92,264664000,17269488356.09,3,1,-4.2845,562.2963777526337,4.770318021574127e-05,1.0,U,U,1910,1.5477253352590234,10.421069744756984,14.497639919082971,0.5163934426229534,0.4836065573770466,20.351912394014327,True,-1.9876325088339364,1441.810023911992,2.165855526381241,-1677.4105929119864,-2.519769555223053,0.0,66.97000122070312,65.01000213623047,240,0,1841.3510746879929,2.749516262691596
2026-05-14,sh.601138,74.0,74.0,67.28,68.6,70.84,401745179,28126042206.69,3,1,-3.1621,593.3476621109161,4.466403160563459e-05,1.0,U,U,1921,1.7166934788679877,11.946902654867241,12.301838934686105,1.0,0.0,11.410799801838479,False,4.460756634669671,5270.984852580012,7.122952503486502,-5526.317282579988,-7.467996327810795,0.0,73.80000305175781,68.5999984741211,240,0,5071.218443167133,6.87156942203723
2026-05-15,sh.601138,69.5,71.76,67.37,67.62,68.6,342567907,23796804493.61,3,1,-1.4286,584.8712669379031,2.8571428587698122e-05,1.0,U,U,1922,1.6031770770638747,4.176157934700053,6.886880648176952,0.19642857142857045,0.0,6.8045057177776425,True,1.3119533527696792,1756.7702636759877,2.527726998094946,-2002.2904796759976,-2.8809934959366874,0.0,69.80000305175781,67.62000274658203,240,0,2056.427040394468,2.9461704161668796
2026-06-22,sh.601138,78.08,79.41,75.8,78.88,78.08,298952047,23317728240.47,3,1,1.0246,682.2633175992574,9.836065586465992e-06,1.0,U,U,1947,1.6775554245163815,6.376021798365095,12.313003452243954,0.7710691823899363,0.22893081761006373,6.49499440792165,False,0.0,-940.322522159996,-1.2043065089139293,659.2777941600041,0.8443619289959069,940.322522159996,78.54000091552734,78.87999725341797,240,0,-480.84559488413083,-0.6122301875210034
