window,version,stage,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters
viewed_tail,stage,R,21,-0.16785894167693913,-0.7940696593006437,38.095238095238095,-1139.2149924898815,0.8782476345350313,0.9385654739313636,-4.565610742807376,-6765.04719925195,2
viewed_tail,stage,D,15,-0.9231270991846273,-0.8457915836466581,46.666666666666664,-8085.3076588228905,0.585586740142325,0.5902794321650588,-11.915439188277979,-14683.22583290991,2
viewed_tail,stage,C,19,0.3715737326558129,-0.047140407143681375,47.368421052631575,4787.223807627131,1.4905317637012592,1.5135127547684624,-4.331237586947363,-3174.9731292869837,1
viewed_tail,stage_v3,ALL,56,-0.07345805708065511,-0.3744246210188526,44.642857142857146,211.49526582035924,0.9464076243776527,1.0044431986711184,-11.915439188277979,-15771.257850977909,1
viewed_tail,stage_v3,U,1,6.198392146008,6.198392146008,100.0,4648.794109506,,,6.198392146008,0.0,1
viewed_tail,stage_v3,R,23,0.04332192851775135,-0.6266741869220804,39.130434782608695,1650.0827340181575,1.0365363432674306,1.0936182397639962,-4.565610742807376,-4891.6937750579955,3
viewed_tail,stage_v3,D,19,-0.9979837823356315,-0.8457915836466581,42.10526315789473,-11169.707288750866,0.5085623452724596,0.5112559585466818,-11.915439188277979,-17767.625462837885,3
viewed_tail,stage_v3,C,13,0.5887110896880023,1.1157916845049671,53.84615384615385,5082.325711047066,1.7019764842941412,1.7137874382020137,-4.331237586947363,-3142.7903733299927,1
2023,stage,ALL,242,-0.6182521404498511,-0.1769197536597285,47.93388429752066,-22493.235640399576,0.5939464895848602,0.6434299795814222,-10.907746745622559,-24418.962916149765,1
2023,stage,U,86,-0.9676335646724474,-0.3632218896617677,47.674418604651166,-12490.865723449839,0.5356923338752474,0.5944890821938933,-10.907746745622559,-15790.617575149881,5
2023,stage,R,77,-0.7424725518356194,-0.30688179433365176,42.857142857142854,-9702.296459699883,0.486394835667881,0.5060931276636129,-10.282333952808328,-11188.685931049902,6
2023,stage,D,57,-0.4508038648544787,-0.22070352233677726,47.368421052631575,-3506.6632422998846,0.6101504248573258,0.6726594054221969,-9.975888697771572,-4484.033307799923,2
2023,stage,C,22,0.748439789137021,1.0671081716789104,68.18181818181817,3206.589785050024,2.3704101857853153,2.667586602497189,-3.24110418966604,-1045.9444666999946,6
2023,stage_v3,ALL,242,-0.6182521404498511,-0.1769197536597285,47.93388429752066,-22493.235640399576,0.5939464895848602,0.6434299795814222,-10.907746745622559,-24418.962916149765,1
2023,stage_v3,U,91,-0.996927820310874,-0.30688179433365176,47.25274725274725,-14082.67666529983,0.51985678030951,0.5709906520165109,-10.907746745622559,-16446.10836819988,5
2023,stage_v3,R,82,-0.5200445740489168,-0.22363557968242742,45.1219512195122,-6468.953335499869,0.5988470045626679,0.6452860265742932,-10.282333952808328,-8651.143970399913,12
2023,stage_v3,D,58,-0.3766503568981914,-0.150460407763366,48.275862068965516,-2938.7735517998844,0.6685630256096712,0.7256708684850014,-9.975888697771572,-3916.143617299922,2
2023,stage_v3,C,11,0.5084354028665261,0.9266033189600489,72.72727272727273,997.1679122000063,1.765414850448564,1.7632227153449933,-5.077053567829451,-959.1884740999968,4
early_stress,stage,ALL,1030,-0.3502516649985796,-0.28443299319726406,42.9126213592233,-46352.8888758485,0.5957521817971718,0.6114572164516449,-10.577582326719577,-47932.49468139843,1
early_stress,stage,U,221,-0.33282105041182125,-0.2019164690992524,46.15384615384615,-10613.905904649673,0.6684340733504471,0.6859777070753948,-10.577582326719577,-13199.424946099769,17
early_stress,stage,R,304,-0.3963390929185981,-0.34037648395605435,41.44736842105263,-16663.771972099552,0.5483152298896142,0.5512449890205356,-9.526919913104416,-18213.02245814961,32
early_stress,stage,D,288,-0.3307660330890363,-0.34886865600518446,39.93055555555556,-10639.863374799606,0.602066635203284,0.6209466751795302,-8.411219271367514,-11956.63866759961,15
early_stress,stage,C,217,-0.32929982041764166,-0.20189090324447487,45.622119815668206,-8435.347624299675,0.5654608026151707,0.5843952308455741,-9.730576237698397,-8493.44468029968,22
early_stress,stage_v3,ALL,1030,-0.3502516649985796,-0.28443299319726406,42.9126213592233,-46352.8888758485,0.5957521817971718,0.6114572164516449,-10.577582326719577,-47932.49468139843,1
early_stress,stage_v3,U,236,-0.39289249305599666,-0.25926115048892084,44.49152542372881,-13382.752915599644,0.6187280278972788,0.6369843564207232,-10.577582326719577,-15399.988855449754,20
early_stress,stage_v3,R,323,-0.2948668191391797,-0.2019060340517028,44.58204334365325,-13177.69143169952,0.63172334792043,0.6298501173827292,-9.526919913104416,-15140.10963804961,43
early_stress,stage_v3,D,308,-0.35599616449713634,-0.3626344675296821,39.61038961038961,-12349.558489849587,0.5751335586871986,0.5924014456874153,-8.411219271367514,-13666.33378264959,18
early_stress,stage_v3,C,163,-0.387409726013796,-0.2730737553342651,43.558282208588956,-7442.886038699753,0.5235536204414655,0.5498577555680662,-9.730576237698397,-7442.886038699752,17
2024,stage,ALL,242,-0.5493237546948151,0.05271847010291884,50.82644628099173,-25225.373183299354,0.6166201018389166,0.6573217306632825,-11.124780081111952,-29934.51526094946,1
2024,stage,U,75,-0.6992819625246591,0.05850291459824164,53.333333333333336,-11335.363461349816,0.5281228478114556,0.5628852130711002,-10.105854526435449,-13773.012219349817,5
2024,stage,R,76,-0.4573837595124156,-0.06996680493055041,50.0,-7627.109448299757,0.6721828903694523,0.6932978650794136,-7.203521160516589,-10574.66575899984,5
2024,stage,D,58,-0.5790402402249366,0.03673242922413385,50.0,-5198.275367399875,0.5358944298255318,0.5870213752196972,-11.124780081111952,-6312.090179099881,4
2024,stage,C,33,-0.3680212663880583,-0.1519518495233673,48.484848484848484,-1064.6249062499082,0.7876906252486603,0.8958778327201641,-8.827690427622347,-5232.5476287999645,5
2024,stage_v3,ALL,242,-0.5493237546948151,0.05271847010291884,50.82644628099173,-25225.373183299354,0.6166201018389166,0.6573217306632825,-11.124780081111952,-29934.51526094946,1
2024,stage_v3,U,80,-0.5767826259222817,0.09844040355358791,55.00000000000001,-9639.236396649796,0.6092837264877023,0.6519070269498844,-10.105854526435449,-12267.276576099805,5
