mode,latency,slip,window,delta_mean,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
1000_S2_WORSTBAR,original,0.002,all,-0.30261666650849106,61,0.7386998498968437,0.0794081786272016,50.81967213114754,7063.764520351988,1.8849832784907672,1.3826116578781888,-3.6248966090586294,-3.4026773420848615,-5903.601305580007,4,14,4,16,1724.5154796479997,1.2534062659442202,0.5949247601802454,0.13666979560749873,-0.36239115671454764,-5630.707298852018,18,24,1.0993848005054274,0.473693461541498
1000_S2_WORSTBAR,original,0.002,recent2024,-0.3017522493390802,37,0.46248432495477376,-0.16745730933246103,48.64864864864865,2701.091123151996,1.433423006738739,1.1612499120123985,-3.6248966090586294,-3.56947516936095,-5903.601305580007,3,9,3,12,1217.5488768479997,0.958230790804413,0.21531212278398365,-0.47171658585272475,-1.195732172981133,-9862.733213852005,14,14,1.050524312747597,0.05221952730775106
1000_S2_WORSTBAR,next_bar_open,0.0005,all,0.06736705095956284,61,1.1086835673648974,0.3363437255927923,54.09836065573771,14072.296550509198,2.7636323696073823,1.9902523501989613,-3.6312489041018465,-3.100218650530221,-3658.185005102954,3,14,4,16,1726.958449491,1.3208923501922623,0.9646552959054235,0.5088272342483792,0.015916110582891597,713.6710602041776,13,25,1.473719558451746,0.8508416231754561
1000_S2_WORSTBAR,next_bar_open,0.0005,recent2024,0.10229873206097624,37,0.8665353063548301,0.13249063575250986,51.35135135135135,8552.268698509155,2.056281027163672,1.6569323301664503,-3.6312489041018465,-3.378938302472925,-3658.1850051029514,3,9,3,12,1219.5963014909998,1.0607116828391958,0.619761846672094,-0.059004688552094064,-0.7641438443838723,-4777.62738889987,11,15,1.4675126249739918,0.481868430754519
1000_S2_WORSTBAR,next_bar_open,0.001,all,-0.03367324986452132,61,1.0076432665408133,0.23605749329585599,54.09836065573771,12278.03891501818,2.4953100475542502,1.8145760334389471,-3.7275695430386047,-3.1967991562469287,-4087.5032202059756,3,14,4,16,1726.4710849819999,1.3208923501922623,0.863759225550253,0.4083880147481409,-0.08402859975450862,-869.1760275918423,14,25,1.3722966616900705,0.7500412278735338
1000_S2_WORSTBAR,next_bar_open,0.001,recent2024,0.001511937639899943,37,0.7657485119337536,0.03240812830956364,51.35135135135135,7130.491011018138,1.8820569763246633,1.5193780901154643,-3.7275695430386047,-3.4755113286391515,-4087.5032202059765,3,9,3,12,1219.2389889820001,1.0607116828391958,0.5192224782104017,-0.15886188179495733,-0.8632900506256599,-5941.842101799888,12,15,1.3660958980376008,0.38143679919317397
1000_S2_WORSTBAR,next_bar_open,0.002,all,-0.23545140053038352,61,0.8058651158749511,0.03578520547632603,50.81967213114754,8689.523644036006,2.0485654725086806,1.5158150699996462,-3.9199224357655917,-3.3896710389730798,-4946.139650412005,4,14,4,16,1725.496355964,1.3208923501922623,0.6622691045851032,0.20781022690666498,-0.28361884917746494,-4034.8702031839994,17,24,1.169754463285744,0.5487421682824096
1000_S2_WORSTBAR,next_bar_open,0.002,recent2024,-0.19975993674773568,37,0.5644766375461183,-0.16745730933246103,48.64864864864865,4286.935636036013,1.583093248173966,1.2823125899816228,-3.9199224357655917,-3.6683682755001152,-4946.139650412005,3,9,3,12,1218.5243639639998,1.0607116828391958,0.31844471655390405,-0.3582773382219708,-1.06128565727061,-8316.785639183994,13,14,1.1635660457761259,0.18087418713061437
1000_S2_WORSTBAR,next_bar_close,0.0005,all,-0.04447606199562474,61,0.9968404544097097,0.34477078784974613,57.377049180327866,11894.634162391209,2.443303666815829,1.758736972355585,-3.0290959646803217,-2.9450524924357677,-4043.0174914619274,3,14,4,16,1725.7108376090002,1.208853426680933,0.8509481310676497,0.35629137090267965,-0.11733630320158117,-1315.3993342938284,17,26,1.3450574780920577,0.6758483887198626
1000_S2_WORSTBAR,next_bar_close,0.0005,recent2024,-0.041505651799573086,37,0.7227309224942807,0.02844450636948517,51.35135135135135,6654.36855929117,1.8120578441509096,1.4664680675104096,-3.0290959646803217,-3.024816859731037,-4043.0174914619274,3,9,3,12,1218.4464407090002,0.9166489898694836,0.47196289659319607,-0.20626575861848923,-0.8936921909546038,-6555.664937393869,14,15,1.289281099576604,0.29316469549523255
