gap,mode,event,start,end,sum_net,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
3,OPEN,3,2023-08-14,2023-08-14,2.735426656425199,1,2.735426656425199,2.735426656425199,100.0,585.8166232000025,,,2.735426656425199,2.735426656425199,0.0,0,1,1,1,32.4633768,2.9906542056074903,,,,,0,1,,
3,OPEN,4,2023-09-20,2023-09-22,-2.0687520932324133,2,-1.0343760466162066,-1.0343760466162066,0.0,-397.94409659999303,0.0,0.0,-1.103082892396901,-1.103082892396901,-397.94409659999303,2,1,1,1,39.7640966,-0.8317888447952448,-1.103082892396901,,,,1,0,,
3,OPEN,5,2023-10-25,2023-11-10,3.3701350667038033,13,0.2592411589772156,0.0515111926236818,53.84615384615385,508.3327621500205,1.8795139110777956,1.903803356937463,-1.4324280789310149,-1.4324280789310149,-232.83707569999535,3,2,1,1,229.90223785,0.479991751334306,0.09886843912703613,-0.43170737836737827,-1.0554277085326593,-507.1175862499846,2,4,0.8729199781688226,0.053188577235916835
3,OPEN,6,2024-01-09,2024-01-09,-1.0599706455899174,1,-1.0599706455899174,-1.0599706455899174,0.0,-139.9344305499984,0.0,0.0,-1.0599706455899174,-1.0599706455899174,-139.9344305499984,1,1,1,1,16.79943055,-0.83396512509476,,,,,1,0,,
3,OPEN,7,2024-01-18,2024-01-18,0.7217097884444075,1,0.7217097884444075,0.7217097884444075,100.0,99.03296065000036,,,0.7217097884444075,0.7217097884444075,0.0,0,1,1,1,17.19203935,0.9482129832239172,,,,,0,0,,
3,OPEN,8,2024-04-11,2024-04-11,2.384810615693555,1,2.384810615693555,2.384810615693555,100.0,507.14995275000217,,,2.384810615693555,2.384810615693555,0.0,0,1,1,1,21.32504725,2.5882352941176467,,,,,0,1,,
3,OPEN,9,2024-04-23,2024-04-23,1.8843228179427227,1,1.8843228179427227,1.8843228179427227,100.0,388.27415715000336,,,1.8843228179427227,1.8843228179427227,0.0,0,1,1,1,20.92084285,2.0883924235065576,,,,,0,1,,
3,OPEN,10,2024-07-31,2024-08-16,4.841222459882975,11,0.4401111327166341,0.8153765217454465,54.54545454545454,1081.4520904000262,1.755068021950855,1.8112205694226198,-2.158169389146864,-2.158169389146864,-734.7734253499889,2,2,1,1,230.7479096,0.6405074873483619,0.18525943161491523,-0.9327101664178499,-2.158169389146864,-1164.6968818999883,4,5,1.8754766633559201,0.8153765217454465
3,OPEN,11,2024-08-30,2024-08-30,-0.6883342967516977,1,-0.6883342967516977,-0.6883342967516977,0.0,-141.00830799999824,0.0,0.0,-0.6883342967516977,-0.6883342967516977,-141.00830799999824,1,1,1,1,20.588308,-0.488519785051289,,,,,0,0,,
3,OPEN,12,2024-12-10,2024-12-10,-0.3773504927917313,1,-0.3773504927917313,-0.3773504927917313,0.0,-83.60687519999898,0.0,0.0,-0.3773504927917313,-0.3773504927917313,-83.60687519999898,1,1,1,1,21.4868752,-0.1806684733513974,,,,,0,0,,
3,OPEN,13,2025-04-09,2025-04-09,9.383628273491086,1,9.383628273491086,9.383628273491086,100.0,1533.597182850002,,,9.383628273491086,9.383628273491086,0.0,0,1,1,1,19.28781715,9.614206981016537,,,,,0,1,,
3,OPEN,14,2025-04-17,2025-04-18,-0.47488102186641734,2,-0.23744051093320867,-0.23744051093320867,0.0,-83.1203625499981,0.0,0.0,-0.2656016287920884,-0.2656016287920884,-83.1203625499981,2,1,1,1,38.165362550000005,-0.0284738041002208,-0.2656016287920884,,,,0,0,,
3,OPEN,15,2025-11-25,2025-12-05,-3.935782919085716,8,-0.4919728648857145,-0.5059245951383775,25.0,-2330.806765868951,0.38343845921142067,0.38556685409548574,-2.4712443687321075,-2.4712443687321075,-2331.1766628629607,4,2,1,1,379.851765869,-0.31359450989382887,-0.8004551130043966,-1.752716528769812,,-3107.331589832984,3,1,0.7780719525001581,
3,OPEN,16,2026-07-03,2026-07-06,0.6022918888617694,2,0.3011459444308847,0.3011459444308847,50.0,399.53313080101464,1.7185206127836499,1.7490588781153922,-0.8382388454082146,-0.8382388454082146,-533.3801420339973,1,1,1,1,101.841869199,0.4809460463168769,-0.8382388454082146,,,,0,1,,
3,OPEN,17,2026-07-20,2026-07-30,2.822762589979311,7,0.40325179856847304,-0.791948501682267,42.857142857142854,1208.5027207650355,1.4207524378321381,1.2948387414835252,-3.084037157135793,-3.084037157135793,-3270.496705964984,3,1,1,1,327.65227923500004,0.5832349356810841,-0.5325612443036468,-2.27967703283608,,-2793.039747065989,3,3,3.971900972801183,
