gap,mode,window,variant,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5,ranking,removed_events
3,1000_S2_WORSTBAR,all,remove_both_events,46,1.2775031852922378,0.38534600494426674,56.52173913043478,10000.485872153095,3.4592199183620482,3.1299125597787922,-3.224159437007704,-2.777405548014207,-961.7403218999934,3,12,4,14,1016.1691278469999,1.5001128940896054,1.0904746033909298,0.49304311062754463,-0.056236482609540776,3649.591526903086,7,20,1.755084823935119,0.9280027442673963,cash,"17,15"
3,1000_S2_WORSTBAR,all,remove_best_event,54,0.9134299309494135,0.2914413468005073,53.70370370370371,10316.851009038179,2.2457058817841795,1.6694798936352908,-3.335336669416381,-3.2145110878532925,-4617.085730894949,3,14,4,16,1547.973990962,1.1173928363696417,0.7477627717059856,0.21027348950273586,-0.32506038120761144,-3011.8074802628485,13,21,1.3138911322705413,0.5763375044459602,sum_net,1
3,1000_S2_WORSTBAR,all,remove_worst_event,60,1.1124077822955518,0.38534600494426674,55.00000000000001,13104.577141688194,2.7039337878306235,1.8639317338121566,-3.335336669416381,-3.0752127361431207,-4617.085730894949,3,14,4,15,1705.652858312,1.324776748165257,0.9669606367268139,0.5040482118563426,0.00012847869646945398,-224.08134761283782,13,25,1.4741484064217707,0.8411269413512624,sum_net,11
3,1000_S2_WORSTBAR,all,remove_both_events,53,0.9914976548731327,0.3800977456945471,54.71698113207547,10977.334249638181,2.4447740169024508,1.7442379340972722,-3.335336669416381,-3.0752127361431207,-4617.085730894949,3,14,4,15,1527.650750362,1.1956233175712956,0.8241458911043258,0.28182417547170335,-0.2576394729331906,-2351.324239662849,12,21,1.393397315077923,0.6479361822815358,sum_net,"1,11"
3,OPEN,all,all_signals,61,0.47340314972002157,-0.2185907752017896,45.90163934426229,4443.762050097179,1.9149220652758,1.384230978024285,-3.084037157135793,-2.3144520839132072,-4045.735128670904,5,14,4,16,1720.312949903,0.6843291153880691,0.3248993976571705,0.000566711232467622,-0.22042248893606928,-3621.033555269847,15,21,0.7073342388769734,0.21107570731779177,,
3,OPEN,all,first_buyable_signal,17,1.3824578986618814,0.7217097884444075,52.94117647058824,4606.9925116750355,4.219712482341082,3.1048297477402613,-2.4712443687321075,-2.4712443687321075,-1436.3180850100002,3,12,4,17,440.677488325,1.5986887622811248,0.882384750235056,-0.13874785512653848,-1.0128661633287641,-608.49835140998,3,8,2.495388047014073,0.6825568607712037,,
3,OPEN,recent2024,all_signals,37,0.43525483941109044,-0.2286264384628145,43.24324324324324,2439.0654531971395,1.7019414394331187,1.2389728678360303,-3.084037157135793,-2.7776407629339506,-4045.735128670905,4,9,3,12,1215.8595468029998,0.6286570166013368,0.18668891068664614,-0.23287415662373612,-0.6049943068180329,-5420.353619104898,11,13,0.8386735719499857,0.1215241567492459,,
3,OPEN,recent2024,first_buyable_signal,12,1.298771342569658,1.0811202613571957,58.333333333333336,3270.790428975026,4.2427538533643165,2.8162302712337826,-2.4712443687321075,-2.4712443687321075,-1436.3180850100007,2,8,3,12,320.489571025,1.5016403754275114,0.5637843488495282,-0.3777055248893415,-1.7656075071610124,-1313.5605809599924,2,6,2.913062186825097,1.0811202613571957,,
3,OPEN,all,remove_best_event,60,0.3248993976571705,-0.2207230640188966,45.0,2910.1648672471774,1.6176227433570805,1.2516281206213198,-3.084037157135793,-2.5711503050049216,-4470.25073582088,6,14,4,15,1701.025132753,0.5354978176275945,0.20033388152548218,-0.04915801504376388,-0.26251739507364513,-4553.94682810486,15,20,0.5495834382476259,0.1605886883356436,cash,13
3,OPEN,all,remove_worst_event,53,0.6191202840001326,-0.209279393074329,49.056603773584904,6774.5688159661295,2.303180281683039,1.8716731308056163,-3.084037157135793,-2.2621879889735736,-3270.496705964984,5,12,4,15,1340.4611840339996,0.8349590965626951,0.450572053432999,0.08265664058549793,-0.16990148875939115,-1239.9053079928985,12,20,0.885576750133232,0.3177169233137675,cash,15
3,OPEN,all,remove_both_events,52,0.450572053432999,-0.21393508413805928,48.07692307692308,5240.971633116128,1.9305103165460913,1.6743475896406925,-3.084037157135793,-2.2621879889735736,-3270.496705964984,5,12,4,14,1321.1733668839997,0.6661274064770443,0.30893101821743457,0.026214725354865947,-0.21881159129991767,-2137.594155692899,12,19,0.7047671432532776,0.26015240585873345,cash,"13,15"
3,OPEN,all,remove_best_event,60,0.3248993976571705,-0.2207230640188966,45.0,2910.1648672471774,1.6176227433570805,1.2516281206213198,-3.084037157135793,-2.5711503050049216,-4470.25073582088,6,14,4,15,1701.025132753,0.5354978176275945,0.20033388152548218,-0.04915801504376388,-0.26251739507364513,-4553.94682810486,15,20,0.5495834382476259,0.1605886883356436,sum_net,13
3,OPEN,all,remove_worst_event,53,0.6191202840001326,-0.209279393074329,49.056603773584904,6774.5688159661295,2.303180281683039,1.8716731308056163,-3.084037157135793,-2.2621879889735736,-3270.496705964984,5,12,4,15,1340.4611840339996,0.8349590965626951,0.450572053432999,0.08265664058549793,-0.16990148875939115,-1239.9053079928985,12,20,0.885576750133232,0.3177169233137675,sum_net,15
3,OPEN,all,remove_both_events,52,0.450572053432999,-0.21393508413805928,48.07692307692308,5240.971633116128,1.9305103165460913,1.6743475896406925,-3.084037157135793,-2.2621879889735736,-3270.496705964984,5,12,4,14,1321.1733668839997,0.6661274064770443,0.30893101821743457,0.026214725354865947,-0.21881159129991767,-2137.594155692899,12,19,0.7047671432532776,0.26015240585873345,sum_net,"13,15"
5,1000_S0,all,all_signals,61,1.138858215530514,0.3800977456945471,55.73770491803278,14222.15580939618,2.9007915648166573,2.007990950109833,-4.552052626129442,-3.516213853669689,-3977.8185803669567,3,14,4,16,1727.0241906040003,1.3511244420342858,0.9962760296085044,0.543723854673698,0.05357466949905329,893.4973200951508,12,25,1.5401042790160413,0.9259612615541968,,
5,1000_S0,all,first_buyable_signal,15,1.599584190704551,0.3905942641939864,60.0,3884.7192164040357,3.901377885168396,2.8943964692236093,-3.4192229093350863,-3.4192229093350863,-856.3176215279941,2,12,4,15,395.57078359600007,1.8125699238600164,1.0217505906577595,-0.3459135344551249,-1.5875039853645467,-1127.233144695978,3,7,3.1931282787391,0.8956769164542969,,
5,1000_S0,recent2024,all_signals,37,0.9011407209179928,0.1324906357525098,54.054054054054056,8622.223729496134,2.1471834129830203,1.6639113008485173,-4.552052626129442,-3.985637767732264,-3977.8185803669576,2,9,3,12,1219.6062705040003,1.0953806777456656,0.6570264467390584,-0.014489327214580072,-0.7113848976134853,-4677.7053569088985,10,15,1.566177973484459,0.6041418520989031,,
5,1000_S0,recent2024,first_buyable_signal,11,1.796554072823084,0.1031903306287951,54.54545454545454,3047.6630714040266,3.9100501843785946,2.647179683722404,-3.4192229093350863,-3.4192229093350863,-856.3176215279941,2,8,3,11,301.146928596,1.9995065714792788,1.0072840209694292,-1.1146317375586965,-3.4192229093350863,-1791.777343795988,2,5,4.42551259283915,0.1031903306287951,,
5,1000_S0,all,remove_best_event,53,0.8600277461708147,0.2027849479064676,54.71698113207547,10657.075959946167,2.3505883295616,1.7784206066461148,-4.552052626129442,-3.711562315180963,-3977.8185803669576,3,13,4,15,1522.419040054,1.062519192115242,0.6902349222248761,0.20867870518733797,-0.27049409363883936,-2642.8531264588664,11,20,1.2991033130122946,0.6230713099192831,cash,1
5,1000_S0,all,remove_worst_event,60,1.2148262342782739,0.38534600494426674,56.666666666666664,14922.598660196178,3.200181371192042,2.112882182615619,-4.552052626129442,-3.5485441684478904,-3977.8185803669567,3,14,4,15,1706.7213398040005,1.4273803590904994,1.0711149946753449,0.6157774322011303,0.12303062107573613,1593.9401708951495,11,25,1.607841357615316,0.9881891876641626,cash,10
5,1000_S0,all,remove_both_events,52,0.9423210280074668,0.2914413468005073,55.769230769230774,11357.518810746165,2.6155785471188064,1.8743146124496386,-4.552052626129442,-3.5485441684478904,-3977.8185803669576,3,13,4,14,1502.1161892540003,1.144956687758584,0.7708125267652673,0.2858681012410066,-0.19552435993178585,-1942.4102756588695,10,20,1.37324242699009,0.6899405088207923,cash,"1,10"
5,1000_S0,all,remove_best_event,53,0.8600277461708147,0.2027849479064676,54.71698113207547,10657.075959946167,2.3505883295616,1.7784206066461148,-4.552052626129442,-3.711562315180963,-3977.8185803669576,3,13,4,15,1522.419040054,1.062519192115242,0.6902349222248761,0.20867870518733797,-0.27049409363883936,-2642.8531264588664,11,20,1.2991033130122946,0.6230713099192831,sum_net,1
5,1000_S0,all,remove_worst_event,60,1.2148262342782739,0.38534600494426674,56.666666666666664,14922.598660196178,3.200181371192042,2.112882182615619,-4.552052626129442,-3.5485441684478904,-3977.8185803669567,3,14,4,15,1706.7213398040005,1.4273803590904994,1.0711149946753449,0.6157774322011303,0.12303062107573613,1593.9401708951495,11,25,1.607841357615316,0.9881891876641626,sum_net,10
5,1000_S0,all,remove_both_events,52,0.9423210280074668,0.2914413468005073,55.769230769230774,11357.518810746165,2.6155785471188064,1.8743146124496386,-4.552052626129442,-3.5485441684478904,-3977.8185803669576,3,13,4,14,1502.1161892540003,1.144956687758584,0.7708125267652673,0.2858681012410066,-0.19552435993178585,-1942.4102756588695,10,20,1.37324242699009,0.6899405088207923,sum_net,"1,10"
5,1000_S2,all,all_signals,61,1.1144505961993554,0.3800977456945471,54.09836065573771,14192.149562025188,2.792108962768823,2.0078963954807514,-3.084037157135793,-2.491569929226187,-3698.139202010956,3,14,4,16,1727.045437975,1.3266713228807487,0.9714616166218261,0.5171369836165428,0.024381242455902452,863.4910727241559,14,25,1.4309500201608842,0.8061056047720636,,
5,1000_S2,all,first_buyable_signal,15,1.4280255969823854,0.3905942641939864,53.333333333333336,2516.300152212031,2.9944546060415855,1.7487646640881667,-2.4712443687321075,-2.4712443687321075,-2256.1920565379933,3,12,4,15,394.6748477880001,1.6406928762887774,0.8379378116697248,-0.6032514250383733,-1.9998184452430579,-2495.6522088879815,4,7,3.1419476180951067,0.7933155951663118,,
5,1000_S2,recent2024,all_signals,37,0.8808243354788478,0.1324906357525098,51.35135135135135,8692.116507625142,2.0968459575568517,1.6759734775835629,-3.084037157135793,-2.7776407629339506,-3698.139202010955,3,9,3,12,1219.6784923750001,1.0750269525796465,0.6361457172599372,-0.037980147878591386,-0.7392258702523136,-4607.8125787798945,12,15,1.3966523691060324,0.40322261728002756,,
5,1000_S2,recent2024,first_buyable_signal,11,1.629624946652161,-0.3322621595516016,45.45454545454545,1779.1430327120215,3.1029858837516233,1.5813627926791858,-2.4712443687321075,-2.4712443687321075,-2256.1920565379933,3,8,3,11,300.301967288,1.8322699099933197,0.8236619821814145,-1.4206684688720543,-2.4712443687321075,-3060.297382487993,3,5,4.352937177809084,-0.3322621595516016,,
5,1000_S2,all,remove_best_event,54,1.1074543055818415,0.2914413468005073,53.70370370370371,9657.459948669142,2.85095646852956,1.9044819166914169,-2.4712443687321075,-2.2940808532563177,-3698.139202010956,3,14,4,15,1397.245051331,1.3236761730818485,0.9454479835956291,0.4275840122054925,-0.09014420261684833,210.5151845551236,12,22,1.449731236557245,0.7314980610898796,cash,15
5,1000_S2,all,remove_worst_event,53,1.3060956148626517,0.3905942641939864,56.60377358490566,14974.731197709138,3.5410716367366506,2.9550986249101987,-3.084037157135793,-2.4983451160575463,-2331.573078626985,3,12,4,15,1346.1938022909999,1.5233334989093235,1.1447938118628742,0.6296299153740417,0.1018409625118547,4009.8823413181126,9,23,1.6889616347085379,0.9783564375870525,cash,13
5,1000_S2,all,remove_both_events,46,1.3270459504560719,0.38534600494426674,56.52173913043478,10440.041584353094,3.823909376738032,3.453189735637435,-2.2159598483456966,-2.1988110783269827,-891.8110040499923,3,12,4,14,1016.393415647,1.549744306367136,1.1411183188917382,0.548627676421115,0.007068161766469923,4089.1472391030843,7,20,1.755252117836089,0.9281932734323901,cash,"15,13"
5,1000_S2,all,remove_best_event,53,0.8319359578840092,0.2027849479064676,52.83018867924528,10627.069712575172,2.25494755186064,1.7778451409068359,-3.084037157135793,-2.5904137914045324,-3698.139202010955,3,13,4,15,1522.440287425,1.0343750361083413,0.6616029072402474,0.1776606889539902,-0.3051188559458323,-2672.8593738298614,13,20,1.1717566776812778,0.4809169262939621,sum_net,1
5,1000_S2,all,remove_worst_event,60,1.1696087451808634,0.38534600494426674,55.00000000000001,14481.932530825183,2.963597496082926,2.050086713719782,-3.084037157135793,-2.5904137914045324,-3698.139202010956,3,14,4,15,1710.322469175,1.38163568319007,1.0251311074576392,0.5664492622766826,0.06876963415884348,1153.2740415241547,13,25,1.4963603930033096,0.8655601265909553,sum_net,5
