signal_date,date,purpose,window,has_true_1m
2025-11-27,2025-11-27,buy,14:50-15:00 closing auction,False
2025-11-27,2025-11-28,sell,09:15-10:10 auction and continuous trading,False
2025-11-28,2025-11-28,buy,14:50-15:00 closing auction,False
2025-11-28,2025-12-01,sell,09:15-10:10 auction and continuous trading,False
2025-12-02,2025-12-02,buy,14:50-15:00 closing auction,False
2025-12-02,2025-12-03,sell,09:15-10:10 auction and continuous trading,False
2025-12-03,2025-12-03,buy,14:50-15:00 closing auction,False
2025-12-03,2025-12-04,sell,09:15-10:10 auction and continuous trading,False
2025-12-04,2025-12-04,buy,14:50-15:00 closing auction,False
2025-12-04,2025-12-05,sell,09:15-10:10 auction and continuous trading,False
2025-12-05,2025-12-05,buy,14:50-15:00 closing auction,False
2025-12-05,2025-12-08,sell,09:15-10:10 auction and continuous trading,False
2026-07-03,2026-07-03,buy,14:50-15:00 closing auction,False
2026-07-03,2026-07-06,sell,09:15-10:10 auction and continuous trading,False
2026-07-06,2026-07-06,buy,14:50-15:00 closing auction,False
2026-07-06,2026-07-07,sell,09:15-10:10 auction and continuous trading,False
2026-07-20,2026-07-20,buy,14:50-15:00 closing auction,False
2026-07-20,2026-07-21,sell,09:15-10:10 auction and continuous trading,False
2026-07-21,2026-07-21,buy,14:50-15:00 closing auction,False
2026-07-21,2026-07-22,sell,09:15-10:10 auction and continuous trading,False
2026-07-22,2026-07-22,buy,14:50-15:00 closing auction,False
2026-07-22,2026-07-23,sell,09:15-10:10 auction and continuous trading,False
2026-07-23,2026-07-23,buy,14:50-15:00 closing auction,False
2026-07-23,2026-07-24,sell,09:15-10:10 auction and continuous trading,False
2026-07-24,2026-07-24,buy,14:50-15:00 closing auction,False
2026-07-24,2026-07-27,sell,09:15-10:10 auction and continuous trading,False
2026-07-29,2026-07-29,buy,14:50-15:00 closing auction,False
2026-07-29,2026-07-30,sell,09:15-10:10 auction and continuous trading,False
2026-07-30,2026-07-30,buy,14:50-15:00 closing auction,False
2026-07-30,2026-07-31,sell,09:15-10:10 auction and continuous trading,False
