gap,mode,removed_event,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
3,1000_S0,16,59,1.1729160281567084,0.3800977456945471,55.932203389830505,14062.347860043174,2.9448295085662797,2.04288307702422,-4.552052626129442,-3.711562315180963,-3892.3354575449684,3,14,4,15,1625.3371399570003,1.386292948798656,1.0260044187999087,0.558893155103917,0.05028576853747241,733.6893707421473,12,24,1.5921765581256062,0.9582799765948667
3,1000_S0,17,54,1.1813088153804818,0.2914413468005073,55.55555555555556,11135.805833955148,3.2442511713595192,2.202902497930159,-3.4192229093350863,-3.0200081471097158,-3977.8185803669567,3,14,4,15,1398.1591660450001,1.3976650477494108,1.0206959747112252,0.508974696473382,0.0004954230451194535,1688.861069841128,10,22,1.5733967057764249,0.8692164245385116
3,1000_S2,1,54,0.9960443544204369,0.2914413468005073,53.70370370370371,12064.906669975175,2.530848624780939,1.883087180432221,-3.084037157135793,-2.5904137914045324,-3698.139202010955,3,14,4,16,1549.043330025,1.2001552155016464,0.8319359578840092,0.30131795618508805,-0.22366995240226464,-1263.7518193258552,13,21,1.3456757122357639,0.61173396849814
3,1000_S2,2,60,0.9714616166218263,0.2914413468005073,53.333333333333336,12754.312604625185,2.5365639939428433,1.9057842608587938,-3.084037157135793,-2.5904137914045324,-3698.139202010955,3,14,4,16,1700.442395375,1.1823407662063141,0.8237024136601685,0.41314189634997467,-0.06240540501391273,-545.6164817798508,14,24,1.280716577421062,0.6974903812019491
3,1000_S2,3,60,1.0874343285289245,0.2914413468005073,53.333333333333336,13606.332938825184,2.719998409000874,1.9662929399678621,-3.084037157135793,-2.5904137914045324,-3698.139202010956,3,13,4,15,1694.582061175,1.2989382748353033,0.941563904082786,0.4768044441109308,-0.029839665823483498,277.6744495241537,14,24,1.4072322631378964,0.7675191837390009
3,1000_S2,4,59,1.1566681262726437,0.3800977456945471,54.23728813559322,14250.43697192518,2.8305017922291213,2.021481943980772,-3.084037157135793,-2.5904137914045324,-3698.139202010956,3,13,4,15,1687.1080280750002,1.3691606554399272,1.0094763806764633,0.5411408178602165,0.030721968309720835,921.77848262415,14,25,1.4887987816839778,0.844353447455113
3,1000_S2,5,48,1.2281848872401135,0.38534600494426674,54.166666666666664,12784.72557037516,2.7776045670824336,1.9535398670261697,-3.084037157135793,-2.58343995618635,-3698.139202010957,3,12,4,15,1496.6844296250001,1.4378791095376664,1.048065642907965,0.48063598272859714,-0.13620334980564658,-543.9329189258692,13,21,1.6524476740977,0.8623611225264564
3,1000_S2,6,60,1.1696087451808634,0.38534600494426674,55.00000000000001,14481.932530825183,2.963597496082926,2.050086713719782,-3.084037157135793,-2.5904137914045324,-3698.139202010956,3,14,4,15,1710.322469175,1.38163568319007,1.0251311074576392,0.5664492622766826,0.06876963415884348,1153.2740415241547,13,25,1.4963603930033096,0.8655601265909553
3,1000_S2,7,60,1.0615412036567808,0.2914413468005073,53.333333333333336,13603.611376425182,2.679043169299736,1.9660996603719103,-3.084037157135793,-2.5904137914045324,-3698.139202010956,3,14,4,15,1709.603623575,1.273411736005834,0.9152319126873855,0.4485573987958649,-0.06091141567005602,274.9528871241546,14,24,1.3789852178228306,0.7364474338924283
3,1000_S2,8,60,1.0290769930813815,0.2914413468005073,53.333333333333336,12865.827600175184,2.6276944220014107,1.9137038195955225,-3.084037157135793,-2.5904137914045324,-3698.139202010955,3,14,4,15,1705.302399825,1.241331531203271,0.8822174612547758,0.41314189634997467,-0.06240540501391273,-462.8308891258471,14,24,1.3435697153769404,0.6974903812019491
3,1000_S2,9,60,1.0579858390476267,0.2914413468005073,53.333333333333336,13264.420667175182,2.673419637550986,1.9420110547847484,-3.084037157135793,-2.5904137914045324,-3698.1392020109542,3,14,4,15,1705.849332825,1.2702654321070033,0.9116162876611271,0.4446788192222423,-0.06240540501391273,-64.23782212584729,14,24,1.375106638249208,0.7321809963614434
3,1000_S2,10,50,1.2443602252909254,0.296689606050227,52.0,12960.848933375153,3.0333055496549166,2.0327294121836554,-3.084037157135793,-2.5904137914045324,-3698.139202010956,3,13,4,15,1496.221066625,1.459148958965704,1.0719228957896973,0.5154710217535998,-0.11300079345908443,-367.80955592587634,11,20,1.65190225157018,0.8828446508755958
3,1000_S2,11,60,1.1688799451227958,0.38534600494426674,55.00000000000001,14632.854946525185,2.9599758298317247,2.0727698696762964,-3.084037157135793,-2.5904137914045324,-3698.139202010956,3,14,4,15,1706.610053475,1.381350497265514,1.0243899548562148,0.5656542076678815,0.06789507408916239,1304.1964572241563,13,25,1.4960820266948471,0.8652539236516467
3,1000_S2,12,60,1.138562475461871,0.38534600494426674,55.00000000000001,14265.766534675186,2.8167811553316637,2.018449092453031,-3.084037157135793,-2.5904137914045324,-3698.1392020109542,3,13,4,15,1705.553465325,1.3510408675123207,0.993558629777308,0.5325806044014181,0.03151411049605253,937.1080453741556,14,25,1.4630084234283838,0.828872960058537
3,1000_S2,13,60,0.9715371962800173,0.2914413468005073,53.333333333333336,12608.602866425183,2.5366835385336577,1.8954362639414566,-3.084037157135793,-2.5904137914045324,-3698.139202010955,5,14,4,15,1707.732133575,1.1834426463167995,0.8237024136601685,0.41314189634997467,-0.06240540501391273,-545.6164817798508,14,24,1.2807990279572705,0.6974903812019491
3,1000_S2,14,59,1.1593050830440523,0.3905942641939864,55.932203389830505,14265.280022025181,2.823181962546447,2.0183789887326027,-3.084037157135793,-2.5904137914045324,-3698.139202010956,3,14,4,15,1688.874977975,1.3716343566026832,1.0121588022197932,0.5440219372956447,0.03389707952427446,936.6215327241503,14,25,1.491679901119406,0.8475285586696666
3,1000_S2,15,53,1.3060956148626517,0.3905942641939864,56.60377358490566,14974.731197709138,3.5410716367366506,2.9550986249101987,-3.084037157135793,-2.4983451160575463,-2331.573078626985,3,12,4,15,1346.1938022909999,1.5233334989093235,1.1447938118628742,0.6296299153740417,0.1018409625118547,4009.8823413181126,9,23,1.6889616347085379,0.9783564375870525
3,1000_S2,16,59,1.1476810318990696,0.3800977456945471,54.23728813559322,14032.341612672182,2.831657660379795,2.042857896091877,-3.084037157135793,-2.5904137914045324,-3612.656079188968,3,14,4,15,1625.3583873280002,1.3610109103517791,1.0003343363998967,0.531321585118719,0.0199007730435807,703.6831233711532,14,24,1.4789795489424802,0.8335322521889728
3,1000_S2,17,54,1.1074543055818415,0.2914413468005073,53.70370370370371,9657.459948669142,2.85095646852956,1.9044819166914169,-2.4712443687321075,-2.2940808532563177,-3698.139202010956,3,14,4,15,1397.245051331,1.3236761730818485,0.9454479835956291,0.4275840122054925,-0.09014420261684833,210.5151845551236,12,22,1.449731236557245,0.7314980610898796
3,1000_S2_WORSTBAR,1,54,0.9134299309494135,0.2914413468005073,53.70370370370371,10316.851009038179,2.2457058817841795,1.6694798936352908,-3.335336669416381,-3.2145110878532925,-4617.085730894949,3,14,4,16,1547.973990962,1.1173928363696417,0.7477627717059856,0.21027348950273586,-0.32506038120761144,-3011.8074802628485,13,21,1.3138911322705413,0.5763375044459602
3,1000_S2_WORSTBAR,2,60,0.8971086354979053,0.2914413468005073,53.333333333333336,11006.256943688193,2.2696439845226775,1.6953215963448343,-3.335336669416381,-3.2145110878532925,-4617.085730894949,3,14,4,16,1699.3730563120002,1.10785462498751,0.7480892125171981,0.3320295533056973,-0.15162898236261788,-2293.6721427168436,14,24,1.2523994061793182,0.666341492836031
3,1000_S2_WORSTBAR,3,60,1.0130813474050033,0.2914413468005073,53.333333333333336,11858.277277888188,2.433775785527922,1.749148082672136,-3.335336669416381,-3.2145110878532925,-4617.08573089495,3,13,4,15,1693.5127221120001,1.224452133616499,0.8659507029398155,0.3956921010666534,-0.11906324317218861,-1470.381211412839,14,24,1.3789150918961528,0.7363702953730829
3,1000_S2_WORSTBAR,4,59,1.0810549251296728,0.3800977456945471,54.23728813559322,12502.381310988185,2.5279949407573246,1.7963907154147822,-3.335336669416381,-3.2145110878532925,-4617.085730894949,3,13,4,15,1686.038689012,1.293412037251313,0.9325595036517174,0.45852639438919324,-0.06032249837263134,-826.2771783128428,14,25,1.4599572183822018,0.8125688674898905
3,1000_S2_WORSTBAR,5,48,1.138315154660014,0.38534600494426674,54.166666666666664,11056.649714538169,2.457899852185061,1.7305002939807816,-3.335336669416381,-3.2145110878532925,-4617.085730894949,3,12,4,15,1495.6252854620002,1.3478487348359238,0.9562837883580763,0.3803162812438349,-0.2497230120120881,-2272.008774762861,13,21,1.6208041077597408,0.8265539290387656
3,1000_S2_WORSTBAR,6,60,1.1003005093773923,0.38534600494426674,55.00000000000001,12773.836480088194,2.654701421448787,1.8241570951805082,-3.335336669416381,-3.2145110878532925,-4617.085730894949,3,14,4,15,1709.273519912,1.3122038760627497,0.9546481557930924,0.4908402777638051,-0.014400248805321798,-554.8220092128377,13,25,1.4740632685933044,0.8410332897399496
3,1000_S2_WORSTBAR,7,60,0.9871882225328598,0.2914413468005073,53.333333333333336,11855.55571548819,2.397130223403592,1.7489761476426158,-3.335336669416381,-3.2145110878532925,-4617.08573089495,3,14,4,15,1708.534284512,1.19892559478703,0.8396187115444151,0.3674450557515875,-0.15013499301876115,-1473.1027738128373,14,24,1.3506680465810867,0.7052985455265102
3,1000_S2_WORSTBAR,8,60,0.9547240119574603,0.2914413468005073,53.333333333333336,11117.771939238191,2.3511848517525245,1.7023665695013692,-3.335336669416381,-3.2145110878532925,-4617.085730894949,3,14,4,15,1704.2330607620002,1.1668453899844669,0.8066042601118055,0.3320295533056973,-0.15162898236261788,-2210.88655006284,14,24,1.3152525441351965,0.666341492836031
3,1000_S2_WORSTBAR,9,60,0.9836328579237057,0.2914413468005073,53.333333333333336,11516.36500623819,2.3920984500930027,1.7275477340931482,-3.335336669416381,-3.2145110878532925,-4617.085730894949,3,14,4,15,1704.779993762,1.1957792908881992,0.8360030865181568,0.36356647617796484,-0.15162898236261788,-1812.2934830628396,14,24,1.346789467007464,0.7010321079955253
3,1000_S2_WORSTBAR,10,50,1.170256681480586,0.296689606050227,52.0,11372.63171323816,2.705683922031738,1.8043841517706851,-3.335336669416381,-3.2145110878532925,-4617.085730894949,3,13,4,15,1495.2332867620003,1.3849122075975382,0.9963070347587392,0.4331337508532231,-0.20563022322200833,-1956.0267760628717,11,20,1.6324523284752113,0.860963487393756
3,1000_S2_WORSTBAR,11,60,1.1124077822955518,0.38534600494426674,55.00000000000001,13104.577141688194,2.7039337878306235,1.8639317338121566,-3.335336669416381,-3.0752127361431207,-4617.085730894949,3,14,4,15,1705.652858312,1.324776748165257,0.9669606367268139,0.5040482118563426,0.00012847869646945398,-224.08134761283782,13,25,1.4741484064217707,0.8411269413512624
3,1000_S2_WORSTBAR,12,60,1.0642094943379499,0.38534600494426674,55.00000000000001,12517.710873738193,2.5180328024970176,1.794502922045654,-3.335336669416381,-3.2145110878532925,-4617.085730894949,3,13,4,15,1704.484126262,1.2765547262935162,0.9179454286343376,0.45146826135714074,-0.0577094668526526,-810.9476155628363,14,25,1.43469125218664,0.7977240716926187
3,1000_S2_WORSTBAR,13,60,0.8971842151560961,0.2914413468005073,53.333333333333336,10860.547205488187,2.2697509495596613,1.6861163662392153,-3.335336669416381,-3.2145110878532925,-4617.085730894949,5,14,4,15,1706.6627945120001,1.1089565050979955,0.7480892125171981,0.3320295533056973,-0.15162898236261788,-2293.6721427168436,14,24,1.2524818567155267,0.666341492836031
3,1000_S2_WORSTBAR,14,59,1.0836918819010821,0.3905942641939864,55.932203389830505,12517.224361088185,2.5231466367061546,1.7944475111105904,-3.335336669416381,-3.2145110878532925,-4617.085730894949,3,14,4,15,1687.8056389120002,1.2958857384140685,0.9352419251950471,0.4614075138246215,-0.05714738715807771,-811.4341282128416,14,25,1.46283833781763,0.815743978704444
3,1000_S2_WORSTBAR,15,53,1.2503770591972285,0.3905942641939864,56.60377358490566,14145.622065656138,3.1947506899858804,2.6664588247167123,-3.224159437007704,-3.038153658673562,-2721.1264984799855,3,12,4,15,1345.717934344,1.4675152038132648,1.088003745511577,0.5681073434934697,0.033164603203309405,3180.7732092651127,9,23,1.6769271316772645,0.9649225737381895
