date,code,open,high,low,close,preclose,volume,amount,adjustflag,tradestatus,pctChg,signal_close,chain_return_error_pct,action_ratio,stage,stage_v3,ordinal,vr,r3,r5,clv,upper,bias20,decelerate,gap,rt_cash,rt_pct,pt_cash,pt_pct,extra_cash_needed,exit_date,next_open,next_close,dividend_today,dividend,exit0935close,exit0935open,cash,net,fee,gross,price_only,event,calendar_days,model_exit,reason,delayed,exit_clock,actual_exit,entry,exit_model
2026-07-30,sh.601138,57.0,57.38,53.22,53.8,57.75,152598379,8348593164.95,3,1,-6.8398,465.336796232759,2.6839826845481696e-05,1.0,D,D,1975,0.8248157908654508,-4.149377593361015,-4.875638280349214,0.640625,0.2562500000000004,-7.565244531944026,False,3,3100.004162640013,5.438603794105286,-3298.397102639994,-5.786661583578937,0.0,2026-07-31,57.14,56.7,0.0,0.0,56.86,56.85,3449.60338558501,6.407766165561756,44.821614415000006,6.598513011152418,6.208178438661727,17,1.0,57.35,deadline,False,10:00,2026-07-31,C,1000_S2_WORSTBAR
2023-05-08,sh.601138,14.73,14.78,14.35,14.68,14.77,151113962,2202460780.0,3,1,-0.6093,117.57310971751718,4.326337169779926e-05,1.0,R,R,1191,1.0254963867994211,-8.260869565217387,-20.162162162162144,0.3444444444444435,0.0333333333333326,-16.02706236852577,False,3,10.27826525000189,0.06977776816023,-89.67176024999992,-0.6087695875763742,0.0,2023-05-09,14.68,14.7,0.0,0.0,14.78,14.76,-39.64625999999666,-0.2698403635927298,24.96626,0.0,0.0,1,1.0,14.68,opening_exit,False,09:30,2023-05-09,C,OPEN
2023-05-10,sh.601138,14.7,15.04,14.37,14.6,14.7,102661904,1502842987.76,3,1,-0.6803,116.93238432396124,2.789115646184559e-05,1.0,R,R,1193,0.9859863012409888,-4.421326397919378,-8.695652173913048,0.3614457831325288,0.6385542168674712,-14.720812182741115,False,3,60.36435050000036,0.4106418401360569,-139.5357004999978,-0.9492224523809374,0.0,2023-05-11,14.51,14.46,0.0,0.0,14.58,14.56,-129.34884544999846,-0.8851963921974808,24.793845450000003,-0.6164383561643838,-0.6164383561643838,1,1.0,14.51,opening_exit,False,09:30,2023-05-11,C,OPEN
2023-05-11,sh.601138,14.51,14.8,14.35,14.46,14.6,109398210,1590025501.13,3,1,-0.9589,115.81111488523833,4.109589031631167e-06,1.0,R,R,1194,0.527229410058811,-1.1509817197021044,-9.429280397022332,0.3432835820895529,0.507462686567164,-14.36447885506481,True,3,10.722555249999417,0.0738976929703612,-89.22747024999876,-0.6149377687801432,0.0,2023-05-12,14.34,14.36,0.0,0.0,14.41,14.41,-159.02083059999964,-1.0987887903729037,24.6208306,-0.8298755186722073,-0.8298755186722073,1,1.0,14.34,opening_exit,False,09:30,2023-05-12,C,OPEN
2023-05-12,sh.601138,14.34,14.79,14.22,14.36,14.46,80167627,1160032070.34,3,1,-0.6916,115.01020814329335,3.706777315870546e-05,1.0,R,R,1195,0.5693850689596507,-1.4986376021798309,-5.981794538361507,0.2444444444444465,0.6444444444444449,-14.430274876468308,True,3,-58.96983009999855,-0.411226151324955,-18.989819899998544,-0.132425522315192,58.96983009999855,2023-05-15,14.62,15.12,0.0,0.0,14.83,14.84,220.60751130000205,1.5349467235618763,24.9024887,1.810584958217265,1.810584958217265,1,3.0,14.62,opening_exit,False,09:30,2023-05-15,C,OPEN
2023-05-15,sh.601138,14.62,15.38,14.16,15.12,14.36,232318960,3437969743.98,3,1,5.2925,121.09709938207492,2.0891364894026765e-05,1.0,R,R,1196,0.4275219205901354,-2.3129251700680364,-2.775897088693302,0.2456140350877178,0.7543859649122822,-14.26353812167891,False,3,-539.780092499999,-3.692066296169624,459.720162500001,3.1444607558139603,539.780092499999,2023-05-16,15.09,14.78,0.0,0.0,15.3,15.28,-70.48955514999956,-0.4658091591535021,25.38455515,-0.1984126984126977,-0.1984126984126977,1,1.0,15.09,opening_exit,False,09:30,2023-05-16,C,OPEN
2023-05-16,sh.601138,15.09,15.46,14.51,14.78,15.12,166670928,2488224299.86,3,1,-2.2487,118.37401645946213,2.2751322755532044e-05,1.0,R,R,1197,1.2226172126519073,3.561643835616435,2.9972752043596618,0.7868852459016382,0.2131147540983618,-8.827785817655565,False,3,269.68384655000415,1.7871692945659654,-350.0063115499977,-2.31945865838302,0.0,2023-05-17,14.85,15.55,0.0,0.0,15.06,15.08,30.046125350001308,0.2031167714839168,25.13887465,0.4736129905277497,0.4736129905277497,1,1.0,14.85,opening_exit,False,09:30,2023-05-17,C,OPEN
2023-05-17,sh.601138,14.85,15.85,14.82,15.55,14.78,214696710,3314842387.56,3,1,5.2097,124.5409983724382,4.28958051585937e-05,1.0,R,R,1198,0.8762142197971048,2.2130013831258566,0.5442176870748217,0.2842105263157887,0.3894736842105269,-10.09732360097322,True,3,-740.3465784999989,-4.985498845117839,658.953778500003,4.4373991818182015,740.3465784999989,2023-05-18,15.91,16.35,0.0,0.0,15.85,15.85,318.0533568000004,2.0436598056584194,26.2166432,2.3151125401929207,2.3151125401929207,1,1.0,15.91,opening_exit,False,09:30,2023-05-18,C,OPEN
2023-05-24,sh.601138,15.14,15.29,14.53,14.82,15.23,122492233,1820114878.28,3,1,-2.6921,118.69437915624016,4.484569927898363e-05,1.0,R,R,1203,0.5293296440646708,-6.85015290519877,3.04465493910695,0.1666666666666666,0.5208333333333329,-3.6197949626629033,False,3,279.5879716000023,1.8466840924702923,-360.09219159999776,-2.378416060766168,0.0,2023-05-25,16.0,16.3,0.0,0.0,16.3,16.3,1138.2898059,7.674264849426783,26.3001941,7.962213225371117,7.962213225371117,2,1.0,16.0,opening_exit,False,09:30,2023-05-25,C,OPEN
2023-08-14,sh.601138,21.09,21.61,20.7,21.4,21.5,129339573,2737037106.41,3,1,-0.4651,175.65372300789005,1.6279069777136446e-05,1.0,R,R,1259,0.8678137038455702,-11.083540115798174,-9.549852755574229,0.1463414634146353,0.5853658536585369,-6.849207096427657,False,3,-362.749356549999,-1.7200064321953483,256.9408015499974,1.2183063136557486,362.749356549999,2023-08-15,22.04,21.39,0.0,0.0,21.86,21.86,585.8166232000025,2.735426656425199,32.4633768,2.9906542056074903,2.9906542056074903,3,1.0,22.04,opening_exit,False,09:30,2023-08-15,C,OPEN
2023-09-20,sh.601138,18.49,18.98,18.18,18.4,18.48,104732424,1951207190.43,3,1,-0.4329,151.02936931519514,4.3290044043908793e-07,1.0,D,D,1286,0.9181439963083826,-0.5917159763313751,-4.149377593361003,0.4022988505747138,0.5977011494252862,-8.109989557953368,False,3,51.94572295000029,0.2809395508382925,-128.0093004499997,-0.6923163896700903,0.0,2023-09-21,18.26,18.31,0.0,0.0,18.46,18.45,-177.8220356999981,-0.9656692008355124,19.4920357,-0.7608695652173703,-0.7608695652173703,4,1.0,18.26,opening_exit,False,09:30,2023-09-21,C,OPEN
2023-09-22,sh.601138,18.3,20.1,18.24,19.94,18.31,212826070,4131079561.15,3,1,8.9022,163.6698708774452,3.921354451463799e-05,1.0,D,D,1288,0.6718010658608696,0.0546448087431539,-1.5061861215707628,0.1698113207547163,0.8301886792452836,-7.32867699159836,True,3,-1678.647833199999,-9.172938979234967,1600.5325932000046,8.74607974426232,1678.647833199999,2023-09-25,19.76,19.29,0.0,0.0,19.76,19.76,-220.1220608999949,-1.103082892396901,20.2720609,-0.9027081243731194,-0.9027081243731194,4,3.0,19.76,opening_exit,False,09:30,2023-09-25,C,OPEN
