date,cash,shares,open_equity,equity
2021-12-14,11868.460562200326,0,11868.460562200326,11868.460562200326
2021-12-15,11868.460562200326,0,11868.460562200326,11868.460562200326
2021-12-16,11868.460562200326,0,11868.460562200326,11868.460562200326
2021-12-17,11868.460562200326,0,11868.460562200326,11868.460562200326
2021-12-20,11868.460562200326,0,11868.460562200326,11868.460562200326
2021-12-21,11868.460562200326,0,11868.460562200326,11868.460562200326
2021-12-22,11868.460562200326,0,11868.460562200326,11868.460562200326
2021-12-23,11868.460562200326,0,11868.460562200326,11868.460562200326
2021-12-24,11868.460562200326,0,11868.460562200326,11868.460562200326
2021-12-27,11868.460562200326,0,11868.460562200326,11868.460562200326
2021-12-28,11868.460562200326,0,11868.460562200326,11868.460562200326
2021-12-29,11868.460562200326,0,11868.460562200326,11868.460562200326
2021-12-30,11868.460562200326,0,11868.460562200326,11868.460562200326
2021-12-31,11868.460562200326,0,11868.460562200326,11868.460562200326
2022-01-04,11868.460562200326,0,11868.460562200326,11868.460562200326
2022-01-05,11868.460562200326,0,11868.460562200326,11868.460562200326
2022-01-06,11868.460562200326,0,11868.460562200326,11868.460562200326
2022-01-07,27.308843900325883,1000,11868.460562200326,11857.308843900326
2022-01-10,11814.363667000327,0,11814.363667000327,11814.363667000327
2022-01-11,11814.363667000327,0,11814.363667000327,11814.363667000327
2022-01-12,11814.363667000327,0,11814.363667000327,11814.363667000327
2022-01-13,253.35755150032674,1000,11814.363667000327,11803.357551500327
2022-01-14,11700.929001200328,0,11700.929001200328,11700.929001200328
2022-01-17,269.99048700032836,1000,11700.929001200328,11689.990487000328
2022-01-18,11697.59232650033,0,11697.59232650033,11697.59232650033
2022-01-19,11697.59232650033,0,11697.59232650033,11697.59232650033
2022-01-20,11697.59232650033,0,11697.59232650033,11697.59232650033
2022-01-21,76.5550104003305,1000,11697.59232650033,11686.55501040033
2022-01-24,103.02998600033243,1000,11604.00490090033,11593.029986000332
2022-01-25,319.5833685003345,1000,11640.464681600333,11629.583368500334
2022-01-26,11607.397936600335,0,11607.397936600335,11607.397936600335
2022-01-27,466.6102253003355,1000,11607.397936600335,11596.610225300336
2022-01-28,463.9057956003344,1000,11584.683106700335,11573.905795600334
2022-02-07,11641.887507600335,0,11641.887507600335,11641.887507600335
2022-02-08,11641.887507600335,0,11641.887507600335,11641.887507600335
2022-02-09,11641.887507600335,0,11641.887507600335,11641.887507600335
2022-02-10,220.95419350033444,1000,11641.887507600335,11630.954193500334
2022-02-11,267.7250993003345,1000,11608.616812600334,11597.725099300334
2022-02-14,11515.600447000334,0,11515.600447000334,11515.600447000334
2022-02-15,11515.600447000334,0,11515.600447000334,11515.600447000334
2022-02-16,11515.600447000334,0,11515.600447000334,11515.600447000334
2022-02-17,11515.600447000334,0,11515.600447000334,11515.600447000334
2022-02-18,11515.600447000334,0,11515.600447000334,11515.600447000334
2022-02-21,11515.600447000334,0,11515.600447000334,11515.600447000334
2022-02-22,11515.600447000334,0,11515.600447000334,11515.600447000334
2022-02-23,11515.600447000334,0,11515.600447000334,11515.600447000334
2022-02-24,11515.600447000334,0,11515.600447000334,11515.600447000334
2022-02-25,304.77633500033517,1000,11515.600447000334,11504.776335000335
2022-02-28,11462.788436800334,0,11462.788436800334,11462.788436800334
2022-03-01,11462.788436800334,0,11462.788436800334,11462.788436800334
2022-03-02,11462.788436800334,0,11462.788436800334,11462.788436800334
2022-03-03,251.96432480033582,1000,11462.788436800334,11451.964324800336
2022-03-04,11360.052401100336,0,11360.052401100336,11360.052401100336
2022-03-07,11360.052401100336,0,11360.052401100336,11360.052401100336
2022-03-08,749.5402951003362,1000,11360.052401100336,11349.540295100336
2022-03-09,11358.388116400338,0,11358.388116400338,11358.388116400338
2022-03-10,998.0060129003377,1000,11358.388116400338,11348.006012900338
2022-03-11,11207.461630200338,0,11207.461630200338,11207.461630200338
2022-03-14,1017.1679284003385,1000,11207.461630200338,11197.167928400338
2022-03-15,1426.614227800339,1000,11186.684325300339,11176.614227800339
2022-03-16,11256.64725130034,0,11256.64725130034,11256.64725130034
2022-03-17,1136.3899502003387,1000,11256.64725130034,11246.389950200339
2022-03-18,11216.04310120034,0,11216.04310120034,11216.04310120034
2022-03-21,11216.04310120034,0,11216.04310120034,11216.04310120034
2022-03-22,11216.04310120034,0,11216.04310120034,11216.04310120034
2022-03-23,11216.04310120034,0,11216.04310120034,11216.04310120034
2022-03-24,815.6401973003394,1000,11216.04310120034,11205.64019730034
2022-03-25,954.5381940003408,1000,11184.85269620034,11174.53819400034
2022-03-28,11024.20653990034,0,11024.20653990034,11024.20653990034
2022-03-29,933.9648391003411,1000,11024.20653990034,11013.964839100341
2022-03-30,823.2834983003431,1000,11033.587600300341,11023.283498300343
2022-03-31,10952.860674800344,0,10952.860674800344,10952.860674800344
2022-04-01,10952.860674800344,0,10952.860674800344,10952.860674800344
2022-04-06,742.5565728003457,1000,10952.860674800344,10942.556572800346
2022-04-07,821.8720589003478,1000,10892.103359500346,10881.872058900348
2022-04-08,701.3078880003504,1000,10861.585989500349,10851.30788800035
2022-04-11,850.7821448003506,1000,10790.94584410035,10780.78214480035
2022-04-12,710.4727087003521,1000,10760.69360910035,10750.472708700352
2022-04-13,680.0777087003516,1000,10690.277808700352,10680.077708700352
2022-04-14,679.4331740003527,1000,10789.685275000353,10779.433174000353
2022-04-15,10699.177494400354,0,10699.177494400354,10699.177494400354
2022-04-18,10699.177494400354,0,10699.177494400354,10699.177494400354
2022-04-19,799.034595500354,1000,10699.177494400354,10689.034595500354
2022-04-20,848.8239613003534,1000,10708.946059800353,10698.823961300353
2022-04-21,908.7408972003541,1000,10698.826595000353,10688.740897200354
2022-04-22,928.8409827003543,1000,10658.895479900353,10648.840982700354
2022-04-25,1389.5165876003557,1000,10509.253878700356,10499.516587600356
2022-04-26,1340.8039724003575,1000,10540.582864300357,10530.803972400357
2022-04-27,10411.991808300358,0,10411.991808300358,10411.991808300358
2022-04-28,10411.991808300358,0,10411.991808300358,10411.991808300358
2022-04-29,882.1365607003572,1000,10411.991808300358,10402.136560700357
2022-05-05,10422.705788500358,0,10422.705788500358,10422.705788500358
2022-05-06,1223.0188425503584,1000,10422.705788500358,10413.018842550358
2022-05-09,10394.146583500358,0,10394.146583500358,10394.146583500358
2022-05-10,10394.146583500358,0,10394.146583500358,10394.146583500358
2022-05-11,994.3576365503577,1000,10394.146583500358,10384.357636550358
2022-05-12,10325.243858300359,0,10325.243858300359,10325.243858300359
2022-05-13,10325.243858300359,0,10325.243858300359,10325.243858300359
2022-05-16,1015.5008118003589,1000,10325.243858300359,10315.500811800359
2022-05-17,10326.41722345036,0,10326.41722345036,10326.41722345036
2022-05-18,896.6129763503614,1000,10326.41722345036,10316.612976350361
2022-05-19,10207.529388000363,0,10207.529388000363,10207.529388000363
2022-05-20,10207.529388000363,0,10207.529388000363,10207.529388000363
2022-05-23,767.7200408503631,1000,10207.529388000363,10197.720040850363
2022-05-24,1048.8746474003638,1000,10158.515692900362,10148.874647400364
2022-05-25,10140.123147950364,0,10140.123147950364,10140.123147950364
2022-05-26,910.4209018503661,1000,10140.123147950364,10130.420901850366
2022-05-27,871.7758168003675,1000,10121.488263000367,10111.775816800367
2022-05-30,10092.828083000368,0,10092.828083000368,10092.828083000368
2022-05-31,10092.828083000368,0,10092.828083000368,10092.828083000368
2022-06-01,10092.828083000368,0,10092.828083000368,10092.828083000368
2022-06-02,10092.828083000368,0,10092.828083000368,10092.828083000368
2022-06-06,10092.828083000368,0,10092.828083000368,10092.828083000368
