date,cash,shares,open_equity,equity
2021-11-11,4798.645645000142,1000,16539.745362300142,16528.645645000142
2021-11-12,16515.806832400143,0,16515.806832400143,16515.806832400143
2021-11-15,16515.806832400143,0,16515.806832400143,16515.806832400143
2021-11-16,4694.665514300144,1000,16515.806832400143,16504.665514300144
2021-11-17,16461.750727200146,0,16461.750727200146,16461.750727200146
2021-11-18,16461.750727200146,0,16461.750727200146,16461.750727200146
2021-11-19,16461.750727200146,0,16461.750727200146,16461.750727200146
2021-11-22,16461.750727200146,0,16461.750727200146,16461.750727200146
2021-11-23,16461.750727200146,0,16461.750727200146,16461.750727200146
2021-11-24,16461.750727200146,0,16461.750727200146,16461.750727200146
2021-11-25,16461.750727200146,0,16461.750727200146,16461.750727200146
2021-11-26,16461.750727200146,0,16461.750727200146,16461.750727200146
2021-11-29,16461.750727200146,0,16461.750727200146,16461.750727200146
2021-11-30,5280.942215500147,1000,16461.750727200146,16450.942215500145
2021-12-01,5168.099004700145,1000,16438.954317300144,16428.099004700147
2021-12-02,5145.241409800146,1000,16356.065521800145,16345.241409800146
2021-12-03,16313.238316700146,0,16313.238316700146,16313.238316700146
2021-12-06,5022.372603900147,1000,16313.238316700146,16302.372603900147
2021-12-07,4959.269863600148,1000,16320.171977100146,16309.269863600148
2021-12-08,16306.993262300148,0,16306.993262300148,16306.993262300148
2021-12-09,16306.993262300148,0,16306.993262300148,16306.993262300148
2021-12-10,4405.810343400148,1000,16306.993262300148,16295.810343400148
2021-12-13,4271.5290824001495,1000,16262.75880220015,16251.52908240015
2021-12-14,4227.131462300151,1000,16208.35598200015,16197.13146230015
2021-12-15,16134.00394660015,0,16134.00394660015,16134.00394660015
2021-12-16,16134.00394660015,0,16134.00394660015,16134.00394660015
2021-12-17,3982.6910252001508,1000,16134.00394660015,16122.69102520015
2021-12-20,3987.952295600153,1000,16099.244416600151,16087.952295600153
2021-12-21,16064.566466600154,0,16064.566466600154,16064.566466600154
2021-12-22,16064.566466600154,0,16064.566466600154,16064.566466600154
2021-12-23,16064.566466600154,0,16064.566466600154,16064.566466600154
2021-12-24,16064.566466600154,0,16064.566466600154,16064.566466600154
2021-12-27,16064.566466600154,0,16064.566466600154,16064.566466600154
2021-12-28,16064.566466600154,0,16064.566466600154,16064.566466600154
2021-12-29,16064.566466600154,0,16064.566466600154,16064.566466600154
2021-12-30,4153.378347600155,1000,16064.566466600154,16053.378347600155
2021-12-31,16050.266026800156,0,16050.266026800156,16050.266026800156
2022-01-04,16050.266026800156,0,16050.266026800156,16050.266026800156
2022-01-05,3928.9687057001574,1000,16050.266026800156,16038.968705700157
2022-01-06,16035.53729200016,0,16035.53729200016,16035.53729200016
2022-01-07,16035.53729200016,0,16035.53729200016,16035.53729200016
2022-01-10,4064.31797240016,1000,16035.53729200016,16024.31797240016
2022-01-11,15971.19045670016,0,15971.19045670016,15971.19045670016
2022-01-12,15971.19045670016,0,15971.19045670016,15971.19045670016
2022-01-13,15971.19045670016,0,15971.19045670016,15971.19045670016
2022-01-14,15971.19045670016,0,15971.19045670016,15971.19045670016
2022-01-17,4540.251942500161,1000,15971.19045670016,15960.251942500161
2022-01-18,4236.759264800163,1000,15967.853782000162,15956.759264800163
2022-01-19,15933.950842000164,0,15933.950842000164,15933.950842000164
2022-01-20,15933.950842000164,0,15933.950842000164,15933.950842000164
2022-01-21,15933.950842000164,0,15933.950842000164,15933.950842000164
2022-01-24,15933.950842000164,0,15933.950842000164,15933.950842000164
2022-01-25,15933.950842000164,0,15933.950842000164,15933.950842000164
2022-01-26,15933.950842000164,0,15933.950842000164,15933.950842000164
2022-01-27,15933.950842000164,0,15933.950842000164,15933.950842000164
2022-01-28,15933.950842000164,0,15933.950842000164,15933.950842000164
2022-02-07,15933.950842000164,0,15933.950842000164,15933.950842000164
2022-02-08,15933.950842000164,0,15933.950842000164,15933.950842000164
2022-02-09,15933.950842000164,0,15933.950842000164,15933.950842000164
2022-02-10,15933.950842000164,0,15933.950842000164,15933.950842000164
2022-02-11,15933.950842000164,0,15933.950842000164,15933.950842000164
2022-02-14,15933.950842000164,0,15933.950842000164,15933.950842000164
2022-02-15,4683.105929600164,1000,15933.950842000164,15923.105929600164
2022-02-16,15960.935692600164,0,15960.935692600164,15960.935692600164
2022-02-17,4700.0855801001635,1000,15960.935692600164,15950.085580100163
2022-02-18,15918.006512500164,0,15918.006512500164,15918.006512500164
2022-02-21,15918.006512500164,0,15918.006512500164,15918.006512500164
2022-02-22,15918.006512500164,0,15918.006512500164,15918.006512500164
2022-02-23,15918.006512500164,0,15918.006512500164,15918.006512500164
2022-02-24,15918.006512500164,0,15918.006512500164,15918.006512500164
2022-02-25,15918.006512500164,0,15918.006512500164,15918.006512500164
2022-02-28,15918.006512500164,0,15918.006512500164,15918.006512500164
2022-03-01,15918.006512500164,0,15918.006512500164,15918.006512500164
2022-03-02,15918.006512500164,0,15918.006512500164,15918.006512500164
2022-03-03,15918.006512500164,0,15918.006512500164,15918.006512500164
2022-03-04,15918.006512500164,0,15918.006512500164,15918.006512500164
2022-03-07,15918.006512500164,0,15918.006512500164,15918.006512500164
2022-03-08,15918.006512500164,0,15918.006512500164,15918.006512500164
2022-03-09,15918.006512500164,0,15918.006512500164,15918.006512500164
2022-03-10,15918.006512500164,0,15918.006512500164,15918.006512500164
2022-03-11,15918.006512500164,0,15918.006512500164,15918.006512500164
2022-03-14,5727.7128107001645,1000,15918.006512500164,15907.712810700164
2022-03-15,15897.229207600165,0,15897.229207600165,15897.229207600165
2022-03-16,15897.229207600165,0,15897.229207600165,15897.229207600165
2022-03-17,5776.971906500165,1000,15897.229207600165,15886.971906500165
2022-03-18,15856.625057500165,0,15856.625057500165,15856.625057500165
2022-03-21,15856.625057500165,0,15856.625057500165,15856.625057500165
2022-03-22,15856.625057500165,0,15856.625057500165,15856.625057500165
2022-03-23,15856.625057500165,0,15856.625057500165,15856.625057500165
2022-03-24,15856.625057500165,0,15856.625057500165,15856.625057500165
2022-03-25,15856.625057500165,0,15856.625057500165,15856.625057500165
2022-03-28,15856.625057500165,0,15856.625057500165,15856.625057500165
2022-03-29,15856.625057500165,0,15856.625057500165,15856.625057500165
2022-03-30,15856.625057500165,0,15856.625057500165,15856.625057500165
2022-03-31,5696.346956000167,1000,15856.625057500165,15846.346956000167
2022-04-01,15746.045691700167,0,15746.045691700167,15746.045691700167
2022-04-06,5535.741589700168,1000,15746.045691700167,15735.741589700168
2022-04-07,15685.288376400169,0,15685.288376400169,15685.288376400169
2022-04-08,15685.288376400169,0,15685.288376400169,15685.288376400169
2022-04-11,15685.288376400169,0,15685.288376400169,15685.288376400169
2022-04-12,15685.288376400169,0,15685.288376400169,15685.288376400169
2022-04-13,15685.288376400169,0,15685.288376400169,15685.288376400169
2022-04-14,15685.288376400169,0,15685.288376400169,15685.288376400169
2022-04-15,15685.288376400169,0,15685.288376400169,15685.288376400169
2022-04-18,15685.288376400169,0,15685.288376400169,15685.288376400169
2022-04-19,5785.145477500169,1000,15685.288376400169,15675.14547750017
2022-04-20,5834.934843300169,1000,15695.056941800169,15684.934843300169
2022-04-21,5894.851779200169,1000,15684.937477000169,15674.85177920017
2022-04-22,15645.006361900168,0,15645.006361900168,15645.006361900168
2022-04-25,15645.006361900168,0,15645.006361900168,15645.006361900168
2022-04-26,6445.227470000169,1000,15645.006361900168,15635.227470000169
2022-04-27,15516.41530590017,0,15516.41530590017,15516.41530590017
2022-04-28,15516.41530590017,0,15516.41530590017,15516.41530590017
2022-04-29,15516.41530590017,0,15516.41530590017,15516.41530590017
2022-05-05,5906.5192579001705,1000,15516.41530590017,15506.51925790017
2022-05-06,15317.284720050171,0,15317.284720050171,15317.284720050171
2022-05-09,15317.284720050171,0,15317.284720050171,15317.284720050171
2022-05-10,15317.284720050171,0,15317.284720050171,15317.284720050171
2022-05-11,5917.4957731001705,1000,15317.284720050171,15307.49577310017
2022-05-12,5858.598147950173,1000,15248.381994850171,15238.598147950173
2022-05-13,15269.363610100174,0,15269.363610100174,15269.363610100174
2022-05-16,15269.363610100174,0,15269.363610100174,15269.363610100174
2022-05-17,15269.363610100174,0,15269.363610100174,15269.363610100174
2022-05-18,15269.363610100174,0,15269.363610100174,15269.363610100174
2022-05-19,15269.363610100174,0,15269.363610100174,15269.363610100174
2022-05-20,5799.538962800174,1000,15269.363610100174,15259.538962800174
2022-05-23,15290.183665350174,0,15290.183665350174,15290.183665350174
