id,window,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash
L3_afternoon_recovery,old2020_2023,216,-0.15456047948302074,-0.20291526728060613,37.96296296296296,-4154.7985399496865,0.6139244174491962,0.6672144956310719,-5.687383954076843,-2.586820567972553,-7984.585857549744,10,48,4,66,5036.483539950001,0.12319420131033366,-0.18063376263762912,-0.2298839893840549,-0.27167787273293365,-6796.8936083496965
L3_afternoon_recovery,recent2024,121,-0.01970150740515121,-0.07037980982470207,48.760330578512395,1957.4878663795373,0.9717619505286634,1.0582261230562715,-6.391240648360583,-3.9733158987281096,-8368.441432892838,6,32,3,42,4111.0971336210005,0.16973752471754353,-0.08136762241773021,-0.1985322291471344,-0.3245792276857048,-7465.4563786075105
L4_afternoon_reversal,main2020,415,-0.2030619830184928,-0.20390574382977858,37.83132530120482,-18017.360447685955,0.6395075530943876,0.7325096209443999,-6.5883444585987085,-3.8578596530746565,-19164.296594824227,21,81,7,102,11375.215447686998,0.03773964332145629,-0.21876738122961487,-0.261016813139539,-0.30030497967187864,-27016.94743019797
L4_afternoon_reversal,old2020_2023,239,-0.23004731355782695,-0.24611961130741794,31.799163179916317,-5940.4255736996765,0.46552363307194894,0.5866584167106799,-5.4392016374207,-2.623287884071338,-6984.99685599975,21,48,4,65,5553.2705737,0.0479463950207234,-0.2530306666897185,-0.2952117305449514,-0.3379396435018428,-8909.97938234968
L4_afternoon_reversal,recent2024,176,-0.16641713075201056,-0.15267056594989353,46.02272727272727,-12076.934873986276,0.7762391873963235,0.7720702174580955,-6.5883444585987085,-5.2386331118113105,-16387.437525274592,5,33,3,38,5821.944873987,0.023879338457110624,-0.20336221650708516,-0.2917913891839119,-0.38587643063821936,-21076.521856498297
L5_breakout,main2020,97,0.0022232210159939887,0.0400859416986627,53.608247422680414,4107.354344234277,1.0049480710489382,1.3204929585845135,-9.83232226178813,-3.7035986148991524,-3760.0377787649177,5,57,7,76,2832.755655766,0.24218379307209414,-0.04724886230260306,-0.15160216562632525,-0.26799880462032266,-4240.636757568756
L5_breakout,old2020_2023,55,-0.0341425623737745,0.02944075317920924,54.54545454545454,456.8540947500818,0.8825100193768264,1.2206733638871279,-1.988531641156452,-1.517158169501002,-1288.9781282999477,5,33,4,48,1299.9759052499999,0.24701158635986956,-0.07164844511460643,-0.18117598521065326,-0.2789889417705297,-1199.9649966499296
L5_breakout,recent2024,42,0.04984508021688135,0.062275225811530346,52.38095238095239,3650.500249484194,1.0758508101072166,1.3397246783611803,-9.83232226178813,-4.889473622131885,-3760.0377787649177,4,24,3,28,1532.7797505160001,0.23586168281429298,-0.06483048415834886,-0.32620427856930634,-0.6513648464350987,-4697.490852318838
L6_breakdown,main2020,181,0.03301105395478472,-0.1790549999999776,39.226519337016576,5479.728624660458,1.0735541962918345,1.2573511735694323,-3.4973094420479875,-2.3028941692459326,-3553.562812049862,13,73,7,103,4830.11637534,0.2746031702465014,-0.021304687238629487,-0.16512523727021344,-0.24535811022104206,-5062.405965726557
L6_breakdown,old2020_2023,104,-0.17103024515224327,-0.2039066109861407,31.73076923076923,-1896.815698899838,0.6172539492294178,0.700289966771259,-2.2446908000443737,-1.97647536443959,-3553.562812049862,13,44,4,63,2403.8356989000004,0.10723527999463454,-0.2679319414039092,-0.3465647797259316,-0.41945815117096447,-4580.138315149848
L6_breakdown,recent2024,77,0.3085993020993421,-0.016381503161693695,49.35064935064935,7376.544323560296,1.6836024592056247,1.4929537004266755,-3.4973094420479875,-2.649200922926865,-3061.824679964947,7,29,3,40,2426.28067644,0.5006585025347371,0.18404966783010066,-0.06341367542147053,-0.2463312802078966,-3038.547146592723
L7_tail_up_volume,main2020,106,-0.1618532307620033,-0.09828004827240346,47.16981132075472,3858.02289561825,0.7167388552404541,1.3237716278040248,-9.83232226178813,-4.5703915037452125,-6067.377477855857,5,57,7,64,2828.232104382,0.08050820232051067,-0.2086474826702254,-0.3139233380157071,-0.4215782151562541,-3750.074411478776
L7_tail_up_volume,old2020_2023,63,-0.1836345610130524,-0.14091221536522144,44.44444444444444,-1213.353029349908,0.5615958016766445,0.6564255595813996,-3.01156645205479,-2.3314528967329635,-1768.3403318999326,5,32,4,38,1488.74302935,0.09368219307867084,-0.2296797132794649,-0.32400267562516494,-0.4158013737153848,-2514.6692519999206
L7_tail_up_volume,recent2024,43,-0.12994104923139638,0.06368879454024556,51.162790697674424,5071.375924968158,0.8365222199050942,1.6048643735628147,-9.83232226178813,-6.290856525117039,-5206.692851405957,4,25,3,26,1339.4890750320003,0.06120677400041559,-0.24616686515598482,-0.5117204665068111,-0.8204150391661217,-2536.721382128868
L8_tail_down_volume,main2020,106,-0.0011204888129807918,-0.15267056594989353,39.62264150943396,2572.0354980392544,0.9979854629061703,1.162533593635684,-10.200745196903522,-4.031965093536726,-6546.974756831982,11,54,7,61,2846.419501961,0.2480248801333963,-0.09422041257845387,-0.28046989799237826,-0.41838416129017353,-7573.135091257762
L8_tail_down_volume,old2020_2023,66,-0.2370229078386621,-0.2888445988153573,28.78787878787879,-1569.6236023499073,0.45090958016027627,0.5572877094663774,-1.9266652483443614,-1.7610661483869288,-1967.9827839499196,11,31,4,39,1554.08860235,0.0474766833653333,-0.28470944358646577,-0.3935769995811135,-0.48472311069714574,-2926.5162131499133
L8_tail_down_volume,recent2024,40,0.38811850257939345,0.054417999130526334,57.49999999999999,4141.659100389163,1.5095507076436965,1.3372915006112174,-10.200745196903522,-7.6915137802017615,-6546.974756831982,3,23,3,22,1292.330899611,0.5789294048007001,0.1474453486311295,-0.3604557205632662,-0.7713965979423258,-6003.511488907856
