id,window,kind,value,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,excluded,matched_primary
L1_tail_up,old2020_2023,exit0935open,0.0,432,-0.36436901969350927,-0.376725177782247,33.7962962962963,-26707.50378424937,0.4369548932141541,0.3933535575824709,-10.23087722223011,-3.8859836622454775,-26707.503784249355,15,48,4,25,10106.91378425,-0.08651142128117993,-0.3753683210802795,-0.412567720161911,-0.4478608130090468,-29712.081340399367,0.0,-0.3824695304147263
L1_tail_up,old2020_2023,early_entry_DIAGNOSTIC,1450.0,432,-0.3340725285587459,-0.2901798173954775,28.240740740740737,-22646.36726959938,0.3598788182421975,0.34874218464625895,-9.960827181195008,-2.92257954186464,-22752.09246794939,17,48,4,25,10106.847269599999,-0.056134182468903525,-0.34231315963515785,-0.3723172749464666,-0.40499509015702584,-25361.359339399383,0.0,-0.3824695304147263
L1_tail_up,old2020_2023,no_dividend,0.0,429,-0.3834646612554884,-0.3059097770925335,24.941724941724942,-25704.311003949388,0.30046714408067954,0.2895126302415654,-10.23087722223011,-2.9579701573433,-25780.020902149387,22,48,4,27,10039.62100395,-0.10571823193753928,-0.39279784264814804,-0.4229140472832197,-0.45426662952619984,-28386.9163835494,,
L1_tail_up,recent2024,slip,0.0,276,-0.2941922229178611,-0.1857633261105548,36.95652173913043,-43476.55885999998,0.6461981134416767,0.5329345414037969,-7.665370201127665,-4.31825056508608,-44713.90305999999,9,33,3,15,8972.558860000001,-0.2038313953956222,-0.32978224985251203,-0.41296746224371883,-0.48581524948285076,-53463.47132999997,,
L1_tail_up,recent2024,slip,10.0,276,-0.4933975287173659,-0.38519241018807165,33.69565217391305,-64534.50672537078,0.4854001455385859,0.3960029681368355,-7.849856753764313,-4.509423657246508,-65147.92735617082,9,33,3,15,8967.306725372,-0.2038313953956222,-0.5289164312109695,-0.6119353450898469,-0.6846374606825044,-74054.3595457048,,
L1_tail_up,recent2024,slip,20.0,276,-0.692205274282868,-0.5842234740859458,28.985507246376812,-85592.45459074402,0.36688510163043736,0.2957925785102721,-8.03397515308295,-4.700215229090612,-85703.26454534398,15,33,3,15,8962.054590744001,-0.2038313953956222,-0.7276531940158615,-0.8105061412168144,-0.8830628751857621,-94645.24776141201,,
L1_tail_up,recent2024,exit0935close,0.0,275,-0.4497837154087188,-0.5994239783638474,38.90909090909091,-62563.01924380701,0.5905905542623444,0.4940689858805151,-8.029293518907428,-5.0963028938985575,-64332.032407103055,10,33,3,15,8910.394243808001,-0.25982453855035403,-0.4826320049509913,-0.5953834135911664,-0.685213369009529,-74898.67458061197,1.0,-0.3906593510648763
L1_tail_up,recent2024,exit0935open,0.0,275,-0.45414262667171595,-0.5955575958161754,38.54545454545455,-63312.15772918592,0.5886356517898698,0.4916485334698398,-8.029293518907428,-5.100755339669198,-65081.183072389016,10,33,3,15,8909.907729187,-0.2641911056693972,-0.4870068246492548,-0.599081160892314,-0.6878742857475949,-75438.05353222393,1.0,-0.3906593510648763
L1_tail_up,recent2024,early_entry_DIAGNOSTIC,1450.0,276,-0.33910467849720566,-0.33427501321711167,37.68115942028986,-48862.51580130082,0.6095804856494537,0.49345022851651943,-8.007921426946497,-4.430193894619442,-50003.20161685088,9,33,3,15,8969.485801302,-0.14897603865949463,-0.37691007850730446,-0.4625790761142776,-0.5384774182517419,-59106.17950648883,0.0,-0.3938446453418056
L1_tail_up,recent2024,no_dividend,0.0,274,-0.40483568691660793,-0.29297189856546435,34.67153284671533,-55001.65869139195,0.5507044004233351,0.44942692762679587,-7.757659565589339,-4.413884872693372,-55927.04110679196,9,33,3,15,8894.323691393,-0.2147611879675713,-0.44069086625876064,-0.5245786541681121,-0.59813363568412,-64755.04133655896,,
L1_tail_up,main2020,signal1445,1445.0,672,-0.3782201586901478,-0.3065358141451764,29.017857142857146,-74753.5867410904,0.4398218906390198,0.42991357703128347,-10.23087722223011,-3.6930920317977707,-74753.58674109037,23,81,7,47,18151.976741092,-0.13508332832785191,-0.3927683679780483,-0.42631278320217525,-0.45670355683585095,-85272.65526028242,,
L2_tail_down,main2020,slip,0.0,815,-0.19808497279455128,-0.19232845738426332,36.809815950920246,-33969.63721600004,0.6664006733999784,0.7612853400057391,-10.124054586730972,-4.032617359888149,-38530.08747999998,10,81,7,21,22349.637216000003,-0.0580329405839744,-0.2104967533286831,-0.24370493328995763,-0.2786835409404495,-52130.168860000034,,
L2_tail_down,main2020,slip,10.0,815,-0.3974860144847763,-0.3917445574744447,27.23926380368098,-73765.28124654983,0.45467774629153834,0.5606938705146198,-10.303630087073254,-4.2243611573609385,-74990.37079365985,18,81,7,21,22336.921246552003,-0.0580329405839744,-0.4098729944583621,-0.4430148132075707,-0.477923518475428,-91230.8539667259,,
