year,id,eligible,last_exit,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash
2024,L4_afternoon_reversal,False,2023-12-28,238,-0.32271620078265023,-0.3099664918010462,23.949579831932773,-11484.25480819969,0.3476889704688592,0.35889352328198215,-5.717791951694962,-2.607343543059518,-12891.918860649723,14,48,4,65,5532.159808199999,-0.04481318326177376,-0.3448001410577714,-0.393779345703938,-0.43517539091567325,-14215.080429999702
2024,L5_breakout,False,2023-11-08,55,-0.527461615039367,-0.6045124275124942,21.818181818181817,-4540.757134749918,0.16391510991120514,0.14012701850320752,-2.464435288135865,-2.2209334432083834,-4603.267140849921,12,33,4,48,1297.5871347500004,-0.2470115863598692,-0.5633370277316982,-0.6568444460785134,-0.7647482801150245,-5026.209824799926
2024,L6_breakdown,False,2023-12-14,104,-0.3851000846482932,-0.36027567732506655,29.807692307692307,-5695.671298599841,0.3356042048937078,0.3407326937099252,-10.213887194477932,-3.511676455511264,-5846.271322199854,12,44,4,63,2402.6912986,-0.1072352799946351,-0.4057972522623334,-0.4780750330516475,-0.5642581978950049,-6961.720903499851
2024,L7_tail_up_volume,False,2023-12-12,63,-0.3705645088539811,-0.3923479449357734,26.984126984126984,-3492.123665649913,0.33727853360539534,0.32001519854280347,-3.179248050691724,-2.0987282265526037,-3492.123665649912,9,32,4,38,1487.5136656500001,-0.09368219307867022,-0.41626792993115935,-0.5388255094423066,-0.644153656364888,-4620.847243049916
2024,L8_tail_down_volume,False,2023-08-10,66,-0.3316110927690773,-0.28857204532758324,27.27272727272727,-3268.334262649909,0.3114984851761454,0.2813534982312182,-3.370969468673961,-2.3976641911453607,-3387.814300549914,10,31,4,39,1552.79926265,-0.04747668336533384,-0.35797068180060676,-0.4538309995577733,-0.5475578144072302,-4113.863056899916
2025,L1_tail_up,False,2024-12-27,538,-0.3670106768097082,-0.3053730945373018,26.579925650557623,-33301.87485054912,0.408376966587031,0.42718511175514245,-10.23087722223011,-3.6373781802361833,-33672.852491249156,22,60,5,29,12395.524850549999,-0.10494998621731615,-0.3778376077402471,-0.4089995169004016,-0.4420036565006922,-37749.169278949135
2025,L2_tail_down,False,2024-12-31,593,-0.33944638404021793,-0.3071618511978193,28.499156829679595,-32549.203263399017,0.44355283501762177,0.4750113720115139,-10.213887194477932,-3.7473418678398307,-33123.10281199901,13,60,5,20,13483.3782634,-0.07932964506729959,-0.3565658123479637,-0.40108337548569867,-0.44227714030621196,-39776.235430749024
2025,L3_afternoon_recovery,False,2024-11-26,258,-0.3850016861665205,-0.3618091556184049,25.581395348837212,-14998.629554299587,0.38149970457537447,0.43765933226615567,-7.757659565589339,-3.3752223002850354,-15130.754723999604,23,59,5,77,5951.369554299999,-0.12082006750207039,-0.406635676784508,-0.4620589610599333,-0.5201505273292498,-18748.144319249604
2025,L4_afternoon_reversal,False,2024-12-23,299,-0.34013016512684613,-0.3100835675613565,26.08695652173913,-17195.885813299545,0.4275034860094109,0.45013142481201485,-6.670425540886715,-3.461798121505851,-18308.698049649563,14,60,5,79,6841.1808132999995,-0.07847848165777727,-0.3618830760467597,-0.43136520988035665,-0.478390188972513,-22342.94562259956
2025,L5_breakout,False,2024-12-25,63,-0.55957867249731,-0.6045124275124942,20.634920634920633,-6261.297268899899,0.16859197733294795,0.14439645642591392,-2.464435288135865,-2.279436427644754,-6607.274237099911,12,39,5,55,1483.5722689000002,-0.29059525305010303,-0.5921710072166984,-0.6913420141142964,-0.7911775510514537,-6998.380144749911
2025,L6_breakdown,False,2024-12-30,137,-0.49637635621721343,-0.370978663321914,27.00729927007299,-11797.42006704977,0.26610207371425154,0.2535592883921348,-10.213887194477932,-4.689116166159638,-11858.788939549782,12,54,5,78,3101.8750670500003,-0.2375499144056485,-0.5128696248629124,-0.5751250043212555,-0.6462078370342723,-13448.324997799788
2025,L7_tail_up_volume,False,2024-12-25,79,-0.26036998216806034,-0.3863728112953524,27.848101265822784,-3065.2482125998804,0.5353347253986275,0.5784341256416008,-3.179248050691724,-2.3951892931925065,-4733.853182749896,9,42,5,48,1826.6032126000002,0.0013943246853804073,-0.3335420490277752,-0.4698018687744726,-0.584678252541414,-5889.847477799889
2025,L8_tail_down_volume,False,2024-12-30,83,-0.3528425058139271,-0.3112697214331692,26.506024096385545,-4582.710527999861,0.4480775372669273,0.5068164492396661,-6.670425540886715,-3.734300401024357,-6471.384647349902,10,40,5,48,1919.1405280000001,-0.08629635269175655,-0.47659979459391794,-0.5793566309457038,-0.6823145322116041,-8339.914081699873
2026,L1_tail_up,False,2025-12-25,636,-0.36730022717376637,-0.3041505464314078,28.30188679245283,-55064.86159142373,0.44090145799419267,0.4249401585166767,-10.23087722223011,-3.8036746819855813,-55207.92744432571,22,72,6,36,15537.096591425,-0.11633368955088276,-0.38265602008819927,-0.41805011765227745,-0.4485992619410222,-63802.17413283774
2026,L2_tail_down,False,2025-12-31,721,-0.3285422684341978,-0.3025512214705132,30.097087378640776,-48469.06979796751,0.49126243300808714,0.5561753310718598,-10.213887194477932,-4.137369554994202,-49735.71252416058,13,72,6,21,17703.054797969,-0.08083073990047629,-0.3426030982155583,-0.3798443233549824,-0.41839063558126877,-64060.32905151452
2026,L3_afternoon_recovery,False,2025-12-31,300,-0.3836647721581797,-0.3307990110494694,27.666666666666668,-21615.603414679397,0.4032854648934756,0.4621919692698951,-7.757659565589339,-3.493825928424543,-21615.603414679408,23,71,6,95,7292.878414680001,-0.12976798461803243,-0.40225540317762615,-0.4537749412186761,-0.5067007862253678,-27667.603365664447
2026,L4_afternoon_reversal,False,2025-12-30,369,-0.27299926242942796,-0.3077867709600024,28.72628726287263,-16372.452005816278,0.5421591104952174,0.6815785887056753,-6.670425540886715,-3.420759155041354,-20138.725415966444,14,72,6,92,9140.867005817,-0.0247592179361518,-0.2904319704496367,-0.354667042508728,-0.4172194883161024,-30551.8258251113
2026,L5_breakout,False,2025-12-18,82,-0.5764879348437826,-0.6001697336054059,20.73170731707317,-15020.059538375815,0.2723193141149314,0.16600668497415677,-5.097540108850419,-3.1507115664068737,-15082.56954447582,12,50,6,67,2092.479538376,-0.3260941139968849,-0.6994523324775462,-0.7917450554834565,-0.880526901487449,-17372.352409281833
2026,L6_breakdown,False,2025-12-19,160,-0.5020265419030571,-0.3677772122213901,28.749999999999996,-14856.540847879693,0.29152901279027776,0.33463189347318023,-10.213887194477932,-5.373014422980904,-15722.514446036712,12,64,6,90,3818.5558478800003,-0.25273112811417703,-0.5248772789200987,-0.5824048935209776,-0.6478984257708741,-18720.61051085972
2026,L7_tail_up_volume,False,2025-12-18,99,-0.27776717530041095,-0.3863728112953524,29.292929292929294,-10600.157840934793,0.5829684914675684,0.40720569112542804,-5.097540108850419,-3.293674118918046,-10600.157840934791,9,53,6,59,2497.157840935,-0.031167992787355107,-0.37635284314522227,-0.5331454199521742,-0.648663043433997,-14877.461033384807
2026,L8_tail_down_volume,False,2025-12-12,96,-0.5087725638534444,-0.32709442526725285,26.041666666666668,-10373.027750577812,0.3505991389260855,0.33795319967493137,-10.16030222072976,-5.544332985444805,-10492.50778847782,10,49,6,57,2311.967750578,-0.2528831333403474,-0.6172360137271156,-0.7125031942421046,-0.8161609937381763,-14233.569481077824
