candidate,date,clock,five_ref,one_ref,difference,covered
C00,2024-03-20,14:50,24.97,,,False
C00,2024-03-21,14:50,24.84,,,False
C00,2024-04-26,14:50,24.4,,,False
C00,2024-04-29,14:50,24.44,,,False
C00,2024-04-30,14:50,24.6,,,False
C00,2024-05-06,14:50,24.82,,,False
C00,2024-05-17,14:50,25.66,,,False
C00,2024-05-20,14:50,26.06,,,False
C00,2024-05-21,14:50,25.56,,,False
C00,2024-06-07,14:50,24.47,,,False
C00,2024-06-17,14:50,27.58,,,False
C00,2024-06-18,14:50,28.6,,,False
C00,2024-06-19,14:50,28.49,,,False
C00,2024-07-10,14:50,28.99,,,False
C00,2024-07-11,14:50,28.77,,,False
C00,2024-07-12,14:50,27.27,,,False
C00,2024-09-25,14:50,21.15,,,False
C00,2024-09-26,14:50,21.64,,,False
C00,2024-09-27,14:50,22.88,,,False
C00,2024-10-09,14:50,26.24,,,False
C00,2024-10-10,14:50,25.97,,,False
C00,2024-10-21,14:50,26.09,,,False
C00,2024-10-22,14:50,26.18,,,False
C00,2024-10-23,14:50,25.5,,,False
C00,2024-11-12,14:50,25.68,,,False
C00,2025-01-23,14:50,23.19,,,False
C00,2025-01-24,14:50,23.34,,,False
C00,2025-01-27,14:50,21.44,,,False
C00,2025-02-11,14:50,21.76,,,False
C00,2025-02-12,14:50,22.16,,,False
C00,2025-04-14,14:50,17.93,,,False
C00,2025-04-15,14:50,18.07,,,False
C00,2025-06-06,14:50,20.31,,,False
C00,2025-06-09,14:50,20.41,,,False
C00,2025-07-04,14:50,23.81,,,False
C00,2025-07-07,14:50,23.99,,,False
C00,2025-07-09,14:50,26.62,,,False
C00,2025-07-10,14:50,26.17,,,False
C00,2025-07-11,14:50,26.03,,,False
C00,2025-07-18,14:50,27.16,,,False
C00,2025-07-28,14:50,29.47,,,False
C00,2025-07-29,14:50,31.16,,,False
C00,2025-07-30,14:50,33.07,,,False
C00,2025-07-31,14:50,34.39,,,False
C00,2025-08-01,14:50,32.87,,,False
C00,2025-08-04,14:50,32.74,,,False
C00,2025-08-08,14:50,36.67,,,False
C00,2025-08-12,14:50,39.23,,,False
C00,2025-08-14,14:50,43.35,,,False
C00,2025-08-15,14:50,43.99,,,False
C00,2025-08-18,14:50,43.91,,,False
C00,2025-08-20,14:50,47.8,,,False
C00,2025-08-21,14:50,45.22,,,False
C00,2025-09-01,14:50,55.86,,,False
C00,2025-09-02,14:50,53.99,,,False
C00,2025-09-03,14:50,53.8,,,False
C00,2025-09-12,14:50,61.79,,,False
C00,2025-09-15,14:50,59.75,,,False
C00,2025-09-16,14:50,59.77,,,False
C00,2025-09-19,14:50,66.36,,,False
C00,2025-09-22,14:50,70.06,,,False
C00,2025-09-23,14:50,70.62,,,False
C00,2025-09-24,14:50,68.81,,,False
C00,2025-10-22,14:50,65.49,,,False
C00,2025-10-23,14:50,63.93,,,False
C00,2025-10-28,14:50,73.98,,,False
C00,2025-10-29,14:50,80.79,,,False
C00,2025-10-30,14:50,77.93,,,False
C00,2025-10-31,14:50,72.07,,,False
C00,2025-11-28,14:50,60.57,,,False
C00,2025-12-01,14:50,59.69,,,False
C00,2025-12-10,14:50,65.21,,,False
C00,2025-12-11,14:50,61.89,,,False
C00,2025-12-24,14:50,65.11,,,False
C00,2025-12-25,14:50,66.81,,,False
C00,2025-12-26,14:50,63.92,,,False
C00,2026-01-19,14:50,60.78,,,False
C00,2026-04-02,14:50,51.8,,,False
C00,2026-04-09,14:50,55.04,,,False
C00,2026-04-13,14:50,55.71,,,False
C00,2026-04-15,14:50,57.55,,,False
C00,2026-04-17,14:50,60.99,,,False
C00,2026-04-21,14:50,61.47,,,False
C00,2026-04-23,14:50,67.7,,,False
C00,2026-04-24,14:50,65.07,,,False
C00,2026-05-14,14:50,68.69,68.69000244140625,-2.4414062522737368e-06,True
C00,2026-05-27,14:50,70.04,70.04000091552734,-9.155273374972239e-07,True
C00,2026-05-29,14:50,73.77,73.7699966430664,3.3569335897709607e-06,True
C00,2026-06-03,14:50,81.32,81.31999969482422,3.0517577442878974e-07,True
C00,2026-06-04,14:50,78.8,78.80000305175781,-3.051757815342171e-06,True
C00,2026-06-05,14:50,73.73,73.7300033569336,-3.3569335897709607e-06,True
C00,2026-06-22,14:50,78.77,78.7699966430664,3.3569335897709607e-06,True
C00,2026-06-23,14:50,73.99,73.98999786376953,2.1362304636340923e-06,True
C00,2026-07-10,14:50,66.45,66.44999694824219,3.051757815342171e-06,True
C00,2026-07-24,14:50,60.24,60.2400016784668,-1.6784667948854803e-06,True
C00,2026-08-05,14:50,65.91,65.91000366210938,-3.662109378410605e-06,True
C00,2026-08-06,14:50,68.23,68.2300033569336,-3.3569335897709607e-06,True
C00,2026-08-07,14:50,68.08,68.08000183105469,-1.8310546892053026e-06,True
