candidate,bp,period,n,wins,win,cash,mean,worst,mdd,top3,bottom3,mean_pct,ci_low,ci_high
H00,11,2025,21,9,42.857142857142854,4831.401675397337,230.06674644749225,-1976.9064661800003,-4415.83269398001,8674.457746740183,-4736.263430138417,-0.2202258998935457,,
H00,11,2026,23,15,65.21739130434783,16426.44406793565,714.1932203450282,-1907.991282497409,-3731.0643400248155,11255.788305186565,-5097.660485124616,1.0072829018378953,,
H00,20,discovery,97,33,34.02061855670103,-5545.596887200016,-57.17110192989707,-784.1232071999984,-6617.125784600012,1997.2092841999984,-1782.3102999999992,-0.5201802616138932,-9788.261904750001,-1076.4879393500287
H00,20,later,57,30,52.63157894736842,17277.445069024034,303.11307138638654,-2165.912580600001,-5629.373121000004,12400.345073628007,-6228.0400594679995,0.20898827296019518,-4593.892949026303,42421.871519796405
H00,20,main,154,63,40.909090909090914,11731.848181824016,76.1808323495066,-2165.912580600001,-10315.429384600016,12400.345073628007,-6228.0400594679995,-0.25029320660919807,-11194.665434653527,37561.41774674254
H00,20,2020,28,11,39.285714285714285,-2424.7476820000065,-86.59813150000024,-784.1232071999984,-2424.7476820000065,911.6130675999993,-1782.3102999999992,-0.5765559050640883,,
H00,20,2021,29,9,31.03448275862069,-2036.1571923999927,-70.21231697931009,-344.7015100000008,-2036.1571923999927,325.18320200000016,-934.9212071999973,-0.5442165355111299,,
H00,20,2022,32,10,31.25,-2088.529810000011,-65.26655656250034,-328.4644644,-2101.651851400011,280.8103520000004,-717.9119498000018,-0.661226408777713,,
H00,20,2023,8,3,37.5,1003.8377971999944,125.4797246499993,-207.82035259999975,-331.2371808000007,1414.2494753999981,-371.3031032000017,0.3284505719945508,,
H00,20,2024,13,8,61.53846153846154,83.80951460000324,6.446885738461788,-2165.912580600001,-2249.4519196,1858.471265600001,-2755.401908,0.0967724267467892,,
H00,20,2025,21,8,38.095238095238095,3361.7481852680066,160.08324691752412,-2034.7264476000018,-4853.642012000004,8319.868737164004,-5034.774063888017,-0.40008254862523646,,
H00,20,2026,23,14,60.86956521739131,13831.887369156022,601.3864073546097,-2027.4010312679966,-4324.620172140014,10895.765565611997,-5403.864548772006,0.8285227622675144,,
H01,5,discovery,17,12,70.58823529411765,41.401455750030436,2.43537975000179,-287.5916672999974,-290.63356274998114,510.10553940000864,-688.8295014499945,-0.04564922510686443,-976.9967695724775,1062.419641967547
H01,5,later,24,19,79.16666666666666,14703.572879931082,612.6488699971284,-866.3836862519966,-1352.6787562999962,7439.440175057025,-2219.0624425519927,1.0355722835762746,2143.388171564241,30060.063879987385
H01,5,main,41,31,75.60975609756098,14744.974335681112,359.63352038246614,-866.3836862519966,-1352.6787562999962,7439.440175057025,-2219.0624425519927,0.5872609263174121,2587.7218006425805,31315.601726712903
H01,5,2020,7,5,71.42857142857143,-45.56356729998697,-6.509081042855281,-287.5916672999974,-288.99108049998904,295.23763930000496,-383.9010123999942,-0.030746394649502035,,
H01,5,2021,2,1,50.0,-103.06299529999706,-51.53149764999853,-127.47807589999684,-127.47807589999684,-103.06299529999706,-103.06299529999706,-0.3767024007393398,,
H01,5,2022,1,1,100.0,2.4860401500009175,2.4860401500009175,2.4860401500009175,0.0,2.4860401500009175,2.4860401500009175,0.028641015553005963,,
H01,5,2023,7,5,71.42857142857143,187.54197820001355,26.791711171430507,-229.78355094999824,-229.78355094999824,463.5444685500115,-361.2930009999982,0.023421674522213238,,
H01,5,2024,10,8,80.0,1580.4265885500208,158.0426588550021,-831.6945564499983,-1352.6787562999962,2144.637669200005,-1339.3155357499927,0.6167879217986506,,
H01,5,2025,8,5,62.5,5715.3815096060425,714.4226887007553,-866.3836862519966,-866.3836862519966,6451.347904765033,-1421.349541101994,0.9041750425775523,,
H01,5,2026,6,6,100.0,7407.7647817750185,1234.6274636291698,391.22452485000395,0.0,5018.1217699420085,2389.64301183301,1.9087425412039447,,
H01,11,discovery,17,11,64.70588235294117,-270.5529973500288,-15.91488219706052,-303.8855880600022,-491.37107805002415,442.39378667999335,-739.8323831900034,-0.1654258411889089,-1287.1567530625316,732.1146474924791
H01,11,later,24,18,75.0,13503.012981448112,562.6255408936713,-937.7900105544031,-1410.3005438600085,7190.474309125391,-2348.0905544144116,0.9163707557060228,1455.719619253848,28389.21328555176
H01,11,main,41,29,70.73170731707317,13232.459984098083,322.74292644141667,-937.7900105544031,-1410.3005438600085,7190.474309125391,-2348.0905544144116,0.46782094723739265,1472.4730263961503,29273.38741202785
H01,11,2020,7,5,71.42857142857143,-166.3730480600152,-23.767578294287887,-303.8855880600022,-376.62525710000955,245.51664645999153,-439.1934272800081,-0.15051550673432226,,
H01,11,2021,2,1,50.0,-134.27738966000652,-67.13869483000326,-143.66400698000325,-143.66400698000325,-134.27738966000652,-134.27738966000652,-0.4966998332805166,,
H01,11,2022,1,0,0.0,-7.90675167000154,-7.90675167000154,-7.90675167000154,-7.90675167000154,-7.90675167000154,-7.90675167000154,-0.09109160910140024,,
H01,11,2023,7,5,71.42857142857143,38.00419203999445,5.429170291427779,-247.52873209000063,-247.52873209000063,389.0443508099961,-415.7550022000014,-0.09630563962982311,,
H01,11,2024,10,7,70.0,1300.1710148099664,130.01710148099664,-856.870384190006,-1410.3005438600085,2060.3471122399897,-1419.52165865001,0.49735471520388624,,
H01,11,2025,8,5,62.5,5248.123937133198,656.0154921416497,-937.7900105544031,-937.7900105544031,6204.169364083005,-1544.1330912244048,0.7848809061033395,,
H01,11,2026,6,6,100.0,6954.7180295049475,1159.119671584158,318.42684746999294,0.0,4788.632452272381,2166.0855772325667,1.7900506226798278,,
H01,20,discovery,17,8,47.05882352941176,-738.4846769999949,-43.44027511764676,-328.32646919999934,-792.4773509999995,340.8261576000041,-816.3367058000003,-0.3450907653119279,-1766.363736044989,263.2868285300008
H01,20,later,24,18,75.0,11702.173133724027,487.59054723850113,-1044.899497008002,-1496.7332251999978,6817.025510228006,-2541.632722208,0.7375684639006836,312.22135567999004,25909.921911039146
H01,20,main,41,26,63.41463414634146,10963.688456724032,267.40703552985445,-1044.899497008002,-1747.0119799999939,6817.025510228006,-2541.632722208,0.2886609786174057,-232.4881376406982,26096.660735550253
H01,20,2020,7,4,57.14285714285714,-347.5872692000012,-49.65532417142874,-328.32646919999934,-508.0765219999994,170.93515719999778,-522.1320495999989,-0.33016917486149727,,
H01,20,2021,2,0,0.0,-181.0989812000007,-90.54949060000035,-167.94290360000014,-181.0989812000007,-181.0989812000007,-181.0989812000007,-0.6766959820922056,,
H01,20,2022,1,0,0.0,-23.49593939999977,-23.49593939999977,-23.49593939999977,-23.49593939999977,-23.49593939999977,-23.49593939999977,-0.2706905460829467,,
H01,20,2023,7,4,57.14285714285714,-186.30248719999327,-26.614641028570468,-274.1465038000006,-274.1465038000006,277.2941742000039,-497.44800399999986,-0.27589661085784783,,
H01,20,2024,10,7,70.0,879.7876541999976,87.97876541999976,-894.6341257999993,-1496.7332251999978,1933.9112767999977,-1539.8308429999997,0.3182049053117885,,
H01,20,2025,8,5,62.5,4547.237578424025,568.4046973030031,-1044.899497008002,-1044.899497008002,5833.401553060015,-1728.3084164079992,0.6059397013920438,,
H01,20,2026,6,6,100.0,6275.147901100005,1045.8579835166674,209.2303314000019,0.0,4444.398475768001,1830.7494253320037,1.6120127448936952,,
H02,5,discovery,97,27,27.835051546391753,-2289.5243192498656,-23.603343497421296,-264.9490622000012,-2567.4883146498833,727.1179711000023,-587.2696956999989,-0.22958664068032622,-3906.000071381129,-632.5460553298815
H02,5,later,57,29,50.877192982456144,10622.020785589279,186.35124185244348,-1633.135730957998,-5517.905873330943,5748.781941467023,-3820.780093949972,0.2085569893142607,-3954.069905029433,26627.849233681445
H02,5,main,154,56,36.36363636363637,8332.496466339413,54.10711991129489,-1633.135730957998,-5517.905873330943,5748.781941467023,-3820.780093949972,-0.06741659581219991,-6489.061523541755,23941.713747459362
H02,5,2020,28,10,35.714285714285715,-623.3916645999616,-22.2639880214272,-264.9490622000012,-718.997346099979,516.8525266000033,-523.4947340000017,-0.15354534717442075,,
H02,5,2021,29,7,24.137931034482758,-818.439246999953,-28.22204299999838,-139.72672599999896,-1039.9454164999643,285.52796400000807,-367.3930322999986,-0.23385262092504241,,
H02,5,2022,32,6,18.75,-1060.7662010499662,-33.14894378281144,-137.34302054999898,-1081.8689862999672,147.5568869500039,-355.7388155999961,-0.35308198467390844,,
H02,5,2023,8,4,50.0,213.07279340001514,26.634099175001893,-162.78656314999898,-354.4329959999959,576.6181991500089,-371.5160835999977,0.013714386410430046,,
H02,5,2024,13,8,61.53846153846154,934.3107534500323,71.8700579576948,-523.8768698999957,-631.4399574999916,1469.1440133500073,-779.2772806999928,0.2797949010230719,,
H02,5,2025,21,9,42.857142857142854,6601.282317212081,314.34677701009906,-1014.940634156992,-1331.8657869499766,5621.74324842402,-1739.739977406989,0.2558741480337798,,
H02,5,2026,23,12,52.17391304347826,3086.4277149271657,134.19250934465938,-1633.135730957998,-5517.905873330943,4193.8187532390075,-3591.937476866973,0.12508945951754558,,
H02,11,discovery,97,23,23.711340206185564,-3752.2713023501146,-38.683209302578504,-285.5668168400043,-3869.3031180501075,651.7960964199956,-645.2821305400066,-0.34946737252631127,-5422.930599143609,-2066.2946856736135
H02,11,later,57,26,45.614035087719294,7547.751186695545,132.41668748588674,-1695.7964273075995,-6252.625607479895,5483.679707227377,-4036.295032290014,0.0888429669157754,-6838.893642840517,23058.031257610088
H02,11,main,154,49,31.818181818181817,3795.47988434543,24.645973274970324,-1695.7964273075995,-6252.625607479895,5483.679707227377,-4036.295032290014,-0.18723562351203246,-10944.046740441278,18777.400989002974
H02,11,2020,28,7,25.0,-1107.457342120042,-39.55204793285865,-285.5668168400043,-1107.457342120042,462.26803851999284,-578.5952948000067,-0.27340474316880037,,
H02,11,2021,29,6,20.689655172413794,-1261.4375434000394,-43.49784632413929,-157.2379972000017,-1383.9873563000328,235.96888079999735,-415.91483106000305,-0.35375005436303153,,
H02,11,2022,32,6,18.75,-1439.806482310023,-44.99395257218822,-147.67588520999925,-1449.7008898600234,110.79535129000033,-388.8782743200027,-0.4730016551862764,,
H02,11,2023,8,4,50.0,56.430065479989935,7.053758184998742,-180.8000789300022,-409.2833112000026,498.0401581299957,-420.31706392000524,-0.10602472297962814,,
H02,11,2024,13,6,46.15384615384615,578.0780975899561,44.46754596845816,-550.7142337800033,-711.6159865000118,1380.3844693699903,-865.6677775400094,0.16014942004176652,,
H02,11,2025,21,9,42.857142857142854,5621.987153866332,267.71367399363487,-1085.4052295454094,-1594.0183712900143,5374.690479332785,-1853.5918246954134,0.1361833261099453,,
H02,11,2026,23,11,47.82608695652174,1347.6859352392567,58.59504066257637,-1695.7964273075995,-6136.358296528255,3942.536673925766,-3804.1591699074124,0.005315513275973055,,
H02,20,discovery,97,16,16.49484536082474,-5946.391776999997,-61.30300801030925,-316.49344879999626,-5946.391776999997,538.8132843999974,-732.3007827999954,-0.5292884702952491,-7731.9673374600015,-4130.821837010006
H02,20,later,57,24,42.10526315789473,2936.3467883559424,51.51485593606917,-1789.7874718319945,-7727.978983235989,5086.026355867987,-4359.567439799976,-0.09072806668191322,-11368.04507374987,17912.41282423774
H02,20,main,154,40,25.97402597402597,-3010.0449886440547,-19.54574667950685,-1789.7874718319945,-7979.9742631440095,5086.026355867987,-4359.567439799976,-0.36696416506174157,-17879.767074847,11457.256168618173
H02,20,2020,28,5,17.857142857142858,-1833.55585839999,-65.48413779999964,-316.49344879999626,-1833.55585839999,380.39130639999894,-661.2461359999961,-0.4531938371603271,,
H02,20,2021,29,4,13.793103448275861,-1925.934987999999,-66.41155131034479,-183.50490399999944,-1925.934987999999,161.63025599999673,-488.69752920000064,-0.533596204519969,,
H02,20,2022,32,3,9.375,-2008.3669042000056,-62.761465756250175,-163.17518220000056,-2008.3669042000056,55.65304780000042,-438.58746240000255,-0.6528811609547958,,
H02,20,2023,8,4,50.0,-178.5340264000024,-22.3167533000003,-207.98698139999942,-491.55878400000074,380.17309659999955,-493.51853440000014,-0.285633387064679,,
H02,20,2024,13,5,38.46153846153847,43.729113799989136,3.363777984614549,-590.970279600002,-831.8800300000075,1247.2451533999993,-995.2535228000052,-0.019318801430140538,,
H02,20,2025,21,8,38.095238095238095,4153.044408847989,197.76401946895186,-1191.1021226279918,-1987.247247800009,5004.11132569598,-2024.3695956279953,-0.043352906775774136,,
H02,20,2026,23,11,47.82608695652174,-1260.4267342920357,-54.80116236052329,-1789.7874718319945,-7064.0369313239935,3565.613554956013,-4122.491709467984,-0.17434540608634652,,
H03,5,discovery,17,6,35.294117647058826,-238.74534764997406,-14.043843979410239,-267.5812670999985,-598.2555431999899,510.10553940000864,-652.667096950001,-0.15652898399044185,-1363.653411124993,857.9052103150423
H03,5,later,24,19,79.16666666666666,14243.202809931085,593.4667837471285,-753.0980170739931,-753.0980170739931,7439.440175057025,-1426.6661125239916,1.0379106848189206,2278.2866838181585,29812.662430278102
H03,5,main,41,25,60.97560975609756,14004.45746228111,341.5721332263686,-753.0980170739931,-753.0980170739931,7439.440175057025,-1492.1902388239905,0.5426552123857705,1588.7653581181053,30535.085559300252
H03,5,2020,7,2,28.57142857142857,-455.7767713999874,-65.11096734285535,-267.5812670999985,-598.2555431999899,166.46491780000542,-584.0050143999961,-0.4146717898345746,,
H03,5,2021,2,0,0.0,-93.05779519999851,-46.528897599999254,-87.45727549999901,-93.05779519999851,-93.05779519999851,-93.05779519999851,-0.3474150457713698,,
H03,5,2022,1,0,0.0,-47.539460100000724,-47.539460100000724,-47.539460100000724,-47.539460100000724,-47.539460100000724,-47.539460100000724,-0.5476896324884876,,
H03,5,2023,7,4,57.14285714285714,357.6286790500126,51.08981129285894,-120.13676765000127,-151.51965015000133,463.5444685500115,-191.20630014999915,0.21203278929081976,,
H03,5,2024,10,8,80.0,1920.5999902500225,192.05999902500224,-471.5109546499989,-471.5109546499989,1939.170950700005,-557.2570165999932,0.7107891882594013,,
H03,5,2025,8,6,75.0,6866.096709671041,858.2620887088801,-202.05714079999962,-354.8638538499945,6451.347904765033,-270.63434103699547,1.2249659728630453,,
H03,5,2026,6,5,83.33333333333334,5456.506110010021,909.4176850016702,-753.0980170739931,-753.0980170739931,5018.1217699420085,438.38434006801253,1.3337061283592877,,
H03,11,discovery,17,6,35.294117647058826,-550.8678048300244,-32.4039885194132,-285.5668168400043,-759.0606987400206,442.39378667999335,-709.4158132900047,-0.2763720946805086,-1667.7905085252742,525.9245990664716
H03,11,later,24,17,70.83333333333334,13042.366827448113,543.4319511436714,-820.2693671628076,-852.278465671814,7190.474309125391,-1544.1349771528148,0.9187105592882449,1464.267566710224,28144.177010283045
H03,11,main,41,23,56.09756097560976,12491.499022618089,304.67070786873387,-820.2693671628076,-852.278465671814,7190.474309125391,-1602.3069642328155,0.42318848325242026,538.0575226930509,28463.730636712437
H03,11,2020,7,2,28.57142857142857,-576.8322570800137,-82.40460815428767,-285.5668168400043,-703.1791550400103,117.42153915999552,-639.4174316800072,-0.5346711420364457,,
H03,11,2021,2,0,0.0,-124.26618944000438,-62.13309472000219,-103.61920610000197,-124.26618944000438,-124.26618944000438,-124.26618944000438,-0.467394914681368,,
H03,11,2022,1,0,0.0,-57.96225222000248,-57.96225222000248,-57.96225222000248,-57.96225222000248,-57.96225222000248,-57.96225222000248,-0.6677678827189226,,
H03,11,2023,7,4,57.14285714285714,208.1928939099962,29.741841987142315,-139.98580882999886,-188.24847032999787,389.0443508099961,-245.56630032999965,0.0924185852525902,,
H03,11,2024,10,7,70.0,1640.5484185499736,164.05484185499736,-496.4707802300036,-496.4707802300036,1850.5254515399938,-629.3590365200071,0.591412354238229,,
H03,11,2025,8,6,75.0,6399.529221276196,799.9411526595245,-227.39482976000363,-406.1210784700015,6204.169364083005,-392.72780708140635,1.1058642147578182,,
H03,11,2026,6,4,66.66666666666666,5002.289187621944,833.7148646036572,-820.2693671628076,-852.278465671814,4788.632452272381,213.65673534956295,1.2146693604121739,,
H03,20,discovery,17,6,35.294117647058826,-1019.0514905999917,-59.944205329411275,-316.49344879999626,-1053.0039641999956,340.8261576000041,-794.5388877999976,-0.45613676071556725,-2161.60628788999,23.499757345003385
H03,20,later,24,15,62.5,11241.112853724033,468.37970223850135,-921.0263922960003,-1155.4081434239924,6817.025510228006,-1720.3382740960078,0.7399103709922682,313.38373814333016,25614.107352123025
H03,20,main,41,21,51.21951219512195,10222.061363124041,249.3185698322937,-921.0263922960003,-1155.4081434239924,6817.025510228006,-1771.430359695998,0.24398838955243402,-1093.6656079244729,25381.147109205882
H03,20,2020,7,2,28.57142857142857,-758.4154855999986,-108.34506937142838,-316.49344879999626,-860.5645727999981,43.85647119999885,-722.5360575999966,-0.7146701703391988,,
H03,20,2021,2,0,0.0,-171.07878079999864,-85.53939039999932,-127.86210199999914,-171.07878079999864,-171.07878079999864,-171.07878079999864,-0.6473647180463094,,
H03,20,2022,1,0,0.0,-73.59644040000057,-73.59644040000057,-73.59644040000057,-73.59644040000057,-73.59644040000057,-73.59644040000057,-0.8478852580645228,,
H03,20,2023,7,4,57.14285714285714,-15.960783799993806,-2.2801119714276865,-169.7593706000007,-243.34170059999997,277.2941742000039,-327.1063006000004,-0.08700272080472994,,
H03,20,2024,10,6,60.0,1220.4710609999966,122.04710609999965,-533.9105186000015,-554.8438064000002,1717.5572027999951,-737.5120664000024,0.4123471032065121,,
H03,20,2025,8,5,62.5,5699.677988684027,712.4597485855033,-265.401363200006,-483.00691540000116,5833.401553060015,-575.8680061479972,0.9272115776000018,,
H03,20,2026,6,4,66.66666666666666,4320.96380404001,720.1606340066683,-921.0263922960003,-1062.5470526759964,4444.398475768001,-123.43467172799137,1.0361142084915507,,
