id,window,losing_direction,n,losing_mean,opposite_mean,opposite_cash,large
ALL__ma20slope5__high,2026,pt,4,-1.0579681574434552,0.7014336995149832,1863.5588946180055,True
ALL__ma20slope5__high,original_PT_window,rt,196,-1.3388646817747323,0.9034975056954934,50063.813315756604,True
ALL__range_pos20__low,primary,rt,119,-0.6163482645656831,0.23303318072032156,4259.106650371583,True
ALL__range_pos20__low,2023,rt,63,-0.8489673287734638,0.3708220985560354,3843.8788921501487,True
ALL__range_pos20__low,2021_2022,rt,89,-0.0739004173501788,-0.5135607375964573,-5030.780115699889,False
ALL__range_pos20__low,2021_2022,pt,89,-0.5135607375964573,-0.0739004173501788,-752.9190242999026,True
ALL__range_pos20__low,2024,rt,43,-0.6848017586915963,0.2754377949587515,2458.6576360500853,True
ALL__range_pos20__low,2025,rt,25,-0.7211722849874245,0.3324409289146965,-1849.8800393898882,True
ALL__range_pos20__low,2026,rt,51,-0.507248249703765,0.14855098234557929,3650.3290537113826,True
ALL__range_pos20__low,original_PT_window,rt,182,-0.6968702483299148,0.2807293445865302,8102.98554252173,True
ALL__range_pos20__high,primary,rt,138,-0.7264384605569492,0.34545538299933976,9194.989664145489,True
ALL__range_pos20__high,2023,rt,40,-1.2261516552404828,0.6808167655669998,4213.385099550092,True
ALL__range_pos20__high,2021_2022,rt,114,-0.1861586056420614,-0.40375763866898395,-5529.071304249852,False
ALL__range_pos20__high,2021_2022,pt,114,-0.40375763866898395,-0.1861586056420614,-1830.920360749856,False
ALL__range_pos20__high,2024,rt,47,-0.6628352465108784,0.2702054850382253,1402.6590853000955,True
ALL__range_pos20__high,2025,rt,73,-1.2095282969870569,0.8298541865358248,26010.540243815267,True
ALL__range_pos20__high,2026,pt,18,-1.4225650311112719,1.0666841505115245,13973.746700970141,True
ALL__range_pos20__high,original_PT_window,rt,177,-0.8556773220923564,0.4373997156407991,15075.313358880576,True
ALL__drawdown60__low,primary,rt,104,-1.0501925257222333,0.6703666829250323,30010.47962185547,True
ALL__drawdown60__low,2023,rt,118,-0.376644489965287,-0.0811584272629976,-1784.7113198497268,False
ALL__drawdown60__low,2023,pt,118,-0.0811584272629976,-0.376644489965287,-7841.023195149784,False
ALL__drawdown60__low,2021_2022,rt,89,-0.33420125779716675,-0.2618148524086104,-2761.9699948499133,False
ALL__drawdown60__low,2021_2022,pt,89,-0.2618148524086104,-0.33420125779716675,-2821.94001014991,False
ALL__drawdown60__low,2024,rt,25,-1.0083763561812313,0.6001940631575127,2777.0476513500444,True
ALL__drawdown60__low,2025,rt,38,-1.0877535628570023,0.7048169168525483,11351.044170735144,True
ALL__drawdown60__low,2026,rt,41,-1.0408775215125707,0.6812253806065537,15882.387799770278,True
