date,ret1,ret3,ret5,ret10,ret20,bias5,bias20,ma20slope5,range_pos20,drawdown60,overnight5,intraday5,overnight_minus_intraday5,volume_ratio,volume_trend,signed_volume5,volume_price_corr20,amihud20,atr20,rv5_20,downside_share20,range_expansion,body,clv,upper_shadow,lower_shadow,clv3,market_ret1,market_ret5,relative_ret5,beta_residual1,prev_late_return,prev_am_return,prev_pm_minus_am,us_NASDAQCOM,us_NASDAQSOX,current_gap,gap_over_atr
2023-04-06,-0.0197072072072072,0.03139810426540324,0.05835866261398226,0.1924657534246581,0.6565176022835402,0.01896289359709713,0.1857653669334245,0.12311634666870663,0.9232804232804248,-0.0197072072072072,-0.02984271907970006,0.0865619956484165,-0.11640471472811663,0.9291214576140759,1.2183852982589143,0.2003030702686466,0.5307828068794753,1.472642432126569e-11,0.060367604824813285,0.6425349440469026,0.11814655340868094,0.8372978116079954,0.1931818181818202,0.4431818181818202,0.5568181818181798,0.25,0.7124180336797155,0.004902869679492383,0.020700775503362356,0.0376578871106199,-0.027937917466763128,0.011554143556649509,0.007512315017466779,-0.0052121414903827865,-0.010676744384193637,-0.017985686406125745,0.03388856978747845,0.5613701236917223
2023-04-07,0.09132682366456057,0.10336817653890829,0.17574257425742612,0.18306351183063585,0.7975402081362353,0.07624334428458157,0.2579449152542377,0.12859597997459482,1.0,0.0,-0.011598957174961552,0.17349888324845236,-0.18509784042341398,1.071235037412318,1.0991429355667155,0.6737262166120884,0.509285418183349,1.5349498937237938e-11,0.05865789473684209,0.8526986091834258,0.10213202031869295,1.435621354867655,0.6249999999999992,1.0,0.0,0.37500000000000083,0.7934149184149183,2.1192083048404697e-05,0.022398125860015883,0.15334444839741024,0.09129175148374521,0.022891603801825915,0.03601043752303303,-0.017953653775790373,0.007593620889580155,-0.004604683448186764,-0.011578947368421022,-0.1973979362943019
2023-04-10,-0.033157894736842275,0.034346846846846635,0.08827014218009488,0.08122424955856422,0.6475336322869958,0.023284313725490113,0.1878435176204334,0.12800875273523005,0.9232643118148596,-0.033157894736842275,-0.02633474521592049,0.11092415527514358,-0.13725890049106412,0.6729510286521929,0.9949470088997703,0.36706331297503847,0.5561139907428087,1.4600719094003162e-11,0.061948829613500296,1.001528011970975,0.12393506925609597,1.098418277680142,-0.32799999999999907,0.5360000000000021,0.13599999999999876,0.5360000000000021,0.6597272727272738,0.0045334701028911795,0.020359442097098723,0.06791070008299616,-0.040544575749006335,0.0021798373754207427,-0.0085562019311958,-0.004961170690690931,0.007593620889580155,-0.004604683448186764,-0.016875340228633795,-0.27240773286467723
2023-04-11,-0.04899292324442017,0.00344629523262463,0.014518002322880363,-0.010758776896941935,0.6101382488479268,-0.029552271969781385,0.10597619650544465,0.12808427066595263,0.8115763546798027,-0.08052631578947378,-0.03263332670901391,0.04704695185539415,-0.07968027856440812,0.6577373720011284,0.9322268320003141,0.05124230610056747,0.5042974892092579,1.4178830410476774e-11,0.06748712077847739,1.1364483391564104,0.14798842521592087,1.0517387616624232,-0.4758064516129045,0.3064516129032247,0.21774193548387077,0.3064516129032247,0.6141505376344087,-0.0036926707672033654,0.012984850376438262,0.0015331519464421017,-0.043076053154839394,0.012093438490683117,-0.020134908409055925,0.007055392975237683,-0.00029778468712937656,0.017970079407278794,0.009730967372638899,0.1441899915182371
2023-04-12,-0.006868918145391922,-0.08684210526315783,-0.0230855855855856,-0.015882019285308635,0.4944013781223089,-0.0318080357142857,0.07877883479450376,0.12174367916303419,0.782321899736148,-0.08684210526315783,-0.015371398404248613,-0.007984832766907361,-0.00738656563734133,0.7006856403275056,0.7915806149737639,-0.46572750719370243,0.4697763137432867,1.2248539362751134e-11,0.06812680115273773,1.1110096227246848,0.16162422785513883,0.7106598984771567,-0.34523809523809457,0.5238095238095261,0.1309523809523794,0.5238095238095261,0.45542037890425074,-0.000539097167732705,0.005210083982628122,-0.02829566956821372,-0.005956647630400656,-0.00115207386014531,-0.027587956518829053,0.038599368851881075,-0.004342842088717935,-0.0056124775717557585,0.009798270893371708,0.14382402707275735
2023-04-13,0.06167146974063398,0.0027218290691346514,0.05801263641585286,0.11975683890577526,0.5663265306122456,0.016444101092594643,0.122076023391813,0.11806572450195807,0.9197786998616873,-0.030526315789473735,0.024095653039605636,0.0322966240074575,-0.008200970967851946,0.7330697898923357,0.7550662729013854,-0.05714818852751043,0.4600622207223407,1.2752331174523976e-11,0.06696525515743754,1.207694482963862,0.15180141161211294,1.248479935143898,0.5844155844155872,0.7922077922077959,0.20779220779220414,0.20779220779220875,0.5408229763068486,0.004107683841342746,0.004414655043905924,0.053597981371946934,0.054644523063104564,-0.005414198390872403,0.05766564184980908,-0.06523733838070264,-0.008522362262689986,-0.01829920170751298,-0.009229098805646152,-0.1378192136197829
2023-04-14,-0.041259500542888294,0.010875787063537423,-0.07052631578947388,0.09282178217821802,0.46313173156586607,-0.010865912400582434,0.05777005780000599,0.10536943855932224,0.809929078014184,-0.07052631578947388,-0.018503301875121766,-0.05463348211550487,0.03613018024038302,0.6510179963901004,0.6732935997565782,-0.5665881009798726,0.46894834671116603,1.2682380310586586e-11,0.07273499433748583,0.8571369439214667,0.17726780399122574,1.2456208641494733,-0.3687500000000005,0.19374999999999976,0.4374999999999997,0.19374999999999976,0.5032557720057736,-0.0026502310544155305,0.0017314953565568114,-0.07225781114603069,-0.03662843434159726,0.0005664117965082575,-0.0049437068553532994,-0.02297547114198003,0.019861089599533255,0.007344725581338807,-0.0045300113250283935,-0.06228104320747485
2023-04-17,0.02321630804077035,0.04149855907780964,-0.016330974414806576,0.07049763033175394,0.46315789473684243,0.015510846352703167,0.06409916674027616,0.09806013579049488,0.855813953488372,-0.04894736842105274,-0.011397099407581284,-0.005068695215315923,-0.006328404192265442,0.4683332915980578,0.6395151398811707,-0.24847393316041322,0.4571543071747265,1.2569938390480293e-11,0.07208079690094076,0.8754865087624757,0.17726532974375575,0.7447216890595021,0.5051546391752605,0.6907216494845355,0.3092783505154645,0.18556701030927503,0.5588931472307768,0.005963390752997011,0.0031574274869468066,-0.019488401901753383,0.012503636542312254,-0.0011061948030666356,0.02194180853843673,-0.016392404729767225,-0.003517906995037845,-0.0014601879451088262,-0.0044272274488103,-0.061420345489445034
2023-04-18,-0.007747648035418053,-0.02660152008686223,0.02633085289066961,0.04123112659698003,0.31935246504782944,0.002460024600245747,0.04253277902142627,0.0887883008356547,0.7770833333333327,-0.05631578947368443,0.0011851951889182847,0.024804968282158155,-0.023619773093239944,0.4087760514569466,0.5961260324032117,-0.18674106522872275,0.5018375198714786,1.0214835045989889e-11,0.07155605131065254,0.7837568031843479,0.21340030941301544,0.6625097427903359,-0.07058823529411362,0.6352941176470601,0.2941176470588262,0.6352941176470601,0.506588589043865,0.014216546428001742,0.02118977927510568,0.005141073615563929,-0.03332533738507763,0.0011160715444211294,-0.008372920810578386,0.013405081275756509,0.0028250988184479464,-0.001227839434351008,-0.002788622420524356,-0.038971161340609274
2023-04-19,0.07027328499721164,0.08663646659116675,0.10605187319884712,0.08051801801801806,0.2896505376344092,0.05127643256272618,0.10198690708625269,0.0827581918796243,0.9327102803738323,0.0,-0.011291249115435373,0.11208805274217579,-0.12337930185761123,0.7688885233966962,0.6233298511730154,0.29401316571439673,0.43932912051611306,1.0227149302316895e-11,0.06826472120896299,0.9863763355644012,0.23198811313808698,1.4503816793893123,0.6894736842105279,0.8105263157894749,0.18947368421052516,0.12105263157894688,0.7121806943070234,0.0022807414735810383,0.02407092289118351,0.08198095030766361,0.06652066279439557,0.015227387954011939,0.014436674941622459,0.04183319039099551,-0.00035447192478732514,0.0035999971658580154,-0.005732152162584825,-0.08396946564885711
