window,label,stage,n,previous20_mean_pct,day_mean_log_bp,day_linked_pct,night_mean_log_bp,night_linked_pct,intraday_mean_log_bp,intraday_linked_pct,raw_night_mean_log_bp,raw_night_linked_pct,action_mean_log_bp,action_linked_pct,daily_down_pct,intraday_down_pct,night_down_pct,rt_net_mean_pct,pt_net_mean_pct,gross_rt_arith_mean_pct,remove5_worst_daily_mean_log_bp
2023,stage_contemporaneous_hindsight,D,57,-11.69612396734012,-125.2067939193051,-51.016110386671635,-49.59199149340795,-24.623478960243837,-75.6148024258972,-35.01439315898837,-49.59199149340795,-24.623478960243837,0.0,0.0,66.66666666666666,63.1578947368421,49.122807017543856,0.517209986874597,-0.9434653818175895,0.73055483682857,-67.50458760791152
2023,stage_contemporaneous_hindsight,C,23,-4.783185964730244,165.24580581920333,46.23801578035844,45.256334382977194,10.969984525952176,119.98947143622588,31.781595180954692,45.256334382977194,10.969984525952176,0.0,0.0,30.434782608695656,39.130434782608695,39.130434782608695,-1.4643492996314855,1.0343212903579464,-1.2496441636301916,261.3832148124127
2021_2022,stage,ALL,485,-1.0791954762778977,-6.721858527673978,-27.82021306196213,-4.050868454673695,-17.837165405131113,-2.670990073000291,-12.15032040466443,-5.568977652112243,-23.669334090338285,-1.5181091974385508,-7.098305108343239,48.65979381443299,48.65979381443299,46.391752577319586,-0.2772199355396541,-0.30955112549803576,0.016173677693749763,-1.1743360153267473
2021_2022,stage,U,73,5.758701497947622,-31.58587607238985,-20.592462803200732,-4.33210679388885,-3.112955875438747,-27.253769278501075,-18.041119001720997,-11.43879890545722,-8.011188642100075,-7.106692111568391,-5.0556117290192155,52.054794520547944,57.534246575342465,47.94520547945205,-0.033397436833252914,-0.5537897839815458,0.26032627032611133,-1.094020336007454
2021_2022,stage,R,123,-1.539667059767353,-7.806787801480948,-9.155732346243841,-4.101343520460223,-4.9195228688757195,-3.7054442810206574,-4.455393583612272,-4.101343520460223,-4.9195228688757195,0.0,0.0,52.84552845528455,51.21951219512195,43.90243902439025,-0.26314962998955055,-0.31971836532157394,0.02829850970474433,4.06689060661552
2021_2022,stage,D,166,-6.493997927968901,-1.040295535070905,-1.7120652942356323,-3.7417553483373616,-6.022344439911728,2.7014598132663985,4.586493587212395,-5.051962797814499,-8.044238922701922,-1.3102074494771354,-2.151462994836484,42.77108433734939,40.963855421686745,45.18072289156627,-0.3349986893264364,-0.25838264767840313,-0.03832717463790691,13.73762072050583
2021_2022,stage,C,123,2.6307942199127234,1.4519636241179454,1.8019580856702369,-4.25065661562802,-5.093982769645245,5.7026202397459835,7.2660733813934675,-4.25065661562802,-5.093982769645245,0.0,0.0,50.40650406504065,51.21951219512195,49.59349593495935,-0.35802007260976926,-0.2234858795668779,-0.06730072972462195,15.70413075702373
2021_2022,stage_contemporaneous_hindsight,ALL,485,-1.0791954762778977,-6.721858527673978,-27.82021306196213,-4.050868454673695,-17.837165405131113,-2.670990073000291,-12.15032040466443,-5.568977652112243,-23.669334090338285,-1.5181091974385508,-7.098305108343239,48.65979381443299,48.65979381443299,46.391752577319586,-0.2772199355396541,-0.30955112549803576,0.016173677693749763,-1.1743360153267473
2021_2022,stage_contemporaneous_hindsight,U,73,5.75383232215096,23.720345490086334,18.90545815474799,1.1004434201708395,0.8065589990474062,22.619902069915433,17.95408883649283,-6.006248691397531,-4.289829221329096,-7.106692111568391,-5.0556117290192155,36.986301369863014,43.83561643835616,49.31506849315068,-0.529951882305878,-0.05847839219740048,-0.23585461221742107,48.24911934071149
2021_2022,stage_contemporaneous_hindsight,R,124,-0.8792455661471132,-42.08076673505295,-40.65495211064476,-6.44398028908049,-7.679628167184455,-35.6367864459724,-35.71836127694091,-6.44398028908049,-7.679628167184455,0.0,0.0,61.29032258064516,58.87096774193549,42.74193548387097,0.055134221107565086,-0.6370069129132858,0.3462436005185671,-25.729206584167937
