name,date,stage,net_pct,cash
PT_R1,2024-11-27,R,1.625379479927012,356.28318200000103
PT_R1,2025-03-04,R,2.983599623589994,608.3559632499998
PT_R1,2025-03-05,R,-0.1995035171102703,-41.97554000000088
PT_R1,2025-05-28,R,0.2259667318919068,41.80384540000277
PT_R1,2025-11-12,R,3.052755509864547,2028.5560363049915
PT_R1,2026-06-09,R,3.6365458298722175,2617.949342925009
PT_D1,2024-01-31,D,-0.1520509206766802,-20.222772449998477
PT_D1,2024-08-02,D,-2.809603229393796,-644.2420204999974
PT_D1,2024-08-05,D,-3.418863025592392,-721.3800983999947
PT_D1,2024-08-08,D,2.1956016120000283,439.1203224000057
PT_D1,2024-08-12,D,0.4324654346660307,88.6986606500029
PT_D1,2024-08-21,D,2.111697018965518,428.67449485000014
PT_D1,2024-09-09,D,2.382638457528969,431.9723523500021
PT_D1,2024-09-23,D,0.1157966638069689,21.59607779999971
PT_D1,2025-01-13,D,1.0274791129363523,200.15293120000143
PT_D1,2025-04-03,D,-3.253217508905826,-639.2572404999949
PT_D1,2025-04-07,D,-0.2102840379008831,-36.06371250000146
PT_D1,2025-04-09,D,11.770061668381356,1716.074991250002
PT_D1,2025-04-17,D,0.8341936753775027,143.64815090000596
PT_D1,2025-12-04,D,0.6741062348948762,410.3958758040006
PT_D1,2026-01-09,D,1.4389248747867922,870.5495492460093
PT_D1,2026-01-30,D,1.04760894015791,597.1370958900087
PT_D1,2026-02-05,D,2.8975786819341933,1514.5643770470028
PT_D1,2026-03-04,D,-0.5861466691255934,-316.40197199399535
PT_D1,2026-03-23,D,-2.9338132137793544,-1436.1015681449942
PT_D1,2026-03-27,D,1.669535233251106,811.8949839300128
PT_C1,2024-01-23,C,2.9764635391459104,418.1931272500004
PT_C1,2024-02-05,C,6.18160804719021,858.0071969500011
PT_C1,2024-10-14,C,2.331211463325204,572.0792931000051
PT_C1,2024-12-26,C,2.8484811658569043,644.8961359500031
PT_C1,2025-02-05,C,-2.9215982626458734,-600.6806027999916
PT_C1,2025-02-12,C,1.7797276226979848,386.5568396500023
PT_C1,2025-02-19,C,2.6327761646017778,595.0074132000018
PT_C1,2025-05-16,C,0.9521189794736812,180.90260609999945
PT_C1,2025-12-11,C,-2.8474535593141788,-1822.655023317006
PT_C1,2025-12-12,C,1.0490453147950938,639.9176420250072
PT_C1,2026-01-21,C,4.669755304368941,2741.613339195005
PT_C1,2026-09-02,C,-0.0495857942060835,-30.604352183994763
PT_C1,2026-09-11,C,2.0686076891270377,1296.189578007002
PT_PT_matrix,2024-01-23,C,2.9764635391459104,418.1931272500004
PT_PT_matrix,2024-01-31,D,-0.1520509206766802,-20.222772449998477
PT_PT_matrix,2024-02-05,C,6.18160804719021,858.0071969500011
PT_PT_matrix,2024-02-26,U,0.1885324877840999,33.1817178500016
PT_PT_matrix,2024-03-14,U,0.1550922832674674,35.31451290000233
PT_PT_matrix,2024-03-28,R,4.392895484611964,984.8871676500024
PT_PT_matrix,2024-04-24,R,5.598586898667947,1176.8229661000023
PT_PT_matrix,2024-05-17,U,1.790465982142854,451.19742749999926
PT_PT_matrix,2024-06-21,U,3.335372444909102,917.227422350003
PT_PT_matrix,2024-06-25,U,-1.383951388639742,-370.3453915999949
PT_PT_matrix,2024-07-09,R,6.81511534870849,1846.8962595000007
PT_PT_matrix,2024-07-16,R,1.6636597459198847,448.52266750000086
PT_PT_matrix,2024-08-02,D,-2.809603229393796,-644.2420204999974
PT_PT_matrix,2024-08-05,D,-3.418863025592392,-721.3800983999947
PT_PT_matrix,2024-08-08,D,2.1956016120000283,439.1203224000057
PT_PT_matrix,2024-08-12,D,0.4324654346660307,88.6986606500029
PT_PT_matrix,2024-08-21,D,2.111697018965518,428.67449485000014
PT_PT_matrix,2024-09-09,D,2.382638457528969,431.9723523500021
PT_PT_matrix,2024-09-23,D,0.1157966638069689,21.59607779999971
PT_PT_matrix,2024-10-14,C,2.331211463325204,572.0792931000051
PT_PT_matrix,2024-10-16,U,-0.5328272676831685,-125.80051789999608
PT_PT_matrix,2024-10-31,R,-1.2121691377550723,-296.9814387499927
PT_PT_matrix,2024-11-04,R,2.116505404751891,503.3049852499997
PT_PT_matrix,2024-11-19,R,0.9556043980810272,224.0892313500009
