id,window,direction,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters
ALL__clv__low,2021_2022,pt,95,-0.07524367656688893,-0.0934645799782253,47.368421052631575,-869.5316990998855,0.8786675342270966,0.8669875669571556,-4.543328205949629,-2770.8438224999095,33
ALL__clv__low,2024,rt,49,-0.690663461819595,-0.3023892860902004,48.97959183673469,-6597.176034799863,0.4534089401458936,0.49499667596667607,-8.358010529574145,-6813.3578063998675,18
ALL__clv__low,2024,pt,49,0.2918515642994747,-0.1520509206766802,48.97959183673469,2320.595124800101,1.3792986131027494,1.2701503991743175,-3.737101711290311,-3339.8891149999536,18
ALL__clv__low,2025,rt,47,-1.289828630485947,-1.0368644458264284,23.404255319148938,-20635.01845060482,0.23660717309920581,0.2962999226076689,-12.229427049039757,-21361.313302154816,16
ALL__clv__low,2025,pt,47,0.8992641820336339,0.6321089392988223,63.829787234042556,14776.132799105171,2.74756113144572,2.444417398293995,-7.80341265242462,-6133.842967202983,16
ALL__clv__low,2026,rt,39,-0.7487513171741486,-0.7353125203397195,38.46153846153847,-19502.72099249374,0.4315385569736522,0.41156757892844775,-7.326522662142857,-19731.056693012793,10
ALL__clv__low,2026,pt,39,0.3896219054359017,0.3762071559172442,56.41025641025641,10929.675025494269,1.5448334193385946,1.6410481203957739,-5.272534001019839,-4786.329199787966,10
ALL__clv__low,original_PT_window,rt,186,-0.8019625883859051,-0.5679149119980238,39.784946236559136,-49687.66605737337,0.4375577348819114,0.42358352920989195,-12.229427049039757,-49801.17380427337,56
ALL__clv__low,original_PT_window,pt,186,0.38791057756824354,0.13348739006141885,52.68817204301075,27451.34329987466,1.4829019340831786,1.6024472869604023,-7.80341265242462,-6133.8429672029815,56
ALL__clv__high,primary,rt,142,-0.2540288853304064,0.5175974624275805,53.52112676056338,-14831.24852092134,0.817704751074089,0.8192717824170648,-11.91543918827798,-23517.136044257604,43
ALL__clv__high,primary,pt,142,-0.1263435467113486,-0.8903017377813293,38.028169014084504,-5233.646344077535,0.9069764544048652,0.9333600853161704,-7.467996327810795,-19309.851330821803,43
ALL__clv__high,2023,rt,38,-0.8554941971291664,-0.1068656250549384,50.0,-5833.00060869994,0.5471722411625194,0.5473570133675066,-10.90774674562256,-9970.352984499963,19
