n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,months,delete5_pct,delete5_cash,stress10bp_pct,delayed_n,delayed_pct,delayed_cash,max_cash_loss,month_ci,name,window,direction
30,1.8166344033984207,1.0400204016957955,73.33333333333333,23680.07553133808,4.718702988235591,4.909456299531015,-3.369841558624988,-1822.6550233170055,15,11,0.5986753695917622,5668.534988253054,1.7156554627702294,29,0.9277782770461728,12023.13520406805,-1822.655023317006,,PT_PT_matrix,2025,pt
15,1.3607476012640263,1.4389248747867922,73.33333333333333,12890.071608966135,3.494579079827634,3.405790312345269,-4.6126820117264495,-3574.8285590879987,10,6,-0.030684569186094857,-607.5057343769345,1.26000231482017,15,1.2955992333029187,12679.936059699132,-3574.8285590879987,,PT_PT_matrix,2026,pt
91,1.3826919879277195,1.4191128763200147,71.42857142857143,46105.43552409732,3.6724427300956015,3.7992040109479994,-4.744503777897002,-3574.828559087997,51,38,0.9839818511670649,26029.52250516124,1.2819270847311874,90,0.8682653333659565,30956.77082113429,-3574.8285590879987,,PT_PT_matrix,original_PT_window,pt
23,0.8112552102329732,0.777436959612295,60.86956521739131,8706.203697820081,2.0589290436085164,2.4510443853912003,-6.953841041699601,-1769.2447286879653,12,12,-0.2773830949904833,-2274.358570397918,0.7117802198129455,23,1.0162815380999362,10703.93790303408,-1759.3217835499988,"[-0.2060353452688956, 2.027514401630542]",RT_UR_volume,primary,rt
26,-1.74546788230781,-1.6544822116507356,34.61538461538461,-6447.90722509996,0.29809891621545365,0.26790042053613616,-10.90774674562256,-6790.395187699967,4,5,-2.8746890003442753,-8369.265750599965,-1.8461502282529993,26,-1.1249993226213124,-4361.012094649966,-1121.316365449999,,RT_UR_volume,2023,rt
15,0.3132621807636237,0.0970579701195357,53.333333333333336,748.1337812500153,1.449932116733558,1.5696409482629026,-4.332462471166447,-661.1337730999998,9,10,-0.9250653291976281,-1186.9053342999925,0.2136139788946738,15,0.32293198761818315,688.224350950027,-661.1337730999998,,RT_UR_volume,2021_2022,rt
9,0.6690442509096531,0.8073696187253275,66.66666666666666,1382.586073950027,1.5833321777068057,1.5489835084014334,-6.953841041699601,-1759.3217835499988,5,5,-2.3862451259739235,-2375.300738499992,0.5695014174764771,9,0.6420785483897061,1292.6769510000213,-1759.3217835499988,,RT_UR_volume,2024,rt
9,0.40095643536521686,0.7265464680488039,55.55555555555556,854.9127892000408,1.800060074057188,1.57739051613308,-2.34097114972114,-771.9422258999934,4,4,-1.1276052996830992,-1480.6491712499762,0.30127600555446227,9,1.023280069317827,3471.9492263950324,-545.6803749999976,,RT_UR_volume,2025,rt
5,1.8057727317769117,2.165855526381241,60.0,6468.704834670013,4.2388551100520715,4.2329617499508885,-1.583364860164202,-1060.5377833379823,3,3,,,1.7067896496838586,5,1.6772495633861468,5939.311725639027,-1060.5377833379823,,RT_UR_volume,2026,rt
49,-0.5453733694825442,-0.5474111018884396,46.93877551020408,2258.296472720121,0.6752016746105403,1.1525115999168472,-10.90774674562256,-6790.395187699967,16,17,-1.1885640098480048,-8722.265795497879,-0.6454889975281681,49,-0.11990830636439985,6342.925808384116,-1759.3217835499988,,RT_UR_volume,original_PT_window,rt
15,1.211148507524483,1.4106470517625915,73.33333333333333,5177.304172437052,5.439498134242947,4.096506688280085,-2.068958700737071,-1237.8579906509894,10,9,0.205373591270326,-197.40581175697088,1.111874798680851,15,0.9097118299249972,3808.730829423046,-1237.8579906509894,"[0.26533414864616645, 2.343396174338847]",RT_R_deceleration,primary,rt
13,-0.19692553734467483,0.0743095267807945,53.84615384615385,-196.56247334997994,0.795446403634491,0.8975592546126371,-4.985498845117839,-1007.477204349994,3,4,-1.4744759594227668,-1844.3728277499888,-0.2968367770900682,13,0.43136932956440227,1111.4600882000345,-740.3465784999989,,RT_R_deceleration,2023,rt
16,-0.4639569094049899,-0.3879018900797882,31.25,-853.9004466499816,0.28374823137051886,0.2856381227825524,-2.4348729769618367,-904.8367770499814,7,7,-0.9421916192560005,-1195.3331691999845,-0.5639926933204223,16,-0.25348452696317614,-514.4136749499797,-338.20385649999906,,RT_R_deceleration,2021_2022,rt
9,1.7523790449131278,1.4668506262921408,88.88888888888889,3971.5869144500257,11.51710687367368,13.301151516148735,-1.4995960004644429,-322.8630188999946,6,5,0.3534755521334636,375.01270030000603,1.6533765547126782,9,1.386826533943736,3072.4956849500263,-322.8630188999946,,RT_R_deceleration,2024,rt
5,-0.16540338442454705,-0.0456237770988132,40.0,-898.7927764069782,0.6810067605690784,0.33379291771975905,-2.068958700737071,-1237.8579906509894,3,3,,,-0.2653650473983131,5,-0.5799792979329205,-1917.6450974059762,-1237.8579906509894,,RT_R_deceleration,2025,rt
1,3.22283313077183,3.22283313077183,100.0,2104.510034394005,,,3.22283313077183,0.0,1,1,,,3.124558224790225,1,4.064135133045935,2653.880241878996,0.0,,RT_R_deceleration,2026,rt
28,0.5573998438352313,0.6769585258146529,64.28571428571429,4980.741699087072,1.9397738978838057,2.387094119667195,-4.985498845117839,-1237.8579906509894,13,13,-0.0878394977605904,-506.06893565694776,0.4578301385014956,28,0.6876242404718637,4920.19091762308,-1237.8579906509894,,RT_R_deceleration,original_PT_window,rt
