id,stage,factor,tail,timing,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,months,delete5_pct,delete5_cash,stress10bp_pct,delayed_n,delayed_pct,delayed_cash,max_cash_loss,2024_n,2024_pct,2025_n,2025_pct,2026_n,2026_pct,basic_pass,cluster_t,maxT_p,statistical_pass,literal_open_pass
C__market_ret5__high,C,market_ret5,high,previous_close,45,0.2524770831756354,-0.0601616965596156,46.666666666666664,4791.356863242206,1.2580388361105983,1.3126525838365397,-4.650157583560376,-3864.929877649979,11,12,-0.29703635400215644,-5707.626024321823,0.15272422083067191,45.0,0.11561232454897827,4012.1038646521656,-2552.6937666149925,16,0.3507559852659058,14,-0.06824944587920403,15,0.4469910147305305,False,0.47827764223521574,1.0,False,False
C__market_ret1__high,C,market_ret1,high,previous_close,41,0.24132958658312045,0.2312396268758889,51.21951219512195,748.310793163165,1.2354431134090502,1.052586830757311,-4.650157583560376,-6698.169248849928,16,14,-0.3767289468116992,-6184.783365407873,0.14157208576035368,41.0,-3.0617155443336786e-05,-1779.0547059298801,-2839.1262382439963,17,0.008185101618172926,11,1.1309906265250171,13,-0.20657927456739905,False,0.5208459657009672,1.0,False,False
C__volume_ratio__high,C,volume_ratio,high,previous_close,39,0.23569313305020023,0.6008375896032866,56.41025641025641,1049.6891613962016,1.2202606645416838,1.0756323259758778,-8.827690427622347,-4855.455308879981,12,13,-0.382862343334619,-6077.016489714864,0.13593404906422285,39.0,0.1336966166750108,-1157.9981027738327,-4107.17063607298,19,0.16879824456332326,10,0.6174194437411774,10,-0.018932889515710725,False,0.6513822728870684,1.0,False,False
C__volume_trend__low,C,volume_trend,low,previous_close,13,0.23445424855949767,0.8348573339726291,61.53846153846154,1584.3877936890376,1.3334743130908855,1.4541585486020447,-2.9949263800546064,-1918.8309033630112,4,5,-0.8997311310625619,-3072.4704973979933,0.13469304984783378,13.0,-0.1084932859031755,-742.9617694009758,-1804.1640813630029,0,,7,0.11847771769428739,6,0.36976020123557635,False,,,False,False
C__volume_price_corr20__low,C,volume_price_corr20,low,previous_close,14,0.22996300915047727,0.9232470642599018,64.28571428571429,101.80438246111498,1.2311077224421432,1.0155743493361507,-6.417454118864033,-4421.233486872968,4,5,-1.1146044791422696,-5559.330291632949,0.13019892973400976,14.0,-0.246735125156067,-2615.1676199549065,-4107.17063607298,1,4.317682361806598,11,-0.07706280449244413,2,-0.12525469214151508,False,,,False,False
C__beta_residual1__high,C,beta_residual1,high,previous_close,31,0.22816312243174994,1.151360221667406,61.29032258064516,2657.5505447501664,1.1881443168201422,1.2481362403787608,-9.120108097805772,-3077.760088160974,17,15,-0.5322033344754057,-4469.1551063609,0.12840022237027188,31.0,0.13678026377262653,-978.3314468288668,-2839.1262382439963,12,0.2769344682079828,11,0.41362300591862466,8,-0.10000123602705221,False,0.3887609497375115,1.0,False,False
R__volume_ratio__high,R,volume_ratio,high,previous_close,13,0.2269801824358303,0.777436959612295,61.53846153846154,416.1944491540669,1.1910555108499163,1.0973268354092949,-6.953841041699601,-2887.704363795953,7,7,-1.6186193794602004,-3691.906405095951,0.12721372045094145,13.0,0.277723798175915,1504.8434623490616,-1759.3217835499988,8,1.3393473934381257,5,-1.5528073551678423,0,,False,,,False,False
ALL__combo_exhaustion,ALL,combo_exhaustion,fixed,previous_close,60,0.17466822959497913,0.5646148966016435,58.333333333333336,11132.553588704328,1.1298377593553153,1.4122758000129116,-12.332728137168736,-8788.542075920916,19,20,-0.41672982067215575,-8474.393007435714,0.07487623841290232,60.0,0.05016457607782595,5718.615102109266,-5919.709505840993,27,0.3287888413442395,20,-0.4437545699609101,13,0.8059912660478832,False,0.40572646780306937,1.0,False,False
D__combo_late_distribution,D,combo_late_distribution,fixed,previous_close,4,0.16644637625093958,0.207250099990059,75.0,223.79828859400513,4.166124788404409,7.205636443946143,-0.2102840379008831,-36.06371250000146,4,4,,,0.06665309293784379,4.0,0.37198350364438626,613.3557684160054,-36.06371250000146,2,0.3236515600832909,1,-0.2102840379008831,1,0.2287664227380597,False,,,False,False
C__ret10__high,C,ret10,high,previous_close,30,0.1473939969419464,0.9667342379040516,56.666666666666664,-1147.0083465108632,1.1132672028422341,0.916810220704279,-9.500315327488163,-8421.298480691998,9,10,-0.6653570040778625,-8177.8956355199325,0.04758938379084141,30.0,-0.24823528337795006,-4483.4558062519,-5813.242948890008,14,-0.06304035355578289,8,1.7657613259394687,8,-1.1027132186845494,False,,,False,False
C__bias5__high,C,bias5,high,previous_close,43,0.13418714681358865,0.6008375896032866,55.81395348837209,5165.812153342217,1.117539440065482,1.357544964915437,-8.827690427622347,-4956.853365449975,15,13,-0.4698123149479827,-3771.289147082837,0.034376297981294164,43.0,0.1925659560072573,3997.1613670441425,-2839.1262382439963,18,-0.6596345539558204,11,1.1668755572768406,14,0.3434170110102741,False,0.2646916046076025,1.0,False,False
D__atr20__high,D,atr20,high,previous_close,9,0.13337251216244794,0.3894935640341019,55.55555555555556,930.0527034030548,1.1021846287680805,1.1343374204567402,-6.235135426079971,-6232.05531366298,1,1,-2.936724984797776,-6923.258614322978,0.0335536478506855,9.0,0.13958698158995894,940.0412526300581,-3585.2028699959837,0,,0,,9,0.13337251216244794,False,,,False,False
C__ret3__high,C,ret3,high,previous_close,44,0.12409428453695912,0.6221786639911043,52.27272727272727,4112.862107120228,1.1060015525491365,1.2582600794470684,-8.827690427622347,-6456.738288248983,15,14,-0.4657119682405501,-4621.122600037827,0.024278312937900403,44.0,0.12254006207818949,2784.299800580158,-2839.1262382439963,17,-0.5485576215229071,14,1.033937240741316,13,0.023885131933630246,False,0.2467932479249809,1.0,False,False
R__range_expansion__high,R,range_expansion,high,previous_close,13,0.11935158357239631,0.1434161457564871,53.84615384615385,-33.235232049955584,1.1222179713945952,0.9904519723157318,-6.953841041699601,-2397.1142960499865,9,9,-1.4781434187843205,-3312.472979599961,0.019533706490442008,13.0,0.7327318018800499,3043.3367224450376,-1759.3217835499988,8,-0.044664899191334095,5,0.3817779559943649,0,,False,,,False,False
R__combo_exhaustion,R,combo_exhaustion,fixed,previous_close,7,0.10495034468872798,0.777436959612295,71.42857142857143,625.0145297500294,1.0554485107588256,1.2097803222860086,-6.953841041699601,-1759.3217835499988,4,4,-6.6246361062471015,-2979.3763444499928,0.005124841700049391,7.0,-0.12351106150626623,75.56988950002685,-1759.3217835499988,5,1.2607074231133788,2,-2.784442351372899,0,,False,,,False,False
R__downside_share20__low,R,downside_share20,low,previous_close,3,0.10153623758809908,0.7265464680488039,66.66666666666666,44.31720090001613,1.243672348840351,1.144112331187513,-1.2500750052845364,-307.51845129999595,3,3,,,0.001709626882372565,3.0,-0.08311203585972325,-65.5717271499872,-307.51845129999595,2,-0.2109688776422533,1,0.7265464680488039,0,,False,,,False,False
C__prev_am_return__high,C,prev_am_return,high,previous_close,35,0.09991542014407796,0.9591418751983116,54.285714285714285,-2767.90602161482,1.078802680077102,0.8319218030337531,-9.120108097805772,-5426.781054164885,16,13,-0.6163773303565231,-10412.490746922878,8.860715620534e-05,35.0,0.01056696198762068,-5295.036042505862,-4107.17063607298,13,0.45978341289565827,14,0.24324722073950703,8,-0.7357007191192406,False,0.22443519358070432,1.0,False,False
C__range_expansion__high,C,range_expansion,high,previous_close,34,0.09378011563576628,0.6103885367541223,55.88235294117647,2376.624315445133,1.0772400988967339,1.2563440361378717,-8.827690427622347,-2852.800176099991,10,11,-0.5977886176578395,-3861.964110163919,-0.006047579669024681,34.0,0.12625720929621603,318.97776139111147,-2839.1262382439963,21,-0.16328187410883468,9,0.9030249223333,4,-0.3774452532745297,False,,,False,False
C__ret1__high,C,ret1,high,previous_close,40,0.08963603374912887,0.9667342379040516,55.00000000000001,-2338.5813477727743,1.0749495081001483,0.8689323394537626,-8.827690427622347,-6970.035481757855,17,14,-0.4949972040508468,-9539.898084472834,-0.010196842439859254,40.0,0.14590068469942924,-1639.4424480948405,-4107.17063607298,18,-0.10841539792982179,14,0.28412908812043025,8,0.19488890987699048,False,0.1654263937572147,1.0,False,False
C__lower_shadow__high,C,lower_shadow,high,previous_close,22,0.07686390098126485,0.5514251660681724,54.54545454545454,740.9982871520881,1.0609144967468334,1.061918201483521,-9.500315327488163,-5924.28492557999,12,11,-1.023528396194809,-8724.117398803954,-0.02297643643861352,22.0,0.022062855981919233,1789.636263873077,-5813.242948890008,7,0.1884008265722367,7,0.7941728878231793,8,-0.6483762723975106,False,,,False,False
R__signed_volume5__high,R,signed_volume5,high,previous_close,13,0.06909007475425691,0.1876649800000029,61.53846153846154,2228.843851293059,1.052495516118875,1.4189689558517689,-6.953841041699601,-3168.0188822429654,8,7,-2.017401158559465,-5022.445128727956,-0.030756369036803784,13.0,-0.0448835113001959,2118.8615439560767,-1759.3217835499988,4,0.504604916919625,6,-1.1944674143682088,3,2.015518596778698,False,,,False,False
R__clv__high,R,clv,high,previous_close,30,0.06705794868381366,0.1799764724074142,56.666666666666664,-1947.8407628738917,1.0547866730365147,0.8781464256072609,-8.628950102799992,-11040.27572207497,16,14,-0.8460819604152608,-12267.700931646918,-0.03278785288780444,30.0,-0.11221304063429603,-3835.836258890837,-6212.844074015994,18,0.920919632335915,7,-1.3390856248304999,5,-1.038243109543712,False,0.11555999732676663,1.0,False,False
U__lower_shadow__high,U,lower_shadow,high,previous_close,51,0.05032585665104919,0.1671872824960278,56.86274509803921,10310.931529731211,1.0333586693336232,1.34337728324525,-11.294812295554268,-12591.117938669962,16,15,-0.5872800394271697,-9905.677922609822,-0.04953060508415261,50.0,0.14880063362094606,10923.115543290187,-6859.1247409980015,21,0.4397672179850113,19,-0.77017974421951,11,0.7240838410626332,False,0.07446819918697732,1.0,False,False
C__ma20slope5__low,C,ma20slope5,low,previous_close,10,0.04618967427253755,0.9812147223519848,60.0,-735.7565700628979,1.0391723923353797,0.8776029468476875,-6.417454118864033,-4107.17063607298,6,6,-2.180806464213839,-5788.845846082965,-0.053668018511464,10.0,0.07086747882902941,-1045.411069360903,-4107.17063607298,2,0.745485177290587,5,-0.37072828379104916,3,0.27485593569981587,False,,,False,False
D__combo_weak_rebound,D,combo_weak_rebound,fixed,previous_close,3,0.044008040738097755,-1.0589240127478876,33.33333333333333,38.0555932500032,1.0581174159720426,1.0941443925365038,-1.2127551389508635,-217.3257208999948,1,1,,,-0.05584122916969495,3.0,0.3854125824649964,217.87383915000308,-217.3257208999948,0,,3,0.044008040738097755,0,,False,,,False,False
C__atr20__low,C,atr20,low,previous_close,35,0.02663640826639963,0.2197914564755877,51.42857142857142,392.2505827531529,1.0239806066054384,1.0401055302188336,-9.120108097805772,-2870.49205139995,6,6,-0.7162338604103841,-5540.964928331877,-0.0732268245897526,35.0,-0.11567161809872165,-496.9021704708872,-1953.5271545499963,14,-0.015715712158723378,17,0.08174945913225348,4,-0.0593616364255487,False,,,False,False
R__volume_trend__high,R,volume_trend,high,previous_close,15,0.019918128948434907,0.1876649800000029,60.0,-1226.5812247639135,1.018836658807646,0.7703731718743783,-6.295431170794602,-3931.7804476139518,6,7,-1.4262704948395843,-4927.816426963941,-0.079951306251666,15.0,0.5181957216637028,1190.7478340720675,-1237.8579906509894,8,1.3269640938357568,7,-1.4738486880656472,0,,False,,,False,False
