id,window,losing,losing_mean,large,opposite,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters
MKT20_high,old2020_2023,rt,-0.6836353744646677,True,pt,15,0.13273971819960245,-0.2020745457920642,40.0,-369.75346154998,1.108658113762385,0.8721136948456054,-5.049697691046656,-982.1157520500004,10
MKT20_high,recent2024,pt,-1.7610894346532031,True,rt,15,1.3783625617524933,0.9743266006097916,73.33333333333333,8011.994121242077,3.3595212283505895,3.986992008980665,-4.650157583560376,-1076.076972399994,9
MKT20_high,all_available,pt,-0.7530969012010953,True,rt,32,0.2828056040695014,0.6824254972673083,59.375,6983.29969434211,1.255446162414179,2.1430058638074403,-10.90774674562256,-2264.249169349984,21
MKT20_high,2019,rt,-0.6855642395466712,True,pt,2,0.16307245418448613,0.16307245418448613,50.0,100.44434595000138,1.278857132427712,1.5547862553158618,-1.1695770717054137,-181.05053069999803,2
MKT20_high,2020,pt,-1.1000078527414203,True,rt,3,0.5796473788884502,1.47744122885733,66.66666666666666,375.9731225500053,1.9019236759985643,2.246026026837949,-1.928036909265168,-301.7377762999988,2
MKT20_high,2021,rt,-0.805486013505156,True,pt,7,0.25280693003163274,-0.2020745457920642,42.857142857142854,205.66087735001133,1.2584131087441437,1.197994662714854,-5.049697691046656,-910.6629339999957,4
MKT20_high,2022,rt,-0.5818144814912813,True,pt,2,-0.0392346568835552,-0.0392346568835552,50.0,-7.375639749998982,0.17678894009766563,0.17244012125034414,-0.0953210149732682,-8.91251490000058,2
MKT20_high,2022,pt,-0.0392346568835552,False,rt,2,-0.5818144814912813,-0.5818144814912813,0.0,-107.32566524999899,0.0,0.0,-0.6407142560307041,-107.32566524999899,2
MKT20_high,2023,rt,-1.7304805653722373,True,pt,3,1.199980044921326,-2.5787230761639752,33.33333333333333,75.47843840000075,1.5382733016737957,1.0768528946231157,-4.109218019130425,-982.1157520500004,2
MKT20_high,2024,pt,-1.9939623774046218,True,rt,8,1.6082921189530932,1.0628434111385987,75.0,3289.1627683000365,3.659311741483919,4.056624063763911,-4.650157583560376,-1076.076972399994,5
MKT20_high,2025,pt,-0.8438776335760352,True,rt,5,0.4539027662680709,0.7747852864023691,80.0,512.384283700011,1.9694753528298299,1.9389824284958266,-2.34097114972114,-545.6803749999976,2
