id,window,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,episodes,delete5_pct,delete5_cash,double_slip_pct,double_slip_cash,matched_n,excluded_n,matched_open_pct,matched_open_cash,delayed_pct,delayed_cash,month_ci_low,month_ci_high,down_pct,gross_mean_pct,cost_drag_pct,gross_cash,cost_cash,largest_month,largest_month_cash,delete_largest_month_cash
BASE,2024,13,1.782246611905233,1.151360221667406,69.23076923076923,5603.589438350047,3.963994922670899,4.733812323483137,-4.650157583560376,-1076.0769723999938,9,12.0,-0.10852971940334144,-247.17178704997264,1.6832617673302666,5317.5167767000485,13.0,0.0,1.782246611905233,5603.589438350047,1.5620791532442728,4494.71025530004,0.34703046650253233,3.34460989489572,76.92307692307693,1.9802910471581234,0.19804443525289053,6170.000000000011,566.4105616499633,2024-10,1596.657661000006,4006.931777350041
BASE,2025,10,1.0822469503548047,1.0340051469048963,70.0,3560.1403282010556,3.744658380389199,5.290284091560704,-2.34097114972114,-545.6803749999976,5,9.0,-0.48835416238569423,-471.758013799996,0.9829109156655853,3296.3719264020347,10.0,0.0,1.0822469503548047,3560.1403282010556,0.6766728762154687,1192.844688141053,-0.1297935150825813,2.8009248138408047,70.0,1.2778848232719433,0.19563787291713833,4070.0000000000036,509.8596717989483,2025-01,1820.518499550012,1739.6218286510436
BASE,2026,7,0.9493223687957839,1.0750771913824777,57.14285714285714,4685.95731816906,2.0840470279980083,2.1661956232784583,-4.331237586947363,-2839.1262382439963,5,7.0,-2.957301223555783,-3899.664021581979,0.8499112755268177,4248.95267833807,7.0,0.0,0.9493223687957839,4685.95731816906,1.1880261148544318,5265.29317333503,-1.614354762811361,4.641632373677645,57.14285714285714,1.1276495018271706,0.17832713303138667,5469.999999999998,784.0426818309381,2026-05,5270.984852580012,-585.0275344109514
MKT20_high,main2020,30,0.347363593643913,0.7506658772255865,60.0,7262.665445292104,1.3118359939544697,2.267167539696869,-10.90774674562256,-2264.2491693499837,19,27.0,-0.6413140035984187,-2426.539400287925,0.24769069826952167,6608.982290584117,30.0,0.0,0.347363593643913,7262.665445292104,0.3885719249189587,6063.610380738081,-0.5827038647567339,1.4711290929903176,60.0,0.5808435083421493,0.2334799146982363,8670.000000000016,1407.334554707912,2026-05,5270.984852580012,1991.6805927120922
MKT20_high,old2020_2023,15,-0.6836353744646677,-0.367008581270642,46.666666666666664,-749.3286759499728,0.5840850612721692,0.7542477034423748,-10.90774674562256,-2264.2491693499837,10,13.0,-2.4167186300048265,-2982.6075031499863,-0.7837912588136778,-956.8548518999728,15.0,0.0,-0.6836353744646677,-749.3286759499728,-0.28506609930471843,59.44863310003029,-1.7160576294672367,0.4641288994214125,46.666666666666664,-0.40843128037632753,0.2752040940883402,-189.9999999999976,559.3286759499751,2020-01,448.8552525000037,-1198.1839284499765
MKT20_high,recent2024,15,1.3783625617524933,0.9743266006097916,73.33333333333333,8011.994121242077,3.3595212283505895,3.986992008980665,-4.650157583560376,-1076.076972399994,9,14.0,-0.3064876104551469,-1309.68972248795,1.2791726553527212,7565.83714248409,15.0,0.0,1.3783625617524933,8011.994121242077,1.0622099491426358,6004.161747638052,0.04445763431806588,3.02445356689763,73.33333333333333,1.570118297060626,0.19175573530813256,8860.000000000013,848.0058787579368,2026-05,5270.984852580012,2741.0092686620656
MKT20_high,all_available,32,0.2828056040695014,0.6824254972673083,59.375,6983.29969434211,1.255446162414179,2.1430058638074403,-10.90774674562256,-2264.249169349984,21,29.0,-0.6445917988538448,-2705.9051512379183,0.18310212294509826,6295.238688684127,30.0,2.0,0.347363593643913,7262.665445292104,0.3885719249189587,6063.610380738081,-0.6270308682267481,1.348950554964816,59.375,0.5180076325793752,0.23520202850987376,8480.000000000018,1496.7003056579074,2026-05,5270.984852580012,1712.3148417620987
MKT20_high,2018,0,,,,0.0,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,
MKT20_high,2019,2,-0.6855642395466712,-0.6855642395466712,50.0,-279.3657509499932,0.31765404704390315,0.2612797368883964,-2.009433005579155,-378.17529164999695,2,2.0,,,-0.785726506921252,-313.7436018999918,0.0,2.0,,0.0,,0.0,-2.009433005579155,0.6383045264858126,50.0,-0.424530503862236,0.26103373568443516,-189.99999999999773,89.36575094999544,2019-09,98.80954070000378,-378.17529164999695
MKT20_high,2020,3,0.5796473788884502,1.47744122885733,66.66666666666666,375.9731225500053,1.9019236759985643,2.246026026837949,-1.928036909265168,-301.7377762999988,2,3.0,,,0.48011750685235216,324.6139451000086,3.0,0.0,0.5796473788884502,375.9731225500053,0.24872918707769984,256.15426195000475,-1.928036909265168,2.1895378170731883,66.66666666666666,0.8402475253144747,0.26060014642602464,509.9999999999998,134.02687744999446,2020-01,448.8552525000037,-72.88212994999839
