window,subset,n,price_mean,economic_gross_mean,price_win,economic_gross_win,net_mean,intraday_mean,economic_gross_cash
recent2024,event,4,-1.110646751608571,0.1543791606419903,25.0,50.0,-0.029133498294195037,1.8201711387704156,339.9999999999983
recent2024,non_event,649,-0.11256656768141203,-0.11256656768141203,42.21879815100154,42.21879815100154,-0.30312249281050857,0.4114343944257922,-36509.99999999997
recent2024,weekend_holiday,138,-0.1436109497238261,-0.13696524259502715,44.20289855072464,44.20289855072464,-0.3274966165877863,0.459583866794461,-9500.000000000013
2018,all,139,-0.17939825894153155,-0.17939825894153155,33.81294964028777,33.81294964028777,-0.45280355844895953,-0.16418801605446093,-3940.0000000000027
2018,non_event,139,-0.17939825894153155,-0.17939825894153155,33.81294964028777,33.81294964028777,-0.45280355844895953,-0.16418801605446093,-3940.0000000000027
2018,weekend_holiday,29,0.09171421796629621,0.09171421796629621,34.48275862068966,34.48275862068966,-0.1825161194651488,0.0508096116037308,360.00000000000114
2019,all,244,-0.09748567576578113,-0.09391345600503677,44.67213114754098,45.08196721311475,-0.3674143659254802,0.3230537638031599,-3866.8000000000075
2019,event,1,-0.7601351351351315,0.11148648648648951,0.0,100.0,-0.1756024837346404,1.7021276595744705,13.200000000000156
2019,non_event,243,-0.09475872325808833,-0.09475872325808833,44.8559670781893,44.8559670781893,-0.36820371523490747,0.317378562585994,-3880.0000000000073
2019,weekend_holiday,51,-0.1227602589507758,-0.1227602589507758,47.05882352941176,47.05882352941176,-0.39617285146081344,0.059427217844239266,-980.0000000000181
2020,all,243,-0.11412404717931471,-0.10979792225164207,46.09053497942387,46.50205761316872,-0.3810473180402405,0.028629430607744547,-5490.000000000005
2020,event,1,-0.1971090670170872,0.854139290407363,0.0,100.0,0.5842899885967491,-0.26333113890717463,129.9999999999989
2020,non_event,242,-0.11378113387419997,-0.11378113387419997,46.28099173553719,46.28099173553719,-0.38503631517510406,0.029835879242103697,-5620.000000000005
2020,weekend_holiday,52,-0.22806048946832783,-0.22806048946832783,53.84615384615385,53.84615384615385,-0.49932548910605135,0.1415151576167837,-2329.9999999999977
2021,all,243,-0.04239815991507817,-0.035315154170760525,38.68312757201646,39.09465020576132,-0.31827636039975105,-0.00014946576304653472,-1259.999999999999
2021,event,1,-1.6351118760757233,0.0860585197934638,0.0,100.0,-0.2012741924672118,-1.3123359580052507,10.000000000000508
2021,non_event,242,-0.03581669827805071,-0.03581669827805071,38.84297520661157,38.84297520661157,-0.31875984043253014,0.0052727924693592625,-1269.9999999999995
2021,weekend_holiday,52,-0.015929950396955148,-0.015929950396955148,48.07692307692308,48.07692307692308,-0.29908503545345944,0.29919092794442415,-139.9999999999916
2022,all,242,-0.06742279466471193,-0.05071002861836745,38.01652892561984,38.01652892561984,-0.35644635025818466,-0.02759456310753621,-1199.9999999999973
2022,event,1,-4.853387259858444,-0.8088978766430777,0.0,0.0,-1.103513256686794,1.9128586609989284,-80.0000000000004
2022,non_event,241,-0.047564020950215134,-0.047564020950215134,38.17427385892116,38.17427385892116,-0.35334648757590825,-0.03564623623660868,-1119.9999999999966
2022,weekend_holiday,50,-0.24759781589218366,-0.24759781589218366,28.000000000000004,28.000000000000004,-0.5527943418892475,-0.25114721573766374,-1159.9999999999973
2023,all,242,-0.09447164969620653,-0.08645497501286516,42.561983471074385,42.97520661157025,-0.33532254549688256,0.3386862983787793,-6280.000000000021
2023,event,1,-1.6754850088183337,0.2645502645502784,0.0,100.0,0.02102233398648967,-0.17937219730941312,60.00000000000105
2023,non_event,241,-0.08791142828906079,-0.08791142828906079,42.738589211618255,42.738589211618255,-0.33680115495531976,0.34083591869283814,-6340.000000000021
2023,weekend_holiday,50,-0.005258068464270699,-0.005258068464270699,44.0,44.0,-0.25320445759769244,0.32406884580750966,-350.0000000000084
2024,all,242,-0.13527587380805445,-0.1263078879712873,38.84297520661157,38.84297520661157,-0.32477225879511246,0.3588616816660151,-7795.999999999993
2024,event,1,-2.9934518241347075,-0.8231992516370523,0.0,0.0,-1.0181669311467796,-0.38572806171648377,-176.0000000000006
2024,non_event,241,-0.12341622256188581,-0.12341622256188581,39.004149377593365,39.004149377593365,-0.3218951024783005,0.3619512656634528,-7619.999999999993
2024,weekend_holiday,51,-0.01685822873553396,-0.01685822873553396,35.294117647058826,35.294117647058826,-0.21536446435680545,0.6852032273328911,-449.99999999999204
2025,all,243,-0.12305032875728424,-0.11671921131505571,43.20987654320987,43.62139917695473,-0.3074202467890301,0.6626699461680475,-19027.999999999905
2025,event,1,-0.06009615384616751,1.4783653846153655,0.0,100.0,1.2955476101530297,4.058929645219478,491.9999999999969
2025,non_event,242,-0.12331046997592522,-0.12331046997592522,43.388429752066116,43.388429752066116,-0.3140440809086254,0.6486358151802317,-19519.999999999898
2025,weekend_holiday,53,-0.24633281477623498,-0.24633281477623498,50.943396226415096,50.943396226415096,-0.43681469498445796,0.4347177741956475,-6339.999999999991
2026,all,168,-0.08845415525060381,-0.08041016990510942,45.23809523809524,45.23809523809524,-0.25919657874431745,0.15731120628220005,-9346.000000000078
