id,window,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,ci_low,ci_high,increment,inc_low,inc_high,p_mean,p_inc
ON1_F1,2022,52,-0.3461566097518242,-0.3397202468199696,21.153846153846153,-1799.8904195499458,0.13718879095243902,0.12620824069078831,-1.2607667384671366,-1.2500859499910721,-1799.8904195499458,11.0,12.0,1.0,14.0,1041.50541955,-0.04108488937401588,-0.37183184887724685,-0.43213196005388754,-0.4965630438016313,-2006.8689962999526,,,,,,,
ON1_F1,2023,35,-0.18656477726215998,-0.2596462860194414,37.142857142857146,-1883.578721949941,0.7384217617169367,0.6246149176618156,-3.3709694686739615,-2.917702378404913,-3058.5416711499724,7.0,12.0,1.0,20.0,894.0837219499999,0.06810995019623788,-0.34425591490682034,-0.713639784484416,-0.9886181534953518,-4513.879611199946,,,,,,,
ON1_F1,2024,42,-0.35793956532545435,-0.6178404544958872,23.809523809523807,-3314.532402249896,0.6578082472930945,0.6716247244574358,-4.537453228723166,-4.457048775984714,-5869.404596349938,11.0,12.0,1.0,17.0,913.7874022500001,-0.16056536654105183,-0.6055784614101073,-1.0429613930709942,-1.3729018182739452,-8717.25256539991,,,,,,,
ON1_F1,2025,57,-0.31565443938907395,-0.23576116336550224,36.84210526315789,-12598.892498276742,0.6203095064074095,0.46767128550351683,-4.498315909722364,-4.027198011012138,-14216.829708491843,8.0,12.0,1.0,16.0,1865.8374982770003,-0.12567729532545477,-0.41759305036794403,-0.6888451045690819,-0.9017354485138778,-20773.754848200762,,,,,,,
ON1_F1,2026,42,-0.4432804604649324,-0.2526028057652919,35.714285714285715,-13532.19068812468,0.44933808551760906,0.4028560608021999,-3.345468608972592,-3.0418869868788256,-13603.310441954842,8.0,9.0,1.0,9.0,2110.175688125,-0.2648148193389472,-0.5225878168891991,-0.7597418809585056,-1.015300909037929,-19517.537454263715,,,,,,,
ON1_F2,all,473,-0.3116182968969695,-0.2907045293758792,32.1353065539112,-29354.05890457495,0.5289490840615579,0.6123056864655021,-10.234040128153762,-4.445233864481067,-33572.69698942013,14.0,99.0,9.0,118.0,12368.033904576001,-0.06439873321006126,-0.3321590735291476,-0.38220296621246924,-0.42298653561865684,-40972.339039955965,,,,,,,
ON1_F2,main2020,375,-0.2845292997095456,-0.28842356619769227,32.266666666666666,-22969.43742877509,0.5684755497715671,0.6521972592445205,-10.213887194477932,-4.406318963772034,-27188.075513620268,14.0,80.0,7.0,96.0,9949.002428775999,-0.04474988749219717,-0.3103799884079429,-0.3722966557735628,-0.42106176470440687,-34587.71756415612,-0.43834569224507314,-0.13392475860951775,0.042098577182867525,-0.08317607047466793,0.17123915723097197,0.9995002498750625,0.280359820089955
ON1_F2,old2020_2023,214,-0.3130723405180421,-0.28730746445427524,28.971962616822427,-8763.056375999715,0.4314184411239031,0.4797263059544622,-10.213887194477932,-4.163489075803876,-8811.896663899717,14.0,47.0,4.0,61.0,4812.151376,-0.03667352158422353,-0.3505715761515858,-0.4205570509278079,-0.4783765756336017,-12544.180021199722,-0.5350659788017154,-0.11880246035372796,0.0361739178228469,-0.1494423459369315,0.19829460776456648,0.9955022488755623,0.36431784107946025
ON1_F2,recent2024,161,-0.24659010261005324,-0.300015879155465,36.64596273291926,-14206.381052775378,0.6932550360326869,0.7112430212273736,-5.695300769436614,-4.108468795447849,-18425.019137620548,9.0,33.0,3.0,36.0,5136.851052776,-0.0554849328605596,-0.30677896746068545,-0.42144450094981795,-0.5176081399550087,-25824.661188156402,-0.4456704354004852,0.01718198989012394,0.04645710980057352,-0.15675501833692398,0.2641577691995415,0.9920039980009995,0.3488255872063968
ON1_F2,2018,48,-0.5609710843117198,-0.4621631855110274,25.0,-4427.984370399923,0.2355108251061543,0.18577535506884915,-3.8864007666312554,-3.158252076068623,-4548.546358999935,10.0,7.0,1.0,4.0,1197.0043704,-0.28645860384077265,-0.6587661176977805,-0.7967757638040139,-0.924905654651987,-5311.576705999928,,,,,,,
