entry,exit,net,quantity
2022-03-18,2022-03-21,-10.833289799997146,1000
2022-03-21,2022-03-22,-0.6445346999989852,1000
2022-03-22,2022-03-23,228.8224276000019,1000
2022-03-23,2022-03-24,-1.235989699998754,1000
2022-03-24,2022-03-25,-31.190404999999373,1000
2022-03-25,2022-03-28,-160.64615629999935,1000
2022-03-28,2022-03-29,-30.884479999998803,1000
2022-03-29,2022-03-30,9.381060400000933,1000
2022-03-30,2022-03-31,-80.72692549999738,1000
2022-03-31,2022-04-01,-110.57936579999841,1000
2022-04-01,2022-04-06,-60.716525299998466,1000
2022-04-06,2022-04-07,-60.75731529999757,1000
2022-04-07,2022-04-08,-30.517369999997754,1000
2022-04-08,2022-04-11,-70.6401453999988,1000
2022-04-11,2022-04-12,-30.252234999999928,1000
2022-04-12,2022-04-13,-70.41580039999826,1000
2022-04-13,2022-04-14,99.40746630000103,1000
2022-04-14,2022-04-15,-90.50778059999902,1000
2022-04-15,2022-04-18,-70.41580039999826,1000
2022-04-18,2022-04-19,-30.35420999999951,1000
2022-04-19,2022-04-20,9.768565399999716,1000
2022-04-20,2022-04-21,-10.11946480000006,1000
2022-04-21,2022-04-22,-39.93111510000017,1000
2022-04-22,2022-04-25,-149.64160119999724,1000
2022-04-25,2022-04-26,31.328985600001033,1000
2022-04-26,2022-04-27,-128.5910559999993,1000
2022-04-27,2022-04-28,-89.0189455999971,1000
2022-04-28,2022-04-29,10.821683100000882,1000
2022-04-29,2022-05-05,10.713980200000151,1000
2022-05-05,2022-05-06,-199.13058584999817,1000
2022-05-06,2022-05-09,-28.559204999999565,1000
2022-05-09,2022-05-10,-128.44864549999875,1000
2022-05-10,2022-05-11,1.0925851499996497,1000
2022-05-11,2022-05-12,-68.90272519999962,1000
2022-05-12,2022-05-13,20.981615250002505,1000
2022-05-13,2022-05-16,30.96652030000223,1000
2022-05-16,2022-05-17,1.1733651500017004,1000
2022-05-17,2022-05-18,-18.97819994999918,1000
2022-05-18,2022-05-19,-118.88783544999751,1000
2022-05-19,2022-05-20,21.04220025000177,1000
2022-05-24,2022-05-25,-18.39254494999841,1000
2022-05-25,2022-05-26,-38.44313504999809,1000
2022-05-26,2022-05-27,-18.634884949997286,1000
2022-05-27,2022-05-30,-28.660179999998945,1000
2022-05-30,2022-05-31,-28.51881499999945,1000
2022-08-29,2022-08-30,1.294535150000229,1000
2022-08-30,2022-08-31,-48.54921009999998,1000
2022-09-01,2022-09-02,-28.61978999999701,1000
2022-09-16,2022-09-19,-28.41784000000007,1000
2022-09-19,2022-09-20,2.0013601499995275,1000
2022-09-20,2022-09-21,-37.63533504999941,1000
2022-09-21,2022-09-22,-77.5951502500011,1000
2022-09-22,2022-09-23,-7.5594499000017095,1000
2022-09-23,2022-09-26,-117.41360044999783,1000
2022-09-26,2022-09-27,-37.25163004999922,1000
2022-09-27,2022-09-28,-57.42339014999743,1000
2022-09-28,2022-09-29,82.54703555000197,1000
2022-09-29,2022-09-30,3.0313051500015717,1000
2022-09-30,2022-10-10,52.6731004000012,1000
2022-10-10,2022-10-11,53.40012039999965,1000
2022-10-11,2022-10-12,-46.48932009999953,1000
2022-10-12,2022-10-13,-86.69147529999827,1000
2022-10-13,2022-10-14,33.04660530000001,1000
2022-10-14,2022-10-17,-27.04457999999795,1000
2022-10-17,2022-10-18,-7.236329900000783,1000
2022-10-18,2022-10-19,-37.15065504999984,1000
2022-10-19,2022-10-20,-46.93361009999717,1000
2022-10-20,2022-10-21,-27.165750000000116,1000
2022-10-21,2022-10-24,-96.9995003499971,1000
2022-10-24,2022-10-25,83.0923005500008,1000
2022-10-25,2022-10-26,-66.86303019999832,1000
2022-10-26,2022-10-27,-16.776944949999233,1000
2022-10-27,2022-10-28,12.99601519999851,1000
2022-10-28,2022-10-31,-436.1025670500003,1000
2022-10-31,2022-11-01,63.304245449999144,1000
