date,cash,shares,open_equity,equity,id
2020-12-07,20311.099499400076,0,20311.099499400076,20311.099499400076,ON1_F3
2020-12-08,20311.099499400076,0,20311.099499400076,20311.099499400076,ON1_F3
2020-12-09,20311.099499400076,0,20311.099499400076,20311.099499400076,ON1_F3
2020-12-10,20311.099499400076,0,20311.099499400076,20311.099499400076,ON1_F3
2020-12-11,20311.099499400076,0,20311.099499400076,20311.099499400076,ON1_F3
2020-12-14,6759.058564000077,1000,20311.099499400076,20299.05856400008,ON1_F3
2020-12-15,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2020-12-16,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2020-12-17,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2020-12-18,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2020-12-21,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2020-12-22,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2020-12-23,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2020-12-24,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2020-12-25,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2020-12-28,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2020-12-29,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2020-12-30,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2020-12-31,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2021-01-04,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2021-01-05,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2021-01-06,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2021-01-07,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2021-01-08,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2021-01-11,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2021-01-12,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2021-01-13,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2021-01-14,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2021-01-15,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2021-01-18,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2021-01-19,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2021-01-20,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2021-01-21,20093.75817760008,0,20093.75817760008,20093.75817760008,ON1_F3
2021-01-22,5331.08803010008,1000,20093.75817760008,20081.08803010008,ON1_F3
2021-01-25,19993.76672200008,0,19993.76672200008,19993.76672200008,ON1_F3
2021-01-26,19993.76672200008,0,19993.76672200008,19993.76672200008,ON1_F3
2021-01-27,19993.76672200008,0,19993.76672200008,19993.76672200008,ON1_F3
2021-01-28,19993.76672200008,0,19993.76672200008,19993.76672200008,ON1_F3
2021-01-29,5691.335779100082,1000,19993.76672200008,19981.33577910008,ON1_F3
2021-02-01,19714.98694460008,0,19714.98694460008,19714.98694460008,ON1_F3
2021-02-02,6002.862807600082,1000,19714.98694460008,19702.862807600082,ON1_F3
2021-02-03,19647.091379300084,0,19647.091379300084,19647.091379300084,ON1_F3
2021-02-04,6115.060844100086,1000,19647.091379300084,19635.060844100088,ON1_F3
2021-02-05,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-02-08,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-02-09,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-02-10,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-02-18,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
2021-02-19,19599.532534200087,0,19599.532534200087,19599.532534200087,ON1_F3
