id,window,universe,unknown,hit,not_hit,base_mean,nonhit_mean
ON2_F4,2021,243,0,17,226,-0.31827636039975105,-0.31524587529341325
ON2_F4,2022,242,0,8,234,-0.35644635025818466,-0.3507548507557462
ON2_F4,2023,242,0,67,175,-0.33532254549688256,-0.3271979100121152
ON2_F4,2024,242,0,58,184,-0.32477225879511246,-0.4912699786016854
ON2_F4,2025,243,0,71,172,-0.3074202467890301,-0.3303538344468974
ON2_F4,2026,168,0,43,125,-0.25919657874431745,-0.2273898171280669
ON2_F5,all,2006,403,607,996,-0.3209466187380026,-0.326286586290306
ON2_F5,main2020,1623,20,607,996,-0.3209466187380026,-0.326286586290306
ON2_F5,old2020_2023,970,20,371,579,-0.33435199790507497,-0.3364401761628499
ON2_F5,recent2024,653,0,236,417,-0.3014441528747272,-0.31218843632339244
ON2_F5,2018,139,139,0,0,,
ON2_F5,2019,244,244,0,0,,
ON2_F5,2020,243,20,102,121,-0.3268393258293968,-0.24695993089583382
ON2_F5,2021,243,0,91,152,-0.31827636039975105,-0.32689539262823336
ON2_F5,2022,242,0,96,146,-0.35644635025818466,-0.4128521469804607
ON2_F5,2023,242,0,82,160,-0.33532254549688256,-0.3434512326328466
ON2_F5,2024,242,0,93,149,-0.32477225879511246,-0.3814414898182602
ON2_F5,2025,243,0,87,156,-0.3074202467890301,-0.30533892136151336
ON2_F5,2026,168,0,56,112,-0.25919657874431745,-0.2295975377815875
ON2_F6,all,2006,403,194,1409,-0.3209466187380026,-0.31506421593903894
ON2_F6,main2020,1623,20,194,1409,-0.3209466187380026,-0.31506421593903894
ON2_F6,old2020_2023,970,20,119,831,-0.33435199790507497,-0.3356501849959668
ON2_F6,recent2024,653,0,75,578,-0.3014441528747272,-0.2854674334367775
ON2_F6,2018,139,139,0,0,,
ON2_F6,2019,244,244,0,0,,
ON2_F6,2020,243,20,18,205,-0.3268393258293968,-0.3271672493510312
ON2_F6,2021,243,0,34,209,-0.31827636039975105,-0.3078940720694285
ON2_F6,2022,242,0,30,212,-0.35644635025818466,-0.37610005475937536
ON2_F6,2023,242,0,37,205,-0.33532254549688256,-0.3305997314301901
ON2_F6,2024,242,0,36,206,-0.32477225879511246,-0.30422692606592994
ON2_F6,2025,243,0,25,218,-0.3074202467890301,-0.28043068098702856
ON2_F6,2026,168,0,14,154,-0.25919657874431745,-0.2675035149461271
ON2_F7,all,2006,2006,0,0,,
ON2_F7,main2020,1623,1623,0,0,,
ON2_F7,old2020_2023,970,970,0,0,,
ON2_F7,recent2024,653,653,0,0,,
ON2_F7,2018,139,139,0,0,,
ON2_F7,2019,244,244,0,0,,
ON2_F7,2020,243,243,0,0,,
ON2_F7,2021,243,243,0,0,,
ON2_F7,2022,242,242,0,0,,
ON2_F7,2023,242,242,0,0,,
ON2_F7,2024,242,242,0,0,,
ON2_F7,2025,243,243,0,0,,
ON2_F7,2026,168,168,0,0,,
