id,group,value,n,years,months,mean,median,win,cash,mean_cash,pf,pf_cash,worst,worst_cash,tail5,tail5_cash,longest_loss,fee,max_extra_cash,need_extra_n
S1_F3,description,ordinary_break,215,7.0,60.0,-0.16346457909668405,-0.12529239697432987,44.651162790697676,-6719.229550514333,-31.252230467508525,0.7638494123152635,0.8582169561839098,-6.168734283395747,-4348.957669794001,-4.6064035027046595,-2071.1020637349975,8.0,6666.334550515001,4348.957669793992,119.0
S1_F4,stage_frozen_tminus1,U,34,6.0,16.0,-0.1364399122113682,0.11329888229680424,52.94117647058824,923.7264699051595,27.16842558544587,0.8523336055906275,1.0867761366062207,-5.942149442072131,-2899.1747127869926,-5.690675539746415,-2268.1736702819894,4.0,1152.7035300950001,2899.1747127869894,16.0
S1_F4,stage_frozen_tminus1,R,110,7.0,34.0,-0.17055314067617058,-0.19382480517377493,43.63636363636363,-1638.3145596286977,-14.893768723897251,0.7519483994679443,0.9279120376283431,-8.235700377192982,-3118.429601099998,-4.756808289622417,-1710.7009411871616,9.0,3411.8295596290004,3118.429601100004,62.0
S1_F4,stage_frozen_tminus1,D,88,7.0,28.0,0.13395039141158727,-0.03320727678570071,48.86363636363637,1624.5375762041795,18.460654275047492,1.2210646494977215,1.1208595901438325,-9.83232226178813,-3438.487468817994,-4.732270793724878,-1598.588012764596,6.0,2136.097423796,3438.4874688179916,45.0
S1_F4,stage_frozen_tminus1,C,5,4.0,4.0,-0.32752715874522814,-0.7247536284987175,20.0,71.13989046800884,14.227978093601768,0.609354922944557,1.0483360880729762,-1.7527655077499942,-929.0393373870012,-1.7527655077499942,-929.0393373870012,4.0,161.600109532,929.0393373870029,4.0
S1_F4,stage_frozen_tminus1,UNKNOWN,0,,,,,,,,,,,,,,,,,
S1_F4,description,corporate_action,1,1.0,1.0,0.739384511567905,0.739384511567905,100.0,419.23101805900205,419.23101805900205,,,0.739384511567905,419.23101805900205,0.739384511567905,419.23101805900205,0.0,44.653981941000005,0.0,0.0
S1_F4,description,non_action,236,7.0,58.0,-0.05927622182474431,-0.13276095025077533,46.186440677966104,561.8583588896499,2.380755758006991,0.9149914826574888,1.0116363294958421,-9.83232226178813,-3438.487468817994,-5.2510528960649925,-1841.2652756802443,10.0,6817.576641111001,3438.4874688179916,127.0
S1_F4,description,long_break,37,7.0,29.0,0.15744014055163133,0.06879444429125248,56.75675675675676,-516.9875149909109,-13.972635540294888,1.2871506202532306,0.9200772060797707,-3.666011626018322,-1166.562142334988,-3.328418741785994,-1063.678838701495,5.0,1077.792514991,1166.5621423349876,16.0
S1_F4,description,ordinary_break,200,7.0,57.0,-0.09537544519741054,-0.16550149351163673,44.5,1498.0768919395614,7.490384459697807,0.867787219986157,1.0358252261661725,-9.83232226178813,-3438.487468817994,-5.614576372737604,-1980.502134440095,9.0,5784.438108061,3438.4874688179916,111.0
S1_F5,stage_frozen_tminus1,U,63,7.0,23.0,-0.431692124245994,-0.30195,33.33333333333333,-3190.9896219868783,-50.65062892042664,0.5343055805571875,0.7200992018061543,-6.165217137601177,-1117.0491281999803,-4.998254677678155,-1029.115335732494,11.0,1656.379621987,1117.0491281999857,42.0
S1_F5,stage_frozen_tminus1,R,30,6.0,17.0,-0.13682630909446047,-0.24754224509958783,33.33333333333333,701.8632203040705,23.39544067680235,0.7410908512687926,1.2419844491318313,-3.3754570713702945,-827.6620738999962,-3.308224091075263,-685.9122406999986,11.0,791.7867796959999,827.6620738999954,20.0
S1_F5,stage_frozen_tminus1,D,38,6.0,18.0,-0.15956773316060144,-0.07958077589284436,42.10526315789473,-583.4693084379282,-15.354455485208637,0.7776895943267231,0.8681018364026809,-9.83232226178813,-1605.6182253500017,-6.706491335950241,-1128.4813117,6.0,814.894308438,1605.6182253500028,22.0
S1_F5,stage_frozen_tminus1,C,61,7.0,24.0,-0.20735860344191617,-0.20390574382977858,40.98360655737705,-3172.3165889038787,-52.0051899820308,0.6211827849115238,0.6141325883422354,-5.850509810869557,-1345.617256499998,-3.429696366339811,-915.1531404749951,7.0,1529.101588904,1345.617256499998,36.0
S1_F5,stage_frozen_tminus1,UNKNOWN,0,,,,,,,,,,,,,,,,,
S1_F5,description,corporate_action,1,1.0,1.0,-1.3865019034165447,-1.3865019034165447,0.0,-211.0255896999981,-211.0255896999981,0.0,0.0,-1.3865019034165447,-211.0255896999981,-1.3865019034165447,-211.0255896999981,1.0,25.820589700000003,11.025589699997,1.0
S1_F5,description,non_action,191,7.0,62.0,-0.25459340244489337,-0.20389856478733495,37.696335078534034,-6033.886709324615,-31.591029891751912,0.6358415775439675,0.774305459061005,-9.83232226178813,-1605.6182253500017,-5.039646494196912,-1041.2849510293966,16.0,4766.341709325001,1605.6182253500028,119.0
S1_F5,description,long_break,41,7.0,34.0,-0.016089532381937114,-0.20189725904859418,41.46341463414634,1108.2386573770937,27.03021115553887,0.9821886248352953,1.141648616463586,-6.165217137601177,-1345.617256499998,-5.277168495851742,-1135.0917904379914,4.0,1059.346342623,1345.617256499998,24.0
S1_F5,description,ordinary_break,151,7.0,57.0,-0.32684881419027656,-0.20390574382977858,36.423841059602644,-7353.150956401707,-48.696363949680176,0.4957865478189933,0.6154595047409561,-9.83232226178813,-1605.6182253500017,-4.64820037488122,-942.7634310957473,13.0,3732.8159564020007,1605.6182253500028,96.0
S1_F6,stage_frozen_tminus1,U,111,7.0,30.0,-0.13569156646574596,-0.1790549999999876,44.14414414414414,152.37571509837926,1.372754190075489,0.755118758413419,1.009591030380842,-6.080902189917678,-1624.638777776986,-3.415648311317509,-1167.4070568803243,7.0,3197.8042849019994,1624.638777776985,62.0
S1_F6,stage_frozen_tminus1,R,214,7.0,50.0,-0.3078184161323113,-0.26610569283617835,32.71028037383177,-16257.08906452458,-75.96770590899337,0.46338784693658297,0.5383808532171434,-8.235700377192982,-3118.429601099998,-4.01889274305633,-1699.9261182127227,13.0,5785.314064525,3118.429601100004,144.0
S1_F6,stage_frozen_tminus1,D,201,7.0,38.0,-0.10499189594569044,-0.20391078355957165,37.3134328358209,-3500.276520948552,-17.414311049495282,0.7754462108607257,0.8363415550075206,-3.950006198907945,-1898.5677708599956,-2.8226573761500307,-1003.8548437723583,17.0,4788.231520949001,1898.5677708599978,126.0
S1_F6,stage_frozen_tminus1,C,77,7.0,23.0,-0.23439466322415548,-0.2052799040511448,29.87012987012987,-735.4367056358246,-9.551126047218501,0.4700656535990967,0.8828068502612769,-2.9556610542293527,-1311.4305572399942,-2.1828949934329285,-650.8714545224966,10.0,1822.8517056360001,1311.4305572399971,54.0
S1_F6,stage_frozen_tminus1,UNKNOWN,0,,,,,,,,,,,,,,,,,
S1_F6,description,corporate_action,1,1.0,1.0,0.08341509915810265,0.08341509915810265,100.0,17.834148200002346,17.834148200002346,,,0.08341509915810265,17.834148200002346,0.08341509915810265,17.834148200002346,0.0,21.105851800000003,0.0,0.0
S1_F6,description,non_action,602,7.0,78.0,-0.19961807339288085,-0.20391383781200478,35.880398671096344,-20358.26072421058,-33.81770884420362,0.6152104300380543,0.7415413726793546,-8.235700377192982,-3118.429601099998,-3.3354610298049043,-1309.7721832611878,21.0,15573.095724212,3118.429601100004,386.0
S1_F6,description,long_break,121,7.0,63.0,-0.25754305754726015,-0.20391301493597777,35.53719008264463,-13482.960391077708,-111.42942471965048,0.5489986719632483,0.3522683474283968,-3.666011626018322,-2131.71188762699,-3.0464988004007614,-1604.7047755697063,13.0,3083.4403910779997,2131.711887626996,78.0
S1_F6,description,ordinary_break,482,7.0,78.0,-0.18448953344426913,-0.20391383781200478,36.09958506224066,-6857.4661849328695,-14.22710826749558,0.6343648391488762,0.8816705282501558,-8.235700377192982,-3118.429601099998,-3.366593034087448,-1183.8608874307947,24.0,12510.761184934,3118.429601100004,308.0
S1_F7,stage_frozen_tminus1,U,230,7.0,38.0,-0.0491692299762949,-0.08359004774558226,47.391304347826086,4913.048053685746,21.361078494285852,0.9228704243257383,1.1077089083190998,-6.168734283395747,-4348.957669794001,-4.710899972820612,-2032.9349164071602,6.0,6969.006946315001,4348.957669793992,121.0
S1_F7,stage_frozen_tminus1,R,172,7.0,50.0,-0.0585256763821906,-0.20189721445845837,43.02325581395349,2721.0967511554,15.820329948577907,0.8944675211980202,1.1123576686690302,-8.235700377192982,-3118.429601099998,-4.356290339427956,-1487.8931375221064,12.0,4706.408248845,3118.429601100004,98.0
S1_F7,stage_frozen_tminus1,D,189,7.0,43.0,-0.20461168943949154,-0.21877526720105228,37.56613756613756,-9170.094054981566,-48.51901616392363,0.6165375578014957,0.6216748746922143,-3.5806604101123516,-1898.5677708599956,-2.776628759956046,-1070.323816775494,12.0,4646.109054982,1898.5677708599978,117.0
S1_F7,stage_frozen_tminus1,C,173,7.0,36.0,-0.2084076357995983,-0.2039062649284979,38.15028901734104,-1811.191223676531,-10.469313431656248,0.6320705925212633,0.9260171173838316,-10.200745196903522,-2569.5677150999973,-4.001611631599467,-1265.6425383593278,15.0,4699.931223677,2569.567715099998,107.0
S1_F7,stage_frozen_tminus1,UNKNOWN,0,,,,,,,,,,,,,,,,,
S1_F7,description,corporate_action,5,5.0,5.0,-1.1100730367994127,-1.3865019034165447,20.0,-1816.4708878069875,-363.29417756139753,0.014806239321670262,0.009722564050101854,-2.044973196814894,-849.1121783069954,-2.044973196814894,-849.1121783069954,2.0,144.415887807,519.1121783069975,3.0
S1_F7,description,non_action,759,7.0,81.0,-0.11930316778087215,-0.19649088556716643,42.028985507246375,-1530.6695860099653,-2.0166924716863837,0.7919403550725124,0.9868857307234425,-10.200745196903522,-4348.957669794001,-4.134338005483244,-1551.136363906521,11.0,20877.039586012004,4348.957669793992,440.0
S1_F7,description,long_break,160,7.0,76.0,-0.13416221340468443,-0.28249557333301123,40.625,-3223.8239868255687,-20.148899917659804,0.8212543137653197,0.9006406930451276,-10.200745196903522,-2569.5677150999973,-5.070785995633999,-1673.870654561992,8.0,4367.518986826,2569.567715099998,95.0
S1_F7,description,ordinary_break,604,7.0,81.0,-0.12356873408100914,-0.18275637931034777,42.21854304635762,-123.31648699138168,-0.20416636919102926,0.7673156766206471,0.9985678534945307,-8.235700377192982,-4348.957669794001,-3.727447343615844,-1453.851360864737,14.0,16653.936486993,4348.957669793992,348.0
S1_F8,stage_frozen_tminus1,U,83,7.0,34.0,0.09312923313762109,-0.15195358021838157,44.57831325301205,9166.003121583257,110.43377254919587,1.1400727014153471,1.588022386136499,-6.165217137601177,-1932.5882208599883,-3.9110049158135807,-1228.0588844827898,7.0,2500.0668784169998,1932.5882208599942,46.0
S1_F8,stage_frozen_tminus1,R,96,7.0,51.0,-0.2877835433521614,-0.3108871155160463,34.375,-9283.568307579773,-96.7038365372893,0.5093523401974295,0.43520509319776585,-3.4973094420479875,-2131.71188762699,-2.846761273324474,-1577.6146281419922,9.0,2632.1333075800003,2131.711887626996,63.0
S1_F8,stage_frozen_tminus1,D,90,7.0,37.0,0.21245307275097663,-0.17363845375997772,43.333333333333336,3725.4325268362127,41.39369474262458,1.4790741966325531,1.3790216789357501,-3.5806604101123516,-1898.5677708599956,-2.949818290696668,-1192.695730136794,16.0,2195.7974731639997,1898.5677708599978,51.0
S1_F8,stage_frozen_tminus1,C,73,7.0,34.0,-0.5231254513593172,-0.2874224540901466,36.986301369863014,-7464.634354496854,-102.25526513009389,0.4308153720138048,0.5317864557122963,-10.200745196903522,-2569.5677150999973,-7.08903661062592,-1607.1728326994964,7.0,1889.3093544970002,2569.567715099998,46.0
S1_F8,stage_frozen_tminus1,UNKNOWN,0,,,,,,,,,,,,,,,,,
S1_F8,description,corporate_action,1,1.0,1.0,0.739384511567905,0.739384511567905,100.0,419.23101805900205,419.23101805900205,,,0.739384511567905,419.23101805900205,0.739384511567905,419.23101805900205,0.0,44.653981941000005,0.0,0.0
S1_F8,description,non_action,341,7.0,81.0,-0.11643477925101207,-0.20391301493597777,39.589442815249264,-4275.998031716161,-12.539583670721878,0.8182838192317595,0.9260166763907736,-10.200745196903522,-2569.5677150999973,-4.258376587245038,-1458.3890059171033,12.0,9172.653031717,2569.567715099998,206.0
S1_F8,description,long_break,342,7.0,81.0,-0.11393238366382226,-0.20391269379215204,39.76608187134503,-3856.7670136571587,-11.277096531161282,0.8216677918959844,0.9332702120205916,-10.200745196903522,-2569.5677150999973,-4.258376587245038,-1458.3890059171033,12.0,9217.307013657999,2569.567715099998,206.0
S1_F8,description,ordinary_break,0,,,,,,,,,,,,,,,,,
S2_F1,stage_frozen_tminus1,U,77,7.0,32.0,-0.06368271515138349,-0.14091221536522144,46.75324675324675,-1329.7807467187454,-17.269879827516174,0.9034732824816546,0.9226479497104967,-6.165217137601177,-3886.711772625,-5.044799278632344,-2324.074754769746,6.0,2447.4807467190003,3886.711772625,41.0
S2_F1,stage_frozen_tminus1,R,81,7.0,41.0,-0.3876520180852165,-0.2728679875947512,32.098765432098766,-9490.94115284583,-117.17211299809667,0.3893886219083135,0.4532286825801978,-4.150314282375616,-2227.4736753509933,-3.517672235757046,-1696.9051006915956,10.0,2347.8111528460004,2227.4736753509933,55.0
S2_F1,stage_frozen_tminus1,D,94,7.0,41.0,-0.11402298705099234,-0.0992537738708506,45.744680851063826,3780.9372475782093,40.22273667636393,0.7526410308053817,1.451512444907825,-9.83232226178813,-1605.6182253500017,-4.0733395828893775,-879.5393292641975,6.0,2377.2127524220004,1605.6182253500028,51.0
S2_F1,stage_frozen_tminus1,C,58,7.0,26.0,-0.4583854656271409,-0.30776621294738443,32.758620689655174,-3799.3420205658367,-65.50589690630753,0.354421271389983,0.5726286079590717,-10.200745196903522,-2569.5677150999973,-5.437917768178532,-1421.9662563779964,6.0,1529.387020566,2569.567715099998,39.0
S2_F1,stage_frozen_tminus1,UNKNOWN,0,,,,,,,,,,,,,,,,,
S2_F1,description,corporate_action,1,1.0,1.0,-1.3967958188961924,-1.3967958188961924,0.0,-849.1121783069954,-849.1121783069954,0.0,0.0,-1.3967958188961924,-849.1121783069954,-1.3967958188961924,-849.1121783069954,1.0,48.117178307,519.1121783069975,1.0
S2_F1,description,non_action,309,7.0,80.0,-0.2336928948279298,-0.20189420076584683,40.1294498381877,-9990.01449424521,-32.33014399432107,0.6103846787493808,0.8039800903222006,-10.200745196903522,-3886.711772625,-4.70725813141966,-1668.7015525813713,12.0,8653.774494246001,3886.711772625,185.0
S2_F1,description,long_break,64,7.0,48.0,-0.47865030083486126,-0.2987953311394378,34.375,-6702.220105876841,-104.72218915432565,0.4175085058317458,0.4820974867011222,-10.200745196903522,-2569.5677150999973,-5.800451440921458,-1672.9597015447453,13.0,1651.4901058770004,2569.567715099998,42.0
S2_F1,description,ordinary_break,246,7.0,79.0,-0.17469219946055037,-0.18275637931034777,41.46341463414634,-4136.906566675361,-16.81669336046895,0.6796445274729724,0.8935770400294578,-9.83232226178813,-3886.711772625,-4.169717586512101,-1601.9433575561502,9.0,7050.401566676001,3886.711772625,144.0
S2_F2,stage_frozen_tminus1,U,93,7.0,36.0,0.1810194409644143,-0.0741550149688743,46.236559139784944,14135.1760671793,151.9911405073043,1.4129906371514451,2.327343293761797,-2.806706770936972,-1932.5882208599883,-2.339074561891234,-1013.7985711813914,6.0,2747.1989328209997,1932.5882208599942,50.0
S2_F2,stage_frozen_tminus1,R,115,7.0,49.0,-0.09368500984511113,-0.20189817022356837,37.391304347826086,209.35983133123136,1.82052027244549,0.7832772149361166,1.0174161107401754,-3.4973094420479875,-2098.7353961729973,-2.329613116343968,-1030.266553946996,15.0,2951.9551686689997,2098.735396172997,72.0
S2_F2,stage_frozen_tminus1,D,123,7.0,31.0,-0.009424934540734307,-0.26386034703578526,34.146341463414636,-3159.019246981693,-25.683083308794252,0.9828810150679052,0.8179336902929657,-6.391240648360583,-3438.487468817994,-3.016146891480461,-1309.0723235477076,16.0,2972.749246982,3438.4874688179916,81.0
S2_F2,stage_frozen_tminus1,C,80,7.0,29.0,-0.16191241107551663,-0.20391006098132958,36.25,-1440.0852379308074,-18.001065474135093,0.6807358051644066,0.8622489160333782,-5.716546976131891,-1351.904013647991,-3.149362926429683,-1105.5985676287446,16.0,2134.6002379310003,1351.9040136479962,51.0
S2_F2,stage_frozen_tminus1,UNKNOWN,0,,,,,,,,,,,,,,,,,
S2_F2,description,corporate_action,0,,,,,,,,,,,,,,,,,
S2_F2,description,non_action,411,7.0,80.0,-0.019589362425909702,-0.20189817022356837,38.19951338199513,9745.43141359803,23.71151195522635,0.9594937369046391,1.193072692703289,-6.391240648360583,-3438.487468817994,-2.747493333499029,-1170.6436232784697,31.0,10806.503586403001,3438.4874688179916,254.0
S2_F2,description,long_break,100,7.0,61.0,0.20627097680360051,-0.17099261350652484,43.0,7027.49526642729,70.2749526642729,1.352154327465454,1.3749101810628317,-5.716546976131891,-2098.7353961729973,-3.344220018728258,-1648.7228539763946,8.0,2821.9847335729996,2098.735396172997,57.0
S2_F2,description,ordinary_break,311,7.0,79.0,-0.09221326571514131,-0.2039064480736976,36.655948553054664,2717.9361471707407,8.73934452466476,0.7954338822521638,1.0856556142980498,-6.391240648360583,-3438.487468817994,-2.488687972948942,-876.3628338619943,29.0,7984.518852830001,3438.4874688179916,197.0
S2_F3,stage_frozen_tminus1,U,136,7.0,28.0,-0.22399147239746936,-0.12711579850302032,42.64705882352941,-11678.532144385534,-85.87155988518775,0.734076193560652,0.7197080005796953,-6.168734283395747,-4348.957669794001,-5.366030416041881,-2928.7449174561375,8.0,4563.2521443860005,4348.957669793992,78.0
S2_F3,stage_frozen_tminus1,R,52,7.0,25.0,-0.27914550869981497,-0.15415093149077502,48.07692307692308,-2188.715183011862,-42.09067659638196,0.6624344937386791,0.7875198407077101,-5.687383954076843,-1595.4457863689995,-4.841922645221861,-1294.4606932729973,4.0,1554.0201830120002,1595.4457863689895,27.0
