id,sort,k,delete,status,n,years,months,mean,median,win,cash,mean_cash,pf,pf_cash,worst,worst_cash,tail5,tail5_cash,longest_loss,fee,max_extra_cash,need_extra_n
S1_F3,net,1,worst,diagnostic_only,294.0,7.0,65.0,-0.1603009475625405,-0.13074417134252586,44.5578231292517,1836.9306841538928,6.248063551543853,0.7947144828461085,1.0276257254228964,-6.5883444585987085,-4348.957669794001,-5.038981318599562,-1905.7320094733295,163.0,9056.009315847,4348.957669793992,163.0
S1_F3,net,1,both,diagnostic_only,293.0,7.0,65.0,-0.19412876683749797,-0.13254914265334097,44.36860068259386,-113.31933584611397,-0.38675541244407496,0.7522393069048025,0.9982957828054183,-6.5883444585987085,-4348.957669794001,-5.038981318599562,-1905.7320094733295,163.0,9025.259335847,4348.957669793992,163.0
S1_F3,net,5,best,diagnostic_only,290.0,7.0,65.0,-0.31693807110460964,-0.1449601246813966,43.44827586206896,-14626.617390192107,-50.43661169031761,0.6166754230725385,0.7882135615336059,-10.200745196903522,-4348.957669794001,-5.464645762454164,-2008.8090134513288,164.0,8883.212390193,4348.957669793992,164.0
S1_F3,net,5,worst,diagnostic_only,290.0,7.0,65.0,-0.07708852721697154,-0.12284156493123567,45.17241379310345,9403.728699447893,32.426650687751355,0.8908427558583807,1.1595835369867453,-5.764493305515601,-4265.148596750993,-4.339344214771733,-1642.699600605329,159.0,8935.661300553002,4265.148596750994,159.0
S1_F3,net,5,both,diagnostic_only,285.0,7.0,65.0,-0.19978417450164243,-0.13254914265334097,44.21052631578947,-4490.251659798116,-15.755268981747774,0.7219833795830606,0.9237993497331268,-5.764493305515601,-4265.148596750993,-4.339344214771733,-1642.699600605329,159.0,8739.746659799,4265.148596750994,159.0
S1_F3,cash,1,best,diagnostic_only,294.0,7.0,65.0,-0.22211493379253927,-0.1367306790092812,44.21768707482993,-6027.218612753095,-20.50074358079284,0.7276550377894834,0.9127287513031355,-10.200745196903522,-4348.957669794001,-5.464645762454164,-2008.8090134513288,164.0,9027.413612754,4348.957669793992,164.0
S1_F3,cash,1,worst,diagnostic_only,294.0,7.0,65.0,-0.17401527039760095,-0.13074417134252586,44.5578231292517,3616.320638847901,12.30041033621735,0.7809978836960387,1.0558815013600797,-10.200745196903522,-4265.148596750993,-5.307782046166747,-1787.106012493729,163.0,9022.779361153,4265.148596750994,163.0
S1_F3,cash,1,both,diagnostic_only,293.0,7.0,65.0,-0.20181930461300626,-0.13254914265334097,44.36860068259386,-1678.260942959103,-5.7278530476419895,0.7468698093005929,0.974066530451123,-10.200745196903522,-4265.148596750993,-5.307782046166747,-1787.106012493729,163.0,8971.06594296,4265.148596750994,163.0
S1_F3,cash,5,best,diagnostic_only,290.0,7.0,65.0,-0.2965924920928583,-0.1449601246813966,43.44827586206896,-15915.220701617138,-54.88007138488668,0.6412826292685074,0.7695552006397393,-10.200745196903522,-4348.957669794001,-5.464645762454164,-2008.8090134513288,164.0,8826.735701618001,4348.957669793992,164.0
S1_F3,cash,5,worst,diagnostic_only,290.0,7.0,65.0,-0.0884984741197431,-0.12284156493123567,45.17241379310345,16696.32692362588,57.57354111595131,0.8766787236969098,1.3233586221959919,-6.5883444585987085,-1932.5882208599883,-4.559936521558656,-1158.6848949920625,159.0,8837.523076375,1932.5882208599942,159.0
S1_F3,cash,5,both,diagnostic_only,285.0,7.0,65.0,-0.19069177691706685,-0.13254914265334097,44.21052631578947,1513.7432529548532,5.311379834929309,0.7388553964079179,1.029316743429438,-6.5883444585987085,-1932.5882208599883,-4.559936521558656,-1158.6848949920625,159.0,8585.131747046002,1932.5882208599942,159.0
S1_F4,net,1,best,diagnostic_only,236.0,7.0,58.0,-0.09771037418576743,-0.13276095025077533,46.186440677966104,-605.1624736513477,-2.5642477697091004,0.8598727485858978,0.9874668235677009,-9.83232226178813,-3438.487468817994,-5.2510528960649925,-1841.2652756802443,127.0,6843.842473652001,3438.4874688179916,127.0
S1_F4,net,1,worst,diagnostic_only,236.0,7.0,58.0,-0.014480854141032245,-0.12072311205503708,46.61016949152542,2586.7076022986657,10.960625433468923,0.9779132401543692,1.0554145347995498,-8.235700377192982,-3438.487468817994,-4.68092819571212,-1799.2813858760774,126.0,6843.727397702001,3438.4874688179916,126.0
S1_F4,net,1,both,diagnostic_only,235.0,7.0,58.0,-0.056286493812991285,-0.13167274223825506,46.38297872340426,1000.4557516986606,4.2572585178666404,0.9145134312585693,1.0214325693474782,-8.235700377192982,-3438.487468817994,-4.68092819571212,-1799.2813858760774,126.0,6825.339248302001,3438.4874688179916,126.0
S1_F4,net,5,best,diagnostic_only,232.0,7.0,58.0,-0.19706134660530025,-0.16550149351163673,45.258620689655174,-4429.082583551353,-19.09087320496273,0.7221826559563574,0.9082717850663465,-9.83232226178813,-3438.487468817994,-5.2510528960649925,-1841.2652756802443,127.0,6755.922583552001,3438.4874688179916,127.0
S1_F4,net,5,worst,diagnostic_only,232.0,7.0,58.0,0.09737418330932235,-0.09520175097368938,47.41379310344828,11173.997529603643,48.16378245518811,1.175501342675338,1.2933428603417536,-4.793159546726096,-3118.429601099998,-3.347103315993362,-1413.6861280850783,122.0,6706.922470397001,3118.429601100004,122.0
