date,open,high,low,close,preclose,volume
2019-03-07,13.9023492500,14.8402390800,13.6948515000,14.2675452900,13.8774495200,132132929
2019-03-08,13.6948515000,14.4003438500,13.0557584300,13.1304576200,14.2675452900,117987360
2019-03-11,13.1387575300,13.6118524000,13.0391586100,13.5454531200,13.1304576200,65964385
2019-03-12,13.6948515000,13.7695506900,13.2051568100,13.4292543800,13.5454531200,96418582
2019-03-13,13.2798560000,13.2798560000,12.6324630200,12.7154621200,13.4292543800,81528169
2019-03-14,12.6988623000,12.6988623000,12.0514693200,12.2257674300,12.7154621200,63503160
2019-03-15,12.3170664400,12.5328641000,12.2091676100,12.3336662600,12.2257674300,39783031
2019-03-18,12.4083654500,12.6158632000,12.3087665300,12.6075632900,12.3336662600,41559831
2019-03-19,12.6490628400,12.8233609500,12.5992633800,12.6656626600,12.6075632900,37186457
2019-03-20,12.6158632000,12.6324630200,12.3170664400,12.4996644600,12.6656626600,32045123
2019-03-21,12.5411640100,12.8067611300,12.4581649100,12.6988623000,12.4996644600,46659783
2019-03-22,12.6905623900,12.6905623900,12.3585659900,12.5245641900,12.6988623000,35394321
2019-03-25,12.2672669800,12.4000655400,12.1676680600,12.1759679700,12.5245641900,34826991
2019-03-26,12.2174675200,12.2921667100,11.7858722000,11.8190718400,12.1759679700,39008488
2019-03-27,11.9103708500,11.9767701300,11.7111730100,11.8273717500,11.8190718400,23466455
2019-03-28,11.8190718400,12.1427683300,11.7028731000,11.8688713000,11.8273717500,39017950
2019-03-29,11.8522714800,12.2506671600,11.7858722000,12.2423672500,11.8688713000,42742886
2019-04-01,12.6158632000,13.0474585200,12.5411640100,12.9146599600,12.2423672500,77435854
2019-04-02,12.9976590600,13.9023492500,12.9976590600,13.2881559100,12.9146599600,105140026
2019-04-03,13.3047557300,13.4790538400,13.0723582500,13.3462552800,13.2881559100,51538111
2019-04-04,13.3628551000,13.4458542000,13.0308587000,13.1470574400,13.3462552800,58496183
2019-04-08,13.2051568100,13.3462552800,12.7403618500,12.9644594200,13.1470574400,50572418
2019-04-09,13.2383564500,13.5620529400,13.1885569900,13.4541541100,12.9644594200,80529071
2019-04-10,13.2715560900,13.3794549200,13.0225587900,13.1968569000,13.4541541100,43719130
2019-04-11,13.1802570800,13.3213555500,13.0059589700,13.0059589700,13.1968569000,33355365
2019-04-12,13.0557584300,13.1553573500,12.8731604100,13.0391586100,13.0059589700,21874269
2019-04-15,13.2466563600,13.3130556400,12.8648605000,12.8648605000,13.0391586100,35038328
2019-04-16,12.8482606800,13.5537530300,12.7237620300,13.5122534800,12.8648605000,81788794
2019-04-17,13.7861505100,14.8651388100,13.5371532100,14.8651388100,13.5122534800,217742662
2019-04-18,15.2718344000,16.3508227000,14.8568389000,16.2761235100,14.8651388100,358084256
2019-04-19,15.3797332300,15.4876320600,14.6825407900,14.8485389900,16.2761235100,228710776
2019-04-22,14.7074405200,14.7157404300,14.1264468200,14.1762462800,14.8485389900,113487539
2019-04-23,14.2343456500,14.5414423200,13.6450520400,14.2592453800,14.1762462800,130567689
2019-04-24,14.0517476300,14.1928461000,13.8359499700,14.0517476300,14.2592453800,69579626
2019-04-25,13.8442498800,14.0434477200,13.4126545600,13.4209544700,14.0517476300,72613888
2019-04-26,13.3628551000,13.6367521300,13.2881559100,13.2881559100,13.4209544700,48443134
2019-04-29,13.4043546500,13.4707539300,12.8399607700,12.8648605000,13.2881559100,52834178
2019-04-30,12.8316608600,13.1719571700,12.6158632000,12.7984612200,12.8648605000,50072016
2019-05-06,12.6158632000,12.6158632000,11.5202750800,11.5534747200,12.7984612200,79092558
2019-05-07,11.5866743600,11.8937710300,11.5368749000,11.7692723800,11.5534747200,48698968
2019-05-08,11.4538758000,11.8688713000,11.3210772400,11.5866743600,11.7692723800,39025298
2019-05-09,11.4289760700,11.6613735500,11.3708767000,11.4787755300,11.5866743600,31252408
2019-05-10,11.6281739100,11.8605713900,10.9392813800,11.8024720200,11.4787755300,60500408
2019-05-13,11.6198740000,11.6530736400,11.4289760700,11.5202750800,11.8024720200,33926226
2019-05-14,11.2961775100,11.4870754400,11.2546779600,11.2961775100,11.5202750800,31586133
2019-05-15,11.4206761600,11.5949742700,11.3874765200,11.5285749900,11.2961775100,37111348
2019-05-16,11.5202750800,11.5202750800,11.3874765200,11.4787755300,11.5285749900,27161991
2019-05-17,11.4953753500,11.5700745400,10.8977818300,10.9558812000,11.4787755300,46704370
2019-05-20,10.9226815600,11.0388803000,10.6072849800,10.9558812000,10.9558812000,29273436
2019-05-21,10.9475812900,11.2712777800,10.8977818300,11.2048785000,10.9558812000,32485319
2019-05-22,11.2463780500,11.4123762500,11.0471802100,11.0969796700,11.2048785000,29547537
2019-05-23,11.0969796700,11.0969796700,10.7732831800,10.8230826400,11.0969796700,28908029
2019-05-24,10.8147827300,10.8977818300,10.7068839000,10.7068839000,10.8230826400,19365123
2019-05-27,10.7566833600,11.0554801200,10.7068839000,11.0056806600,10.7068839000,24870822
2019-05-28,11.0056806600,11.1218794000,10.9309814700,11.1218794000,11.0056806600,25860635
2019-05-29,11.0305803900,11.4123762500,10.9973807500,11.3127773300,11.1218794000,39533630
2019-05-30,11.1965785900,11.2214783200,11.0886797600,11.1799787700,11.3127773300,19824746
2019-05-31,11.1965785900,11.4123762500,11.1301793100,11.3542768800,11.1799787700,31520256
2019-06-03,11.2878776000,11.3293771500,10.9558812000,11.1052795800,11.3542768800,27627408
2019-06-04,11.0969796700,11.1716788600,10.7732831800,10.8562822800,11.1052795800,24829479
2019-06-05,10.9724810200,11.0305803900,10.8313825500,10.8562822800,10.8562822800,18437606
2019-06-06,10.8147827300,10.8147827300,10.5823852500,10.6487845300,10.8562822800,22934315
2019-06-10,9.5863960500,9.8602930800,9.5863960500,9.6942948800,10.6487845300,180559096
2019-06-11,9.6195956900,10.1258902000,9.5448965000,10.0428911000,9.6942948800,111753677
2019-06-12,9.9681919100,10.1175902900,9.8353933500,9.8851928100,10.0428911000,69893962
2019-06-13,9.8187935300,10.0594909200,9.6444954200,9.9100925400,9.8851928100,60770061
2019-06-14,9.8602930800,10.0262912800,9.7772939800,9.8021937100,9.9100925400,48407354
2019-06-17,9.8104936200,9.8768929000,9.6942948800,9.7025947900,9.8021937100,37316946
2019-06-18,9.7108947000,9.7855938900,9.6278956000,9.6693951500,9.7025947900,32139554
2019-06-19,9.9598920000,10.0428911000,9.8104936200,9.8270934400,9.6693951500,63691801
2019-06-20,9.8606587500,10.0536759000,9.7515621000,10.0284997500,9.8270905500,57442805
2019-06-21,10.0284997500,10.4397102000,10.0201077000,10.3390056000,10.0284997500,75204212
2019-06-24,10.3222215000,10.3222215000,10.1879487000,10.2718692000,10.3390056000,33418241
2019-06-25,10.2886533000,10.2886533000,9.9697554000,10.1040282000,10.2718692000,36830797
2019-06-26,10.0368918000,10.2802612500,10.0117156500,10.1627725500,10.1040282000,34578768
2019-06-27,10.2047328000,10.3306135500,10.1711646000,10.1963407500,10.1627725500,33283858
2019-06-28,10.2383010000,10.2718692000,10.0536759000,10.1124202500,10.1963407500,24416090
2019-07-01,10.4481022500,11.1278583000,10.3725738000,11.1278583000,10.1124202500,119600637
2019-07-02,11.3292675000,11.4887164500,11.0775060000,11.1614265000,11.1278583000,123768066
2019-07-03,11.1530344500,11.3880118500,11.0187616500,11.2537390500,11.1614265000,78153369
2019-07-04,11.2201708500,11.2956993000,11.0103696000,11.1278583000,11.2537390500,50695461
2019-07-05,11.1362503500,11.1530344500,10.8509206500,11.0355457500,11.1278583000,42166050
2019-07-08,10.9768014000,11.0355457500,10.4732784000,10.6411194000,11.0355457500,60193252
2019-07-09,10.5823750500,10.8005683500,10.5320227500,10.6662955500,10.6411194000,31460714
2019-07-10,10.7418240000,10.8005683500,10.6159432500,10.6830796500,10.6662955500,23212063
2019-07-11,10.7753922000,10.9012729500,10.6662955500,10.7334319500,10.6830796500,31696627
2019-07-12,10.6914717000,10.7837842500,10.5571989000,10.7166478500,10.7334319500,23446851
2019-07-15,10.6159432500,10.8257445000,10.1375964000,10.7082558000,10.7166478500,48677442
2019-07-16,10.6411194000,10.7753922000,10.5488068500,10.6243353000,10.7082558000,28972528
2019-07-17,10.6411194000,10.8089604000,10.5320227500,10.7502160500,10.6243353000,38694281
2019-07-18,10.6662955500,10.6662955500,10.3473976500,10.3725738000,10.7502160500,38063604
2019-07-19,10.3641817500,10.6159432500,10.3473976500,10.4564943000,10.3725738000,22456410
2019-07-22,10.5068466000,10.5404148000,10.1543805000,10.2802612500,10.4564943000,25480092
2019-07-23,10.2718692000,10.4732784000,10.2383010000,10.4313181500,10.2802612500,20314232
2019-07-24,10.4900625000,11.1866026500,10.4816704500,10.9600173000,10.4313181500,75955944
2019-07-25,10.9600173000,11.4467562000,10.9180570500,11.2537390500,10.9600173000,86572046
2019-07-26,11.2201708500,11.2789152000,11.0858980500,11.1194662500,11.2537390500,41097542
2019-07-29,11.1614265000,11.4467562000,11.0775060000,11.1698185500,11.1194662500,47135682
2019-07-30,11.1782106000,11.3460516000,11.1614265000,11.2369549500,11.1698185500,31556005
2019-07-31,11.1614265000,11.5390687500,11.1614265000,11.4719323500,11.2369549500,59544175
2019-08-01,11.3712277500,11.4299721000,11.1278583000,11.2621311000,11.4719323500,43696205
2019-08-02,10.8677047500,11.0019775500,10.6327273500,10.8173524500,11.2621311000,60094717
2019-08-05,10.6998637500,10.8089604000,10.5655909500,10.5907671000,10.8173524500,34931883
2019-08-06,10.3473976500,10.4229261000,9.9865395000,10.3473976500,10.5907671000,52712564
2019-08-07,10.3893579000,10.4732784000,10.2299089500,10.2718692000,10.3473976500,24342765
2019-08-08,10.3222215000,10.4145340500,10.2550851000,10.3641817500,10.2718692000,21574170
2019-08-09,10.4481022500,10.5488068500,10.2215169000,10.3138294500,10.3641817500,28021001
2019-08-12,10.3138294500,10.8089604000,10.2550851000,10.7921763000,10.3138294500,42490341
2019-08-13,10.6327273500,11.4299721000,10.6075512000,11.3208754500,10.7921763000,87837517
2019-08-14,11.5978131000,11.7908302500,11.3544436500,11.4887164500,11.3208754500,113501288
2019-08-15,11.1949947000,12.0593758500,11.1782106000,11.9922394500,11.4887164500,99264481
2019-08-16,11.9586712500,12.5880750000,11.9167110000,12.0509838000,11.9922394500,113352436
2019-08-19,12.4034499000,12.8734047000,12.3614896500,12.6636034500,12.0509838000,136205064
2019-08-20,12.5880750000,12.7055637000,12.3782737500,12.3950578500,12.6636034500,69617133
2019-08-21,12.4034499000,12.7727001000,12.2859612000,12.7139557500,12.3950578500,83578962
2019-08-22,12.6971716500,12.8314444500,12.2607850500,12.4370181000,12.7139557500,65919118
2019-08-23,12.5125465500,12.7139557500,12.3111373500,12.5461147500,12.4370181000,51269698
2019-08-26,12.1516884000,12.2775691500,11.5558528500,11.9418871500,12.5461147500,87833642
2019-08-27,12.0845520000,12.2272168500,11.9418871500,12.0845520000,11.9418871500,58293328
2019-08-28,12.0845520000,12.0845520000,11.7824382000,11.8160064000,12.0845520000,41201407
2019-08-29,11.8999269000,12.2020407000,11.7404779500,12.0593758500,11.8160064000,61167369
