date,code,open,high,low,close,preclose,volume,amount,adjustflag,tradestatus,pctChg,signal_close,chain_return_error_pct,action_ratio,stage,stage_v3,ordinal,vr,r3,r5,clv,upper,bias20,decelerate,gap,rt_cash,rt_pct,pt_cash,pt_pct,extra_cash_needed,exit_date,next_open,next_close,dividend_today,dividend,exit0935close,exit0935open,cash,net,fee,gross,price_only,event,calendar_days,model,variant
2023-03-07,sh.601138,11.06,11.16,10.44,10.51,11.06,163615149,1755130290.16,3,1,-4.9729,84.17529857841315,2.4773960213941848e-05,1.0,U,U,1151,5.001375644470925,11.04417670682729,16.176470588235283,0.024691358024693,0.4320987654320981,12.011342920802084,True,0.0,517.9448327500002,4.683045504068717,-581.5054477500016,-5.25773460895119,0.0,2023-03-08,10.43,10.57,0.0,0.0,10.64,10.65,-111.10418539999937,-1.0560872801780377,20.6341854,-0.7611798287345373,-0.7611798287345373,False,1.0,return_regressor,diagnostic_best_leaf
2023-03-10,sh.601138,11.0,11.25,10.79,10.85,11.15,95951096,1055607267.3,3,1,-2.6906,86.89838150102594,1.7040358736508665e-05,1.0,U,U,1154,2.5845827538189434,0.8137432188064952,7.833655705996101,0.6753246753246751,0.3246753246753248,10.54379616318839,False,-1.3452914798206317,117.86200075000072,1.0714727340909158,-181.98807574999927,-1.6544370522727203,0.0,2023-03-13,10.88,11.61,0.0,0.0,11.0,10.99,-1.956859849997965,-0.0180180820787777,21.09185985,0.27649769585254,0.27649769585254,False,3.0,return_regressor,diagnostic_best_leaf
2023-03-13,sh.601138,10.88,11.63,10.88,11.61,10.85,147509378,1676340139.56,3,1,7.0046,92.98527273980748,8.29493088083666e-06,1.0,U,U,1155,1.2949701095194726,3.2350142721217834,-4.573438874230451,0.1304347826086964,0.5434782608695642,7.001972386587752,True,0.27649769585254,-762.3444636499971,-7.006842496783063,696.925908650001,6.405569013327216,762.3444636499971,2023-03-14,11.6,11.76,0.0,0.0,11.61,11.6,-43.43130004999775,-0.3737337123220407,21.82630005,-0.0861326442721743,-0.0861326442721743,False,1.0,return_regressor,diagnostic_best_leaf
2023-03-14,sh.601138,11.6,11.93,11.42,11.76,11.61,132533253,1550402143.8,3,1,1.292,94.18663285272488,1.0335917317805254e-05,1.0,U,U,1156,1.8564985837748256,9.839167455061505,4.972875226039775,0.9733333333333316,0.0266666666666684,13.40659340659338,False,-0.0861326442721743,-193.50780079999848,-1.668170696551711,126.33228080000151,1.0890713862069097,193.50780079999848,2023-03-15,11.96,12.07,0.0,0.0,12.04,12.03,165.94878100000125,1.4098106703465183,22.191219,1.7006802721088563,1.7006802721088563,False,1.0,return_regressor,diagnostic_best_leaf
2023-03-16,sh.601138,12.0,12.56,11.95,12.35,12.07,141421878,1741411336.8,3,1,2.3198,98.91198263020004,1.1599005809159737e-06,1.0,U,U,1158,1.567214680770453,11.244239631336406,14.191106906338668,0.5263157894736852,0.4736842105263148,15.5964181391562,False,-0.5799502899751507,-384.4125017499993,-3.203437514583327,315.2376767500008,2.62698063958334,384.4125017499993,2023-03-17,12.55,13.59,0.0,0.0,13.3,13.27,164.7572760000011,1.332847638757107,22.792724,1.619433198380582,1.619433198380582,False,1.0,return_regressor,diagnostic_best_leaf
2023-03-21,sh.601138,14.89,14.99,14.2,14.6,14.88,280570045,4117272987.22,3,1,-1.8817,116.93238432396116,2.043010753638441e-05,1.0,U,U,1161,2.8748936610120897,23.28086164043084,28.1653746770026,0.8888888888888911,0.1111111111111089,35.186699373126174,True,0.0672043010752743,250.07754645000284,1.6794999761585148,-329.63260144999896,-2.2137851004029483,0.0,2023-03-22,15.0,16.06,0.0,0.0,15.29,15.28,359.9115020000007,2.4630475979310784,25.288498,2.7397260273972712,2.7397260273972712,False,1.0,return_regressor,diagnostic_best_leaf
2023-03-24,sh.601138,16.85,17.81,16.65,17.66,16.99,303439982,5233784622.38,3,1,3.9435,141.44013062747632,3.82577985957866e-06,1.0,U,U,1164,2.286862499066249,14.180107526881702,37.57085020242914,0.6395348837209274,0.3604651162790726,42.497693533506656,True,-0.8240141259564293,-854.4416790499973,-5.070870498813041,764.7487340500027,4.538568154599423,854.4416790499973,2023-03-27,17.08,17.63,0.0,0.0,17.51,17.5,-624.788862899999,-3.5350720066978507,27.4188629,-3.284258210645541,-3.284258210645541,False,3.0,return_regressor,diagnostic_best_leaf
2023-03-27,sh.601138,17.08,17.99,16.61,17.63,17.66,378361859,6534761023.62,3,1,-0.1699,141.19985860489282,2.4575311429686497e-05,1.0,U,U,1165,1.7809355386114838,20.95890410958905,29.94849153789552,0.870689655172415,0.1293103448275849,43.28600405679512,True,-3.284258210645541,-594.7735627499995,-3.482280812353628,504.67671775000406,2.954781719847799,594.7735627499995,2023-03-28,17.08,16.45,0.0,0.0,16.86,16.84,-594.7735627499995,-3.370969468673961,27.41856275,-3.1196823596142957,-3.1196823596142957,False,1.0,return_regressor,diagnostic_best_leaf
2023-03-28,sh.601138,17.08,17.45,16.39,16.45,17.63,255217996,4307404641.91,3,1,-6.6931,131.74915904994256,3.669880884338284e-05,1.0,U,U,1166,2.009130882035796,9.7758405977584,18.481182795698903,0.7391304347826089,0.2608695652173911,38.48631239935587,True,-3.119682359614296,585.8282431500006,3.429907746779864,-673.5420781499957,-3.9434547901053616,0.0,2023-03-29,16.7,16.16,0.0,0.0,16.63,16.65,206.4018512500029,1.2537020412402502,27.02314875,1.5197568389057723,1.5197568389057723,False,1.0,return_regressor,diagnostic_best_leaf
2023-03-30,sh.601138,16.21,17.06,15.54,16.88,16.16,295732939,4856324624.3,3,1,4.4554,135.1930580403058,4.5544554459375775e-05,1.0,U,U,1168,1.6450026709143653,-8.49377123442807,0.6226650062266748,0.6093023255813955,0.1395348837209305,20.75020548456998,False,0.3094059405940541,-713.0777983499983,-4.398999372917941,626.2525433499962,3.863371643121507,713.0777983499983,2023-03-31,16.7,17.22,0.0,0.0,16.65,16.67,-223.81745089999723,-1.3248646421942216,27.0274509,-1.0663507109004766,-1.0663507109004766,False,1.0,return_regressor,diagnostic_best_leaf
