date,cash,shares,open_equity,equity
2024-06-18,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-06-19,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-06-20,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-06-21,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-06-24,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-06-25,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-06-26,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-06-27,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-06-28,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-01,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-02,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-03,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-04,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-05,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-08,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-09,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-10,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-11,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-12,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-15,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-16,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-17,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-18,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-19,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-22,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-23,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-24,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-25,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-26,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-29,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-30,19617.806256100026,0,19617.806256100026,19617.806256100026
2024-07-31,19617.806256100026,0,19617.806256100026,19617.806256100026
