scenario,event,n,increment,remaining
S1_F1_open_10_1000,20,2,-56.23809919999803,4321.268256090671
S1_F1_open_10_1000,21,1,-7.1261691999970935,4272.15632609067
S1_F1_open_10_1000,22,2,-80.52498979999473,4345.555146690667
S1_F1_open_10_1000,23,1,-135.93139079999673,4400.961547690669
S1_F1_open_10_1000,24,3,-138.34034999999676,4403.370506890669
S1_F1_open_10_1000,25,2,-192.85566199999812,4457.885818890671
S1_F1_open_10_1000,26,9,-530.6761223999838,4795.706279290656
S1_F1_open_10_1000,27,3,-104.2374893999986,4369.267646290671
S1_F1_open_10_1000,28,1,-46.40721999999914,4311.437376890672
S1_F1_open_10_1000,29,1,-36.57935980000002,4301.6095166906725
S1_F1_open_10_1000,30,2,-48.88371919999736,4313.91387609067
S1_F1_open_10_1000,31,4,-26.510827000000063,4291.540983890673
S1_F1_open_10_1000,32,7,-245.84975919999124,4510.879916090664
S1_F1_open_10_1000,33,1,-78.57348619999902,4343.6036430906715
S1_F1_open_10_1000,34,1,51.65192090000164,4213.378235990671
S1_F1_open_10_1000,35,3,-74.55197959999714,4339.58213649067
S1_F1_open_10_1000,36,4,-187.52978029999576,4452.559937190668
S1_F1_open_10_1000,37,8,-424.1637400999898,4689.193896990662
S1_F1_open_10_1000,38,1,-28.489259899999524,4293.519416790672
S1_F1_open_10_1000,39,1,-145.9537410999983,4410.983897990671
S1_F1_open_10_1000,40,2,-120.92065050000019,4385.950807390673
S1_F1_open_10_1000,41,3,-89.34930979999444,4354.379466690667
S1_F1_open_10_1000,42,4,-172.9308001999998,4437.960957090672
S1_F1_open_10_1000,43,1,-138.4192210000001,4403.449377890673
S1_F1_open_10_1000,44,1,-58.70070019999912,4323.730857090672
S1_F1_open_10_1000,45,1,11.219050500001686,4253.811106390671
S1_F1_open_10_1000,46,1,20.534780600000886,4244.495376290672
S1_F1_open_10_1000,47,1,30.24298070000077,4234.787176190672
S1_F1_open_10_1000,48,1,-174.45733130000008,4439.487488190673
S1_F1_open_10_1000,49,7,-84.61763669998436,4349.647793590657
S1_F1_open_10_1000,50,1,-116.77751049999642,4381.807667390669
S1_F1_open_10_1000,51,2,-705.7073857999967,4970.737542690669
S1_F1_open_10_1000,52,2,576.4090174000085,3688.621139490664
S1_F1_open_10_1000,53,1,278.07576370000606,3986.9543931906665
S1_F1_open_10_1000,54,1,184.96918380000352,4080.060973090669
S1_F1_open_10_1000,55,1,-1235.5970715999938,5500.627228490666
S1_F1_open_10_1000,56,2,343.06073460000334,3921.969422290669
S1_F1_open_10_1000,57,1,-258.80315699999846,4523.833313890671
S1_F1_open_10_1000,58,1,-87.1274403999978,4352.15759729067
S1_F1_open_10_1000,59,1,-120.68504070000017,4385.715197590673
S1_F1_open_10_1000,60,1,-177.79782629999863,4442.827983190671
S1_F1_open_10_1000,61,1,-69.29920519999723,4334.32936209067
S1_F1_open_10_1000,62,1,-46.65872499999932,4311.688881890672
S1_F1_open_10_1000,63,4,-399.7773071999982,4664.807464090671
S1_F1_open_10_1000,64,1,704.1820525999974,3560.848104290675
S1_F1_open_10_1000,65,3,1083.065797800009,3181.9643590906635
S1_F1_open_10_1000,66,1,135.93965710000703,4129.0904997906655
S1_F1_open_10_1000,67,1,-852.5659477999943,5117.596104690667
S1_F1_open_10_1000,68,1,204.22151280000253,4060.80864409067
S1_F1_open_10_1000,69,1,-41.77303469999242,4306.803191590665
S1_F1_open_10_1000,70,6,551.8809201000113,3713.1492367906612
S1_F1_open_10_1000,71,1,970.6579954000044,3294.372161490668
S1_F1_open_10_1000,72,1,217.90239780000047,4047.127759090672
S1_F1_open_10_1000,73,4,-22.918351699987397,4287.94850859066
S1_F1_open_10_1000,74,5,-989.476616299984,5254.5067731906565
S1_F1_open_10_1000,75,2,780.6811593000057,3484.348997590667
S1_F1_open_10_1000,76,1,329.93600399999923,3935.0941528906733
S1_F1_open_10_1000,77,1,-65.05107499999576,4330.081231890668
S1_F1_open_10_1000,78,1,-86.9609001999961,4351.991057090669
S1_F1_open_10_1000,79,3,-269.75902569999016,4534.789182590663
S1_F1_open_10_1000,80,8,139.84720150001158,4125.182955390661
S1_F1_open_10_1000,81,1,341.93650909999997,3923.0936477906725
S1_F1_open_10_1000,82,3,-409.90811219998795,4674.9382690906605
S1_F1_open_10_1000,83,1,18.405855800003337,4246.624301090669
S1_F1_open_10_1000,84,1,255.0628831000031,4009.9672737906694
S1_F1_open_10_1000,85,5,-1394.4520060999967,5659.482162990669
S1_F1_open_10_1000,86,2,50.67664670000522,4214.353510190667
S1_F1_open_10_1000,87,2,-225.54207599999427,4490.572232890667
S1_F1_open_10_1000,88,4,-382.73867579999205,4647.768832690665
S1_F1_open_10_1000,89,6,824.1986004620194,3440.831556428653
S1_F1_open_10_1000,90,1,-4.556024735989922,4269.586181626662
S1_F1_open_10_1000,91,1,1874.6227179780108,2390.4074389126617
S1_F1_open_10_1000,92,7,8382.95046710402,-4117.920310213347
S1_F1_open_10_1000,93,1,-186.91075390799233,4451.940910798665
S1_F1_open_10_1000,94,1,1019.4191914799885,3245.610965410684
S1_F1_open_10_1000,95,2,-1515.719114118001,5780.7492710086735
S1_F1_open_10_1000,96,3,1205.1573222660154,3059.872834624657
S1_F1_open_10_1000,97,1,-776.0741421479979,5041.10429903867
S1_F1_open_10_1000,98,1,1490.1922649100088,2774.8378919806637
S1_F1_open_10_1000,99,10,-4930.585317905941,9195.615474796614
S1_F1_open_10_1000,100,11,1414.4410552560876,2850.589101634585
S1_F1_open_10_1000,101,4,267.2079195840124,3997.82223730666
S1_F1_open_10_1000,102,1,56.4872757980047,4208.542881092668
S1_F1_open_10_1000,103,1,340.2249700620014,3924.805186828671
S1_F1_open_10_1000,104,3,356.53757040599885,3908.4925864846737
S1_F1_open_11_all,0,1,-179.65418442000373,-8247.32308541632
S1_F1_open_11_all,1,6,1955.8278383599936,-10382.805108196317
S1_F1_open_11_all,2,4,336.8052436399921,-8763.782513476315
S1_F1_open_11_all,3,1,226.75340037999922,-8653.730670216322
S1_F1_open_11_all,4,2,-177.010477540005,-8249.966792296318
S1_F1_open_11_all,5,1,-445.6518525800002,-7981.325417256323
S1_F1_open_11_all,6,7,-401.828304220011,-8025.148965616312
S1_F1_open_11_all,7,4,-399.53949696000745,-8027.437772876316
S1_F1_open_11_all,8,9,-1162.0130234800163,-7264.964246356307
S1_F1_open_11_all,9,1,-46.272680779999064,-8380.704589056324
S1_F1_open_11_all,10,2,41.8785885199959,-8468.855858356319
S1_F1_open_11_all,11,7,-422.27176166000936,-8004.705508176314
S1_F1_open_11_all,12,1,75.0277258599981,-8502.004995696321
S1_F1_open_11_all,13,5,-492.56450084001153,-7934.412768996312
S1_F1_open_11_all,14,1,-36.229091560002416,-8390.74817827632
S1_F1_open_11_all,15,12,-710.852134880015,-7716.125134956308
S1_F1_open_11_all,16,7,88.19928333999269,-8515.176553176316
S1_F1_open_11_all,17,2,-127.69942344000447,-8299.277846396319
S1_F1_open_11_all,18,2,-83.01999634000276,-8343.95727349632
S1_F1_open_11_all,19,10,-530.3526430000129,-7896.62462683631
S1_F1_open_11_all,20,2,-61.25158912000188,-8365.725680716321
S1_F1_open_11_all,21,2,-68.9307813400028,-8358.04648849632
S1_F1_open_11_all,22,3,-123.27432156000214,-8303.702948276321
S1_F1_open_11_all,23,2,-196.5675960000026,-8230.40967383632
S1_F1_open_11_all,24,3,-195.46678500000598,-8231.510484836317
S1_F1_open_11_all,25,2,-197.65126820000114,-8229.326001636322
S1_F1_open_11_all,26,9,-551.7735746400158,-7875.203695196307
S1_F1_open_11_all,27,4,-149.5923791200039,-8277.38489071632
S1_F1_open_11_all,28,1,-48.80202200000167,-8378.175247836321
S1_F1_open_11_all,29,1,-38.98515578000297,-8387.99211405632
S1_F1_open_11_all,30,2,-53.4134511200009,-8373.563818716322
S1_F1_open_11_all,31,5,-81.98773270000311,-8344.98953713632
S1_F1_open_11_all,32,7,-260.04665512000247,-8166.930614716321
S1_F1_open_11_all,33,2,-161.14886326000124,-8265.828406576322
S1_F1_open_11_all,34,1,49.77786299000036,-8476.755132826323
S1_F1_open_11_all,35,5,-180.2682407800039,-8246.70902905632
S1_F1_open_11_all,36,5,-226.75044122000145,-8200.226828616322
S1_F1_open_11_all,37,10,-592.1644766800127,-7834.81279315631
S1_F1_open_11_all,38,2,-110.64518733000295,-8316.33208250632
S1_F1_open_11_all,39,1,-147.67588520999925,-8279.301384626324
S1_F1_open_11_all,40,2,-124.2939655500013,-8302.683304286322
S1_F1_open_11_all,41,4,-82.32628723000198,-8344.650982606321
S1_F1_open_11_all,42,5,-199.96855100000357,-8227.00871883632
S1_F1_open_11_all,43,1,-140.30428310000207,-8286.672986736321
S1_F1_open_11_all,44,1,-60.60175022000294,-8366.37551961632
S1_F1_open_11_all,45,1,9.315005549999114,-8436.292275386322
S1_F1_open_11_all,46,1,18.585758659997737,-8445.56302849632
S1_F1_open_11_all,47,1,28.27496876999976,-8455.252238606323
S1_F1_open_11_all,48,2,-222.34422843000175,-8204.633041406321
S1_F1_open_11_all,49,8,-564.8651547700047,-7862.112115066318
S1_F1_open_11_all,50,1,-120.53863154999999,-8306.438638286323
S1_F1_open_11_all,51,2,-712.7259043800041,-7714.251365456319
S1_F1_open_11_all,52,4,1193.1456629399872,-9620.12293277631
S1_F1_open_11_all,53,2,208.65131139999357,-8635.628581236317
S1_F1_open_11_all,54,1,235.01368218000061,-8661.990952016324
S1_F1_open_11_all,55,1,-1294.9789387599994,-7131.998331076324
S1_F1_open_11_all,56,2,280.37666805999834,-8707.353937896321
S1_F1_open_11_all,57,1,-262.68019270000514,-8164.297077136318
S1_F1_open_11_all,58,1,-90.07470443999955,-8336.902565396324
S1_F1_open_11_all,59,1,-123.9152347700001,-8303.062035066323
S1_F1_open_11_all,60,1,-180.8000789300022,-8246.17719090632
S1_F1_open_11_all,61,1,-72.41842572000132,-8354.558844116322
S1_F1_open_11_all,62,1,-49.567997500000274,-8377.409272336323
S1_F1_open_11_all,63,4,-410.8745379200045,-8016.102731916319
S1_F1_open_11_all,64,1,700.560977860001,-9127.538247696324
S1_F1_open_11_all,65,3,1069.843137579992,-9496.820407416315
S1_F1_open_11_all,66,1,130.859932809999,-8557.837202646322
S1_F1_open_11_all,67,1,-857.5467225799985,-7569.430547256325
S1_F1_open_11_all,68,2,149.0958704099903,-8576.073140246313
S1_F1_open_11_all,69,1,-46.67480816999887,-8380.302461666324
S1_F1_open_11_all,70,6,520.3058421099813,-8947.283111946304
S1_F1_open_11_all,71,1,965.9691949400003,-9392.946464776323
S1_F1_open_11_all,72,1,213.77343757999915,-8640.750707416322
S1_F1_open_11_all,73,5,-165.31063816001188,-8261.666631676311
S1_F1_open_11_all,74,7,-4206.621466760022,-4220.3558030763015
S1_F1_open_11_all,75,2,770.4367452299921,-9197.414015066315
S1_F1_open_11_all,76,1,325.177204399999,-8752.154474236322
S1_F1_open_11_all,77,1,-69.41998250000324,-8357.55728733632
S1_F1_open_11_all,78,2,-642.1960040000085,-7784.781265836315
S1_F1_open_11_all,79,3,-283.23265827000796,-8143.744611566315
S1_F1_open_11_all,80,8,105.72275164998427,-8532.700021486307
S1_F1_open_11_all,81,1,337.3366700100014,-8764.313939846325
S1_F1_open_11_all,82,3,-422.6029434200027,-8004.37432641632
S1_F1_open_11_all,83,1,14.312881379995815,-8441.290151216319
S1_F1_open_11_all,84,2,-407.56943518999833,-8019.407834646325
S1_F1_open_11_all,85,6,-1492.7053449300074,-6934.271924906316
S1_F1_open_11_all,86,3,-232.6675104400092,-8194.309759396314
S1_F1_open_11_all,87,2,-233.91998360000798,-8193.057286236315
S1_F1_open_11_all,88,4,-403.5914633800094,-8023.385806456314
S1_F1_open_11_all,89,10,-2827.033597344831,-5599.943672491492
S1_F1_open_11_all,90,2,1700.9250184764023,-10127.902288312725
S1_F1_open_11_all,91,1,1860.6592915757938,-10287.636561412117
S1_F1_open_11_all,92,9,4411.535441920176,-12838.512711756499
S1_F1_open_11_all,93,2,-421.20722609641234,-8005.770043739911
S1_F1_open_11_all,94,1,1006.5004694279778,-9433.4777392643
S1_F1_open_11_all,95,2,-1540.5139601298215,-6886.463309706502
S1_F1_open_11_all,96,4,876.2906659913642,-9303.267935827687
S1_F1_open_11_all,97,1,-787.2693671628076,-7639.7079026735155
S1_F1_open_11_all,98,1,1478.7701864009869,-9905.74745623731
S1_F1_open_11_all,99,12,-4063.6161328770613,-4363.361136959262
S1_F1_open_11_all,100,13,319.2458464133015,-8746.223116249625
S1_F1_open_11_all,101,4,217.58036754238856,-8644.557637378712
S1_F1_open_11_all,102,2,-290.8007903222024,-8136.176479514121
S1_F1_open_11_all,103,2,2101.2965151422104,-10528.273784978534
S1_F1_open_11_all,104,3,318.3261608465764,-8745.3034306829
S1_F1_open_11_1000,0,1,-179.65418442000373,3043.4089211983737
S1_F1_open_11_1000,1,5,1837.4456351799963,1026.3091015983737
S1_F1_open_11_1000,2,4,336.8052436399921,2526.949493138378
S1_F1_open_11_1000,3,1,226.75340037999922,2637.0013363983708
S1_F1_open_11_1000,4,1,86.26970807999714,2777.485028698373
S1_F1_open_11_1000,5,1,-445.6518525800002,3309.40658935837
S1_F1_open_11_1000,6,6,-245.14092002001053,3108.8956567983805
S1_F1_open_11_1000,7,3,-233.55347054000595,3097.308207318376
S1_F1_open_11_1000,8,7,-850.6094180600121,3714.364154838382
S1_F1_open_11_1000,9,1,-46.272680779999064,2910.027417558369
S1_F1_open_11_1000,10,2,41.8785885199959,2821.876148258374
S1_F1_open_11_1000,11,5,-420.18348108000646,3283.9382178583764
S1_F1_open_11_1000,12,1,75.0277258599981,2788.727010918372
S1_F1_open_11_1000,13,5,-492.56450084001153,3356.3192376183815
S1_F1_open_11_1000,14,1,-36.229091560002416,2899.9838283383724
S1_F1_open_11_1000,15,11,-750.2105740800143,3613.9653108583843
S1_F1_open_11_1000,16,6,73.33592579999458,2790.4188109783754
S1_F1_open_11_1000,17,1,-73.9094954400025,2937.6642322183725
S1_F1_open_11_1000,18,2,-83.01999634000276,2946.7747331183728
S1_F1_open_11_1000,19,9,-480.77328500001386,3344.528021778384
S1_F1_open_11_1000,20,2,-61.25158912000188,2925.006325898372
S1_F1_open_11_1000,21,1,-9.566946120001376,2873.3216828983714
S1_F1_open_11_1000,22,2,-85.16366878000008,2948.91840555837
S1_F1_open_11_1000,23,1,-138.2962098800017,3002.0509466583717
S1_F1_open_11_1000,24,3,-145.46678500000598,3009.221521778376
S1_F1_open_11_1000,25,2,-197.65126820000114,3061.406004978371
S1_F1_open_11_1000,26,9,-551.7735746400158,3415.528311418386
S1_F1_open_11_1000,27,3,-111.09305834000406,2974.847795118374
S1_F1_open_11_1000,28,1,-48.80202200000167,2912.5567587783717
S1_F1_open_11_1000,29,1,-38.98515578000297,2902.739892558373
S1_F1_open_11_1000,30,2,-53.4134511200009,2917.168187898371
S1_F1_open_11_1000,31,4,-35.485329700002694,2899.2400664783727
S1_F1_open_11_1000,32,7,-260.04665512000247,3123.8013918983725
S1_F1_open_11_1000,33,1,-80.46053482000025,2944.2152715983702
S1_F1_open_11_1000,34,1,49.77786299000036,2813.9768737883696
S1_F1_open_11_1000,35,3,-80.14917756000432,2943.9039143383743
S1_F1_open_11_1000,36,4,-195.31288833000144,3059.0676251083714
S1_F1_open_11_1000,37,8,-439.6689841100124,3303.4237208883824
S1_F1_open_11_1000,38,1,-30.37531589000173,2894.1300526683717
S1_F1_open_11_1000,39,1,-147.67588520999925,3011.4306219883692
S1_F1_open_11_1000,40,2,-124.2939655500013,2988.0487023283713
S1_F1_open_11_1000,41,3,-94.60268078000263,2958.3574175583726
S1_F1_open_11_1000,42,4,-180.40906022000308,3044.163796998373
S1_F1_open_11_1000,43,1,-140.30428310000207,3004.059019878372
S1_F1_open_11_1000,44,1,-60.60175022000294,2924.356486998373
S1_F1_open_11_1000,45,1,9.315005549999114,2854.439731228371
S1_F1_open_11_1000,46,1,18.585758659997737,2845.1689781183723
S1_F1_open_11_1000,47,1,28.27496876999976,2835.4797680083702
S1_F1_open_11_1000,48,1,-176.7431944300024,3040.4979312083724
S1_F1_open_11_1000,49,7,-107.4252103700037,2971.1799471483737
S1_F1_open_11_1000,50,1,-120.53863154999999,2984.29336832837
S1_F1_open_11_1000,51,2,-712.7259043800041,3576.480641158374
S1_F1_open_11_1000,52,2,566.9257991399936,2296.8289376383764
S1_F1_open_11_1000,53,1,272.66349006999735,2591.0912467083726
S1_F1_open_11_1000,54,1,180.01368218000061,2683.7410545983694
S1_F1_open_11_1000,55,1,-1239.9789387599994,4103.733675538369
S1_F1_open_11_1000,56,2,335.37666805999834,2528.3780687183717
S1_F1_open_11_1000,57,1,-262.68019270000514,3126.434929478375
S1_F1_open_11_1000,58,1,-90.07470443999955,2953.8294412183695
S1_F1_open_11_1000,59,1,-123.9152347700001,2987.66997154837
S1_F1_open_11_1000,60,1,-180.8000789300022,3044.554815708372
S1_F1_open_11_1000,61,1,-72.41842572000132,2936.1731624983713
S1_F1_open_11_1000,62,1,-49.567997500000274,2913.3227342783703
S1_F1_open_11_1000,63,4,-410.8745379200045,3274.6292746983745
S1_F1_open_11_1000,64,1,700.560977860001,2163.193758918369
S1_F1_open_11_1000,65,3,1069.843137579992,1793.911599198378
S1_F1_open_11_1000,66,1,130.859932809999,2732.894803968371
S1_F1_open_11_1000,67,1,-857.5467225799985,3721.3014593583684
S1_F1_open_11_1000,68,1,199.00682407999557,2664.7479126983744
S1_F1_open_11_1000,69,1,-46.67480816999887,2910.429544948369
S1_F1_open_11_1000,70,6,520.3058421099813,2343.4488946683887
S1_F1_open_11_1000,71,1,965.9691949400003,1897.7855418383697
S1_F1_open_11_1000,72,1,213.77343757999915,2649.981299198371
S1_F1_open_11_1000,73,4,-38.53943687001083,2902.294173648381
S1_F1_open_11_1000,74,5,-1014.0494879300168,3877.8042247083868
S1_F1_open_11_1000,75,2,770.4367452299921,2093.317991548378
S1_F1_open_11_1000,76,1,325.177204399999,2538.577532378371
S1_F1_open_11_1000,77,1,-69.41998250000324,2933.1747192783732
S1_F1_open_11_1000,78,1,-91.48177022000527,2955.2365069983753
S1_F1_open_11_1000,79,3,-283.23265827000796,3146.987395048378
S1_F1_open_11_1000,80,8,105.72275164998427,2758.0319851283857
S1_F1_open_11_1000,81,1,337.3366700100014,2526.4180667683686
S1_F1_open_11_1000,82,3,-422.6029434200027,3286.3576801983727
S1_F1_open_11_1000,83,1,14.312881379995815,2849.441855398374
S1_F1_open_11_1000,84,1,251.50278140999944,2612.2519553683705
S1_F1_open_11_1000,85,5,-1413.0803767100078,4276.835113488378
S1_F1_open_11_1000,86,2,42.797621369994886,2820.957115408375
S1_F1_open_11_1000,87,2,-233.91998360000798,3097.674720378378
S1_F1_open_11_1000,88,4,-403.5914633800094,3267.3462001583794
S1_F1_open_11_1000,89,6,772.9504663081752,2090.8042704701948
S1_F1_open_11_1000,90,1,-16.34507040959579,2880.099807187966
S1_F1_open_11_1000,91,1,1860.6592915757938,1003.0954452025762
S1_F1_open_11_1000,92,7,8284.447485014389,-5420.692748236019
S1_F1_open_11_1000,93,1,-198.87176369880763,3062.6265004771776
S1_F1_open_11_1000,94,1,1006.5004694279778,1857.2542673503922
S1_F1_open_11_1000,95,2,-1540.5139601298215,4404.2686969081915
S1_F1_open_11_1000,96,3,1168.009682292577,1695.745054485793
S1_F1_open_11_1000,97,1,-787.2693671628076,3651.0241039411776
S1_F1_open_11_1000,98,1,1478.7701864009869,1384.9845503773831
S1_F1_open_11_1000,99,10,-5041.042830696642,7904.797567475012
S1_F1_open_11_1000,100,11,1255.0250631815288,1608.7296735968412
S1_F1_open_11_1000,101,4,217.58036754238856,2646.1743692359814
S1_F1_open_11_1000,102,1,43.343577177787665,2820.4111596005823
S1_F1_open_11_1000,103,1,326.6353892682091,2537.119347510161
S1_F1_open_11_1000,104,3,318.3261608465764,2545.4285759317936
S1_F1_open_12_all,0,1,-183.33934664000117,-9941.696262635829
S1_F1_open_12_all,1,6,1933.4251691199934,-12058.460778395824
S1_F1_open_12_all,2,4,321.81477487999655,-10446.850384155827
S1_F1_open_12_all,3,1,223.4760549599996,-10348.51166423583
S1_F1_open_12_all,4,2,-182.38279368000258,-9942.652815595828
S1_F1_open_12_all,5,1,-448.4814573600015,-9676.554151915829
S1_F1_open_12_all,6,7,-421.69136824000634,-9703.344241035824
S1_F1_open_12_all,7,4,-410.62596032000147,-9714.409648955829
S1_F1_open_12_all,8,9,-1189.9210801600075,-8935.114529115823
S1_F1_open_12_all,9,1,-49.12825175999933,-10075.90735751583
S1_F1_open_12_all,10,2,35.827623839995795,-10160.863233115826
S1_F1_open_12_all,11,7,-442.1628127200056,-9682.872796555825
S1_F1_open_12_all,12,1,72.2561191199984,-10197.291728395829
S1_F1_open_12_all,13,5,-506.30763728000784,-9618.727971995822
S1_F1_open_12_all,14,1,-39.08166352000262,-10085.953945755828
S1_F1_open_12_all,15,12,-744.8511289600028,-9380.184480315827
S1_F1_open_12_all,16,7,68.9699272799935,-10194.005536555824
S1_F1_open_12_all,17,2,-133.11271648000547,-9991.922892795825
S1_F1_open_12_all,18,2,-88.76012328000252,-10036.275485995828
S1_F1_open_12_all,19,10,-556.9133560000118,-9568.122253275818
S1_F1_open_12_all,20,2,-66.26507904000027,-10058.77053023583
S1_F1_open_12_all,21,2,-73.80134327999986,-10051.23426599583
S1_F1_open_12_all,22,3,-130.2648235200013,-9994.770785755829
S1_F1_open_12_all,23,2,-201.2932320000018,-9923.742377275828
S1_F1_open_12_all,24,3,-202.59322000000066,-9922.44238927583
S1_F1_open_12_all,25,2,-202.44687440000416,-9922.588734875826
S1_F1_open_12_all,26,9,-572.8710268800096,-9552.16458239582
S1_F1_open_12_all,27,4,-158.8237590400022,-9966.211850235828
S1_F1_open_12_all,28,1,-51.19682400000056,-10073.83878527583
S1_F1_open_12_all,29,1,-41.39095176000228,-10083.644657515828
S1_F1_open_12_all,30,2,-57.94318304000262,-10067.092426235828
S1_F1_open_12_all,31,5,-93.21510840000701,-10031.820500875823
S1_F1_open_12_all,32,7,-274.2435510400064,-9850.792058235824
S1_F1_open_12_all,33,2,-164.94295992000298,-9960.092649355827
S1_F1_open_12_all,34,1,47.903805079997255,-10172.939414355827
S1_F1_open_12_all,35,5,-189.59957176000717,-9935.436037515823
S1_F1_open_12_all,36,5,-236.4855722400025,-9888.550037035828
S1_F1_open_12_all,37,10,-611.5467745600054,-9513.488834715825
S1_F1_open_12_all,38,2,-114.41230436000114,-10010.623304915829
S1_F1_open_12_all,39,1,-149.3980293200002,-9975.63757995583
S1_F1_open_12_all,40,2,-127.66728060000241,-9997.368328675828
S1_F1_open_12_all,41,4,-89.29979516000276,-10035.735814115827
S1_F1_open_12_all,42,5,-209.28189200000452,-9915.753717275826
S1_F1_open_12_all,43,1,-142.1893452000004,-9982.84626407583
S1_F1_open_12_all,44,1,-62.50280023999949,-10062.53280903583
S1_F1_open_12_all,45,1,7.41096060000018,-10132.44656987583
S1_F1_open_12_all,46,1,16.636736720000044,-10141.67234599583
S1_F1_open_12_all,47,1,26.306956839998747,-10151.342566115829
S1_F1_open_12_all,48,2,-226.84098556000208,-9898.194623715828
S1_F1_open_12_all,49,8,-590.6312688400158,-9534.404340435814
S1_F1_open_12_all,50,1,-124.29975259999628,-10000.735856675834
S1_F1_open_12_all,51,2,-719.7444229600042,-9405.291186315826
S1_F1_open_12_all,52,4,1174.137250479991,-11299.172859755821
S1_F1_open_12_all,53,2,198.02264879999348,-10323.058258075824
S1_F1_open_12_all,54,1,230.05818056000135,-10355.093789835832
S1_F1_open_12_all,55,1,-1299.3608059200014,-8825.674803355829
S1_F1_open_12_all,56,2,272.69260151999697,-10397.728210795827
S1_F1_open_12_all,57,1,-266.55722840000453,-9858.478380875826
S1_F1_open_12_all,58,1,-93.0219684800013,-10032.013640795829
S1_F1_open_12_all,59,1,-127.14542884000002,-9997.89018043583
S1_F1_open_12_all,60,1,-183.8023315600003,-9941.23327771583
S1_F1_open_12_all,61,1,-75.53764624000178,-10049.497963035828
S1_F1_open_12_all,62,1,-52.477270000001226,-10072.558339275829
S1_F1_open_12_all,63,4,-421.9717686400036,-9703.063840635827
S1_F1_open_12_all,64,1,696.9399031199973,-10821.975512395828
S1_F1_open_12_all,65,3,1056.6204773599966,-11181.656086635827
S1_F1_open_12_all,66,1,125.78020851999827,-10250.815817795828
S1_F1_open_12_all,67,1,-862.527497359999,-9262.508111915831
S1_F1_open_12_all,68,2,138.7414677199995,-10263.77707699583
S1_F1_open_12_all,69,1,-51.57658163999804,-10073.459027635832
S1_F1_open_12_all,70,6,488.73076411999136,-10613.766373395822
S1_F1_open_12_all,71,1,961.2803944799998,-11086.31600375583
S1_F1_open_12_all,72,1,209.64447735999784,-10334.680086635828
S1_F1_open_12_all,73,5,-184.80975072,-9940.22585855583
S1_F1_open_12_all,74,7,-4241.732781920025,-5883.302827355805
S1_F1_open_12_all,75,2,760.1923311600003,-10885.22794043583
S1_F1_open_12_all,76,1,320.4184047999988,-10445.454014075829
S1_F1_open_12_all,77,1,-73.78888999999981,-10051.24671927583
S1_F1_open_12_all,78,2,-651.1897680000038,-9473.845841275826
S1_F1_open_12_all,79,3,-296.70629084000393,-9828.329318435826
S1_F1_open_12_all,80,8,71.59830179998971,-10196.63391107582
S1_F1_open_12_all,81,1,332.7368309199992,-10457.77244019583
S1_F1_open_12_all,82,3,-435.2977746400102,-9689.73783463582
S1_F1_open_12_all,83,1,10.21990695999557,-10135.255516235826
S1_F1_open_12_all,84,2,-414.7486474800062,-9710.286961795824
S1_F1_open_12_all,85,6,-1514.982803560004,-8610.052805715826
S1_F1_open_12_all,86,3,-244.62852048000786,-9880.407088795822
S1_F1_open_12_all,87,2,-242.29789119999987,-9882.73771807583
S1_F1_open_12_all,88,4,-424.4442509600085,-9700.591358315822
S1_F1_open_12_all,89,10,-2911.790418921628,-7213.245190354202
S1_F1_open_12_all,90,2,1676.9490954287976,-11801.984704704628
S1_F1_open_12_all,91,1,1846.6958651735913,-11971.731474449422
S1_F1_open_12_all,92,9,4283.358744458332,-14408.394353734162
S1_F1_open_12_all,93,2,-445.3611884688071,-9679.674420807023
S1_F1_open_12_all,94,1,993.5817473759816,-11118.617356651812
S1_F1_open_12_all,95,2,-1565.3088061416056,-8559.726803134225
S1_F1_open_12_all,96,4,827.1260318087734,-10952.161641084604
S1_F1_open_12_all,97,1,-798.4645921776028,-9326.571017098227
S1_F1_open_12_all,98,1,1467.348107891994,-11592.383717167824
S1_F1_open_12_all,99,12,-4198.295535684032,-5926.740073591798
S1_F1_open_12_all,100,13,132.68762063276517,-10257.723229908595
S1_F1_open_12_all,101,4,167.95281550077198,-10292.988424776602
S1_F1_open_12_all,102,2,-317.5950754423975,-9807.440533833433
S1_F1_open_12_all,103,2,2074.680274882383,-12199.715884158213
S1_F1_open_12_all,104,3,280.11475128717575,-10405.150360563006
S1_F1_open_12_1000,0,1,-183.33934664000117,1645.8186633074947
S1_F1_open_12_1000,1,5,1818.8400565599914,-356.3607398924978
S1_F1_open_12_1000,2,4,321.81477487999655,1140.664541787497
S1_F1_open_12_1000,3,1,223.4760549599996,1239.003261707494
S1_F1_open_12_1000,4,1,83.57506335999824,1378.9042533074953
S1_F1_open_12_1000,5,1,-448.4814573600015,1910.960774027495
S1_F1_open_12_1000,6,6,-262.1194218400051,1724.5987385074986
S1_F1_open_12_1000,7,3,-241.79834967999886,1704.2776663474924
S1_F1_open_12_1000,8,7,-872.2556015200062,2334.7349181874997
S1_F1_open_12_1000,9,1,-49.12825175999933,1511.6075684274929
S1_F1_open_12_1000,10,2,35.827623839995795,1426.6516928274978
S1_F1_open_12_1000,11,5,-434.39437936000104,1896.8736960274946
