stock,initialcash,slip_bp,sales,completed,pending,increment,completed_increment,mean_pct,fees,tax_paid,terminal_tax_reserve,terminal_receivable,terminal_missing,deposits,withdrawals,unreturned,peak_requirement,peak_date,peak_pct_1000_value,single_median,single_p95,single_max,single_max_date,single_positive,first_deposit,deposit_yuan_days,longest_relative_deficit_calendar_days,relative_mdd,flow_adjusted_absolute_profit,hold_flow_adjusted_absolute_profit,scenario,rule,window,bp,inventory,signals,unknown,t1_skip,occupied_skip,sale_blocked,first_window_unavailable,additional_over_5514
3000,0.0,5.0,340,340,0,-4122.418361299118,-4122.418361299135,-0.21162678337788354,9587.423361300014,1829.0,0.0,0,0,6309.483404110448,0.0,6309.483404110448,6309.483404110448,2025-10-29,7.808766589245604,31.774206224997215,834.0240157929913,6656.691276503989,2025-10-29,192,2020-01-03,6488118.245487981,40,-17201.85400689148,144047.58163870085,148169.99999999997,S1_F1_post0935_5_all,S1_F1,post0935,5,all,341,3,0,0,1,1,795.4834041104623
1000,0.0,5.0,286,286,0,8099.216504720709,8099.216504720747,-0.08262348496635961,7970.533495280011,700.0,0.0,0,0,3317.648115149783,0.0,3317.648115149783,3317.648115149783,2023-04-06,17.461305869209383,23.89773989999958,742.9332520412454,3677.6093028119794,2026-05-13,153,2020-01-03,5101845.890725823,40,-8236.762895305961,57489.216504720695,49389.999999999985,S1_F1_post0935_5_1000,S1_F1,post0935,5,1000,341,3,54,0,1,0,0.0
3000,0.0,5.999999999999999,340,340,0,-5821.065285559831,-5821.065285559791,-0.23161236460881315,9586.87128555999,1829.0,0.0,0,0,7339.151284533047,0.0,7339.151284533047,7339.1512845330435,2025-10-29,9.083108025412187,34.65775294000014,848.5026725515971,6672.137671804798,2025-10-29,192,2020-01-03,7512309.0025249785,40,-18190.931920270275,142348.93471444014,148169.99999999997,S1_F1_post0935_6_all,S1_F1,post0935,6,all,341,3,0,0,1,1,1825.1512845330071
1000,0.0,5.999999999999999,286,286,0,6697.624024064193,6697.624024064184,-0.10259813334307777,7970.075975935991,700.0,0.0,0,0,3703.3490781799537,0.0,3703.3490781799537,3703.3490781799537,2023-04-06,19.49131093778923,26.239567879999413,751.8303613494927,3690.8421345743845,2026-05-13,153,2020-01-03,5778121.488609069,40,-8380.978411167169,56087.624024064186,49389.99999999999,S1_F1_post0935_6_1000,S1_F1,post0935,6,1000,341,3,54,0,1,0,0.0
3000,0.0,7.0,340,340,0,-7519.712209819758,-7519.712209819754,-0.25159794583973283,9586.31920982,1829.0,0.0,0,0,8368.819164955215,0.0,8368.819164955215,8368.819164955217,2025-10-29,10.357449461578238,37.30492842999956,862.981329310203,6687.584067105592,2025-10-29,193,2020-01-03,8552429.269778907,40,-19180.009833648626,140650.2877901802,148169.99999999997,S1_F1_post0935_7_all,S1_F1,post0935,7,all,341,3,0,0,1,1,2854.8191649552246
1000,0.0,7.0,286,286,0,5296.031543408259,5296.031543408222,-0.1225727817197856,7969.618456592,700.0,0.0,0,0,4089.0500412099173,0.0,4089.0500412099173,4089.0500412099173,2023-04-06,21.521316006367986,28.581395860000157,760.7274706577509,3704.074966336797,2026-05-13,154,2020-01-03,6466652.30689042,40,-8525.193927028391,54686.031543408244,49389.999999999985,S1_F1_post0935_7_1000,S1_F1,post0935,7,1000,341,3,54,0,1,0,0.0
3000,0.0,10.0,340,340,0,-12615.652982599131,-12615.65298259913,-0.31155468953248894,9584.662982600003,1829.0,0.0,0,0,11457.822806221491,0.0,11457.822806221491,11457.822806221491,2025-10-29,14.180473770076103,47.25770999999895,885.7926800939955,6733.923253008004,2025-10-29,199,2020-01-03,11742986.378835153,40,-22147.243573783526,135554.34701740084,148169.99999999997,S1_F1_post0935_10_all,S1_F1,post0935,10,all,341,3,0,0,1,1,5943.822806221477
1000,0.0,10.0,286,286,0,1091.254101440718,1091.2541014407107,-0.18249672684990764,7968.245898559997,700.0,0.0,0,0,5246.152930299781,0.0,5246.152930299781,5246.152930299781,2023-04-06,27.61133121210411,36.90923739999653,787.4187985824979,3743.773461623983,2026-05-13,160,2020-01-03,8584558.625403484,40,-8957.840474611934,50481.25410144072,49390.0,S1_F1_post0935_10_1000,S1_F1,post0935,10,1000,341,3,54,0,1,0,0.0
3000,0.0,11.0,340,340,0,-14314.299906860804,-14314.299906860811,-0.3315402707634306,9584.110906859996,1829.0,0.0,0,0,12487.490686644718,0.0,12487.490686644718,12487.490686644713,2025-10-29,15.454815206243463,50.02678100000139,892.933665303409,6749.369648308799,2025-10-29,200,2020-01-03,12817239.044131106,40,-23136.321487162866,133855.70009313917,148169.99999999997,S1_F1_post0935_11_all,S1_F1,post0935,11,all,341,3,0,0,1,1,6973.4906866447
1000,0.0,11.0,286,286,0,-310.33837921672966,-310.3383792167151,-0.2024713752266381,7967.788379215998,700.0,0.0,0,0,5631.853893330213,0.0,5631.853893330213,5631.853893330213,2023-04-06,29.641336280685334,40.90560764000293,796.315907890757,3757.0062933863956,2026-05-13,161,2020-01-03,9297791.909372687,40,-9102.055990473287,49079.66162078326,49389.99999999999,S1_F1_post0935_11_1000,S1_F1,post0935,11,1000,341,3,54,0,1,0,117.85389333020794
3000,0.0,11.999999999999998,340,340,0,-16012.946831120702,-16012.946831120678,-0.35152585199434994,9583.558831119995,1829.0,0.0,0,0,13517.158567066825,0.0,13517.158567066825,13517.158567066828,2025-10-29,16.729156642409436,53.44542400000046,900.0746505128086,6764.816043609608,2025-10-29,200,2020-01-03,13893631.159951536,40,-24125.399400541217,132157.05316887927,148169.99999999997,S1_F1_post0935_12_all,S1_F1,post0935,12,all,341,3,0,0,1,1,8003.158567066823
1000,0.0,11.999999999999998,286,286,0,-1711.9308598725038,-1711.9308598725383,-0.2224460236033451,7967.330859872,700.0,0.0,0,0,6017.554856360146,0.0,6017.554856360146,6017.554856360146,2023-04-06,31.671341349263926,45.01574927600541,805.2130171989984,3770.2391251488007,2026-05-13,161,2020-01-03,10011962.49584894,40,-9267.484694800129,47678.06914012748,49389.999999999985,S1_F1_post0935_12_1000,S1_F1,post0935,12,1000,341,3,54,0,1,0,503.5548563601369
2000,0.0,5.0,408,408,0,6776.576685548032,6776.576685548014,-0.059304518209341614,10733.913314453,1480.0,0.0,0,0,5170.5146864497165,0.0,5170.5146864497165,5170.514686449718,2023-07-18,20.252701474538647,29.27832749999925,588.5675263475958,3438.4874688179916,2026-07-31,256,2020-03-02,9068208.95430379,29,-7735.687263899723,105556.576685548,98779.99999999997,S2_F2_open_5_all,S2_F2,open,5,all,411,4,0,0,3,0,0.0
1000,0.0,5.0,341,341,0,865.3514368918404,865.3514368918804,-0.11551988584442002,9097.478563109009,740.0,0.0,0,0,5698.609987549704,0.0,5698.609987549704,5698.609987549704,2023-12-27,40.90890156173513,33.066744999998264,617.0364013989893,3438.4874688179916,2026-07-31,218,2020-03-02,9526702.386796106,38,-7556.964974549719,50255.35143689184,49390.0,S2_F2_open_5_1000,S2_F2,open,5,1000,411,4,67,0,3,0,184.60998754969296
2000,0.0,10.0,408,408,0,-2649.9266029048595,-2649.9266029049104,-0.15916850059261842,10730.90660290601,1480.0,0.0,0,0,7593.632472899728,0.0,7593.632472899728,7593.632472899728,2023-07-18,29.743957982372613,42.88699489999999,631.7059229189925,3493.9442616359956,2026-07-31,269,2020-01-17,13452399.56259791,30,-10167.765420099728,96130.07339709513,98779.99999999999,S2_F2_open_10_all,S2_F2,open,10,all,411,4,0,0,3,0,2079.6324728997224
1000,0.0,10.0,341,341,0,-7169.25376021702,-7169.253760217034,-0.21541537322563928,9094.913760218,740.0,0.0,0,0,9118.655467577157,0.0,9118.655467577157,9118.655467577148,2026-06-01,12.364278600104619,45.67785999999796,672.0642960999976,3493.9442616359956,2026-07-31,227,2020-01-17,13907288.32677031,38,-12452.771209253187,42220.74623978297,49389.99999999999,S2_F2_open_10_1000,S2_F2,open,10,1000,411,4,67,0,3,0,3604.6554675771695
