scenario,remove_n,without_best,without_worst
S1_F1_open_7_all,5,-12457.252955987067,10952.474078089599
S1_F1_open_7_1000,1,5447.1438920628425,10431.157350427253
S1_F1_open_7_1000,3,1519.628134235827,13499.244441946852
S1_F1_open_7_1000,5,-2219.924665990984,16076.770871166853
S1_F1_open_10_all,1,-9707.502617767153,-2387.733530893165
S1_F1_open_10_all,3,-13578.548914377152,2324.605668206834
S1_F1_open_10_all,5,-17370.859417695177,6016.828647842809
S1_F1_open_10_1000,1,1286.4464695186762,6271.900158610661
S1_F1_open_10_1000,3,-2584.5998270913224,9408.118547638638
S1_F1_open_10_1000,5,-6236.676983415335,12018.74182830863
S1_F1_open_11_all,1,-11391.184677945523,-4070.584509784123
S1_F1_open_11_all,3,-15243.407820816512,654.0907192258856
S1_F1_open_11_all,5,-19008.728238266307,4371.613504425481
S1_F1_open_11_1000,1,-100.45267133082962,4885.481094670366
S1_F1_open_11_1000,3,-3952.675814201819,8044.409916201177
S1_F1_open_11_1000,5,-7575.5944225582025,10673.493655938186
S1_F1_open_12_all,1,-13074.866738122219,-5753.435488673422
S1_F1_open_12_all,3,-16908.26672725422,-1016.424229753422
S1_F1_open_12_all,5,-20646.597058835807,2726.3983610097857
S1_F1_open_12_1000,1,-1487.3518121788948,3499.0620307314966
S1_F1_open_12_1000,3,-5320.751801310897,6680.701284765106
S1_F1_open_12_1000,5,-8914.511861699695,9328.245483569124
S1_F1_post0935_5_all,1,-6907.827420583126,2534.2729152048705
S1_F1_post0935_5_all,3,-11983.246815301143,9050.27433076084
S1_F1_post0935_5_all,5,-16575.154018396162,14421.30205139484
S1_F1_post0935_5_1000,1,5313.8074454367015,11776.825807532688
S1_F1_post0935_5_1000,3,437.94688903167844,16845.290612900666
S1_F1_post0935_5_1000,5,-3689.5174799403394,20644.764748712667
S1_F1_post0935_6_all,1,-8591.52619830062,851.0723862449668
S1_F1_post0935_6_all,3,-13637.549155162225,7393.603416112157
S1_F1_post0935_6_all,5,-18200.770723276233,12777.039667272955
S1_F1_post0935_6_1000,1,3927.1631113234034,10388.466158638577
S1_F1_post0935_6_1000,3,-918.2282679626078,15482.578741880185
S1_F1_post0935_6_1000,5,-5019.847272329018,19308.89430645459
S1_F1_post0935_7_all,1,-10275.224976017358,-832.1281427141657
S1_F1_post0935_7_all,3,-15291.85149502255,5736.932501464224
S1_F1_post0935_7_all,5,-19826.387428155547,11132.777283151827
S1_F1_post0935_7_1000,1,2540.5187772106583,9000.106509745056
S1_F1_post0935_7_1000,3,-2274.403424956341,14119.866870860242
S1_F1_post0935_7_1000,5,-6350.177064717158,17973.023864197035
S1_F1_post0935_10_all,1,-15326.321309167135,-5881.729729591127
S1_F1_post0935_10_all,3,-20254.758514603134,766.9197575208382
S1_F1_post0935_10_all,5,-24703.237542793155,6199.990130788839
S1_F1_post0935_10_1000,1,-1619.414225127286,4835.027563064701
S1_F1_post0935_10_1000,3,-6342.928895937293,10031.731257800675
S1_F1_post0935_10_1000,5,-10341.166441881294,13965.412537424672
S1_F1_post0935_11_all,1,-17010.020086885605,-7564.930258552005
S1_F1_post0935_11_all,3,-21909.06085446519,-889.7511571288051
S1_F1_post0935_11_all,5,-26328.854247674186,4555.727746665998
S1_F1_post0935_11_1000,1,-3006.05855924153,3446.667914169666
S1_F1_post0935_11_1000,3,-7699.104052932511,8669.019386779277
S1_F1_post0935_11_1000,5,-11671.496234270897,12629.542095165692
S1_F1_post0935_12_all,1,-18693.7188646023,-9248.130787511094
S1_F1_post0935_12_all,3,-23563.363194325488,-2546.422071776695
S1_F1_post0935_12_all,5,-27954.470952553485,2911.4653625449064
S1_F1_post0935_12_1000,1,-4392.7028933541005,2058.308265276297
S1_F1_post0935_12_1000,3,-9055.279209926099,7306.307515759501
S1_F1_post0935_12_1000,5,-13001.826026658877,11293.671652908299
S2_F2_open_5_all,1,1481.9951037410356,10215.064154366024
S2_F2_open_5_all,3,-4874.324837805965,14246.387771399015
S2_F2_open_5_all,5,-8356.38874130396,17106.774410599995
S2_F2_open_5_1000,1,-4429.230144915156,4303.838905709832
S2_F2_open_5_1000,3,-10785.550086462157,8335.162522742823
S2_F2_open_5_1000,5,-14267.613989960151,11195.549161943803
S2_F2_open_10_all,1,-7880.8201805188655,844.0176587311362
S2_F2_open_10_all,3,-14096.421617612876,5010.613198797117
S2_F2_open_10_all,5,-17511.240062812878,8000.003099199093
S2_F2_open_10_1000,1,-12400.147337831026,-3675.309498581024
S2_F2_open_10_1000,3,-18615.748774925036,491.2860414849565
S2_F2_open_10_1000,5,-22012.984481921063,3480.6759418869333
S2_F2_open_11_all,1,-9753.38323737275,-1030.1916403977302
S2_F2_open_11_all,3,-15940.840973576138,3163.4582842748714
S2_F2_open_11_all,5,-19348.96918329614,6178.648836917077
S2_F2_open_11_1000,1,-13994.330776415823,-5271.139179440805
S2_F2_open_11_1000,3,-20181.788512619212,-1077.489254768203
S2_F2_open_11_1000,5,-23562.058580314817,1937.7012978740022
S2_F2_open_12_all,1,-11625.946294224617,-2904.4009395246103
S2_F2_open_12_all,3,-17785.2603295374,1316.303369754598
S2_F2_open_12_all,5,-21186.698303777397,4357.29457463701
S2_F2_open_12_1000,1,-15588.514214998911,-6866.9688602989045
S2_F2_open_12_1000,3,-21747.828250311693,-2646.2645510196962
S2_F2_open_12_1000,5,-25111.132678706887,394.72665386271547
