scenario,delay,increment,deposits,delta_deposit
S1_F1_post0935_6_all,3,-5821.065285559831,7339.151284533047,0.0
S1_F1_post0935_6_1000,1,6697.624024064193,3703.3490781799537,0.0
S1_F1_post0935_6_1000,3,6697.624024064193,3703.3490781799537,0.0
S1_F1_post0935_7_all,1,-7519.712209819758,8368.819164955215,0.0
S1_F1_post0935_7_all,3,-7519.712209819758,8368.819164955215,0.0
S1_F1_post0935_7_1000,1,5296.031543408259,4089.0500412099173,0.0
S1_F1_post0935_7_1000,3,5296.031543408259,4089.0500412099173,0.0
S1_F1_post0935_10_all,1,-12615.652982599131,11457.822806221491,0.0
S1_F1_post0935_10_all,3,-12615.652982599131,11457.822806221491,0.0
S1_F1_post0935_10_1000,1,1091.254101440718,5246.152930299781,0.0
S1_F1_post0935_10_1000,3,1091.254101440718,5246.152930299781,0.0
S1_F1_post0935_11_all,1,-14314.299906860804,12487.490686644718,0.0
S1_F1_post0935_11_all,3,-14314.299906860804,12487.490686644718,0.0
S1_F1_post0935_11_1000,1,-310.33837921672966,5631.853893330213,0.0
S1_F1_post0935_11_1000,3,-310.33837921672966,5631.853893330213,0.0
S1_F1_post0935_12_all,1,-16012.946831120702,13517.158567066825,0.0
S1_F1_post0935_12_all,3,-16012.946831120702,13517.158567066825,0.0
S1_F1_post0935_12_1000,1,-1711.9308598725038,6017.554856360146,0.0
S1_F1_post0935_12_1000,3,-1711.9308598725038,6017.554856360146,0.0
S2_F2_open_5_all,1,6776.576685548032,5170.5146864497165,0.0
S2_F2_open_5_all,3,6776.576685548032,5170.5146864497165,0.0
S2_F2_open_5_1000,1,865.3514368918404,5698.609987549704,0.0
S2_F2_open_5_1000,3,865.3514368918404,5698.609987549704,0.0
S2_F2_open_10_all,1,-2649.9266029048595,7593.632472899728,0.0
S2_F2_open_10_all,3,-2649.9266029048595,7593.632472899728,0.0
S2_F2_open_10_1000,1,-7169.25376021702,9118.655467577157,0.0
S2_F2_open_10_1000,3,-7169.25376021702,9118.655467577157,0.0
S2_F2_open_11_all,1,-4535.227260597341,8078.256030190203,0.0
S2_F2_open_11_all,3,-4535.227260597341,8078.256030190203,0.0
S2_F2_open_11_1000,1,-8776.174799640416,10491.359408136364,0.0
S2_F2_open_11_1000,3,-8776.174799640416,10491.359408136364,0.0
S2_F2_open_12_all,1,-6420.527918287815,8562.87958748013,0.0
S2_F2_open_12_all,3,-6420.527918287815,8562.87958748013,0.0
S2_F2_open_12_1000,1,-10383.095839062109,11864.063348694013,0.0
S2_F2_open_12_1000,3,-10383.095839062109,11864.063348694013,0.0
