scenario,year,increment,sales,deposits
S0_open_12_1000,2025,-5414.559458948366,121,9535.917676429031
S0_open_12_1000,2026,-24457.486449084325,84,19805.676359703662
S1_F1_open_5_all,2020,-281.6796140999213,59,249.34299559998908
S1_F1_open_5_all,2021,-1901.487789799903,54,583.8244082998353
S1_F1_open_5_all,2022,-1600.1401954499488,52,810.2489858499684
S1_F1_open_5_all,2023,-1224.091758049948,34,751.1972184499646
S1_F1_open_5_all,2024,-695.251925199911,42,0.0
S1_F1_open_5_all,2025,4088.5862777771836,57,0.0
S1_F1_open_5_all,2026,3375.437771625264,42,0.0
S1_F1_open_5_1000,2020,354.5260582000665,51,249.34299559998908
S1_F1_open_5_1000,2021,-1731.5132969999213,46,677.6442431998657
S1_F1_open_5_1000,2022,-1216.3008459999528,42,737.4036312499538
S1_F1_open_5_1000,2023,-1347.72457019996,29,968.1788515999851
S1_F1_open_5_1000,2024,3080.5419691500774,37,319.79687059997013
S1_F1_open_5_1000,2025,10487.235578181146,46,0.0
S1_F1_open_5_1000,2026,1644.642365114225,35,0.0
S1_F1_open_6_all,2020,-458.95109691996186,59,263.9836747199952
S1_F1_open_6_all,2021,-2040.9847077599843,54,885.9521299599546
S1_F1_open_6_all,2022,-1701.7663345399997,52,875.2654430199946
S1_F1_open_6_all,2023,-1340.4852096599716,34,838.4566021399914
S1_F1_open_6_all,2024,-885.3523502399621,42,0.0
S1_F1_open_6_all,2025,3649.685408132398,57,0.0
S1_F1_open_6_all,2026,2841.168718350091,42,0.0
S1_F1_open_6_1000,2020,201.39750984004604,51,263.9836747199952
S1_F1_open_6_1000,2021,-1850.4405163999945,46,935.0593318399533
S1_F1_open_6_1000,2022,-1298.767575199996,42,818.0022974999974
S1_F1_open_6_1000,2023,-1444.2070042399828,29,1015.5271819199934
S1_F1_open_6_1000,2024,2914.470622980034,37,376.25468471998647
S1_F1_open_6_1000,2025,10147.247124617235,46,0.0
S1_F1_open_6_1000,2026,1200.4316757368797,35,0.0
S1_F1_open_7_all,2020,-636.222579739966,59,278.62435383999764
S1_F1_open_7_all,2021,-2180.481625719978,54,1188.079851619943
S1_F1_open_7_all,2022,-1803.3924736299887,52,940.2819001899934
S1_F1_open_7_all,2023,-1456.8786612699841,34,925.7159858299892
S1_F1_open_7_all,2024,-1075.4527752799622,42,0.0
S1_F1_open_7_all,2025,3210.784538487831,57,378.7748302375476
S1_F1_open_7_all,2026,2306.899665075034,42,0.0
S1_F1_open_7_1000,2020,48.26896148003834,51,278.62435383999764
S1_F1_open_7_1000,2021,-1969.367735799984,46,1192.474420479948
S1_F1_open_7_1000,2022,-1381.234304399988,42,898.6009637499865
S1_F1_open_7_1000,2023,-1540.6894382799892,29,1062.8755122399962
S1_F1_open_7_1000,2024,2748.3992768100197,37,432.7124988399937
S1_F1_open_7_1000,2025,9807.258671053438,46,0.0
S1_F1_open_7_1000,2026,756.2209863597091,35,0.0
S1_F1_open_10_all,2020,-1168.0370281998912,59,535.3971919998876
S1_F1_open_10_all,2021,-2598.9723795999016,54,1881.6122157999089
S1_F1_open_10_all,2022,-2108.2708908999557,52,1135.3312716999717
S1_F1_open_10_all,2023,-1806.05901609992,34,1187.4941368999498
S1_F1_open_10_all,2024,-1645.7540503998898,42,0.0
S1_F1_open_10_all,2025,1894.0819295541005,57,1783.6152565037482
S1_F1_open_10_all,2026,704.0925052503007,42,0.0
S1_F1_open_10_1000,2020,-411.11668359989926,51,322.54639119998683
S1_F1_open_10_1000,2021,-2326.1493939999255,46,1964.7196863998379
S1_F1_open_10_1000,2022,-1628.634491999961,42,1140.3969624999609
S1_F1_open_10_1000,2023,-1830.1367403999375,29,1268.3742698999376
S1_F1_open_10_1000,2024,2250.1852383000987,37,538.6321745000005
S1_F1_open_10_1000,2025,8787.2933103621,46,0.0
S1_F1_open_10_1000,2026,-576.4110817718029,35,0.0
S1_F1_open_11_all,2020,-1345.308511020099,59,711.301071200096
S1_F1_open_11_all,2021,-2738.46929756007,54,2022.476737380075
S1_F1_open_11_all,2022,-2209.8970299900393,52,1200.3477288700196
S1_F1_open_11_all,2023,-1922.4524677100417,34,1274.7535205900367
S1_F1_open_11_all,2024,-1835.8544754401082,42,0.0
S1_F1_open_11_all,2025,1455.181059909286,57,2262.1657693546076
S1_F1_open_11_all,2026,169.82345197474933,42,0.0
S1_F1_open_11_1000,2020,-564.2452319600707,51,337.1870703200002
S1_F1_open_11_1000,2021,-2445.076613400068,46,2222.1347750401383
S1_F1_open_11_1000,2022,-1711.101221200035,42,1220.9956287500354
S1_F1_open_11_1000,2023,-1926.6191744400403,29,1366.7247668900382
S1_F1_open_11_1000,2024,2084.113892129917,37,544.0878219500028
S1_F1_open_11_1000,2025,8447.304856798062,46,0.0
S1_F1_open_11_1000,2026,-1020.6217711493955,35,0.0
S1_F1_open_12_all,2020,-1522.5799938400596,59,887.2049504000588
S1_F1_open_12_all,2021,-2877.9662155200494,54,2163.3412589600484
S1_F1_open_12_all,2022,-2311.52316908005,52,1265.3641860400385
S1_F1_open_12_all,2023,-2038.8459193200397,34,1362.0129042800309
S1_F1_open_12_all,2024,-2025.9549004800574,42,0.0
S1_F1_open_12_all,2025,1016.280190264617,57,2740.7162822049577
S1_F1_open_12_all,2026,-364.4456013001909,42,0.0
S1_F1_open_12_1000,2020,-717.373780320042,51,481.998736880043
S1_F1_open_12_1000,2021,-2564.0038328000446,46,2349.3788762400436
S1_F1_open_12_1000,2022,-1793.5679504000418,42,1301.594295000039
S1_F1_open_12_1000,2023,-2023.101608480034,29,1465.0752638800368
S1_F1_open_12_1000,2024,1918.042545959961,37,549.5434694000014
S1_F1_open_12_1000,2025,8107.316403234276,46,0.0
S1_F1_open_12_1000,2026,-1464.8324605265807,35,0.0
S1_F1_post0935_5_all,2020,678.8195955000992,59,209.3221951999949
S1_F1_post0935_5_all,2021,-2871.9921994999168,54,633.8504087998226
S1_F1_post0935_5_all,2022,-2480.588599649942,52,1390.5443885499608
S1_F1_post0935_5_all,2023,-333.63785359993926,34,1386.2518125499646
S1_F1_post0935_5_all,2024,445.3294805000769,42,0.0
S1_F1_post0935_5_all,2025,-2405.444455643781,57,2689.514599010705
S1_F1_post0935_5_all,2026,2845.0956710942846,42,0.0
S1_F1_post0935_5_1000,2020,1094.9108656000808,51,209.3221951999949
S1_F1_post0935_5_1000,2021,-2381.851303499927,46,627.6182426998512
S1_F1_post0935_5_1000,2022,-1806.6009485499526,42,1306.6009485499526
S1_F1_post0935_5_1000,2023,-187.13296439994338,29,1174.1067286999842
S1_F1_post0935_5_1000,2024,3500.7561712500683,37,0.0
S1_F1_post0935_5_1000,2025,8345.854266603146,46,0.0
S1_F1_post0935_5_1000,2026,-466.71958228276344,35,0.0
S1_F1_post0935_6_all,2020,501.64411460002884,59,223.95887423999375
S1_F1_post0935_6_all,2021,-3011.586119399988,54,935.9831305599655
S1_F1_post0935_6_all,2022,-2582.3027395800127,52,1455.6188462600094
S1_F1_post0935_6_all,2023,-449.94230431997494,34,1459.2043950599964
S1_F1_post0935_6_all,2024,255.34305660002428,42,0.0
S1_F1_post0935_6_all,2025,-2844.9949035727477,57,3264.386038413082
S1_F1_post0935_6_all,2026,2310.7736101128394,42,0.0
S1_F1_post0935_6_1000,2020,941.856318720038,51,223.95887423999375
S1_F1_post0935_6_1000,2021,-2500.843524199987,46,885.0283312399552
S1_F1_post0935_6_1000,2022,-1889.1266782600105,42,1389.1266782600105
S1_F1_post0935_6_1000,2023,-283.4993972799821,29,1205.2351944399943
S1_F1_post0935_6_1000,2024,3334.726825500027,37,0.0
S1_F1_post0935_6_1000,2025,8005.651781923665,46,0.0
S1_F1_post0935_6_1000,2026,-911.141302339558,35,0.0
S1_F1_post0935_7_all,2020,324.4686337000385,59,238.5955532799926
S1_F1_post0935_7_all,2021,-3151.180039299965,54,1238.1158523199374
S1_F1_post0935_7_all,2022,-2684.016879509996,52,1520.693303969987
S1_F1_post0935_7_all,2023,-566.246755039967,34,1540.9889302599786
S1_F1_post0935_7_all,2024,65.35663270002988,42,0.0
S1_F1_post0935_7_all,2025,-3284.5453515015834,57,3830.42552512532
S1_F1_post0935_7_all,2026,1776.4515491316852,42,0.0
S1_F1_post0935_7_1000,2020,788.8017718400315,51,238.5955532799926
S1_F1_post0935_7_1000,2021,-2619.8357448999723,46,1142.4384197799482
S1_F1_post0935_7_1000,2022,-1971.6524079699848,42,1471.6524079699848
S1_F1_post0935_7_1000,2023,-379.86583015996075,29,1236.3636601799917
S1_F1_post0935_7_1000,2024,3168.697479750026,37,0.0
S1_F1_post0935_7_1000,2025,7665.449297244253,46,0.0
S1_F1_post0935_7_1000,2026,-1355.5630223961343,35,0.0
S1_F1_post0935_10_all,2020,-207.05780899989622,59,282.5055903999928
S1_F1_post0935_10_all,2021,-3569.961798999917,54,2144.5140175998204
S1_F1_post0935_10_all,2022,-2989.1592992999504,52,1715.9166770999745
S1_F1_post0935_10_all,2023,-915.1601071999321,34,1828.9230717999435
S1_F1_post0935_10_all,2024,-504.6026389999024,42,0.0
S1_F1_post0935_10_all,2025,-4603.196695287843,57,5485.96344932176
S1_F1_post0935_10_all,2026,173.48536618830985,42,0.0
S1_F1_post0935_10_1000,2020,329.63813120010127,51,282.5055903999928
S1_F1_post0935_10_1000,2021,-2976.8124069999285,46,1914.6686853998344
S1_F1_post0935_10_1000,2022,-2219.2295970999676,42,1719.2295970999676
S1_F1_post0935_10_1000,2023,-668.9651287999422,29,1329.7490573999858
S1_F1_post0935_10_1000,2024,2670.609442500101,37,0.0
S1_F1_post0935_10_1000,2025,6644.841843206144,46,0.0
S1_F1_post0935_10_1000,2026,-2688.8281825657905,35,0.0
S1_F1_post0935_11_all,2020,-384.2332899000976,59,297.14226944000256
S1_F1_post0935_11_all,2021,-3709.5557189000756,54,2446.6467393601743
S1_F1_post0935_11_all,2022,-3090.8734392300466,52,1780.9911348100195
S1_F1_post0935_11_all,2023,-1031.4645579200442,34,1924.9011189800476
S1_F1_post0935_11_all,2024,-694.5890629001151,42,0.0
