scope,window,n,down_pct,baseline_down_pct,lift_pp,down_ci_low,down_ci_high,lift_ci_low,lift_ci_high,net_RT_win_pct,net_RT_mean_pct,net_RT_cash,mean_net_winner_pct,mean_net_loser_pct,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,episodes,delete5_pct,delete5_cash,double_slip_pct,double_slip_cash,matched_n,excluded_n,matched_open_pct,matched_open_cash,delayed_pct,delayed_cash,month_ci_low,month_ci_high
old_UR_volume,primary,23,60.86956521739131,48.1651376146789,12.704427602712409,40.0,84.61538461538461,-9.255364733305914,36.59365558912386,60.86956521739131,0.8112552102329732,8706.203697820081,2.5913842761912074,-1.9578344479242797,0.8112552102329732,0.777436959612295,60.86956521739131,8706.203697820081,2.0589290436085164,2.4510443853912003,-6.953841041699601,-1769.2447286879653,12,16.0,-0.2773830949904833,-2274.358570397918,0.7117802198129455,7848.100063640118,23.0,0.0,0.8112552102329732,8706.203697820081,1.0162815380999362,10703.93790303408,-0.2060353452688956,2.027514401630542
candidate_overlap_old_UR,primary,10,80.0,48.1651376146789,31.834862385321106,58.30357142857143,100.0,8.988295528516348,52.96829063658767,80.0,2.053813353618438,7886.966806992055,3.0578086932587154,-1.962168004942671,2.053813353618438,1.0353309835098594,80.0,7886.966806992055,6.233530840491013,5.910271226888024,-2.34097114972114,-1060.5377833379825,8,10.0,-0.3291134591643749,-1055.6681923879714,1.9549601127922602,7555.85601398407,10.0,0.0,2.053813353618438,7886.966806992055,1.8764431083552302,6698.306442488034,0.4513997196077815,4.492625459133506
candidate_outside_old_UR,primary,20,65.0,48.1651376146789,16.834862385321102,42.30263157894737,85.71428571428571,-5.587165758667988,36.932089423288055,60.0,1.0049399251851092,5962.720277728106,2.8387078425474357,-1.745711950858381,1.0049399251851092,1.113218706524942,60.0,5962.720277728106,2.439154845521582,2.2572887646237154,-4.650157583560376,-2839.1262382439963,12,18.0,-0.14070355724217812,-1120.7060549159494,0.9055644966357219,5306.985367456082,20.0,0.0,1.0049399251851092,5962.720277728106,0.8312754737379473,4254.541674288089,-0.1535167280415433,2.155901369284121
high_volume_without_highCLV,primary,37,51.35135135135135,48.1651376146789,3.1862137366724497,36.36363636363637,67.64943074003794,-11.508515340613624,18.950415760444155,48.64864864864865,-0.4626161415050235,-1798.2792725829117,1.736796186923632,-2.5462699263321706,-0.4626161415050235,-0.0471404071436813,48.64864864864865,-1798.2792725829117,0.6461945940139205,0.834426641901773,-12.229427049039757,-4839.367139749945,23,31.0,-0.9537704694436122,-7295.257627470904,-0.5627232638248951,-2897.2543391659106,37.0,0.0,-0.4626161415050235,-1798.2792725829117,-0.17809907315092213,848.7634119830826,-1.3223038442615893,0.36070879775618453
candidate_stage_U,primary,6,66.66666666666666,48.1651376146789,18.501529051987763,25.0,100.0,-26.167514251732758,52.99437504857965,66.66666666666666,1.5877293698615835,5034.53426179204,3.362678057263711,-1.962168004942671,1.5877293698615835,1.0340051469048963,66.66666666666666,5034.53426179204,3.427512882478133,4.134402531597251,-2.34097114972114,-1060.5377833379823,4,6.0,-2.34097114972114,-1060.5377833379823,1.4886424147971995,4799.998923584053,6.0,0.0,1.5877293698615835,5034.53426179204,1.8374009264505569,4675.035808938017,-0.4640814290188874,6.407151735554514
candidate_stage_R,primary,4,100.0,48.1651376146789,51.8348623853211,100.0,100.0,47.995988112927186,55.37064483182842,100.0,2.75293932925372,2852.432545200016,2.75293932925372,,2.75293932925372,2.6834416544636928,100.0,2852.432545200016,,,0.7265464680488039,0.0,4,4.0,,,2.654436659784852,2755.8570904000176,4.0,0.0,2.75293932925372,2852.432545200016,1.9350063812122404,2023.270633550017,0.7392690909396766,4.75388694467689
candidate_stage_D,primary,2,0.0,48.1651376146789,-48.1651376146789,0.0,0.0,-51.80989010989011,-44.45484486046109,0.0,-0.801065708329252,-284.13421355000247,,-0.801065708329252,-0.801065708329252,-0.801065708329252,0.0,-284.13421355000247,0.0,0.0,-1.0589240127478876,-284.13421355000247,1,1.0,,,-0.9013369747638,-319.78032710000133,2.0,0.0,-0.801065708329252,-284.13421355000247,-0.9649369792089354,-344.07362885,-0.801065708329252,-0.801065708329252
candidate_stage_C,primary,18,72.22222222222221,48.1651376146789,24.057084607543324,53.333333333333336,89.47368421052632,4.697565208630991,41.37192140800734,66.66666666666666,1.2056072177978157,6246.85449127811,2.8387078425474357,-2.0605940317014237,1.2056072177978157,1.4836442204351523,66.66666666666666,6246.85449127811,2.7552325192396356,2.4011463481514053,-4.650157583560376,-2839.1262382439963,11,17.0,-0.03910938015185899,-836.5718413659458,1.1063313267912245,5626.765694556085,18.0,0.0,1.2056072177978157,6246.85449127811,1.0308546351764898,4598.615303138089,-0.11268795917392586,2.388555048698609
candidate,2024,13,76.92307692307693,52.892561983471076,24.03051493960585,55.55555555555556,100.0,-2.0291972605446076,47.81004387120777,69.23076923076923,1.782246611905233,5603.589438350047,3.442898938881226,-1.9542211237907519,1.782246611905233,1.151360221667406,69.23076923076923,5603.589438350047,3.963994922670899,4.733812323483137,-4.650157583560376,-1076.0769723999938,9,12.0,-0.10852971940334144,-247.17178704997264,1.6832617673302666,5317.5167767000485,13.0,0.0,1.782246611905233,5603.589438350047,1.5620791532442728,4494.71025530004,0.34703046650253233,3.34460989489572
old_UR_volume,2024,9,66.66666666666666,52.892561983471076,13.774104683195587,25.0,100.0,-31.46683810136076,49.169207317073166,66.66666666666666,0.6690442509096531,1382.586073950027,2.7239692869491443,-3.4408058211693295,0.6690442509096531,0.8073696187253275,66.66666666666666,1382.586073950027,1.5833321777068057,1.5489835084014334,-6.953841041699601,-1759.3217835499988,5,6.0,-2.3862451259739235,-2375.300738499992,0.5695014174764771,1174.0734479000316,9.0,0.0,0.6690442509096531,1382.586073950027,0.6420785483897061,1292.6769510000213,-1.187611696530389,2.4320674970386142
