model,month,feature,logistic_coef,net_return_coef
A12,2021-12,market1,-0.08480602860104086,-0.0748353032459571
A12,2021-12,relative5,-0.05749531712028525,-0.18263719072855011
A12,2021-12,weak,-0.1044160975901132,-0.023469976508411542
A12,2021-12,weak_clv,0.04491268326122788,-0.0981640622514268
A12,2021-12,weak_ret5,-0.07007842077871977,-0.13001273360637683
A12,2021-12,gap,0.1103993287101629,-0.06289145946154805
A12,2021-12,gap_clv,0.09040612495867671,0.10824332200421212
A12,2021-12,gap_weak,-0.12492300309832952,0.017168840794518383
A12,2022-01,intercept,-0.074674311226386,-0.30992283394236997
A12,2022-01,clv,0.12854236571980093,0.19281848951537
A12,2022-01,logvolume,-0.2419146898410292,-0.13554305938002018
A12,2022-01,intraday1,0.0654645695376291,0.09080091533761792
A12,2022-01,ret5,0.2037870242275325,0.15740682140392054
A12,2022-01,market1,-0.08195907868667897,-0.07369214607773822
A12,2022-01,relative5,-0.02946989700212232,-0.1637911503612538
A12,2022-01,weak,-0.1329122783993373,-0.043149733572757414
A12,2022-01,weak_clv,0.037214268155249135,-0.09947572451203679
A12,2022-01,weak_ret5,-0.07236659129398565,-0.10775080896982772
A12,2022-01,gap,0.0834153518697021,-0.09443252451581566
A12,2022-01,gap_clv,0.11103351070643706,0.12022960850579892
A12,2022-01,gap_weak,-0.12346464950042627,0.03340961126788198
A12,2022-02,intercept,-0.033453748879987984,-0.27294134215851634
A12,2022-02,clv,0.10534263620173556,0.16841670212359286
A12,2022-02,logvolume,-0.17244151936823113,-0.09512559608877251
A12,2022-02,intraday1,0.0795916956378171,0.09192625545130997
A12,2022-02,ret5,0.14490251154443518,0.120832457038597
A12,2022-02,market1,-0.09428273524649632,-0.06826271738489231
A12,2022-02,relative5,-0.008259774482683422,-0.14732248268678283
A12,2022-02,weak,-0.10776938435193331,-0.058085677077273454
A12,2022-02,weak_clv,0.050392277370084976,-0.07787056122622175
A12,2022-02,weak_ret5,-0.03107661386137373,-0.083740531399025
A12,2022-02,gap,0.07618279351489331,-0.14459295656296794
A12,2022-02,gap_clv,0.14455579969244456,0.1899114244610282
A12,2022-02,gap_weak,-0.16453825443595285,0.011188258033167798
A12,2022-03,intercept,-0.04731165816995742,-0.24796728504881047
A12,2022-03,clv,0.08579281347002879,0.13740071726902406
A12,2022-03,logvolume,-0.16877463497457826,-0.11958606184457683
A12,2022-03,intraday1,0.05591335889507232,0.046204144037098306
A12,2022-03,ret5,0.12955920063568924,0.13396094508824435
A12,2022-03,market1,-0.10480866029975598,-0.10368316728449496
A12,2022-03,relative5,-0.0021545501078537284,-0.10983715067469928
A12,2022-03,weak,-0.15013743038637237,-0.13315392526455078
A12,2022-03,weak_clv,0.04648665034555228,-0.01956065829822729
A12,2022-03,weak_ret5,-0.05294441602867072,-0.11321402956467169
A12,2022-03,gap,0.015128555176652887,-0.30308009961024895
A12,2022-03,gap_clv,0.15440584289973375,0.3079912017901172
A12,2022-03,gap_weak,-0.11530525226171232,0.07853044702690654
A12,2022-04,intercept,-0.023143985229340313,-0.21610556566559305
A12,2022-04,clv,0.10559701688053269,0.08912788224999908
A12,2022-04,logvolume,-0.12743532526880416,-0.08553531212342029
A12,2022-04,intraday1,0.07019109842107639,0.12605764727173702
A12,2022-04,ret5,0.14086992751640726,0.0879479400947401
A12,2022-04,market1,-0.227871201645554,-0.24767368169967852
A12,2022-04,relative5,0.01090476869277663,-0.04295523937159261
A12,2022-04,weak,-0.1403386079005598,-0.12422502784599543
A12,2022-04,weak_clv,0.056650076930275024,0.05839127668538924
A12,2022-04,weak_ret5,-0.02053447031582909,-0.08439540490352879
A12,2022-04,gap,0.04909626767309242,-0.12808373604085285
A12,2022-04,gap_clv,0.1263761316634176,0.23000306610453589
A12,2022-04,gap_weak,-0.1459431677297192,-0.11544529553987157
A12,2022-05,intercept,-0.06018473469253607,-0.24836543813291612
A12,2022-05,clv,0.08888334866054258,0.12669046710740245
A12,2022-05,logvolume,-0.15435458843404348,-0.09450979042701808
A12,2022-05,intraday1,0.0740891863594171,0.051764289105846205
A12,2022-05,ret5,0.1843005252793305,0.11880778730505645
A12,2022-05,market1,-0.2432741246261751,-0.23446705585666164
A12,2022-05,relative5,0.0021914888420935686,-0.04669102752921514
A12,2022-05,weak,-0.08422907204823683,-0.006013403032821148
A12,2022-05,weak_clv,0.04114289508313158,-0.01263954444272818
A12,2022-05,weak_ret5,0.12163537175477185,0.08989407906263204
A12,2022-05,gap,0.07953812889941925,-0.18343762374458183
A12,2022-05,gap_clv,0.05249254261686365,0.2672834663452442
A12,2022-05,gap_weak,-0.08701781781191092,-0.11853192861498561
A12,2022-06,intercept,-0.08469018813933728,-0.23961355484360627
A12,2022-06,clv,0.032132945870820405,0.043307197012865985
A12,2022-06,logvolume,-0.1386346463446799,-0.061573769780838714
A12,2022-06,intraday1,0.11876114256200536,0.10181925665958866
A12,2022-06,ret5,0.13232721478688853,0.07716021052294614
A12,2022-06,market1,-0.20627922291162745,-0.22487429344971083
A12,2022-06,relative5,0.027631231035208124,-0.06065466750551806
A12,2022-06,weak,-0.17248218258912032,-0.10061082157193416
A12,2022-06,weak_clv,0.058284477355471244,0.05085407394290053
A12,2022-06,weak_ret5,0.08720022019655627,0.08286974559184246
A12,2022-06,gap,0.07828346269774035,-0.17391731575206767
A12,2022-06,gap_clv,-0.008584199743951948,0.19842038064595535
A12,2022-06,gap_weak,-0.045166030456924355,-0.05881594745407109
A12,2022-07,intercept,-0.0999488334001993,-0.2538272035691681
A12,2022-07,clv,0.032489355340089995,0.030796065444002197
A12,2022-07,logvolume,-0.10117186944141308,-0.05783995875756367
A12,2022-07,intraday1,0.14056320139131953,0.11310402935070536
A12,2022-07,ret5,0.113590891679519,0.07965635237024354
A12,2022-07,market1,-0.15491886016209389,-0.1878979799323681
A12,2022-07,relative5,0.03312165088747805,-0.018006825974737496
A12,2022-07,weak,-0.14816168115331735,-0.07897675186065556
A12,2022-07,weak_clv,0.03621676738943678,0.06537207352174622
A12,2022-07,weak_ret5,0.07650963153211669,0.056916786966723046
A12,2022-07,gap,0.10076939988731587,-0.13927644889166735
A12,2022-07,gap_clv,-0.004167701954176233,0.19665403944790005
