model,window,bin,predicted_pct,n,down_pct,baseline_down_pct,lift_pp,down_ci_low,down_ci_high,lift_ci_low,lift_ci_high,net_RT_win_pct,net_RT_mean_pct,net_RT_cash,mean_net_winner_pct,mean_net_loser_pct
P6,primary,"[0.6,0.65)",62.11582951741978,37,51.35135135135135,48.1651376146789,3.1862137366724497,37.5,69.56851119894596,-10.648324551989743,20.822929611567776,48.64864864864865,-0.6418236270470219,-4677.572067073781,2.5352100796791484,-3.6516450334191837
P6,primary,"[0.65,1)",67.95476483741237,11,45.45454545454545,48.1651376146789,-2.710592160133446,0.0,100.0,-45.10109659005558,48.073885414681094,45.45454545454545,-1.9586579432381115,-9021.807466903952,1.4122453073164911,-4.767743985366947
P6,2024,"[0,0.4)",,0,,,,,,,,,,,,
P6,2024,"[0.4,0.5)",47.97192322379441,112,51.78571428571429,52.892561983471076,-1.1068476977567854,40.65848214285714,60.58173076923074,-6.5582343961688645,2.439248402195939,50.89285714285714,-0.42252281583646834,-9856.271349699698,1.7092753067943809,-2.6318408701993476
P6,2024,"[0.5,0.55)",51.93680463400072,100,54.0,52.892561983471076,1.1074380165289277,44.33690130624093,65.38690476190474,-4.12301134405809,7.887628671448122,52.0,-0.5886997088810927,-12468.543062749737,1.5653691959728704,-2.9222743558062194
P6,2024,"[0.55,0.6)",57.07644633049777,29,51.724137931034484,52.892561983471076,-1.1684240524365896,32.0,71.44285714285706,-23.92883385200553,20.43229144287011,44.827586206896555,-1.009326094460659,-3570.6222044499227,2.4967292538751713,-3.8579960649835208
P6,2024,"[0.6,0.65)",62.19309717778175,1,100.0,52.892561983471076,47.107438016528924,100.0,100.0,39.50617283950617,53.21837793453513,100.0,2.526634365007556,670.0634336000038,2.526634365007556,
P6,2024,"[0.65,1)",,0,,,,,,,,,,,,
P6,2025,"[0,0.4)",38.31311494781253,6,33.33333333333333,44.03292181069959,-10.699588477366257,0.0,100.0,-44.89135158626684,50.948821475338285,33.33333333333333,-0.48368899688540273,-2279.0623577149463,1.125497429072091,-1.2882822098641495
P6,2025,"[0.4,0.5)",46.17993710813899,82,30.48780487804878,44.03292181069959,-13.545116932650808,23.45478595478595,36.04651162790697,-20.978587096458206,-7.047793259805401,28.04878048780488,-1.2452760504792724,-42811.907475673645,1.7812367304139214,-2.4251030667596694
P6,2025,"[0.5,0.55)",52.18004330234432,74,52.702702702702695,44.03292181069959,8.669780892003109,39.50536062378168,64.44623655913978,-1.2488461599470877,17.74415669630416,50.0,-0.45135490051502314,-6642.121056832642,1.972466605546624,-2.8751764065766694
P6,2025,"[0.55,0.6)",57.46336439521686,48,52.083333333333336,44.03292181069959,8.050411522633748,40.816326530612244,63.63636363636363,-2.379223323338251,19.048185941043084,43.75,-0.37213056912350445,-11016.902002926738,2.6830528947408347,-2.748384374351324
P6,2025,"[0.6,0.65)",62.605166395326115,22,50.0,44.03292181069959,5.967078189300413,30.434782608695656,76.47058823529412,-11.823134599947409,30.658749438085664,50.0,-1.1783060772962146,-6508.442280006884,1.8633545488949905,-4.21996670348742
P6,2025,"[0.65,1)",67.95476483741237,11,45.45454545454545,44.03292181069959,1.4216236438458651,0.0,100.0,-41.18323925314806,50.08817427385891,45.45454545454545,-1.9586579432381115,-9021.807466903952,1.4122453073164911,-4.767743985366947
P6,2026,"[0,0.4)",37.13997665763898,23,30.434782608695656,47.337278106508876,-16.90249549781322,13.636363636363635,45.0,-30.86021314557593,-3.3350695156111287,26.08695652173913,-0.7677030373834107,-10686.270342869837,1.5404673310378243,-1.5823514027085523
P6,2026,"[0.4,0.5)",44.5844838488106,74,44.5945945945946,47.337278106508876,-2.742683511914279,32.78688524590164,52.74801587301587,-12.514993274090786,3.631461466165409,41.891891891891895,-0.6532676912256189,-29194.775291150563,2.1347932300959025,-2.663265099620204
P6,2026,"[0.5,0.55)",52.48929665639322,25,52.0,47.337278106508876,4.6627218934911285,40.0,65.0,-4.402090518869113,14.473684210526317,52.0,-0.2806453603331532,-5024.012688485892,2.059086727434769,-2.815355122081735
P6,2026,"[0.55,0.6)",57.26878920563379,33,60.60606060606061,47.337278106508876,13.268782499551735,50.0,76.0,2.1711648045946053,27.981070787792166,57.57575757575758,0.48666827689468006,13987.937611017229,2.4770629404599194,-2.214581623658145
P6,2026,"[0.6,0.65)",61.341352447826814,14,50.0,47.337278106508876,2.6627218934911268,28.57142857142857,80.0,-19.38434614698659,31.221919127086,42.857142857142854,-0.02509820465933149,1160.8067793330972,3.768374505228703,-2.870202737075358
P6,2026,"[0.65,1)",,0,,,,,,,,,,,,
P9,full_2020,"[0,0.4)",36.15665370591098,165,44.24242424242424,48.830049261083744,-4.587625018659497,36.26357560568087,51.87646754143646,-11.842190547850937,2.677652943197713,38.78787878787879,-0.5385190726027583,-29570.93539501151,1.7132354657066327,-1.9653734335116795
P9,full_2020,"[0.4,0.5)",45.82438945587705,694,46.97406340057637,48.830049261083744,-1.8559858605073698,43.32771672199615,50.51702500136769,-4.883355160669021,1.0298917937737024,42.93948126801153,-0.45889812229590693,-76409.06321807228,1.4841849361314379,-1.9211171915164846
P9,full_2020,"[0.5,0.55)",52.28705683007544,401,52.618453865336654,48.830049261083744,3.788404604252915,48.14791838985387,57.45926522291488,-0.24275177717131516,7.97791039360535,48.87780548628429,-0.37338079523133244,-31253.082891472048,1.4480960817374455,-2.1148903946746525
P9,full_2020,"[0.55,0.6)",57.1463975321906,243,48.971193415637856,48.830049261083744,0.1411441545541181,43.17094238576488,55.25260637653049,-5.449474532978332,5.741673512272315,43.62139917695473,-0.46781367209379593,-25141.52196902532,1.8831030197899077,-2.2867711125293626
P9,full_2020,"[0.6,0.65)",61.90271850834045,83,53.01204819277109,48.830049261083744,4.181998931687348,40.47077922077922,66.23376623376623,-7.799682392894532,16.569570721839774,48.19277108433735,-0.6488644783154466,-15779.878917332624,2.1073099094898935,-3.212747629762275
P9,full_2020,"[0.65,1)",68.80853811034339,38,52.63157894736842,48.830049261083744,3.801529686284677,42.857142857142854,72.72727272727273,-6.1635121611626005,23.135253083222995,50.0,-0.6713767258692078,-2720.4940125989106,1.937486033252157,-3.2802394849905725
P9,primary,"[0,0.4)",37.15921997037827,42,28.57142857142857,48.1651376146789,-19.59370904325033,12.0,41.46849593495932,-35.215215051492315,-7.379128991367113,26.190476190476193,-1.0094683487283778,-21949.14821196171,2.5852633658878674,-2.285018311979303
P9,primary,"[0.4,0.5)",45.75146987251708,277,44.765342960288805,48.1651376146789,-3.3997946543900923,39.26150975349683,49.82581411330673,-7.877556530947722,0.7961995377694273,42.96028880866426,-0.6361453966949848,-58772.12176387288,1.7173654502690572,-2.4087263510539785
P9,primary,"[0.5,0.55)",52.446572577439255,144,59.02777777777778,48.1651376146789,10.862640163098881,51.49253731343284,66.45962732919256,4.976455406831055,16.59109382740649,56.25,-0.3108283386376687,-16681.202755172428,1.7482258210207116,-2.958183686769872
P9,primary,"[0.55,0.6)",57.10057307220523,117,47.008547008547005,48.1651376146789,-1.156590606131891,39.3421372191864,55.08557987454957,-8.752415299648161,6.185119141916681,43.58974358974359,-0.6747739937884079,-20966.12868597549,2.465109063233438,-3.101047265123471
P9,primary,"[0.6,0.65)",62.049744650307936,53,50.943396226415096,48.1651376146789,2.778258611736195,35.482190860215056,67.44936234058511,-11.86111310240676,18.45688476336161,45.28301886792453,-0.8910367252688824,-14631.755934882674,2.650479335982001,-3.8219465690627175
P9,primary,"[0.65,1)",68.85673458275555,21,57.14285714285714,48.1651376146789,8.977719528178241,44.44444444444444,76.92307692307693,-4.090912043875488,28.18714317333221,52.38095238095239,-0.21168212038388914,-261.5724036489455,2.003287986195939,-2.6481492376217006
P9,2024,"[0,0.4)",37.88301652837913,4,25.0,52.892561983471076,-27.892561983471076,0.0,50.0,-56.2992125984252,-1.2645100413046535,25.0,-0.9441960958294915,-149.37616984999113,5.952238027075832,-3.243007470131266
P9,2024,"[0.4,0.5)",46.32731343427709,121,47.107438016528924,52.892561983471076,-5.785123966942152,38.167130288523744,57.260721430357584,-11.343657117561506,0.542342383970246,46.28099173553719,-0.6911094581784673,-18533.330816799684,1.4466450965208106,-2.5328672283809217
P9,2024,"[0.5,0.55)",52.53240604704155,70,70.0,52.892561983471076,17.10743801652892,61.955227743271216,78.94949066213921,11.14434364552478,24.824778927949925,65.71428571428571,-0.03049254348445218,1063.759028600172,1.682412053691454,-3.313559688071606
P9,2024,"[0.55,0.6)",56.827903895255474,35,40.0,52.892561983471076,-12.892561983471074,21.875,56.76640926640921,-28.00529778689225,1.7119181739069111,40.0,-0.9864792096166142,-5336.907436549886,2.4272974202724984,-3.262330296209356
P9,2024,"[0.6,0.65)",62.00995339964318,11,54.54545454545454,52.892561983471076,1.6528925619834656,25.0,100.0,-27.898176804177186,46.06543728741114,45.45454545454545,-1.1745083991624,-2857.7368267999695,2.2858001198687754,-4.058098831688379
P9,2024,"[0.65,1)",68.40700335350898,1,100.0,52.892561983471076,47.107438016528924,100.0,100.0,41.038950456323334,55.095487627365365,100.0,4.045522958046783,588.2190381000023,4.045522958046783,
P9,2025,"[0,0.4)",37.4379775689554,13,15.384615384615385,44.03292181069959,-28.648306426084204,0.0,42.857142857142854,-47.09679363548698,-1.3757322175732356,15.384615384615385,-1.4252135342521606,-9814.55988877189,4.392259010138826,-2.4829358150505216
P9,2025,"[0.4,0.5)",46.08528390285814,78,41.02564102564102,44.03292181069959,-3.0072807850585637,28.57142857142857,49.533131262103225,-15.340220254024896,4.670375962885154,38.46153846153847,-0.7594199443601932,-21236.12072936166,1.754282782248441,-2.33048414849059
P9,2025,"[0.5,0.55)",52.41114935716963,57,45.614035087719294,44.03292181069959,1.5811132770197078,35.55555555555556,54.8402909550917,-6.984634317312559,10.435897937067631,43.859649122807014,-0.49409119229789417,-7851.514343626704,2.0782015985925653,-2.5036949351810653
P9,2025,"[0.55,0.6)",57.3921442598884,53,49.056603773584904,44.03292181069959,5.023681962885318,39.473684210526315,61.36363636363637,-4.264949925408782,16.1700702770648,45.28301886792453,-0.9505222867005757,-21029.77779609678,2.2320789530302303,-3.5843991747536563
P9,2025,"[0.6,0.65)",62.15956092781242,22,45.45454545454545,44.03292181069959,1.4216236438458651,16.666666666666664,76.47058823529412,-24.62434730773874,28.79131700050597,36.36363636363637,-1.7705005865998407,-17498.47844045284,1.8967950264369038,-3.8660980797636944
P9,2025,"[0.65,1)",68.87922114421788,20,55.00000000000001,44.03292181069959,10.967078189300416,41.66666666666667,75.0,-1.6665560225059837,30.37297526572789,50.0,-0.42454237430542274,-849.7914417489483,1.799064489010855,-2.6481492376217006
P9,2026,"[0,0.4)",36.89845856983802,25,36.0,47.337278106508876,-11.337278106508874,11.76470588235294,48.888888888888886,-31.52860337594018,-0.6562025800882063,32.0,-0.8037244127198325,-11985.212153339828,1.7126426221766327,-1.987897135024051
P9,2026,"[0.4,0.5)",44.524360060471395,78,44.871794871794876,47.337278106508876,-2.465483234714,37.5,50.70473566033884,-8.617275040331416,3.6030327709000023,42.30769230769231,-0.4276060869848872,-19002.670217711544,2.143208476042399,-2.3128700998715632
P9,2026,"[0.5,0.55)",52.21191261762802,17,58.82352941176471,47.337278106508876,11.486251305255834,26.666666666666668,79.16666666666666,-18.99665010538994,30.73308270676692,58.82352941176471,-0.8506826328783925,-9893.447440145897,1.2260297068056614,-3.817414546712755
P9,2026,"[0.55,0.6)",56.89678508068919,29,51.724137931034484,47.337278106508876,4.386859824525613,37.5,68.18181818181817,-10.254033168638719,18.73426090856262,44.827586206896555,0.20537573305063103,5400.556546671167,2.936038728335757,-2.013287950618534
P9,2026,"[0.6,0.65)",61.950831932918646,20,55.00000000000001,47.337278106508876,7.662721893491131,31.23798076923077,76.48190045248863,-15.342521498771497,28.47615864527629,55.00000000000001,0.2322829428366057,5724.459332370137,3.3643766593389923,-3.5958315995552
P9,2026,"[0.65,1)",,0,,,,,,,,,,,,
A8,full_2020,"[0,0.4)",35.7318654691382,114,40.35087719298245,48.830049261083744,-8.479172068101287,31.448455110765646,48.630599777860056,-17.116281438245508,-1.0294342633985416,35.96491228070175,-0.5308281352939465,-19751.98553494867,1.347370578077333,-1.5857068647216512
A8,full_2020,"[0.4,0.5)",46.07711660346844,686,46.79300291545189,48.830049261083744,-2.0370463456318486,43.01388596675783,50.573148476916344,-5.005492453162024,0.9287714332167776,42.4198250728863,-0.5241430841277461,-102873.95208978132,1.5598548884911658,-2.0594428563609193
A8,full_2020,"[0.5,0.55)",52.243026396603945,515,51.6504854368932,48.830049261083744,2.82043617580946,47.85743736861055,55.369420239340066,-0.36093557026770307,6.099946217696318,47.96116504854369,-0.3487232863542785,-30764.487482994733,1.4852367118204806,-2.038977463776538
A8,full_2020,"[0.55,0.6)",57.207325512281834,219,51.598173515981735,48.830049261083744,2.7681242548979967,45.38113429327064,57.5919246266316,-3.147082026040961,8.65302990944483,45.20547945205479,-0.21329410345290642,6134.046230186704,2.0469879272990887,-2.0780267788233027
A8,full_2020,"[0.6,0.65)",61.910573327680915,59,55.932203389830505,48.830049261083744,7.102154128746763,43.47826086956522,68.89080459770113,-5.00010515020204,19.854788020983932,52.54237288135594,-1.1485162891169316,-23231.35872759476,1.6258160298136635,-4.220098499361519
A8,full_2020,"[0.65,1)",72.16355686524889,31,45.16129032258064,48.830049261083744,-3.668758938503097,33.33333333333333,77.77777777777779,-15.057816940702326,28.473792848416366,45.16129032258064,-1.1600163555129237,-10387.238798379913,1.9577877216755204,-3.7276197131975253
A8,primary,"[0,0.4)",36.89685146376412,39,35.8974358974359,48.1651376146789,-12.267701717243002,22.22222222222222,47.61904761904761,-25.11189024390244,-2.054945918182364,33.33333333333333,-0.598645072885219,-14756.449757648767,1.5859257036539547,-1.6909304611548057
A8,primary,"[0.4,0.5)",46.085354453115634,250,42.4,48.1651376146789,-5.7651376146789,35.52461207800378,49.39318885448916,-11.43734152453398,-0.4928566018053862,40.400000000000006,-0.792330424134884,-83576.29990518194,1.8397975253569387,-2.576524537548804
A8,primary,"[0.5,0.55)",52.183022687437166,200,52.0,48.1651376146789,3.834862385321103,45.45454545454545,58.17307692307693,-1.3345689115438355,8.692330737524156,50.0,-0.5359096144097276,-19934.459805095226,1.8025617291376925,-2.8743809579571478
A8,primary,"[0.55,0.6)",57.329414081266016,109,56.88073394495413,48.1651376146789,8.715596330275233,49.6119304216298,65.15194075587334,1.1323587632782672,16.611486549773325,50.45871559633027,0.060866186759324876,14155.208227436533,2.7657397120966696,-2.69409758904723
A8,primary,"[0.6,0.65)",62.06312936644564,42,52.38095238095239,48.1651376146789,4.215814766273485,37.83783783783784,68.96551724137932,-10.217017095299655,19.841221752905533,50.0,-1.3639322965217282,-21784.20773344479,1.7375021930072745,-4.465366786050732
A8,primary,"[0.65,1)",68.08973808200021,14,50.0,48.1651376146789,1.834862385321101,25.0,83.33333333333334,-22.28999782221717,33.95536446670241,50.0,-1.0518304057247796,-7365.720781579943,1.4975605578999407,-3.6012213693494997
A8,2024,"[0,0.4)",34.38956517773832,5,40.0,52.892561983471076,-12.892561983471074,0.0,88.88888888888889,-57.858072493004485,34.96870943499349,40.0,0.11517745922530062,-59.97842419997778,2.723715992910863,-1.6238482298984078
A8,2024,"[0.4,0.5)",46.99370029581294,99,52.52525252525253,52.892561983471076,-0.36730945821854544,39.35704101776706,65.45534995977474,-10.151610463432323,9.495234932063305,51.515151515151516,-0.32439094899516613,-6608.295796449732,1.6706614128566253,-2.4441340834626946
A8,2024,"[0.5,0.55)",52.15696251345322,103,51.45631067961165,52.892561983471076,-1.436251303859426,43.43434343434344,59.8041506322155,-7.021776790942812,4.214271852435997,49.51456310679612,-0.913538397028132,-17974.468144849732,1.5478028829244215,-3.3275461908277517
A8,2024,"[0.55,0.6)",57.139936330358395,29,58.620689655172406,52.892561983471076,5.728127671701333,38.46153846153847,78.13133445945942,-14.628066261695299,25.380708020050104,51.724137931034484,-0.049336603991978895,232.50707755007556,2.598348237743888,-2.8861417915661223
A8,2024,"[0.6,0.65)",61.93947470986111,4,50.0,52.892561983471076,-2.892561983471076,0.0,100.0,-54.07580362899512,48.96671106329935,50.0,-2.3115204830844522,-1663.3531875499955,0.9369521730939178,-5.559993139262822
A8,2024,"[0.65,1)",67.03218479262046,2,100.0,52.892561983471076,47.107438016528924,100.0,100.0,39.87864658058345,54.10336785726953,100.0,1.6868831801262347,848.2152922000091,1.6868831801262347,
A8,2025,"[0,0.4)",37.75377188339793,10,20.0,44.03292181069959,-24.032921810699587,0.0,44.44444444444444,-45.175759744549666,-2.5083545923436037,20.0,-1.0871103600754632,-6646.645128141961,1.125497429072091,-1.640262307362352
A8,2025,"[0.4,0.5)",46.35414764306084,81,32.098765432098766,44.03292181069959,-11.934156378600825,26.31578947368421,36.14521917457062,-19.408601940228447,-5.4142210592146425,29.629629629629626,-1.3675053740733554,-43566.06344043462,1.8917715747915682,-2.7398325104375334
A8,2025,"[0.5,0.55)",52.13315411849806,69,53.62318840579711,44.03292181069959,9.590266595097518,40.84435182523714,65.28044871794872,0.24965537799491808,18.34443755783767,50.72463768115942,-0.1502383034920211,-602.9841408786424,1.9939525377362162,-2.3574935812269713
A8,2025,"[0.55,0.6)",57.47876017121356,49,53.06122448979592,44.03292181069959,9.028302679096335,43.47826086956522,65.11627906976744,0.4787298704817027,19.3484317151043,44.89795918367347,-0.4717422243143509,-10707.980132161741,2.504680153569891,-2.89697527296077
A8,2025,"[0.6,0.65)",62.67084413560219,22,50.0,44.03292181069959,5.967078189300413,28.121875,80.0,-14.645577263877689,34.74354564808091,50.0,-1.3875012854245525,-8542.633724661902,1.8589971844891124,-4.633999755338217
A8,2025,"[0.65,1)",68.26599696356351,12,41.66666666666667,44.03292181069959,-2.3662551440329196,0.0,71.42857142857143,-43.592117758784426,25.917510330032687,41.66666666666667,-1.5082826700332816,-8213.936073779952,1.421831509009423,-3.6012213693494997
A8,2026,"[0,0.4)",37.06215259850542,24,41.66666666666667,47.337278106508876,-5.6706114398422045,26.059782608695652,53.13020833333331,-19.222990003417635,4.840024544179517,37.5,-0.5438308974123086,-8049.826205306828,1.4354008115039447,-1.731369922762061
