scenario,year,increment_cash,fees,dividend_tax,sales,deficit_days,ending_relative
S0_30_paid_open_10,2022,-526.2559901499735,393.78399015,45.0,19,204,-6601.763812569763
S0_30_paid_open_10,2023,-649.0,0.0,0.0,0,242,-7250.763812569763
S0_30_paid_open_10,2024,-791.1432199599985,21.58721996,0.0,1,240,-8041.907032529762
S0_30_paid_open_10,2025,-5677.05339995,23.49839995,0.0,1,240,-13718.960432479762
S0_30_paid_open_10,2026,-242.40000000000873,0.0,0.0,0,169,-13961.36043247977
S0_30_paid_post0935_5,2020,-2441.4694934998224,3087.0344935000003,0.0,121,0,-2441.4694934998224
S0_30_paid_post0935_5,2021,-3179.3000883998266,2825.9200884,50.0,122,0,-5620.769581899649
S0_30_paid_post0935_5,2022,-987.4114835648998,1750.764983565,45.0,86,70,-6608.181065464549
S0_30_paid_post0935_5,2023,-649.0,0.0,0.0,0,242,-7257.181065464549
S0_30_paid_post0935_5,2024,-696.0,0.0,0.0,0,242,-7953.181065464549
S0_30_paid_post0935_5,2025,-5586.115714345,23.501214344999998,0.0,1,240,-13539.296779809549
S0_30_paid_post0935_5,2026,-242.40000000000873,0.0,0.0,0,169,-13781.696779809557
S0_30_paid_post0935_10,2020,-4245.001586999815,3086.1315870000003,0.0,121,0,-4245.001586999815
S0_30_paid_post0935_10,2021,-1800.3483155399263,1093.99131554,22.5,44,156,-6045.349902539741
S0_30_paid_post0935_10,2022,-630.030779329978,560.59277933,45.0,28,186,-6675.380681869719
S0_30_paid_post0935_10,2023,-649.0,0.0,0.0,0,242,-7324.380681869719
S0_30_paid_post0935_10,2024,-696.0,0.0,0.0,0,242,-8020.380681869719
S0_30_paid_post0935_10,2025,-5603.1261386900005,23.49713869,0.0,1,240,-13623.50682055972
S0_30_paid_post0935_10,2026,-242.40000000000873,0.0,0.0,0,169,-13865.906820559729
S0_30_locked_open_10,2020,-5871.8190730398,2597.08707304,0.0,101,41,-5871.8190730398
S0_30_locked_open_10,2021,22.67548228001033,104.03851772000002,45.0,4,235,-5849.14359075979
S0_30_locked_open_10,2022,7.674931900010051,226.51806810000002,45.0,11,220,-5841.46865885978
S0_30_locked_open_10,2023,-649.0,0.0,0.0,0,242,-6490.46865885978
S0_30_locked_open_10,2024,-696.0,0.0,0.0,0,242,-7186.46865885978
S0_30_locked_open_10,2025,-4118.999999999996,0.0,0.0,0,243,-11305.468658859776
S0_30_locked_open_10,2026,-300.0000000000073,0.0,0.0,0,169,-11605.468658859783
S0_30_locked_post0935_5,2020,-2441.4694934998224,3087.0344935000003,0.0,121,0,-2441.4694934998224
S0_30_locked_post0935_5,2021,-3321.7623490698315,2696.06884907,50.0,116,12,-5763.231842569654
S0_30_locked_post0935_5,2022,-139.0629697549939,188.948969755,45.0,8,226,-5902.294812324648
S0_30_locked_post0935_5,2023,-649.0,0.0,0.0,0,242,-6551.294812324648
S0_30_locked_post0935_5,2024,-695.9999999999982,0.0,0.0,0,242,-7247.294812324646
S0_30_locked_post0935_5,2025,-4119.0,0.0,0.0,0,243,-11366.294812324646
S0_30_locked_post0935_5,2026,-300.0000000000073,0.0,0.0,0,169,-11666.294812324653
S0_30_locked_post0935_10,2020,-4245.001586999815,3086.1315870000003,0.0,121,0,-4245.001586999815
S0_30_locked_post0935_10,2021,-1603.8495782999344,920.3545783000001,0.0,37,170,-5848.8511652997495
S0_30_locked_post0935_10,2022,-82.46463103999486,107.79263104,22.5,5,232,-5931.315796339744
S0_30_locked_post0935_10,2023,-604.0,0.0,0.0,0,242,-6535.315796339744
S0_30_locked_post0935_10,2024,-696.0000000000018,0.0,0.0,0,242,-7231.315796339746
S0_30_locked_post0935_10,2025,-4119.0,0.0,0.0,0,243,-11350.315796339746
S0_30_locked_post0935_10,2026,-300.0000000000073,0.0,0.0,0,169,-11650.315796339753
