account,dependency,date,clock,quantity,reference,fee,day_qc,available_at
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-02-08,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-02-19,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-02-20,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-02-22,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-02-23,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-02-27,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-02-29,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-03-01,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-03-04,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-03-05,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-03-06,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-03-07,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-03-08,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-03-11,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-03-12,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-03-13,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-03-14,,100,,,False,after15:00_or_unknown_provider_latency
S0_0_locked,restoration_deficit_on_QC_rejected_day_potential_suppression_not_proven_fill,2024-03-15,,100,,,False,after15:00_or_unknown_provider_latency
