buffer,mode,settlement,initial,final,hold_final,return_pct,hold_return_pct,increment_cash,increment_pct,mdd_pct,hold_mdd_pct,relative_mdd_cash,completed,sales,skip_t1,skip_missing,sale_blocked,failed_restore_days,max_consecutive_deficit_days,insufficient_cash_windows,max_extra_cash_required,terminal_missing,terminal_cash,terminal_cash_gap,terminal_receivable,terminal_tax_reserve,unobserved_first_windows,missed_rise_cash,avoided_fall_cash,fees,dividend_tax,scenario,rule,work,first_window,slip_bp,deficit_days,intraday_buys,first_difference_from_B15,old_increment_cash
0.0,conservative,ex_date_close_scenario,18380.0,60785.22925984005,67770.0,230.7139785627859,268.71599564744287,-6984.770740159947,-38.002017084656956,-62.61821046310529,-57.697841726618705,-8815.931461959946,39,40,7,363,1,1421,593,1420,5826.450780159939,100,3122.22925984006,3293.038342194939,0.0,0.0,0,66057.0,60600.99999999999,951.3712401599998,90.0,S2_F2_0_paid_open_5,S2_F2,A,open,5,1421,0,2020-03-16,-7032.749636409964
0.0,conservative,receivable_locked,18380.0,61811.561368670016,67770.0,236.29793998188256,268.71599564744287,-5958.438631329984,-32.4180556655603,-58.10859743146435,-57.697841726618705,-7789.59935312999,13,14,0,397,0,1553,920,1552,7190.518671329975,100,818.5613686700244,5596.706233364975,3330.0,0.0,0,66957.0,61606.0,365.12163133,45.0,S2_F2_0_locked_open_5,S2_F2,A,open,5,1553,0,2020-03-16,-5977.498331579984
0.1,conservative,ex_date_close_scenario,20218.0,60785.51473477015,69608.0,200.65048340473908,244.28726877040262,-8822.48526522985,-43.63678536566352,-65.63586193505442,-53.02362482369535,-10807.95203572986,99,100,12,298,1,1120,593,1119,5826.1653052298425,100,3122.514734770157,3292.7528672648423,0.0,0.0,0,64162.00000000001,59219.0,2418.512265230001,130.0,S2_F2_10_paid_open_5,S2_F2,A,open,5,1120,0,2021-07-02,-8870.863266809858
0.1,conservative,receivable_locked,20218.0,61716.775868945115,69608.0,205.25658259444612,244.28726877040262,-7891.224131054885,-39.0306861759565,-61.94156647934439,-53.02362482369535,-9876.690901554903,72,73,8,330,0,1247,945,1246,7305.304171054878,100,703.775868945122,5711.491733089877,3350.0,0.0,0,65099.00000000001,60154.0,1824.500131055,107.5,S2_F2_10_locked_open_5,S2_F2,A,open,5,1247,0,2021-05-24,-7876.352347409891
0.3,conservative,ex_date_close_scenario,23894.0,74337.80111722182,73284.0,211.11492892450752,206.7046120364945,1053.8011172218248,4.410316888012995,-61.60114843135498,-45.63040509786072,-7462.906950659721,337,337,66,5,3,8,8,8,101.21385774470309,0,10267.80111722184,0.0,0.0,0.0,0,36078.99999999998,54885.00000000002,9032.581882779008,740.0,S2_F2_30_paid_open_5,S2_F2,A,open,5,8,0,,1053.8011172218248
0.3,conservative,receivable_locked,23894.0,75709.95243543677,73284.0,216.8575895012839,206.7046120364945,2425.952435436775,10.152977464789382,-61.60114843135498,-45.63040509786072,-7033.031416947837,320,320,61,27,3,84,47,84,779.4932592947562,0,7994.9524354367895,0.0,3645.0,0.0,0,37077.999999999985,56472.00000000002,8634.952064564006,679.5,S2_F2_30_locked_open_5,S2_F2,A,open,5,84,0,2023-06-27,-10956.66994846976
0.3,conservative,ex_date_close_scenario,23894.0,77549.03015689066,73284.0,224.55440762070248,206.7046120364945,4265.030156890658,17.849795584207993,-63.18419304226024,-45.63040509786072,-9130.97270619976,286,286,54,0,1,0,0,0,0.0,0,13479.030156890658,0.0,0.0,0.0,0,25220.00000000002,52169.999999999985,7967.639843110002,700.0,S1_F1_30_paid_open_10,S1_F1,C,open,10,0,0,2020-01-02,11271.407257445666
0.3,conservative,ex_date_close_scenario,23894.0,81383.21650472072,73284.0,240.60105677040565,206.7046120364945,8099.216504720724,33.896444733911125,-58.43301750284443,-45.63040509786072,-9286.762895305961,286,286,54,0,1,0,0,0,0.0,0,17313.21650472073,0.0,0.0,0.0,0,60919.99999999997,84699.99999999997,7970.533495280011,700.0,S1_F1_30_paid_post0935_5,S1_F1,C,post0935,5,0,286,2020-01-03,11271.407257445666
0.3,conservative,ex_date_close_scenario,23894.0,74375.25410144072,73284.0,211.27167532200852,206.7046120364945,1091.254101440718,4.567063285514012,-64.3698648845458,-45.63040509786072,-10007.840474611934,286,286,54,0,1,0,0,0,0.0,0,10305.254101440718,0.0,0.0,0.0,0,60919.99999999997,84699.99999999997,7968.245898559997,700.0,S1_F1_30_paid_post0935_10,S1_F1,C,post0935,10,0,286,2020-01-02,11271.407257445666
0.3,conservative,receivable_locked,23894.0,61898.18019443027,73284.0,159.05323593550796,206.7046120364945,-11385.819805569728,-47.65137610098656,-63.18419304226024,-45.63040509786072,-15388.371276369755,167,168,31,141,1,670,640,669,7057.89988556972,100,955.1801944302788,5463.29093963972,3280.0,0.0,0,59723.0,57059.00000000001,3957.1828055700003,260.0,S1_F1_30_locked_open_10,S1_F1,C,open,10,670,0,2020-01-02,11271.407257445666
0.3,conservative,receivable_locked,23894.0,81383.21650472072,73284.0,240.60105677040565,206.7046120364945,8099.216504720724,33.896444733911125,-58.43301750284443,-45.63040509786072,-9286.762895305961,286,286,54,0,1,0,0,0,0.0,0,13813.21650472073,0.0,3500.0,0.0,0,60919.99999999997,84699.99999999997,7970.533495280011,700.0,S1_F1_30_locked_post0935_5,S1_F1,C,post0935,5,0,286,2020-01-03,11271.407257445666
0.3,conservative,receivable_locked,23894.0,62097.51469538021,73284.0,159.88748093822807,206.7046120364945,-11186.48530461979,-46.817131098266465,-64.3698648845458,-45.63040509786072,-15328.710529419805,148,149,28,164,0,824,801,823,6803.565384619781,100,1209.5146953802177,5208.956438689781,3225.0,0.0,0,68710.00000000001,64916.00000000001,3456.05330462,150.0,S1_F1_30_locked_post0935_10,S1_F1,C,post0935,10,824,149,2020-01-02,11271.407257445666
0.3,conservative,ex_date_close_scenario,23894.0,59322.63956752023,73284.0,148.2742092890275,206.7046120364945,-13961.36043247977,-58.43040274746702,-69.50807774514409,-45.63040509786072,-15594.360432479763,128,129,128,1364,2,1365,349,1364,7293.040512479761,100,1659.6395675202384,4758.83156654976,0.0,0.0,0,70676.0,63655.000000000015,3212.0164324800007,90.0,S0_30_paid_open_10,S0,C,open,10,1365,0,2020-01-02,-13924.726018304653
0.3,conservative,ex_date_close_scenario,23894.0,59502.30322019044,73284.0,149.0261288197474,206.7046120364945,-13781.696779809557,-57.67848321674712,-69.41984888048601,-45.63040509786072,-15906.85569750957,329,330,329,962,2,963,579,962,7109.37681980955,100,1839.3032201904498,4575.964381844549,0.0,0.0,0,80469.00000000003,78685.00000000001,7687.220779809998,95.0,S0_30_paid_post0935_5,S0,C,post0935,5,963,330,2020-01-03,-13924.726018304653
0.3,conservative,ex_date_close_scenario,23894.0,59418.09317944027,73284.0,148.67369707642197,206.7046120364945,-13865.906820559729,-58.03091496007253,-69.34980165993136,-45.63040509786072,-15597.072455959773,193,194,193,1234,2,1235,579,1234,7197.586900559721,100,1755.0931794402786,4663.37795462972,0.0,0.0,0,77562.00000000001,73871.00000000003,4764.2128205599965,67.5,S0_30_paid_post0935_10,S0,C,post0935,10,1235,194,2020-01-02,-13924.726018304653
