ordinal,date,status_old,cash_old,net_old,fee_old,extra_cash_old,days_missing_old,restore_date_old,auction_quantity,restore_clock_old,restore_price,restore_kind,missed_dividend_old,cash_openonly,net_openonly,status_openonly,restore_date_openonly,days_missing_openonly,restore_clock_openonly,missed_dividend_openonly,fee_openonly,extra_cash_openonly
535,2020-08-19,completed,59.76542600000083,0.4024607811447867,25.434574,0.0,1,2020-08-20,unknown,09:25,14.75,open_proxy,0.0,59.76542600000083,0.40246078114478673,restored_at_open,2020-08-20,1,09:25,0.0,25.434574,0.0
536,2020-08-20,completed,-210.33418669999895,-1.418302000674302,25.419186700000004,210.3341866999981,1,2020-08-21,unknown,09:25,15.0,open_proxy,0.0,-210.33418669999898,-1.418302000674302,restored_at_open,2020-08-21,1,09:25,0.0,25.419186700000004,210.3341866999981
537,2020-08-21,completed,-100.21580059999808,-0.6771337878378249,25.385800600000003,100.21580059999724,1,2020-08-24,unknown,09:25,14.86,open_proxy,0.0,-100.21580059999808,-0.6771337878378249,restored_at_open,2020-08-24,1,09:25,0.0,25.385800600000003,100.21580059999724
538,2020-08-24,completed,-90.59810549999732,-0.6043902968645586,25.5831055,90.59810549999747,1,2020-08-25,unknown,09:25,15.04,open_proxy,0.0,-90.59810549999733,-0.6043902968645586,restored_at_open,2020-08-25,1,09:25,0.0,25.583105500000002,90.59810549999747
539,2020-08-25,completed,-30.77085489999873,-0.2039155394300777,25.6858549,30.770854899998085,1,2020-08-26,unknown,09:25,15.08,open_proxy,0.0,-30.77085489999873,-0.20391553943007773,restored_at_open,2020-08-26,1,09:25,0.0,25.685854900000002,30.770854899998085
540,2020-08-26,completed,-99.68553059999816,-0.6855951210453795,25.115530600000003,99.68553059999796,1,2020-08-27,unknown,09:25,14.6,open_proxy,0.0,-99.68553059999817,-0.6855951210453795,restored_at_open,2020-08-27,1,09:25,0.0,25.115530600000003,99.68553059999795
541,2020-08-27,completed,50.16812590000211,0.3424445453925058,25.226874100000003,0.0,1,2020-08-28,unknown,09:25,14.56,open_proxy,0.0,50.16812590000211,0.34244454539250585,restored_at_open,2020-08-28,1,09:25,0.0,25.226874100000003,0.0
542,2020-08-28,completed,-130.1294259000001,-0.882233395932204,25.3344259,130.12942590000057,1,2020-08-31,unknown,09:25,14.84,open_proxy,0.0,-130.1294259000001,-0.882233395932204,restored_at_open,2020-08-31,1,09:25,0.0,25.3344259,130.12942590000057
543,2020-08-31,completed,29.974170700001856,0.2033525827679908,25.3208293,0.0,1,2020-09-01,unknown,09:25,14.67,open_proxy,0.0,29.974170700001856,0.20335258276799087,restored_at_open,2020-09-01,1,09:25,0.0,25.3208293,0.0
544,2020-09-01,completed,-30.036634899998592,-0.2039146972165552,25.3116349,30.036634899997807,1,2020-09-02,unknown,09:25,14.72,open_proxy,0.0,-30.036634899998592,-0.20391469721655528,restored_at_open,2020-09-02,1,09:25,0.0,25.3116349,30.036634899997807
545,2020-09-02,completed,-110.15981569999848,-0.745834906567356,25.354815700000003,110.15981569999894,1,2020-09-03,unknown,09:25,14.84,open_proxy,0.0,-110.15981569999848,-0.745834906567356,restored_at_open,2020-09-03,1,09:25,0.0,25.354815700000003,110.15981569999894
546,2020-09-03,completed,180.52125720000183,1.244116176430061,25.0787428,0.0,1,2020-09-04,unknown,09:25,14.29,open_proxy,0.0,180.52125720000186,1.244116176430061,restored_at_open,2020-09-04,1,09:25,0.0,25.0787428,0.0
547,2020-09-04,completed,121.18348660000092,0.855211620324636,24.7265134,0.0,1,2020-09-07,unknown,09:25,14.01,open_proxy,0.0,121.18348660000093,0.855211620324636,restored_at_open,2020-09-07,1,09:25,0.0,24.7265134,0.0
548,2020-09-07,completed,-38.43062999999789,-0.2756860114777467,24.490630000000003,38.43062999999711,1,2020-09-08,unknown,09:25,13.94,open_proxy,0.0,-38.43062999999789,-0.2756860114777467,restored_at_open,2020-09-08,1,09:25,0.0,24.490630000000003,38.43062999999711
549,2020-09-08,completed,111.09670650000092,0.7818205946516603,24.7682935,0.0,1,2020-09-09,unknown,09:25,14.06,open_proxy,0.0,111.09670650000092,0.7818205946516603,restored_at_open,2020-09-09,1,09:25,0.0,24.768293500000002,0.0
550,2020-09-09,completed,-128.41624589999915,-0.9231937160316258,24.4612459,128.41624589999992,1,2020-09-10,unknown,09:25,14.0,open_proxy,0.0,-128.41624589999915,-0.9231937160316258,restored_at_open,2020-09-10,1,09:25,0.0,24.461245899999998,128.41624589999992
551,2020-09-10,completed,52.39118090000273,0.3863656408554773,24.093819100000005,0.0,1,2020-09-11,unknown,09:25,13.47,open_proxy,0.0,52.39118090000273,0.38636564085547737,restored_at_open,2020-09-11,1,09:25,0.0,24.093819100000005,0.0
552,2020-09-11,completed,-37.777989999998574,-0.2773714390601951,24.15799,37.77798999999868,1,2020-09-14,unknown,09:25,13.62,open_proxy,0.0,-37.777989999998574,-0.2773714390601951,restored_at_open,2020-09-14,1,09:25,0.0,24.15799,37.77798999999868
553,2020-09-14,completed,-18.23667479999764,-0.13167274223825,24.3966748,18.236674799996763,1,2020-09-15,unknown,09:25,13.83,open_proxy,0.0,-18.236674799997637,-0.13167274223825007,restored_at_open,2020-09-15,1,09:25,0.0,24.3966748,18.236674799996763
554,2020-09-15,completed,2.0184654000014133,0.0147011318281239,24.2715346,0.0,1,2020-09-16,unknown,09:25,13.69,open_proxy,0.0,2.0184654000014133,0.014701131828123912,restored_at_open,2020-09-16,1,09:25,0.0,24.2715346,0.0
555,2020-09-16,completed,2.283600400002271,0.0167911794117814,24.136399600000004,0.0,1,2020-09-17,unknown,09:25,13.56,open_proxy,0.0,2.283600400002271,0.016791179411781404,restored_at_open,2020-09-17,1,09:25,0.0,24.136399600000004,0.0
