rule,first_window,slip_bp,date,exit_date,cash,net,fee,status
S1_F1,open,5,2021-08-11,2021-08-12,-14.01490979999862,-0.11897206960949593,22.244909800000002,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-08-17,2021-08-18,-24.50958989999942,-0.20390673793676722,22.4945899,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-08-19,2021-08-20,-64.18367529999796,-0.5416343907172824,22.3186753,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-09-02,2021-09-03,-83.99012549999964,-0.7148095787234011,22.215125500000003,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-09-08,2021-09-09,-84.88750549999833,-0.6963700205086,22.6725055,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-10-11,2021-10-12,-74.75993539999781,-0.6163226331409548,22.6099354,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-10-14,2021-10-15,-34.18846999999695,-0.2882670320404464,22.328470000000003,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-10-20,2021-10-21,-43.64300509999934,-0.3765574210526259,22.0480051,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-10-25,2021-10-26,-73.23031039999782,-0.6435000913883815,21.830310400000002,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-11-01,2021-11-02,-93.36308059999934,-0.8161108444055887,21.893080599999998,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-11-05,2021-11-08,-23.83655489999949,-0.20390551668091952,22.1515549,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-11-12,2021-11-15,-33.90293999999753,-0.2892742320818902,22.182940000000002,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-11-16,2021-11-17,-14.076094799997456,-0.1191879322607744,22.276094800000003,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-11-22,2021-11-23,-34.18846999999695,-0.2882670320404464,22.328470000000003,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-12-01,2021-12-02,17.061230500001237,0.1515206971580927,21.7037695,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-12-06,2021-12-07,-73.02636039999928,-0.6473968120567312,21.7263604,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-12-09,2021-12-10,-13.994514800000218,-0.1188998708581157,22.2345148,indicative_independent_opportunity_not_account
S1_F1,open,5,2021-12-24,2021-12-27,-34.43320999999956,-0.2874224540901466,22.453210000000002,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-01-04,2022-01-05,-24.550379899998035,-0.20390680980064813,22.5153799,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-02-09,2022-02-10,-53.15872519999877,-0.46835881233479093,21.798725200000003,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-02-11,2022-02-14,26.923665600000728,0.23763164695499317,21.7763344,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-02-21,2022-02-22,26.780900600001015,0.2349201807017633,21.849099400000004,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-02-24,2022-02-25,-32.84239999999709,-0.29323571428568834,21.642400000000002,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-03-01,2022-03-02,-12.770814799998035,-0.11433137690239961,21.6108148,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-03-03,2022-03-04,37.19400070000276,0.33208929196431036,21.640999300000004,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-03-14,2022-03-15,-40.76731009999949,-0.4004647357563801,20.5823101,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-03-17,2022-03-18,-20.614144899999562,-0.20389856478733495,20.5091449,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-03-23,2022-03-24,-61.206005299998836,-0.5890857102983525,20.8010053,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-03-29,2022-03-30,-70.57896039999855,-0.7001880992063348,20.478960400000002,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-03-31,2022-04-01,49.340675800001236,0.48611503251232746,20.5493242,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-04-06,2022-04-07,-0.7872996999976749,-0.0077186245097811265,20.602299700000003,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-04-11,2022-04-12,-30.25223500000029,-0.3046549345417955,20.322235,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-04-28,2022-04-29,-69.13824309999869,-0.7339516252653788,19.6982431,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-05-18,2022-05-19,61.02221045000182,0.6477941661359005,19.60278955,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-05-26,2022-05-27,-38.62489004999855,-0.41892505477221853,19.399890050000003,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-06-01,2022-06-02,31.107885300001673,0.3319945069370509,19.5521147,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-06-06,2022-06-07,-39.04898504999949,-0.4140931606574707,19.61398505,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-06-15,2022-06-16,-69.48838019999985,-0.7208338195020731,19.8283802,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-06-20,2022-06-21,-29.56895499999869,-0.30514917440659123,19.878955,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-06-24,2022-06-27,-29.690125000000002,-0.3045141025641026,19.940125000000002,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-06-29,2022-06-30,-19.866779949999128,-0.20189817022356837,20.03177995,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-07-19,2022-07-20,-99.82680034999913,-1.0186408198979504,19.991800350000002,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-07-27,2022-07-28,-80.09933024999833,-0.80582827213278,20.13433025,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-08-02,2022-08-03,-30.013244999999856,-0.3028581735620571,20.103245,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-08-08,2022-08-09,-9.417389899998764,-0.09789386590435305,19.8073899,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-08-10,2022-08-11,-59.341915149999124,-0.6200827079414746,19.75691515,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-08-12,2022-08-15,-19.523464949999056,-0.20189725904859418,19.858464950000002,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-08-18,2022-08-19,60.63850544999949,0.6309938132153954,19.79649455,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-08-23,2022-08-24,-9.053879899998474,-0.09590974470337366,19.623879900000002,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-09-06,2022-09-07,-19.058979949999493,-0.2018959740466048,19.623979950000003,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-09-28,2022-09-29,-137.34302054999796,-1.6044745391354902,18.72802055,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-10-13,2022-10-14,-86.8934252999992,-1.0406398239520862,18.5134253,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-10-18,2022-10-19,-17.160649949998984,-0.20188999941175273,18.665649950000002,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-11-02,2022-11-03,-47.49907010000007,-0.5484881073903011,18.8290701,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-11-09,2022-11-10,-17.443379949998402,-0.20189097164350003,18.808379950000003,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-11-16,2022-11-17,1.8599951500014527,0.020689601223597916,19.165004850000003,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-11-30,2022-12-01,-88.50902529999847,-0.9673117519125516,19.3290253,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-12-07,2022-12-08,-19.018589949999054,-0.20189585934181586,19.60358995,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-12-12,2022-12-13,-49.114670099999344,-0.5191825591966105,19.644670100000003,indicative_independent_opportunity_not_account
S1_F1,open,5,2022-12-19,2022-12-20,21.102785250000654,0.22521649146212008,19.55221475,indicative_independent_opportunity_not_account
