scenario,date,clock,quantity,reference,fine_price_available,price_gap,price_status,fill_status
S1_F1_30_paid_post0935_5,2021-10-26,09:40,1000,11.47,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2021-11-02,09:40,1000,11.53,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2021-11-08,09:40,1000,11.62,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2021-11-15,09:40,1000,11.81,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2021-11-17,09:40,1000,11.74,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2021-11-23,09:40,1000,11.92,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2021-12-02,09:40,1000,11.21,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2021-12-07,09:40,1000,11.27,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2021-12-10,09:40,1000,11.88,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2021-12-27,09:40,1000,12.01,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-01-05,09:40,1000,12.14,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-02-10,09:40,1000,11.37,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-02-14,09:40,1000,11.22,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-02-22,09:40,1000,11.23,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-02-25,09:40,1000,11.27,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-03-02,09:40,1000,11.13,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-03-04,09:40,1000,11.13,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-03-15,09:40,1000,10.09,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-03-18,09:40,1000,10.15,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-03-24,09:40,1000,10.43,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-03-30,09:40,1000,10.15,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-04-01,09:40,1000,10.06,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-04-07,09:40,1000,10.2,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-04-12,09:40,1000,9.84,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-04-29,09:40,1000,9.47,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-05-19,09:40,1000,9.33,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-05-27,09:40,1000,9.27,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-06-02,09:40,1000,9.31,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-06-07,09:40,1000,9.43,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-06-16,09:40,1000,9.74,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-06-21,09:40,1000,9.73,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-06-27,09:40,1000,9.8,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-06-30,09:40,1000,9.85,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-07-20,09:40,1000,10.08,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-07-28,09:40,1000,10.02,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-08-03,09:40,1000,9.94,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-08-09,09:40,1000,9.59,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-08-11,09:40,1000,9.65,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-08-15,09:40,1000,9.52,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-08-19,09:40,1000,9.67,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-08-24,09:40,1000,9.43,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-09-07,09:40,1000,9.39,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-09-29,09:40,1000,8.67,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-10-14,09:40,1000,8.4,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-10-19,09:40,1000,8.54,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-11-03,09:40,1000,8.66,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
S1_F1_30_paid_post0935_5,2022-11-10,09:40,1000,8.61,False,,unknown_no_qualified_fine_overlap,unproven_auction_queue_receipt_and_capacity
