window,stage,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,episodes,delete5_pct,delete5_cash,double_slip_pct,double_slip_cash,matched_n,excluded_n,matched_open_pct,matched_open_cash,delayed_pct,delayed_cash,month_ci_low,month_ci_high,down_pct,gross_mean_pct,cost_drag_pct,gross_cash,cost_cash,largest_month,largest_month_cash,delete_largest_month_cash
full_2020,ALL,62,0.26102591841550005,0.295491244610784,54.83870967741935,10783.08288787022,1.2583168992130311,1.862078341835847,-10.90774674562256,-4091.7942350999538,40,58.0,-0.19444865245450546,-515.0376543538432,0.1613112331261055,9353.124487740206,62.0,0.0,0.26102591841550005,10783.08288787022,0.24777006644997612,8535.032863176186,-0.47504966665255793,1.0507149044215451,58.06451612903226,0.4964083445368683,0.23538242612136817,13840.000000000015,3056.9171121297986,2026-05,5270.984852580012,5512.098035290208
full_2020,U,21,-0.011456700220658467,-0.367008581270642,47.61904761904761,4000.426804492062,0.9913537583975539,1.8397566345246448,-10.90774674562256,-1924.805477487961,13,20.0,-1.3675833626784268,-3656.254053337961,-0.11129319099907166,3555.876408984079,21.0,0.0,-0.011456700220658467,4000.426804492062,0.10465563382289292,3790.701927388045,-1.2136405116481692,1.7399791332118466,47.61904761904761,0.24126374323809432,0.2527204434587528,5010.000000000005,1009.5731955079428,2026-05,5270.984852580012,-1270.5580480879498
full_2020,R,7,0.650734843749395,0.7265464680488039,71.42857142857143,1752.9419503500208,1.6655297249915686,2.51284729059757,-3.76286333553386,-1158.7038303499978,6,7.0,-3.4221941824638056,-1158.703830349998,0.5512073325274023,1606.8860007000194,7.0,0.0,0.650734843749395,1752.9419503500208,0.32524683262733917,1083.538519500023,-1.610097007494367,3.4114401191341943,71.42857142857143,0.8735402491881855,0.22280540543879065,2070.0000000000055,317.0580496499848,2024-06,1271.3876691000014,481.55428125001936
full_2020,D,3,-0.4951356838702392,-0.5432074039106163,33.33333333333333,-269.47363330000053,0.07285567453089038,0.05159737740425958,-1.0589240127478876,-284.13421355000247,2,2.0,,,-0.5952335126344598,-317.6484665999992,3.0,0.0,-0.4951356838702392,-269.47363330000053,-0.8163769355819627,-409.29228899999896,-0.801065708329252,0.1167243650477863,33.33333333333333,-0.2623215718974207,0.2328141119728185,-160.0000000000037,109.4736332999968,2021-06,14.660580250001964,-284.13421355000247
full_2020,C,31,0.43078905779870275,0.3714447023639297,58.06451612903226,5299.187766328137,1.5062795609151785,1.8409261417727623,-5.107730410911589,-2839.1262382439963,21,29.0,-0.34057273348365674,-1784.2385663159203,0.3311516991938906,4508.0105446561065,31.0,0.0,0.43078905779870275,5299.187766328137,0.43020576735394456,4070.0847052881163,-0.5587354909650429,1.4087907399588726,64.51612903225806,0.6575148943438971,0.22672583654519446,6920.000000000011,1620.8122336718739,2026-04,1882.3494694860215,3416.838296842115
2024,ALL,13,1.782246611905233,1.151360221667406,69.23076923076923,5603.589438350047,3.963994922670899,4.733812323483137,-4.650157583560376,-1076.0769723999938,9,12.0,-0.10852971940334144,-247.17178704997264,1.6832617673302666,5317.5167767000485,13.0,0.0,1.782246611905233,5603.589438350047,1.5620791532442728,4494.71025530004,0.34703046650253233,3.34460989489572,76.92307692307693,1.9802910471581234,0.19804443525289053,6170.000000000011,566.4105616499633,2024-10,1596.657661000006,4006.931777350041
2024,U,1,4.259749431758549,4.259749431758549,100.0,811.4822667500036,,,4.259749431758549,0.0,1,1.0,,,4.16200542519687,792.8620335000037,1.0,0.0,4.259749431758549,811.4822667500036,3.78778553175854,721.5731438000018,4.259749431758549,4.259749431758549,100.0,4.461942257217855,0.2021928254593055,850.0000000000014,38.51773324999772,2024-02,811.4822667500036,0.0
2024,R,3,3.4284036163220253,4.58944634931509,100.0,2703.4905192500114,,,0.777436959612295,0.0,3,3.0,,,3.3302372506074414,2627.314938500015,3.0,0.0,3.4284036163220253,2703.4905192500114,2.532751280071595,1994.207438200011,0.7774369596122949,4.91832754003869,100.0,3.6172323985002213,0.1888287821781965,2850.000000000005,146.50948074999351,2024-06,1271.3876691000014,1432.10285015001
2024,D,0,,,,0.0,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,
2024,C,9,0.9582495193381558,0.9743266006097916,55.55555555555556,2088.616652350032,2.1032842661779103,2.391697711150102,-4.650157583560376,-1076.076972399994,5,8.0,-1.9542211237907519,-1500.7689066499904,0.8588539775860301,1897.3398047000294,9.0,0.0,0.9582495193381558,2088.616652350032,0.9912210689113574,1778.9296733000272,-0.541823097824782,2.512338639856153,66.66666666666666,1.1589049067041204,0.2006553873659647,2470.000000000004,381.383347649972,2024-10,1596.657661000006,491.9589913500258
2025,ALL,10,1.0822469503548047,1.0340051469048963,70.0,3560.1403282010556,3.744658380389199,5.290284091560704,-2.34097114972114,-545.6803749999976,5,9.0,-0.48835416238569423,-471.758013799996,0.9829109156655853,3296.3719264020347,10.0,0.0,1.0822469503548047,3560.1403282010556,0.6766728762154687,1192.844688141053,-0.1297935150825813,2.8009248138408047,70.0,1.2778848232719433,0.19563787291713833,4070.0000000000036,509.8596717989483,2025-01,1820.518499550012,1739.6218286510436
2025,U,3,-0.0909869519704491,0.7747852864023691,66.66666666666666,12.604925800006214,0.8833984536956541,1.023099466972779,-2.34097114972114,-545.6803749999976,1,3.0,,,-0.1909119849566966,-64.59574839999505,3.0,0.0,-0.0909869519704491,12.604925800006214,1.001975692152911,761.8476170500062,-0.0909869519704491,-0.0909869519704491,66.66666666666666,0.09993302817804899,0.1909199801484981,159.9999999999966,147.39507419999038,2025-07,12.604925800006214,0.0
2025,R,1,0.7265464680488039,0.7265464680488039,100.0,148.9420259500048,,,0.7265464680488039,0.0,1,1.0,,,0.6270348873170845,128.54215190000232,1.0,0.0,0.7265464680488039,148.9420259500048,0.14177168463417616,29.06319535000611,0.7265464680488039,0.7265464680488039,100.0,0.9268292682926838,0.2002828002438799,190.00000000000128,41.05797404999649,2025-06,148.9420259500048,0.0
2025,D,2,-0.801065708329252,-0.801065708329252,0.0,-284.13421355000247,0.0,0.0,-1.0589240127478876,-284.13421355000247,1,1.0,,,-0.9013369747638,-319.78032710000133,2.0,0.0,-0.801065708329252,-284.13421355000247,-0.9649369792089354,-344.07362885,-0.801065708329252,-0.801065708329252,0.0,-0.5925269438333935,0.2085387644958584,-210.0000000000044,74.13421354999807,2025-04,-284.13421355000247,0.0
2025,C,4,2.9927538270172738,2.735435688557251,100.0,3682.727590001047,,,1.8159282192028985,0.0,3,4.0,,,2.894371043434115,3552.2058500020285,4.0,0.0,2.9927538270172738,3682.727590001047,1.3872259898699117,746.0075045910407,1.8159282192028983,3.9469542577028207,100.0,3.184318441889847,0.19156461487257304,3930.00000000001,247.27240999896333,2025-01,1820.518499550012,1862.2090904510349
2026,ALL,7,0.9493223687957839,1.0750771913824777,57.14285714285714,4685.95731816906,2.0840470279980083,2.1661956232784583,-4.331237586947363,-2839.1262382439963,5,7.0,-2.957301223555783,-3899.664021581979,0.8499112755268177,4248.95267833807,7.0,0.0,0.9493223687957839,4685.95731816906,1.1880261148544318,5265.29317333503,-1.614354762811361,4.641632373677645,57.14285714285714,1.1276495018271706,0.17832713303138667,5469.999999999998,784.0426818309381,2026-05,5270.984852580012,-585.0275344109514
2026,U,2,2.7697938216611497,2.7697938216611497,50.0,4210.447069242029,4.498617269267817,4.970105672227808,-1.583364860164202,-1060.5377833379823,2,2.0,,,2.6712925092282074,4071.732638484044,2.0,0.0,2.7697938216611497,4210.447069242029,2.1153464752430344,3191.615048088009,-1.583364860164202,7.122952503486502,50.0,2.946946648051457,0.17715282639030705,4460.000000000007,249.5529307579784,2026-05,5270.984852580012,-1060.5377833379825
2026,R,0,,,,0.0,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,
2026,D,0,,,,0.0,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,
2026,C,5,0.22113378764963754,1.0750771913824777,60.0,475.51024892703094,1.2431816209646398,1.160774658597768,-4.331237586947363,-2839.1262382439963,3,5.0,,,0.12135878204626191,177.22003985402603,5.0,0.0,0.22113378764963754,475.51024892703094,0.8170979706989904,2073.678125247021,-4.331237586947363,2.160312243868787,60.0,0.3999306433374561,0.1787968556878185,1009.9999999999909,534.4897510729597,2026-04,1882.3494694860215,-1406.8392205589905
