id,window,time,slip,slip_bps,full_signal_n,excluded,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters
EXT_R1,2024,10:00,0.0005,5.0,22,0,22,-0.8797003957972521,-0.5101042014049669,40.909090909090914,-3778.2686590499216,0.387730443878848,0.43569348894423465,-4.963775228124972,-5546.852733999942,13
EXT_R1,2024,10:00,0.001,10.0,22,0,22,-0.980253190637598,-0.6094342757735749,40.909090909090914,-4270.970818099928,0.34502955727321993,0.3883639511853569,-5.067235552403825,-5927.118267999944,13
EXT_R1,2025,open,0.0005,5.0,26,0,26,-0.45885142312601945,0.010168671819465291,50.0,-7032.782206912872,0.7143501126998159,0.6454231381814793,-6.417454118864033,-8424.94371411291,17
EXT_R1,2025,open,0.001,10.0,26,0,26,-0.5589609953695829,-0.08970178425569444,50.0,-8052.83308382588,0.6626842546971436,0.6048482993776652,-6.520546759603111,-9170.443498225908,17
EXT_R1,2025,09:35,0.0005,5.0,26,0,26,-0.6774589851588685,-0.03600657937024149,50.0,-7782.057377914902,0.5617328540739123,0.5770986477898276,-7.296000206306452,-8411.7330739399,17
EXT_R1,2025,09:35,0.001,10.0,26,0,26,-0.7774591989421837,-0.13601601538869923,50.0,-8801.733429829892,0.5130030669801576,0.5343877150832268,-7.398225154548375,-9364.331047879903,17
EXT_R1,2025,09:45,0.0005,5.0,26,0,26,-0.34141591891400164,0.0013607358561461835,50.0,-3716.5216106908874,0.6953650453779069,0.7166033942478466,-5.4522357432580515,-4665.164947109979,17
EXT_R1,2025,09:45,0.001,10.0,26,0,26,-0.44158423828323384,-0.09851523808102673,46.15384615384615,-4738.231447381895,0.6237293463487222,0.6519102981055254,-5.555383034903212,-5159.003133247915,17
EXT_R1,2025,10:00,0.0005,5.0,26,0,26,-0.08359991750565107,0.0657085399359354,53.84615384615385,-1369.1340496118723,0.9060001581201008,0.8710296063573842,-6.843863785741928,-4112.568575900956,17
EXT_R1,2025,10:00,0.001,10.0,26,0,26,-0.18389720936183152,-0.034199623998275745,50.0,-2392.0181672238964,0.804354345078722,0.7848156269848738,-6.943732603741922,-4382.516789801992,17
EXT_R1,2026,open,0.0005,5.0,14,0,14,2.1969523080524174,2.4119209682403344,78.57142857142857,21884.98729285813,4.816591470690336,5.167295922096062,-3.5635911576617345,-2423.24198720998,8
EXT_R1,2026,open,0.001,10.0,14,0,14,2.098164718001467,2.3132408088041734,78.57142857142857,20964.202201716107,4.512608926750515,4.847627067121984,-3.665257580029395,-2492.3751544199886,8
EXT_R1,2026,09:35,0.0005,5.0,14,0,14,1.8600061363412095,2.167851327217207,71.42857142857143,18349.04086650011,4.70331124334266,4.887322945815514,-2.8585170945793896,-1943.7916243139844,8
EXT_R1,2026,09:35,0.001,10.0,14,0,14,1.7613871036548019,2.0697116036255307,71.42857142857143,17430.02463300014,4.316641646778624,4.489820881683283,-2.960536230335271,-2013.1646366279838,8
EXT_R1,2026,09:45,0.0005,5.0,14,0,14,1.7440730230164123,1.852902988072279,78.57142857142857,16690.94169481808,5.979407230344555,5.834613398418869,-2.682248578808819,-1823.9290335899968,8
EXT_R1,2026,09:45,0.001,10.0,14,0,14,1.645511985884443,1.7545024774506006,71.42857142857143,15772.754925636098,5.396432342328932,5.278300102553645,-2.7843558929117562,-1893.3620071799942,8
