window,kind,rise,pullback,tp,stop,breakout_veto,signals,executed,execution_rate,net_win_rate,avg_net_per_trade,avg_net_per_signal,total_pnl_1000,pf,worst_pnl_1000,max_losing_streak,tp_count,stop_count,ambiguous_bar_count
full,pullback,0.003,0.003,,,,61,45,0.7377049180327869,0.5555555555555556,-0.0020654644637349505,-0.001523703292919226,-897.3300999519281,0.8353708775802052,-2534.525123660989,6,0,0,0
full,pullback,0.003,0.003,,,0.02,61,41,0.6721311475409836,0.5121951219512195,-0.0035335093310410277,-0.002374981681519379,-2519.6826900689434,0.5377251358617967,-2534.525123660989,6,0,0,0
full,pullback,0.003,0.003,0.015,,,61,45,0.7377049180327869,0.5777777777777777,-0.001440613573370053,-0.001062747718059875,-534.1640013487794,0.8998501032859395,-2534.525123660989,6,11,0,0
full,pullback,0.003,0.003,0.015,,0.02,61,41,0.6721311475409836,0.5365853658536586,-0.002744019757400039,-0.0018443411484164196,-1887.2973365094867,0.646152431008296,-2534.525123660989,6,8,0,0
full,pullback,0.003,0.004,,,,61,45,0.7377049180327869,0.5555555555555556,-0.0022473997829649778,-0.001657917872679082,-287.98829926391977,0.9398941155706512,-1595.6014963229904,6,0,0,0
full,pullback,0.003,0.004,,,0.02,61,40,0.6557377049180327,0.525,-0.0030926416814650907,-0.0020279617583377645,-294.76958295794657,0.9077619440938878,-642.9295030499992,6,0,0,0
full,pullback,0.003,0.004,0.015,,,61,45,0.7377049180327869,0.5555555555555556,-0.0019175497925365064,-0.0014145859125269309,-201.81339554502426,0.9578796337909296,-1595.6014963229904,6,10,0,0
full,pullback,0.003,0.004,0.015,,0.02,61,40,0.6557377049180327,0.525,-0.0026665386291917113,-0.00174854992078145,40.91452861875405,1.012802801904589,-642.9295030499992,6,7,0,0
full,pullback,0.003,0.005,,,,61,44,0.7213114754098361,0.5454545454545454,-0.002387035066024079,-0.0017217957853288438,-610.3704496779201,0.8801073066519878,-1915.235071586994,6,0,0,0
full,pullback,0.003,0.005,,,0.02,61,39,0.639344262295082,0.5128205128205128,-0.0031269832572115067,-0.0019992188037909636,-297.518158107943,0.906315263860592,-642.9295030499992,6,0,0,0
