entry,exit,window,comparison,n,mean,ci_low,ci_high
WF_ENTRY,1000_S0,recent2024,vs_1000_no_stop,37,0.0,0.0,0.0
C,1000_S1,main2022,absolute,61,0.9656020929511616,0.34414920499924373,1.7919721848461612
C,1000_S1,main2022,vs_open,61,0.4921989432311401,0.10535379318433674,0.9765209437844078
C,1000_S1,main2022,vs_1000_no_stop,61,-0.17325612257935252,-0.31314747004426163,-0.0010264260062623704
C,1000_S1,recent2024,absolute,37,0.8249842809892372,0.22898850963363582,2.0313525922226137
C,1000_S1,recent2024,vs_open,37,0.3897294415781466,0.0032956024102160533,1.0376690086601708
C,1000_S1,recent2024,vs_1000_no_stop,37,-0.07615643992875562,-0.28749456278319024,0.1098452463338541
WF_ENTRY,1000_S1,main2022,absolute,172,0.09675823690075727,-0.2733040829447859,0.4987582129914984
WF_ENTRY,1000_S1,main2022,vs_open,172,0.12407173311749346,-0.14800345664965014,0.4104360738989487
WF_ENTRY,1000_S1,main2022,vs_1000_no_stop,172,-0.07256976992669653,-0.1779684079854137,0.05130144127422971
WF_ENTRY,1000_S1,recent2024,absolute,37,0.8249842809892372,0.22898850963363582,2.0313525922226137
WF_ENTRY,1000_S1,recent2024,vs_open,37,0.3897294415781466,0.0032956024102160533,1.0376690086601708
WF_ENTRY,1000_S1,recent2024,vs_1000_no_stop,37,-0.07615643992875562,-0.28749456278319024,0.1098452463338541
C,1000_S2,main2022,absolute,61,1.1169991542913709,0.4325422692432013,1.968833575832604
C,1000_S2,main2022,vs_open,61,0.6435960045713492,0.22829582046208372,1.132410415851219
C,1000_S2,main2022,vs_1000_no_stop,61,-0.021859061239143433,-0.13935053029011799,0.08779411117121419
C,1000_S2,recent2024,absolute,37,0.8838635731200508,0.2351782979547538,2.0810536089373435
C,1000_S2,recent2024,vs_open,37,0.44860873370896054,0.11083517397552609,0.9963263363580199
C,1000_S2,recent2024,vs_1000_no_stop,37,-0.017277147797941813,-0.21593998030072278,0.14555574470823046
WF_ENTRY,1000_S2,main2022,absolute,172,0.1378793418103768,-0.20696581828941352,0.5182113739078027
WF_ENTRY,1000_S2,main2022,vs_open,172,0.165192838027113,-0.07568750452497167,0.41795798115670596
WF_ENTRY,1000_S2,main2022,vs_1000_no_stop,172,-0.03144866501707699,-0.16443634569246446,0.12215026080756473
WF_ENTRY,1000_S2,recent2024,absolute,37,0.8838635731200508,0.2351782979547538,2.0810536089373435
WF_ENTRY,1000_S2,recent2024,vs_open,37,0.44860873370896054,0.11083517397552609,0.9963263363580199
WF_ENTRY,1000_S2,recent2024,vs_1000_no_stop,37,-0.017277147797941813,-0.21593998030072278,0.14555574470823046
C,1000_S2_WORSTBAR,main2022,absolute,61,1.0413165164053346,0.3237171282867531,1.9126750109245503
C,1000_S2_WORSTBAR,main2022,vs_open,61,0.5679133666853131,0.1305348704648945,1.096852785976894
C,1000_S2_WORSTBAR,main2022,vs_1000_no_stop,61,-0.09754169912517953,-0.2535621454291905,0.03212137495657696
C,1000_S2_WORSTBAR,recent2024,absolute,37,0.764236574293854,0.0872933708752934,2.0055080599533364
C,1000_S2_WORSTBAR,recent2024,vs_open,37,0.32898173488276355,-0.0157113561505099,0.903866283179957
C,1000_S2_WORSTBAR,recent2024,vs_1000_no_stop,37,-0.13690414662413875,-0.3805661776037805,0.0747885172750459
WF_ENTRY,1000_S2_WORSTBAR,main2022,absolute,172,-0.018045770675449452,-0.38556840551149923,0.39472324539793957
WF_ENTRY,1000_S2_WORSTBAR,main2022,vs_open,172,0.009267725541286747,-0.25662990883985864,0.2968594044540927
WF_ENTRY,1000_S2_WORSTBAR,main2022,vs_1000_no_stop,172,-0.18737377750290324,-0.34640464846209257,0.013799636490836757
WF_ENTRY,1000_S2_WORSTBAR,recent2024,absolute,37,0.764236574293854,0.0872933708752934,2.0055080599533364
WF_ENTRY,1000_S2_WORSTBAR,recent2024,vs_open,37,0.32898173488276355,-0.0157113561505099,0.903866283179957
WF_ENTRY,1000_S2_WORSTBAR,recent2024,vs_1000_no_stop,37,-0.13690414662413875,-0.3805661776037805,0.0747885172750459
